Date,"Agricultural services, forestry, and fisheries","Agriculture, forestry, and fisheries",Communication,Contract construction,Durable goods,"Electric, gas, and sanitary services",Farms,Finance and insurance,"Finance, insurance, and real estate",Manufacturing,Mining,Noncorporate capital consumption allowances,Nondurable goods,Real estate,Retail trade and automobile services,Services,Transportation,Transportation and public utilities,Wholesale trade
1929-01-01,10.0,659.0,0.0,75.0,51.0,2.0,649.0,13.0,623.0,76.0,39.0,1889.0,25.0,610.0,200.0,109.0,60.0,62.0,46.0
1930-01-01,11.0,671.0,0.0,76.0,56.0,3.0,660.0,14.0,595.0,82.0,44.0,1896.0,26.0,581.0,187.0,127.0,62.0,65.0,49.0
1931-01-01,8.0,651.0,0.0,75.0,60.0,1.0,643.0,16.0,590.0,85.0,38.0,1880.0,25.0,574.0,199.0,131.0,64.0,65.0,46.0
1932-01-01,16.0,614.0,0.0,71.0,61.0,2.0,598.0,17.0,577.0,84.0,37.0,1794.0,23.0,560.0,169.0,145.0,58.0,60.0,37.0
1933-01-01,9.0,564.0,0.0,52.0,56.0,2.0,555.0,24.0,575.0,76.0,30.0,1661.0,20.0,551.0,146.0,137.0,46.0,48.0,33.0
1934-01-01,11.0,530.0,0.0,47.0,46.0,2.0,519.0,21.0,582.0,66.0,35.0,1643.0,20.0,561.0,146.0,148.0,46.0,48.0,41.0
1935-01-01,9.0,521.0,0.0,45.0,41.0,4.0,512.0,21.0,595.0,63.0,36.0,1664.0,22.0,574.0,148.0,160.0,46.0,50.0,46.0
1936-01-01,8.0,531.0,0.0,47.0,39.0,9.0,523.0,22.0,622.0,64.0,37.0,1743.0,25.0,600.0,156.0,172.0,47.0,56.0,58.0
1937-01-01,8.0,563.0,0.0,49.0,37.0,14.0,555.0,21.0,616.0,64.0,37.0,1835.0,27.0,595.0,182.0,191.0,54.0,68.0,65.0
1938-01-01,7.0,581.0,1.0,44.0,44.0,18.0,574.0,18.0,614.0,73.0,42.0,1907.0,29.0,596.0,183.0,225.0,60.0,79.0,66.0
1939-01-01,8.0,590.0,1.0,45.0,40.0,21.0,582.0,18.0,607.0,71.0,45.0,1930.0,31.0,589.0,192.0,231.0,59.0,81.0,68.0
1940-01-01,7.0,602.0,1.0,44.0,38.0,24.0,595.0,22.0,631.0,69.0,45.0,2024.0,31.0,609.0,203.0,263.0,67.0,92.0,75.0
1941-01-01,8.0,637.0,1.0,47.0,38.0,27.0,629.0,23.0,660.0,71.0,46.0,2210.0,33.0,637.0,235.0,304.0,87.0,115.0,95.0
1942-01-01,9.0,662.0,1.0,45.0,61.0,28.0,653.0,19.0,675.0,110.0,59.0,2418.0,49.0,656.0,290.0,348.0,89.0,118.0,111.0
1943-01-01,9.0,655.0,1.0,37.0,76.0,28.0,646.0,23.0,698.0,140.0,77.0,2518.0,64.0,675.0,316.0,353.0,97.0,126.0,116.0
1944-01-01,12.0,669.0,1.0,50.0,93.0,30.0,657.0,26.0,665.0,177.0,65.0,2593.0,84.0,639.0,333.0,372.0,103.0,134.0,128.0
1945-01-01,13.0,705.0,2.0,71.0,99.0,32.0,692.0,22.0,652.0,197.0,83.0,2703.0,98.0,630.0,349.0,390.0,115.0,149.0,107.0
1946-01-01,17.0,770.0,3.0,106.0,97.0,37.0,753.0,191.0,661.0,203.0,95.0,3041.0,106.0,470.0,443.0,469.0,136.0,176.0,118.0
1947-01-01,23.0,916.0,4.0,169.0,124.0,48.0,893.0,18.0,657.0,246.0,119.0,3883.0,122.0,639.0,631.0,669.0,214.0,266.0,210.0
