Date,"Agricultural services, forestry, and fishing","Agriculture, forestry, and fishing",Amusement and recreation services,"Auto repair, services, and parking",Business services,Communication,Construction,Durable goods,"Electric, gas, and sanitary services",Farms,Finance and insurance,"Finance, insurance, and real estate",Health services,Hotels and other lodging places,Legal services,Manufacturing,Mining,Miscellaneous repair services,Motion pictures,Noncorporate capital consumption allowances,Nondurable goods,Other,Personal services,Real estate,Retail trade,Services,Transportation,Transportation and public utilities,Wholesale trade
1948-01-01,31.0,1138.0,90.0,0.0,64.0,7.0,225.0,143.0,61.0,1107.0,24.0,721.0,152.0,113.0,25.0,301.0,164.0,43.0,163.0,4611.0,158.0,44.0,136.0,697.0,652.0,830.0,225.0,293.0,287.0
1949-01-01,39.0,1382.0,106.0,0.0,77.0,8.0,282.0,173.0,72.0,1343.0,32.0,775.0,175.0,139.0,30.0,351.0,165.0,50.0,176.0,5439.0,178.0,52.0,157.0,743.0,919.0,962.0,256.0,336.0,267.0
1950-01-01,44.0,1614.0,111.0,0.0,85.0,11.0,331.0,190.0,82.0,1570.0,39.0,852.0,178.0,153.0,34.0,370.0,181.0,52.0,190.0,6023.0,180.0,61.0,166.0,813.0,985.0,1030.0,259.0,352.0,308.0
1951-01-01,52.0,1810.0,115.0,0.0,99.0,16.0,378.0,225.0,91.0,1758.0,48.0,951.0,194.0,170.0,37.0,417.0,213.0,59.0,198.0,6696.0,192.0,68.0,178.0,903.0,1042.0,1118.0,282.0,389.0,378.0
1952-01-01,61.0,1949.0,120.0,0.0,107.0,20.0,422.0,236.0,95.0,1888.0,54.0,988.0,206.0,177.0,39.0,430.0,222.0,62.0,203.0,7178.0,194.0,69.0,183.0,934.0,1223.0,1166.0,282.0,397.0,381.0
1953-01-01,64.0,2075.0,115.0,0.0,110.0,24.0,454.0,246.0,103.0,2011.0,61.0,1125.0,195.0,168.0,37.0,447.0,245.0,60.0,207.0,7611.0,201.0,69.0,178.0,1064.0,1312.0,1139.0,286.0,413.0,401.0
1954-01-01,71.0,2181.0,153.0,0.0,141.0,30.0,484.0,236.0,112.0,2110.0,66.0,1162.0,251.0,216.0,49.0,430.0,265.0,71.0,218.0,7971.0,194.0,79.0,228.0,1096.0,1260.0,1406.0,270.0,412.0,371.0
1955-01-01,86.0,2274.0,150.0,0.0,144.0,35.0,563.0,267.0,121.0,2188.0,86.0,1244.0,234.0,199.0,46.0,473.0,305.0,64.0,219.0,8277.0,206.0,81.0,206.0,1158.0,1177.0,1343.0,324.0,480.0,418.0
1956-01-01,94.0,2319.0,171.0,95.0,164.0,41.0,634.0,271.0,126.0,2225.0,84.0,1294.0,269.0,228.0,50.0,484.0,356.0,73.0,227.0,9024.0,213.0,90.0,226.0,1210.0,1311.0,1593.0,399.0,566.0,467.0
1957-01-01,104.0,2349.0,163.0,129.0,166.0,49.0,627.0,306.0,131.0,2245.0,100.0,1433.0,288.0,281.0,57.0,513.0,316.0,73.0,222.0,9459.0,207.0,101.0,227.0,1333.0,1352.0,1707.0,467.0,647.0,515.0
