Date,"Agricultural services, forestry, and fishing","Agriculture, forestry, and fishing",Amusement and recreation services,"Auto repair, services, and parking",Business services,Communications,Construction,Durable goods,"Electric, gas, and sanitary services",Farms,Finance and insurance,"Finance, insurance, and real estate",Health services,Hotels and other lodging places,Legal services,Manufacturing,Mining,Miscellaneous repair services,Motion pictures,Noncorporate capital consumption allowances,Nondurable goods,Other,Personal services,Real estate,Retail trade,Services,Transportation,Transportation and public utilities,Wholesale trade
1987-01-01,1512.0,11562.0,1100.0,1342.0,5998.0,3125.0,3475.0,1941.0,2164.0,10050.0,1955.0,46410.0,2551.0,4611.0,1158.0,3680.0,9744.0,441.0,533.0,110357.0,1739.0,1927.0,1084.0,44455.0,5003.0,20745.0,3504.0,8793.0,945.0
1988-01-01,1210.0,11240.0,1181.0,1092.0,6364.0,3825.0,3883.0,2363.0,2343.0,10030.0,2462.0,50203.0,2711.0,5050.0,1190.0,4345.0,8559.0,429.0,559.0,115575.0,1982.0,2168.0,1151.0,47741.0,5179.0,21895.0,3248.0,9416.0,855.0
1989-01-01,1173.0,11445.0,1026.0,1033.0,6031.0,4360.0,3601.0,2948.0,2519.0,10272.0,1662.0,50995.0,5508.0,4994.0,1366.0,5446.0,7414.0,256.0,712.0,121153.0,2498.0,3403.0,1246.0,49333.0,5499.0,25575.0,3488.0,10367.0,811.0
1990-01-01,1210.0,11827.0,964.0,1210.0,5608.0,5147.0,3237.0,3046.0,2593.0,10617.0,1902.0,48883.0,2906.0,4765.0,1339.0,5541.0,6728.0,286.0,480.0,114709.0,2495.0,3406.0,1151.0,46981.0,4542.0,22115.0,3173.0,10913.0,923.0
1991-01-01,1371.0,12212.0,852.0,1388.0,5902.0,5160.0,3168.0,2901.0,2794.0,10841.0,1759.0,46565.0,2998.0,4468.0,1241.0,5803.0,6298.0,360.0,792.0,113624.0,2902.0,3120.0,1039.0,44806.0,4939.0,22160.0,3493.0,11447.0,1032.0
1992-01-01,1349.0,12198.0,1494.0,1538.0,6587.0,5409.0,3308.0,2839.0,2944.0,10849.0,1670.0,46585.0,3136.0,4335.0,1239.0,6549.0,6513.0,306.0,676.0,116628.0,3710.0,3343.0,1104.0,44915.0,4979.0,23758.0,3388.0,11741.0,997.0
1993-01-01,1592.0,12556.0,901.0,1525.0,6914.0,7367.0,3731.0,2939.0,3260.0,10964.0,1896.0,45378.0,3275.0,4209.0,1301.0,6796.0,6064.0,397.0,838.0,119084.0,3857.0,3598.0,1099.0,43482.0,5157.0,24057.0,3653.0,14280.0,1065.0
1994-01-01,1472.0,12801.0,1221.0,1776.0,6920.0,5495.0,3976.0,2914.0,3268.0,11329.0,2228.0,45489.0,3219.0,3869.0,1321.0,6385.0,5659.0,421.0,515.0,118556.0,3471.0,3860.0,1199.0,43261.0,5697.0,24321.0,3947.0,12710.0,1518.0
1995-01-01,1642.0,13502.0,1258.0,1946.0,7568.0,7131.0,3918.0,3322.0,3078.0,11860.0,2530.0,46591.0,3256.0,4032.0,1281.0,6896.0,5844.0,358.0,726.0,124251.0,3574.0,4038.0,1044.0,44061.0,6047.0,25507.0,4103.0,14312.0,1634.0
1996-01-01,1691.0,14142.0,1693.0,1888.0,7505.0,10819.0,4390.0,5458.0,3142.0,12451.0,2874.0,47989.0,3611.0,4188.0,1424.0,9457.0,5738.0,379.0,348.0,134311.0,3999.0,4199.0,1078.0,45115.0,6378.0,26313.0,4638.0,18599.0,1305.0
1997-01-01,1928.0,15160.0,1735.0,2751.0,9173.0,12991.0,4812.0,6358.0,3435.0,13232.0,3723.0,50714.0,3860.0,4488.0,1412.0,10970.0,6460.0,351.0,317.0,148232.0,4612.0,4557.0,1100.0,46991.0,6721.0,29744.0,5441.0,21867.0,1784.0
1998-01-01,2276.0,16330.0,1979.0,3981.0,9365.0,13052.0,5199.0,5447.0,3156.0,14054.0,4572.0,55113.0,4064.0,4724.0,1443.0,10656.0,9146.0,388.0,1671.0,161784.0,5209.0,4380.0,1445.0,50541.0,6685.0,33440.0,7344.0,23552.0,1663.0
1999-01-01,2632.0,17000.0,1935.0,7303.0,11253.0,16399.0,5891.0,7011.0,3439.0,14368.0,4049.0,58023.0,4405.0,4641.0,1533.0,13279.0,10116.0,635.0,1071.0,181201.0,6268.0,5457.0,1287.0,53974.0,7583.0,39520.0,8035.0,27873.0,1916.0
2000-01-01,2732.0,17077.0,2773.0,8058.0,13365.0,18681.0,6824.0,7627.0,3447.0,14345.0,4476.0,63528.0,4569.0,5230.0,1544.0,15512.0,12583.0,653.0,262.0,200649.0,7885.0,5473.0,1481.0,59052.0,8479.0,43408.0,8956.0,31084.0,2154.0
