Date,Accommodation and food services,"Agriculture, forestry, fishing, and hunting","Arts, entertainment, and recreation","Arts, entertainment, recreation, accommodation, and food services",Construction,Durable goods,Educational services,"Educational services, health care, and social assistance",Farms,Finance and insurance,"Finance, insurance, real estate, rental, and leasing","Forestry, fishing, and related activities",Health care and social assistance,Information,Management of companies and enterprises; administrative and waste management services,Manufacturing,Mining,Noncorporate capital consumption allowances,Nondurable goods,"Other services, except government",Professional and business services,"Professional, scientific, and technical services",Real estate and rental and leasing,Retail trade,Transportation and warehousing,Utilities,Wholesale trade
1998-01-01,6683.0,15529.0,2718.0,9401.0,5678.0,4767.0,319.0,4705.0,14054.0,3677.0,61615.0,1475.0,4385.0,17628.0,2697.0,12560.0,6862.0,161784.0,7794.0,1143.0,9761.0,7064.0,57939.0,4974.0,6794.0,3112.0,2021.0
1999-01-01,6841.0,15996.0,2820.0,9661.0,6168.0,5912.0,397.0,5133.0,14368.0,3144.0,69557.0,1628.0,4736.0,21336.0,3018.0,14915.0,7579.0,181201.0,9003.0,1197.0,10821.0,7803.0,66413.0,5638.0,7567.0,3318.0,2314.0
2000-01-01,8508.0,16013.0,3655.0,12163.0,7023.0,6265.0,408.0,5625.0,14345.0,3596.0,76418.0,1668.0,5217.0,23694.0,3408.0,17293.0,8890.0,200649.0,11028.0,1215.0,11678.0,8271.0,72822.0,5826.0,8790.0,3370.0,2651.0
2001-01-01,8226.0,15992.0,4113.0,12339.0,7428.0,6598.0,462.0,6357.0,14314.0,4757.0,86934.0,1678.0,5895.0,33241.0,4229.0,19707.0,10369.0,229910.0,13109.0,1007.0,13666.0,9438.0,82177.0,6450.0,9151.0,4170.0,3100.0
2002-01-01,9467.0,16021.0,4810.0,14277.0,8248.0,8839.0,554.0,7590.0,14306.0,5632.0,92421.0,1715.0,7036.0,39265.0,4958.0,23018.0,11712.0,255063.0,14179.0,894.0,14936.0,9978.0,86789.0,7588.0,9807.0,6040.0,3246.0
2003-01-01,10000.0,16473.0,5071.0,15071.0,9524.0,9525.0,594.0,8836.0,14431.0,6875.0,99881.0,2041.0,8243.0,37592.0,5498.0,24215.0,12367.0,270372.0,14690.0,1124.0,16505.0,11007.0,93006.0,7659.0,10473.0,6956.0,3696.0
2004-01-01,10591.0,16759.0,4846.0,15437.0,10239.0,9466.0,652.0,9100.0,14738.0,6819.0,108377.0,2022.0,8448.0,39063.0,5673.0,25416.0,14252.0,287161.0,15950.0,1086.0,16843.0,11169.0,101557.0,7603.0,11374.0,7508.0,4103.0
2005-01-01,9482.0,16978.0,4141.0,13623.0,9620.0,8441.0,623.0,7912.0,15153.0,5637.0,102833.0,1825.0,7289.0,32683.0,5554.0,23589.0,14821.0,267952.0,15148.0,1249.0,15623.0,10068.0,97196.0,6711.0,10916.0,7409.0,3985.0
2006-01-01,10774.0,17432.0,4596.0,15369.0,10223.0,9275.0,746.0,8318.0,15503.0,6313.0,111593.0,1929.0,7572.0,34783.0,6022.0,25153.0,19527.0,291826.0,15878.0,1236.0,17139.0,11116.0,105280.0,6674.0,11959.0,8112.0,4307.0
2007-01-01,11734.0,17849.0,4809.0,16544.0,10584.0,9953.0,704.0,9362.0,15833.0,11505.0,120209.0,2016.0,8658.0,34449.0,6897.0,27667.0,23480.0,313091.0,17714.0,805.0,19069.0,12171.0,108704.0,7112.0,12275.0,8565.0,5122.0
2008-01-01,15412.0,18971.0,5742.0,21154.0,10779.0,21710.0,781.0,11388.0,16339.0,13512.0,138721.0,2631.0,10607.0,42118.0,6888.0,42929.0,32506.0,386181.0,21219.0,682.0,20693.0,13805.0,125209.0,8394.0,15628.0,15534.0,6685.0
2009-01-01,15322.0,18919.0,5386.0,20708.0,8533.0,13631.0,779.0,11095.0,16898.0,9881.0,135766.0,2021.0,10316.0,43662.0,6652.0,38652.0,35290.0,381619.0,25021.0,706.0,19979.0,13327.0,125885.0,7947.0,17593.0,15671.0,7099.0
2010-01-01,14892.0,20026.0,5621.0,20514.0,7880.0,12869.0,721.0,11736.0,17471.0,10961.0,135933.0,2555.0,11015.0,46367.0,7569.0,36303.0,38712.0,392366.0,23434.0,832.0,21268.0,13699.0,124972.0,8024.0,21445.0,16146.0,7179.0
2011-01-01,15095.0,20572.0,5864.0,20959.0,8242.0,16306.0,795.0,12141.0,18337.0,11997.0,148889.0,2236.0,11346.0,52985.0,7473.0,43894.0,47590.0,447090.0,27588.0,503.0,21973.0,14500.0,136892.0,9160.0,27865.0,23130.0,9187.0
2012-01-01,13938.0,22034.0,6732.0,20670.0,7843.0,14370.0,800.0,10445.0,19835.0,11687.0,141041.0,2199.0,9645.0,41054.0,7435.0,41918.0,48428.0,420668.0,27548.0,668.0,22236.0,14800.0,129354.0,8189.0,25965.0,21415.0,8763.0
2013-01-01,15075.0,24567.0,6982.0,22057.0,8174.0,15778.0,984.0,10670.0,21960.0,13723.0,149256.0,2607.0,9686.0,43378.0,8149.0,40496.0,57283.0,459024.0,24717.0,726.0,23238.0,15089.0,135532.0,8525.0,34948.0,25030.0,10676.0
2014-01-01,14619.0,27170.0,7004.0,21623.0,9233.0,16060.0,978.0,11157.0,24323.0,13049.0,155729.0,2847.0,10178.0,44502.0,8381.0,42732.0,64479.0,486151.0,26673.0,307.0,23678.0,15297.0,142680.0,9549.0,39549.0,25068.0,11373.0
2015-01-01,15899.0,28891.0,6742.0,22641.0,10874.0,14510.0,1007.0,12182.0,25786.0,12821.0,170216.0,3106.0,11175.0,45470.0,8807.0,44681.0,62967.0,518856.0,30170.0,615.0,24993.0,16185.0,157395.0,10004.0,45501.0,26978.0,12845.0
2016-01-01,18105.0,28913.0,7526.0,25631.0,11717.0,15606.0,1113.0,13139.0,25888.0,14780.0,185273.0,3025.0,12026.0,49194.0,8993.0,47591.0,62295.0,549928.0,31984.0,602.0,25421.0,16428.0,170493.0,10268.0,44089.0,30855.0,14940.0
2017-01-01,22942.0,28854.0,9434.0,32376.0,12801.0,16216.0,1251.0,14287.0,25681.0,17340.0,208168.0,3173.0,13037.0,53223.0,10869.0,56950.0,66334.0,622097.0,40734.0,1051.0,29866.0,18997.0,190828.0,11800.0,50660.0,37751.0,17975.0
2018-01-01,25092.0,29352.0,9985.0,35077.0,15608.0,18667.0,1239.0,15751.0,25586.0,20480.0,234049.0,3766.0,14512.0,60648.0,13753.0,58077.0,76265.0,690709.0,39410.0,1100.0,35230.0,21477.0,213569.0,12653.0,60744.0,34862.0,21293.0
2019-01-01,28046.0,29312.0,9831.0,37877.0,17005.0,18100.0,1775.0,18426.0,25662.0,22795.0,248901.0,3650.0,16650.0,64821.0,13548.0,57254.0,74494.0,718840.0,39154.0,1266.0,36333.0,22786.0,226105.0,12286.0,59168.0,39655.0,22043.0
2020-01-01,25624.0,30115.0,9094.0,34718.0,19946.0,21545.0,1834.0,19715.0,25922.0,23900.0,274177.0,4193.0,17881.0,66396.0,15720.0,67890.0,66157.0,767252.0,46346.0,958.0,39311.0,23591.0,250277.0,16579.0,61922.0,44817.0,24550.0
2021-01-01,30587.0,31018.0,9767.0,40354.0,22457.0,22698.0,2097.0,20690.0,26496.0,28254.0,307581.0,4522.0,18593.0,61720.0,18003.0,62330.0,60217.0,804331.0,39632.0,2794.0,46078.0,28074.0,279327.0,16426.0,68366.0,44784.0,19516.0
2022-01-01,,33245.0,,47806.0,26674.0,24854.0,,24380.0,,31435.0,344057.0,,,56094.0,,81869.0,67556.0,884322.0,57015.0,3331.0,58067.0,,312622.0,16437.0,61692.0,36877.0,26238.0
2023-01-01,,33616.0,,43499.0,27744.0,24753.0,,22020.0,,40188.0,366117.0,,,63613.0,,85448.0,66548.0,896230.0,60695.0,2009.0,56594.0,,325929.0,15652.0,53700.0,33734.0,25935.0
