Date,Communication,Contract construction,Corporate business,Durable goods,"Electric, gas, and sanitary services",Inventory valuation adjustment to nonfarm incomes,Manufacturing,Mining,Noncorporate business,Nondurable goods,Other,Retail trade and automobile services,Transportation,Transportation and public utilities,Wholesale trade
1929-01-01,1.0,3.0,472.0,2.5,3.0,614.0,156.5,3.0,142.0,154.0,0.0,86.5,7.0,11.0,52.5
1930-01-01,8.0,26.0,3260.0,379.0,28.0,4015.0,1150.0,68.0,755.0,771.0,0.0,428.5,53.0,89.0,290.5
1931-01-01,8.0,20.5,2414.0,256.5,25.0,3025.0,822.5,35.0,611.0,566.0,0.0,385.5,46.0,79.0,209.5
1932-01-01,4.0,10.0,1047.0,99.0,12.0,1342.0,345.5,12.5,295.0,246.5,0.0,191.5,24.0,40.0,91.5
1933-01-01,-8.0,-19.5,-2143.0,-197.0,-27.0,-2668.0,-703.0,-35.5,-525.0,-506.0,0.0,-354.0,-52.0,-87.0,-178.5
1934-01-01,-2.0,0.0,-625.0,-72.5,-7.0,-679.0,-231.0,-2.5,-54.0,-158.5,0.0,-15.5,-12.0,-21.0,-80.0
1935-01-01,-1.0,-1.0,-227.0,-21.0,-2.0,-277.0,-84.0,-5.0,-50.0,-63.0,0.0,-40.5,-5.0,-8.0,-4.0
1936-01-01,-1.0,-3.0,-738.0,-58.5,-5.0,-858.0,-245.5,-8.5,-120.0,-187.0,0.0,-64.0,-9.0,-15.0,-100.5
1937-01-01,-4.0,-6.0,-31.0,-204.0,-15.0,-60.0,2.0,0.0,-29.0,206.0,0.0,-72.5,-28.0,-47.0,70.0
1938-01-01,2.0,3.5,963.0,88.5,7.0,1184.0,318.5,6.0,221.0,230.0,0.0,151.5,11.0,20.0,102.5
1939-01-01,-1.0,-3.5,-714.0,-46.0,-2.0,-880.0,-249.5,-6.5,-166.0,-203.5,0.0,-97.0,-5.0,-8.0,-79.5
1940-01-01,-2.0,-6.5,-200.0,-57.5,-7.0,-245.0,-69.5,0.5,-45.0,-12.0,0.0,-40.5,-14.0,-23.0,5.0
1941-01-01,-5.0,-13.0,-2471.0,-160.0,-15.0,-3086.0,-792.0,-9.5,-615.0,-632.0,0.0,-391.0,-30.0,-50.0,-312.5
1942-01-01,-2.0,-3.5,-1204.0,-78.5,-5.0,-1571.0,-385.5,-1.5,-367.0,-307.0,0.0,-249.0,-10.0,-17.0,-137.5
1943-01-01,-2.0,-4.0,-773.0,-23.0,-8.0,-929.0,-289.5,-2.0,-156.0,-266.5,0.0,-73.0,-14.0,-24.0,-84.0
1944-01-01,-1.0,-4.0,-287.0,-21.0,-5.0,-356.0,-110.5,-1.5,-69.0,-89.5,0.0,-37.5,-12.0,-18.0,-15.5
1945-01-01,-2.0,-3.0,-564.0,-86.0,-9.0,-670.0,-217.5,-2.5,-106.0,-131.5,0.0,-43.0,-22.0,-33.0,-52.5
1946-01-01,-19.0,-39.5,-5263.0,-668.5,-64.0,-6968.0,-1631.0,-44.0,-1705.0,-962.5,0.0,-1023.0,-144.0,-227.0,-633.0
1947-01-01,-35.0,-109.0,-5899.0,-1085.5,-107.0,-7370.0,-1981.0,-42.0,-1471.0,-895.5,0.0,-823.0,-213.0,-355.0,-552.5
