Date,Communication,Construction,Corporate business,Durable goods,"Electric, gas, and sanitary services",Inventory valuation adjustment to nonfarm incomes,Manufacturing,Mining,Noncorporate business,Nondurable goods,Other,Retail trade,Transportation,Transportation and public utilities,Wholesale trade
1948-01-01,-18.0,-41.0,-2152.0,-836.5,-72.0,-2562.0,-739.0,-36.5,-410.0,97.5,0.0,-264.5,-151.0,-241.0,-79.5
1949-01-01,13.0,23.5,1856.0,199.5,55.0,2319.0,581.5,18.0,463.0,382.0,0.0,261.0,59.0,127.0,212.0
1950-01-01,-20.0,-69.5,-4965.0,-671.0,-91.0,-6059.0,-1666.0,-27.5,-1094.0,-995.0,0.0,-588.0,-100.0,-211.0,-573.0
1951-01-01,-5.0,-11.0,-1199.0,-368.5,-24.0,-1526.0,-302.5,-4.5,-327.0,66.0,0.0,-235.0,-78.0,-107.0,-156.5
1952-01-01,-4.0,-3.5,981.0,-61.0,-17.0,1182.0,339.0,-5.5,201.0,400.0,0.0,105.5,2.0,-19.0,165.0
1953-01-01,-4.0,-7.5,-997.0,-402.0,-17.0,-1165.0,-351.0,-19.0,-168.0,51.0,0.0,-116.0,-46.0,-67.0,-55.5
1954-01-01,4.0,-12.0,-318.0,-154.0,16.0,-367.0,-161.0,0.0,-49.0,-7.0,0.0,-34.5,-8.0,12.0,18.0
1955-01-01,-41.0,-38.0,-1736.0,-678.5,-63.0,-1934.0,-691.0,-21.5,-198.0,-12.5,0.0,-97.5,-47.0,-151.0,-43.5
1956-01-01,-39.0,-15.0,-2693.0,-705.5,-64.0,-3195.0,-840.0,-9.5,-502.0,-134.5,0.0,-327.5,-55.0,-158.0,-326.5
1957-01-01,2.0,2.5,-1539.0,-281.0,4.0,-1839.0,-482.0,-4.0,-300.0,-201.0,0.0,-215.5,-34.0,-28.0,-206.5
1958-01-01,-1.0,-11.5,-255.0,-160.5,-2.0,-311.0,-103.0,1.5,-56.0,57.5,0.0,-22.5,-5.0,-8.0,-16.0
1959-01-01,-10.0,-23.0,-277.0,-128.0,-43.0,-309.0,-105.0,-2.0,-32.0,23.0,-4.5,12.5,-19.0,-72.0,3.5
1960-01-01,13.0,42.0,-173.0,-89.0,5.0,-148.0,-126.0,4.0,25.0,-37.0,-3.0,-24.0,-4.0,14.0,26.0
1961-01-01,-2.0,3.5,271.0,104.5,8.0,274.0,161.0,0.0,3.0,56.5,-1.5,18.0,-2.0,4.0,-46.0
1962-01-01,4.0,7.0,26.0,-19.5,3.0,22.0,-11.5,4.0,-4.0,8.0,-12.5,3.5,3.0,10.0,15.5
1963-01-01,0.0,-13.5,54.0,36.0,-1.0,10.0,86.0,-3.0,-44.0,50.0,9.5,-44.0,1.0,0.0,-30.0
1964-01-01,-14.0,-12.0,-494.0,-104.5,-19.0,-550.0,-149.0,-13.5,-56.0,-44.5,-18.0,-39.5,-4.0,-37.0,-24.5
1965-01-01,-12.0,-24.0,-1245.0,-149.0,-45.0,-1411.0,-292.5,-8.0,-166.0,-143.5,-13.5,-159.0,-18.0,-75.0,-171.0
1966-01-01,-26.0,-48.0,-2107.0,-430.5,-63.0,-2331.0,-585.5,-9.5,-224.0,-155.0,-28.0,-203.5,-29.0,-118.0,-232.0
1967-01-01,-4.0,-37.5,-1554.0,-387.0,-15.0,-1758.0,-423.0,-11.0,-204.0,-36.0,-28.0,-262.5,-37.0,-56.0,-89.0
1968-01-01,7.0,-141.5,-3651.0,-922.5,39.0,-4064.0,-1147.5,-0.5,-413.0,-225.0,-53.0,-423.0,-46.0,0.0,-266.5
1969-01-01,-90.0,-61.5,-5870.0,-1384.0,-138.0,-6334.0,-1879.5,-80.0,-464.0,-495.5,-67.0,-553.5,-46.0,-274.0,-388.5
1970-01-01,-27.0,-55.0,-6552.0,-1370.0,-546.0,-7085.0,-1882.0,-37.5,-533.0,-512.0,-89.0,-580.0,-66.0,-639.0,-579.5
1971-01-01,17.0,-233.5,-4584.0,-822.5,-78.0,-5141.0,-1173.5,-22.0,-557.0,-351.0,-57.0,-579.5,-101.0,-162.0,-424.0
1972-01-01,-7.0,-155.5,-6610.0,-878.0,-180.0,-7331.0,-1603.5,-31.0,-721.0,-725.5,-67.0,-686.5,-67.0,-254.0,-995.0
1973-01-01,-97.0,-128.5,-19569.0,-2303.0,-628.0,-21456.0,-4990.5,-157.5,-1887.0,-2687.5,-159.5,-1907.5,-256.0,-981.0,-2894.0
1974-01-01,-204.0,-234.0,-38221.0,-5943.0,-1922.0,-41614.0,-10300.0,-273.0,-3393.0,-4357.0,-704.0,-4228.0,-836.0,-2962.0,-3587.0
1975-01-01,85.0,-95.0,-10544.0,-2306.5,-145.0,-11649.0,-2432.0,-80.0,-1105.0,-125.5,-201.0,-1907.5,-309.0,-369.0,-924.5
1976-01-01,-56.0,-168.0,-14113.0,-2201.0,-1145.0,-15173.0,-3349.0,-172.5,-1060.0,-1148.0,-225.5,-1562.5,-176.0,-1377.0,-1420.5
1977-01-01,-50.0,-154.0,-15698.0,-2936.0,-1142.0,-16809.0,-4061.0,-201.5,-1111.0,-1125.0,-281.0,-1883.5,-211.0,-1403.0,-1122.0
1978-01-01,-109.0,-254.5,-23709.0,-3167.0,-741.0,-25596.0,-5064.0,-209.0,-1887.0,-1897.0,-399.0,-3330.0,-252.0,-1102.0,-2990.5
1979-01-01,-328.0,-198.5,-40138.0,-5339.0,-2717.0,-42775.0,-9460.0,-573.0,-2637.0,-4121.0,-606.5,-4384.5,-915.0,-3960.0,-4185.0
1980-01-01,-285.0,-177.0,-42133.0,-4855.5,-2817.0,-45023.0,-9063.5,-400.5,-2890.0,-4208.0,-1019.5,-5068.0,-1004.0,-4106.0,-4730.0
1981-01-01,-145.0,-114.5,-24626.0,-4386.5,-3153.0,-25881.0,-5549.0,-340.5,-1255.0,-1162.5,-654.5,-2457.5,-572.0,-3870.0,-1889.5
1982-01-01,-95.0,-33.0,-7505.0,-2245.5,-224.0,-8008.0,-1789.5,-56.0,-503.0,456.0,-307.0,-1086.5,54.0,-265.0,-599.5
1983-01-01,-212.0,-146.5,-7445.0,-957.0,37.0,-7961.0,-1138.5,204.0,-516.0,-181.5,-1.0,-1345.0,87.0,-88.0,-1509.5
1984-01-01,-292.0,-68.0,-3979.0,-352.0,-12.0,-4381.0,-858.0,21.5,-402.0,-506.0,-191.0,-1029.0,-101.0,-405.0,136.5
1985-01-01,-291.0,-24.0,21.0,-1002.0,95.0,-165.0,-42.5,84.5,-186.0,959.5,-32.5,-800.5,-105.0,-301.0,883.0
1986-01-01,-309.0,6.5,7061.0,-602.0,223.0,7023.0,1937.0,497.5,-38.0,2539.0,-149.0,-698.5,2022.0,1936.0,950.0
1987-01-01,-344.0,-144.0,-16239.0,-1636.5,1.0,-17050.0,-3813.5,-175.5,-811.0,-2177.0,-276.5,-1415.5,-1143.0,-1486.0,-1957.0
