Date,Communications,Construction,Corporate business,Durable goods,"Electric, gas, and sanitary services",Inventory valuation adjustment to nonfarm incomes,Manufacturing,Mining,Noncorporate business,Nondurable goods,Other,Retail trade,Transportation,Transportation and public utilities,Wholesale trade
1987-01-01,-344.0,-144.0,-16239.0,-1636.5,1.0,-17050.0,-3813.5,-175.5,-811.0,-2177.0,-276.5,-1415.5,-1143.0,-1486.0,-1957.0
1988-01-01,-86.0,-136.0,-22174.0,-3379.0,41.0,-23374.0,-5777.5,-18.0,-1200.0,-2398.5,-460.5,-2370.0,649.0,604.0,-3227.0
1989-01-01,-113.0,-48.0,-16348.0,-1640.0,-60.0,-17668.0,-3171.0,-181.5,-1320.0,-1531.0,-825.5,-2290.0,-992.0,-1165.0,-1735.5
1990-01-01,18.0,-8.0,-12892.0,-322.5,-82.0,-14010.0,-2211.0,-289.0,-1118.0,-1888.5,-375.0,-2280.0,-1496.0,-1560.0,-1062.0
1991-01-01,10.0,-14.5,4927.0,1192.5,112.0,4807.0,2942.0,224.5,-120.0,1749.5,-235.0,-1039.0,1156.0,1278.0,-113.5
1992-01-01,109.0,-96.0,-2821.0,571.5,-71.0,-3358.0,410.5,-18.5,-537.0,-161.0,-219.0,-1486.5,7.0,45.0,-292.0
1993-01-01,-56.0,-224.0,-4021.0,512.5,37.0,-4452.0,322.5,121.5,-431.0,-190.0,-123.5,-1192.5,270.0,251.0,-1255.5
1994-01-01,-68.0,-158.0,-12436.0,-988.5,78.0,-13174.0,-2628.5,-81.0,-738.0,-1640.0,-274.0,-1461.0,-62.0,-52.0,-1958.5
1995-01-01,106.0,-50.5,-18284.0,140.5,4.0,-19753.0,-3310.0,-151.0,-1469.0,-3450.5,-1223.0,-1896.5,-210.0,-100.0,-3195.5
1996-01-01,144.0,-91.0,3071.0,2979.5,-226.0,2667.0,2763.0,-246.5,-404.0,-216.5,-204.0,-1102.0,-549.0,-631.0,529.5
1997-01-01,101.0,-14.0,14090.0,2862.0,25.0,15077.0,3498.5,24.5,987.0,636.5,88.0,1720.0,123.0,249.0,2097.0
1998-01-01,79.0,43.5,15743.0,2660.5,106.0,17024.0,4069.0,75.5,1281.0,1408.5,225.0,397.5,167.0,352.0,3525.5
1999-01-01,191.0,-127.5,-3954.0,129.5,-175.0,-4839.0,-143.0,-126.5,-885.0,-272.5,-185.5,-1109.5,-421.0,-405.0,-525.0
2000-01-01,100.0,49.5,-16809.0,-2171.5,-431.0,-18539.0,-5368.0,-122.5,-1730.0,-3196.5,-355.0,-1243.5,-264.0,-595.0,-1932.5
