Date,Construction,Corporate business,Durable goods,Information,Inventory valuation adjustment to nonfarm incomes,Manufacturing,Mining,Noncorporate business,Nondurable goods,Other,Retail trade,Transportation and warehousing,Utilities,Wholesale trade
1998-01-01,43.5,15743.0,2670.5,141.0,17024.0,4064.0,75.5,1281.0,1393.5,219.0,487.0,160.0,104.0,3420.5
1999-01-01,-127.5,-3954.0,144.5,343.0,-4839.0,-168.0,-126.5,-885.0,-312.5,-221.5,-1245.0,-418.0,-170.0,-408.5
2000-01-01,49.5,-16809.0,-2128.0,183.0,-18539.0,-5392.0,-122.5,-1730.0,-3264.0,-455.5,-1296.0,-251.0,-424.0,-1807.0
2001-01-01,31.5,8044.0,1094.0,286.0,9028.0,1473.0,-62.0,984.0,379.0,-92.0,1084.5,318.0,473.0,1540.5
2002-01-01,-138.0,8866.0,1773.0,842.0,9634.0,1818.0,-138.5,768.0,45.0,3.5,2185.0,-282.0,-209.0,911.5
2003-01-01,-324.0,-14471.0,-716.0,564.0,-16368.0,-4191.5,13.0,-1897.0,-3475.5,-359.0,-1084.0,7.0,-138.0,-2455.0
2004-01-01,-1090.5,-40211.0,-7196.0,327.0,-44751.0,-11622.0,-439.0,-4540.0,-4426.0,-494.5,-3260.5,-397.0,-443.0,-5212.5
2005-01-01,-584.5,-36030.0,-2833.5,-29.0,-40071.0,-10811.0,-567.5,-4041.0,-7977.5,-856.5,-2710.0,-579.0,-847.0,-3778.5
2006-01-01,-521.5,-31941.0,-6393.0,-339.0,-35517.0,-9036.0,-339.5,-3576.0,-2643.0,-824.5,-1532.5,12.0,935.0,-5808.5
2007-01-01,-375.5,-43630.0,-2257.0,-364.0,-49727.0,-9559.0,-311.5,-6097.0,-7302.0,-1199.0,-4235.5,-948.0,-196.0,-8429.0
2008-01-01,-1426.0,-34830.0,-6049.0,-686.0,-40361.0,-10665.0,-351.5,-5531.0,-4616.0,-1259.0,-3260.0,1758.0,-235.0,-3637.5
2009-01-01,681.5,2617.0,3599.5,-80.0,3245.0,3168.0,-209.0,628.0,-431.5,171.5,-1623.5,-945.0,164.0,-135.5
2010-01-01,-348.0,-47593.0,-4643.0,-55.0,-54573.0,-9802.0,-398.5,-6980.0,-5159.0,-866.5,-5505.5,-427.0,-19.0,-10115.5
2011-01-01,-519.0,-68008.0,-6020.5,-88.0,-77752.0,-16736.0,-753.0,-9744.0,-10715.5,-1554.5,-6874.5,-498.0,-154.0,-12069.0
2012-01-01,-219.0,-11449.0,334.0,-119.0,-13140.0,40.0,60.5,-1691.0,-294.0,-608.0,-2796.5,109.0,93.0,-3088.5
2013-01-01,-187.5,13894.0,2715.0,-166.0,15630.0,4480.5,121.5,1736.0,1765.5,-452.5,-575.5,45.0,-533.0,4755.5
2014-01-01,-310.5,1830.0,-2403.0,-185.0,2786.0,517.5,193.0,956.0,2920.5,-86.0,-1862.0,1005.0,-5.0,2533.5
2015-01-01,283.5,57911.0,6031.0,-312.0,67521.0,20406.5,396.5,9610.0,14375.5,1183.5,1220.0,1281.0,924.0,9324.0
2016-01-01,-306.0,5227.0,749.0,-913.0,5961.0,1221.0,35.5,734.0,472.0,-466.0,2619.5,-313.0,-145.0,562.0
2017-01-01,-620.0,-47588.0,-6563.5,-281.0,-54826.0,-15101.0,-365.0,-7238.0,-8537.5,-860.0,-2458.0,-858.0,-95.0,-7392.0
2018-01-01,-985.5,-51012.0,-9216.0,-260.0,-59143.0,-14679.0,-641.0,-8131.0,-5463.0,-2308.5,-3977.5,118.0,-203.0,-6807.5
2019-01-01,427.5,540.0,2155.0,-633.0,87.0,4417.5,-246.5,-453.0,2262.5,-712.0,-3460.5,45.0,549.0,-363.0
2020-01-01,-1183.5,-20242.0,-2318.5,-1438.0,-23341.0,-1387.5,141.5,-3099.0,931.0,293.0,-5442.0,351.0,-5.0,-3546.0
2021-01-01,-5949.0,-262334.0,-41916.0,-546.0,-305631.0,-74507.5,-750.0,-43297.0,-32591.5,-6135.0,-21309.5,-2288.0,-1872.0,-41811.5
2022-01-01,619.5,-141098.0,-7756.5,-1358.0,-167301.0,-21779.5,-871.5,-26203.0,-14023.0,-13793.5,-18441.5,-923.0,-1354.0,-27566.5
2023-01-01,-78.0,29818.0,-479.0,-541.0,36386.0,15318.5,-48.0,6568.0,15797.5,171.5,-4141.5,3257.0,1784.0,4720.5
