Date,"Agriculture, forestry, and fisheries",Communication,Contract construction,Domestic industries,Durable goods,"Electric, gas, and sanitary services",Finance,"Finance, insurance, and real estate",Less:  Payments to the rest of the world,Manufacturing,Mining,Net interest,Nondurable goods,Other,Real estate,Receipts from the rest of the world,Rest of the world,Retail trade and automobile services,Services,Transportation,Transportation and public utilities,Wholesale trade
1929-01-01,797.0,47.0,20.0,3938.0,-128.0,305.0,-217.0,2122.0,,-65.0,31.0,4471.0,63.0,-10.0,2349.0,,533.0,97.0,49.0,504.0,856.0,31.0
1930-01-01,769.0,59.0,29.0,4154.0,-59.0,366.0,-180.0,2167.0,,25.0,25.0,4725.0,84.0,-8.0,2355.0,,571.0,100.0,64.0,527.0,952.0,23.0
1931-01-01,734.0,61.0,27.0,4192.0,-38.0,471.0,-317.0,2089.0,,32.0,38.0,4710.0,70.0,-5.0,2411.0,,518.0,85.0,75.0,566.0,1098.0,14.0
1932-01-01,680.0,59.0,27.0,3975.0,-27.0,507.0,-398.0,1968.0,,12.0,35.0,4372.0,39.0,-4.0,2370.0,,397.0,40.0,67.0,582.0,1148.0,-2.0
1933-01-01,606.0,65.0,8.0,3567.0,-9.0,480.0,-595.0,1649.0,,35.0,34.0,3868.0,44.0,-3.0,2247.0,,301.0,0.0,72.0,613.0,1158.0,5.0
1934-01-01,543.0,62.0,-6.0,3702.0,0.0,397.0,-293.0,1937.0,,40.0,41.0,3920.0,40.0,-3.0,2233.0,,218.0,-12.0,69.0,628.0,1087.0,3.0
1935-01-01,478.0,57.0,-7.0,3770.0,1.0,412.0,-158.0,2056.0,,53.0,38.0,3951.0,52.0,-4.0,2218.0,,181.0,-1.0,69.0,613.0,1082.0,2.0
1936-01-01,447.0,54.0,14.0,3540.0,0.0,399.0,-271.0,1907.0,,39.0,29.0,3697.0,39.0,-3.0,2181.0,,157.0,13.0,51.0,580.0,1033.0,7.0
1937-01-01,428.0,45.0,12.0,3472.0,43.0,351.0,-310.0,1833.0,,96.0,31.0,3568.0,53.0,-3.0,2146.0,,96.0,42.0,48.0,570.0,966.0,16.0
1938-01-01,448.0,49.0,10.0,3451.0,-5.0,351.0,-226.0,1860.0,,47.0,32.0,3528.0,52.0,-3.0,2089.0,,77.0,22.0,49.0,569.0,969.0,14.0
1939-01-01,457.0,48.0,9.0,3484.0,14.0,339.0,-165.0,1912.0,,56.0,31.0,3531.0,42.0,-3.0,2080.0,,47.0,29.0,44.0,547.0,934.0,12.0
1940-01-01,455.0,35.0,7.0,3204.0,-3.0,304.0,-237.0,1778.0,,26.0,26.0,3215.0,29.0,-5.0,2020.0,,11.0,19.0,37.0,510.0,849.0,7.0
1941-01-01,456.0,36.0,11.0,3133.0,-17.0,272.0,-263.0,1765.0,,13.0,19.0,3152.0,30.0,-5.0,2033.0,,19.0,33.0,34.0,481.0,789.0,13.0
1942-01-01,419.0,52.0,14.0,3047.0,-54.0,292.0,-260.0,1749.0,,10.0,18.0,3070.0,64.0,-5.0,2014.0,,23.0,9.0,36.0,438.0,782.0,10.0
1943-01-01,352.0,51.0,4.0,2770.0,-83.0,287.0,-158.0,1740.0,,-74.0,9.0,2745.0,9.0,-4.0,1902.0,,-25.0,-27.0,22.0,419.0,757.0,-13.0
1944-01-01,310.0,47.0,1.0,2351.0,-71.0,267.0,-324.0,1442.0,,-75.0,9.0,2303.0,-4.0,-5.0,1771.0,,-48.0,-55.0,26.0,392.0,706.0,-13.0
1945-01-01,286.0,43.0,2.0,2207.0,-42.0,271.0,-365.0,1345.0,,-46.0,3.0,2194.0,-4.0,-5.0,1715.0,,-13.0,-64.0,17.0,358.0,672.0,-8.0
1946-01-01,227.0,26.0,3.0,1688.0,-85.0,182.0,-519.0,1208.0,178.0,-137.0,6.0,1689.0,-52.0,-1.0,1728.0,179.0,1.0,-136.0,28.0,286.0,494.0,-5.0
1947-01-01,244.0,38.0,18.0,2149.0,-30.0,185.0,-386.0,1501.0,169.0,-36.0,5.0,2204.0,-6.0,-1.0,1888.0,224.0,55.0,-102.0,34.0,255.0,478.0,7.0
