Date,"Agriculture, forestry, and fishing",Communication,Construction,Domestic industries,Durable goods,"Electric, gas, and sanitary services",Finance,"Finance, insurance, and real estate",Less:  Payments to the rest of the world,Manufacturing,Mining,Net interest,Nondurable goods,Other,Real estate,Receipts from the rest of the world,Rest of the world,Retail trade,Services,Transportation,Transportation and public utilities,Wholesale trade
1948-01-01,285.0,56.0,18.0,2202.0,-29.0,187.0,-734.0,1452.0,160.0,-16.0,5.0,2311.0,13.0,-1.0,2188.0,269.0,109.0,-73.0,47.0,229.0,472.0,12.0
1949-01-01,324.0,91.0,19.0,2451.0,-43.0,225.0,-924.0,1558.0,180.0,-8.0,2.0,2548.0,35.0,-1.0,2483.0,277.0,97.0,-60.0,56.0,240.0,556.0,4.0
1950-01-01,370.0,72.0,25.0,2729.0,-122.0,241.0,-960.0,1872.0,208.0,-112.0,11.0,2822.0,10.0,-1.0,2833.0,301.0,93.0,-56.0,55.0,234.0,548.0,15.0
1951-01-01,435.0,71.0,48.0,3157.0,-102.0,285.0,-1208.0,2070.0,250.0,-77.0,2.0,3291.0,25.0,-1.0,3279.0,384.0,134.0,-20.0,70.0,227.0,583.0,47.0
1952-01-01,489.0,70.0,53.0,3573.0,-26.0,323.0,-1365.0,2369.0,287.0,-4.0,4.0,3668.0,22.0,-1.0,3735.0,382.0,95.0,-67.0,71.0,226.0,618.0,40.0
1953-01-01,498.0,65.0,36.0,4084.0,-14.0,360.0,-1222.0,2894.0,319.0,-2.0,2.0,4192.0,13.0,-1.0,4117.0,427.0,108.0,-95.0,76.0,225.0,649.0,25.0
1954-01-01,514.0,79.0,43.0,4798.0,-8.0,445.0,-1347.0,3356.0,274.0,48.0,8.0,4988.0,56.0,-1.0,4704.0,464.0,190.0,-91.0,103.0,242.0,766.0,50.0
1955-01-01,556.0,81.0,61.0,5371.0,-79.0,467.0,-1426.0,3862.0,317.0,-39.0,13.0,5536.0,40.0,-1.0,5289.0,482.0,165.0,-71.0,124.0,275.0,822.0,42.0
1956-01-01,600.0,79.0,69.0,6041.0,-35.0,494.0,-1628.0,4429.0,382.0,-2.0,4.0,6098.0,34.0,-2.0,6059.0,439.0,57.0,-94.0,141.0,250.0,822.0,71.0
1957-01-01,656.0,114.0,81.0,7197.0,28.0,588.0,-1913.0,5172.0,456.0,105.0,12.0,7238.0,77.0,-2.0,7086.0,497.0,41.0,-63.0,177.0,280.0,981.0,77.0
