Date,"Agriculture, forestry, and fishing",Communications,Construction,Domestic industries,Durable goods,"Electric, gas, and sanitary services",Finance,"Finance, insurance, and real estate",Less:  Payments to the rest of the world,Manufacturing,Mining,Net interest,Nondurable goods,Other,Real estate,Receipts from the rest of the world,Rest of the world,Retail trade,Services,Transportation,Transportation and public utilities,Wholesale trade
1987-01-01,12899.0,7473.0,3275.0,369893.0,3448.0,13996.0,14613.0,273461.0,92537.0,21374.0,1670.0,340725.0,17926.0,-456.0,259304.0,63369.0,-29168.0,11087.0,16235.0,5476.0,26945.0,2947.0
1988-01-01,12078.0,10361.0,5338.0,402461.0,12756.0,17680.0,-16036.0,268461.0,113001.0,37958.0,2727.0,369001.0,25202.0,-147.0,284644.0,79541.0,-33460.0,13486.0,20250.0,7624.0,35665.0,6498.0
1989-01-01,11024.0,12082.0,843.0,456310.0,680.0,21084.0,30389.0,339315.0,142227.0,27799.0,1721.0,415255.0,27119.0,206.0,308720.0,101172.0,-41055.0,16026.0,17594.0,6103.0,39269.0,2719.0
1990-01-01,11324.0,13334.0,6243.0,463462.0,12059.0,22401.0,-29807.0,298387.0,145843.0,45328.0,2837.0,424375.0,33269.0,-280.0,328474.0,106756.0,-39087.0,21097.0,25815.0,9211.0,44946.0,7485.0
1991-01-01,10308.0,12107.0,4891.0,429747.0,11460.0,20807.0,-47346.0,282567.0,133715.0,41078.0,2527.0,387616.0,29618.0,-449.0,330362.0,91584.0,-42131.0,17440.0,23743.0,7699.0,40613.0,6580.0
1992-01-01,9309.0,8393.0,3452.0,392765.0,-1218.0,17588.0,-18049.0,299020.0,110975.0,19284.0,1317.0,353716.0,20502.0,-612.0,317681.0,71926.0,-39049.0,8730.0,16882.0,6645.0,32626.0,2145.0
1993-01-01,8481.0,7701.0,2280.0,381612.0,-3954.0,16493.0,788.0,307869.0,107283.0,14454.0,955.0,339160.0,18408.0,-450.0,307531.0,64831.0,-42452.0,6118.0,12877.0,5100.0,29294.0,-716.0
1994-01-01,8996.0,6491.0,1881.0,381557.0,-5557.0,16130.0,7633.0,312822.0,129060.0,12550.0,1023.0,330572.0,18107.0,-421.0,305610.0,78075.0,-50985.0,6266.0,10983.0,4508.0,27129.0,-93.0
1995-01-01,9486.0,6689.0,2648.0,401177.0,-7327.0,16356.0,-5631.0,321140.0,161196.0,13396.0,1047.0,340269.0,20723.0,-773.0,327544.0,100288.0,-60908.0,10768.0,11256.0,5676.0,28721.0,2715.0
1996-01-01,9607.0,6463.0,5037.0,407150.0,-18920.0,15768.0,3562.0,336167.0,171844.0,-567.0,1048.0,340171.0,18353.0,-486.0,333091.0,104864.0,-66979.0,12536.0,11956.0,7056.0,29287.0,2079.0
1997-01-01,9791.0,5622.0,9232.0,446175.0,-25742.0,14854.0,35387.0,370450.0,202158.0,-8288.0,878.0,366323.0,17454.0,-14714.0,349777.0,122306.0,-79852.0,13851.0,14056.0,10610.0,31086.0,5119.0
1998-01-01,9728.0,7849.0,10278.0,502980.0,-20775.0,15028.0,60169.0,411299.0,218346.0,-1449.0,1488.0,422189.0,19326.0,-14332.0,365462.0,137555.0,-80791.0,13673.0,15287.0,11490.0,34367.0,8309.0
1999-01-01,10032.0,9146.0,13244.0,509688.0,-20911.0,14554.0,36757.0,403118.0,227295.0,2794.0,1585.0,426122.0,23705.0,-16279.0,382640.0,143729.0,-83566.0,13391.0,17735.0,15172.0,38872.0,8917.0
2000-01-01,10816.0,15790.0,8684.0,591194.0,-8567.0,20489.0,49530.0,452533.0,284361.0,20046.0,2926.0,491495.0,28613.0,-19146.0,422149.0,184662.0,-99699.0,18220.0,19486.0,11658.0,47937.0,10546.0
