Date,Administrative and waste management services,"Agriculture, forestry, fishing, and hunting","Arts, entertainment, recreation, accommodation, and food services",Construction,Domestic industries,Durable goods,"Educational services, health care, and social assistance",Finance and insurance,"Finance, insurance, real estate, rental, and leasing",Information,Less: Payments to the rest of the world,Management of companies and enterprises,Manufacturing,Mining,Net interest,Nondurable goods,"Other services, except government",Professional and business services,"Professional, scientific, and technical services",Real estate and rental and leasing,Receipts from the rest of the world,Rest of the world,Retail trade,Transportation and warehousing,Utilities,Wholesale trade
1998-01-01,2690.0,10227.0,14508.0,14184.0,502980.0,2966.0,4534.0,-20560.0,351732.0,16761.0,218346.0,-14532.0,35831.0,4070.0,422189.0,32865.0,2642.0,-13309.0,-1467.0,372292.0,137555.0,-80791.0,16487.0,13241.0,17021.0,15049.0
1999-01-01,3558.0,11770.0,15599.0,16176.0,509688.0,3252.0,4246.0,-54111.0,337575.0,18204.0,227295.0,-6740.0,38830.0,4304.0,426122.0,35578.0,4072.0,-4792.0,-1609.0,391686.0,143729.0,-83566.0,15372.0,16849.0,16005.0,15478.0
2000-01-01,4857.0,12294.0,17498.0,11985.0,591194.0,17856.0,5677.0,-43776.0,388417.0,25711.0,284361.0,-14786.0,58357.0,5977.0,491495.0,40501.0,2458.0,-10816.0,-887.0,432193.0,184662.0,-99699.0,20229.0,13296.0,22299.0,17813.0
2001-01-01,4870.0,11151.0,17441.0,10274.0,612243.0,25725.0,6918.0,-46192.0,416917.0,38068.0,262859.0,-45338.0,67579.0,6898.0,501794.0,41854.0,2126.0,-39011.0,1457.0,463109.0,152410.0,-110449.0,18309.0,11458.0,28050.0,16065.0
2002-01-01,4143.0,10569.0,16013.0,10089.0,537236.0,19074.0,6506.0,-96605.0,355010.0,35698.0,229081.0,-37462.0,57048.0,6468.0,434506.0,37975.0,1943.0,-30314.0,3006.0,451614.0,126351.0,-102730.0,14798.0,13051.0,27783.0,12573.0
2003-01-01,4049.0,8989.0,15651.0,10549.0,504122.0,10819.0,6053.0,-95417.0,342452.0,30110.0,216370.0,-33698.0,43379.0,6420.0,412386.0,32560.0,1868.0,-25904.0,3745.0,437868.0,124633.0,-91736.0,15562.0,12124.0,26458.0,10411.0
2004-01-01,3763.0,8558.0,14957.0,10293.0,441906.0,7698.0,6433.0,-115986.0,326661.0,28497.0,244518.0,-69337.0,41310.0,6650.0,333302.0,33611.0,2015.0,-61866.0,3708.0,442647.0,135914.0,-108604.0,13974.0,11185.0,25784.0,7455.0
2005-01-01,4502.0,10216.0,17523.0,12600.0,554689.0,13211.0,6788.0,-92356.0,409157.0,30119.0,329418.0,-61881.0,47522.0,6590.0,415388.0,34311.0,1673.0,-53948.0,3431.0,501514.0,190117.0,-139301.0,18719.0,13571.0,24526.0,9632.0
2006-01-01,4847.0,11470.0,20118.0,15974.0,681646.0,13308.0,8303.0,-72108.0,501830.0,27604.0,457721.0,-43792.0,49600.0,6658.0,499966.0,36291.0,2376.0,-36161.0,2784.0,573938.0,276041.0,-181680.0,23400.0,14164.0,22325.0,13984.0
2007-01-01,6284.0,11935.0,23085.0,18081.0,790714.0,38548.0,11074.0,-87272.0,567017.0,34019.0,574806.0,-65220.0,83636.0,10053.0,559496.0,45088.0,2906.0,-53520.0,5416.0,654290.0,343588.0,-231218.0,26391.0,14221.0,24627.0,17188.0
2008-01-01,6644.0,13479.0,25136.0,18867.0,825849.0,64911.0,14415.0,-119999.0,548272.0,44289.0,509135.0,-80681.0,117974.0,11979.0,592724.0,53062.0,3456.0,-64369.0,9669.0,668271.0,276009.0,-233125.0,26137.0,18228.0,27669.0,20316.0
2009-01-01,7373.0,13653.0,23403.0,18337.0,688031.0,47152.0,13444.0,-145599.0,467254.0,42250.0,376908.0,-111747.0,102436.0,12877.0,497682.0,55284.0,2441.0,-94005.0,10369.0,612853.0,186559.0,-190349.0,22630.0,19819.0,27501.0,15991.0
2010-01-01,7175.0,12878.0,22937.0,13780.0,590831.0,44040.0,13379.0,-204878.0,355253.0,42038.0,346683.0,-95351.0,103245.0,14733.0,418276.0,59205.0,2209.0,-77907.0,10269.0,560131.0,174128.0,-172555.0,21829.0,20672.0,28231.0,17555.0
