Date,Corporate profits with inventory valuation adjustment,Corporate profits with inventory valuation and capital consumption adjustments,Domestic industries,Durable goods,Federal Reserve banks,Financial,Manufacturing,Nondurable goods,Nonfinancial,Other,Rest of the world,Transportation and public utilities,Wholesale trade and retail trade and automobile services
1929-01-01,11383.0,10833.0,10876.0,2616.0,38.0,1605.0,5361.0,2745.0,9270.0,1346.5,232.0,1852.0,1206.0
1930-01-01,7819.0,7498.0,7521.5,1429.0,6.0,708.5,4031.0,2602.0,6812.0,691.0,137.0,1198.0,1065.0
1931-01-01,2976.0,2951.0,2967.5,-36.0,0.0,550.0,1421.0,1458.0,2417.5,227.0,-4.0,569.0,536.0
1932-01-01,-299.0,-190.0,-210.5,-1118.0,21.0,664.0,-496.0,622.0,-875.5,46.5,-34.0,217.0,-101.0
1933-01-01,-311.0,-175.0,-241.0,-553.0,7.0,796.5,-405.0,149.0,-1038.5,141.0,-2.0,113.0,-308.0
1934-01-01,2590.0,2517.0,2493.5,202.0,8.0,543.0,1038.0,836.0,1949.5,240.0,60.0,399.0,604.0
1935-01-01,4144.0,4018.0,3922.0,864.0,6.0,562.0,2085.0,1221.0,3360.0,325.5,159.0,458.0,785.0
1936-01-01,6369.0,6230.0,6195.5,1627.0,5.0,880.0,3215.0,1588.0,5316.5,677.0,104.0,713.0,979.0
1937-01-01,7598.0,7052.0,7053.0,1675.0,9.0,841.0,3846.0,2171.0,6213.0,784.5,272.0,801.0,1102.0
1938-01-01,5566.0,5008.0,4986.0,710.0,1.0,943.0,2331.0,1621.0,4043.0,717.5,301.0,558.0,940.0
1939-01-01,7064.0,6592.0,6504.0,1636.0,9.0,949.5,3363.0,1726.0,5554.5,761.0,324.0,1011.0,836.0
1940-01-01,10436.0,9872.0,9888.0,3098.0,14.0,1089.5,5605.0,2507.0,8798.5,959.5,266.0,1330.0,1303.0
1941-01-01,16291.0,15693.0,15601.0,6533.0,8.0,1191.0,9776.0,3244.0,14410.0,1264.5,391.0,2045.0,1542.0
1942-01-01,21272.0,20789.0,20652.5,7339.0,14.0,1283.5,12111.0,4772.0,19369.0,1460.0,378.0,3484.0,2364.0
1943-01-01,25073.0,24900.0,24614.5,8119.0,26.0,1411.0,13925.0,5806.0,23203.5,1628.5,372.0,4436.0,3057.0
1944-01-01,24499.0,24972.0,24312.5,7412.0,55.0,1669.5,13388.0,5976.0,22643.0,1729.0,423.0,3889.0,3286.0
1945-01-01,19829.0,20452.0,19798.5,4559.0,94.0,1704.0,9862.0,5303.0,18094.5,1700.5,342.0,2759.0,3370.0
1946-01-01,20300.0,18243.0,18580.5,2635.0,89.0,2120.0,9382.0,6747.0,16460.5,2197.5,691.0,1876.0,3867.0
1947-01-01,26737.0,24164.0,24464.5,6013.0,89.0,1840.0,14039.0,8026.0,22625.5,2357.0,986.0,2218.0,4691.0
