Date,Chemicals and allied products,Communication,Corporate profits with inventory valuation adjustment,Corporate profits with inventory valuation and capital consumption adjustments,Domestic industries,Durable goods,Electric and electronic equipment,"Electric, gas, and sanitary services",Fabricated metal products,Federal Reserve banks,Financial,Food and kindred products,Less:  Payments to the rest of the world,"Machinery,except electrical",Manufacturing,Motor vehicles and equipment,Nondurable goods,Nonfinancial,Other,Petroleum and coal products,Primary metal industries,Receipts from the rest of the world,Rest of the world,Retail trade,Transportation,Transportation and public utilities,Wholesale trade
1948-01-01,1792.0,435.0,32871.0,29979.0,30217.0,7584.0,823.0,1014.0,950.0,180.0,2306.0,1509.0,,1454.0,17491.0,1244.0,9907.0,27910.5,2840.25,2598.0,1316.0,,1208.0,3242.0,1345.0,2794.0,2399.0
1948-04-01,1740.0,464.0,34721.0,31757.0,31955.0,7575.0,768.0,1078.0,866.0,204.0,2525.0,1880.0,,1323.0,18011.0,1238.0,10436.0,29430.5,2935.0,3017.0,1479.0,,1284.0,3454.0,1721.0,3262.0,2467.0
1948-07-01,1723.0,416.0,34163.0,31170.0,31394.5,7629.0,608.0,1058.0,748.0,236.0,2742.0,1935.0,,1197.0,17810.0,1495.0,10181.0,28652.0,2980.25,2890.0,1689.0,,1272.0,3142.0,1560.0,3034.0,2271.0
1948-10-01,2015.0,433.0,35644.0,32665.0,32874.5,8535.0,676.0,1206.0,842.0,292.0,2958.5,2158.0,,1288.0,18973.0,1994.0,10438.0,29916.5,3007.75,2646.0,1871.0,,1280.0,3162.0,1432.0,3071.0,2319.0
1949-01-01,1923.0,383.0,33923.0,31004.0,31239.5,8424.0,652.0,1313.0,748.0,272.0,3145.0,1719.0,,1324.0,17464.0,1848.0,9040.0,28094.0,2858.25,2288.0,2071.0,,1224.0,3242.0,1268.0,2965.0,2215.0
1949-04-01,1689.0,486.0,31528.0,28664.0,28928.0,7806.0,739.0,1381.0,610.0,248.0,3192.0,1770.0,,1341.0,15957.0,1931.0,8151.0,25736.5,2636.5,2033.0,1621.0,,1168.0,2729.0,1272.0,3140.0,1962.0
1949-07-01,1723.0,551.0,32736.0,29923.0,30213.5,9269.0,881.0,1469.0,858.0,220.0,3226.5,1646.0,,1452.0,17472.0,2752.0,8203.0,26986.5,2733.25,1848.0,1493.0,,1116.0,2653.0,1188.0,3208.0,1950.0
1949-10-01,1936.0,597.0,29405.0,26640.0,27030.5,7504.0,934.0,1321.0,691.0,200.0,3225.5,1367.0,,1268.0,15176.0,1962.0,7672.0,23805.5,2642.75,1622.0,894.0,,992.0,2449.0,1044.0,2963.0,1555.0
1950-01-01,1955.0,629.0,32777.0,30056.0,30288.5,8937.0,1002.0,1362.0,693.0,192.0,3168.5,1493.0,,1297.0,16947.0,2587.0,8010.0,27120.0,2735.75,1631.0,1601.0,,1128.0,2966.0,1380.0,3371.0,1919.0
1950-04-01,2264.0,712.0,36607.0,33889.0,34164.0,11032.0,1078.0,1482.0,950.0,192.0,3152.5,1522.0,,1508.0,19757.0,3074.0,8725.0,31012.0,2938.0,2071.0,2174.0,,1084.0,3234.0,1676.0,3870.0,1835.0
1950-07-01,2550.0,876.0,41197.0,38441.0,38395.0,13884.0,1443.0,1454.0,1351.0,184.0,3158.5,1671.0,,1867.0,23210.0,3613.0,9326.0,35236.5,3106.75,2541.0,2667.0,,1424.0,2782.0,2212.0,4542.0,2135.0
1950-10-01,2741.0,886.0,44681.0,41848.0,41824.5,15294.0,1665.0,1522.0,1579.0,192.0,3250.0,1719.0,,2124.0,25786.0,3575.0,10492.0,38574.5,3335.25,3137.0,2927.0,,1440.0,3026.0,2393.0,4801.0,2415.0
1951-01-01,2725.0,975.0,43669.0,40716.0,40708.5,14182.0,1468.0,1626.0,1486.0,240.0,3291.0,1806.0,,2114.0,24766.0,2752.0,10584.0,37417.5,3312.0,2829.0,3098.0,,1484.0,3446.0,1801.0,4401.0,2571.0
1951-04-01,2962.0,1051.0,43581.0,40568.0,40382.5,13608.0,1288.0,1754.0,1451.0,292.0,3413.0,1358.0,,2157.0,25183.0,2432.0,11575.0,36970.0,3591.75,2838.0,3298.0,,1692.0,2134.0,1925.0,4730.0,2584.0
1951-07-01,3043.0,1108.0,44130.0,41117.0,40819.5,12843.0,1293.0,1846.0,1206.0,308.0,3607.0,1239.0,,2319.0,25416.0,2403.0,12572.0,37212.5,3726.5,2821.0,3164.0,,1804.0,2334.0,1777.0,4731.0,2560.0
1951-10-01,2762.0,1181.0,45344.0,42390.0,41871.0,13540.0,1427.0,1962.0,1313.0,336.0,4029.0,1454.0,,2849.0,25326.0,2501.0,11786.0,37841.0,3667.25,2663.0,2895.0,,1996.0,2622.0,2113.0,5256.0,2600.0
1952-01-01,2729.0,1238.0,42862.0,40026.0,39540.0,13095.0,1514.0,2030.0,1179.0,336.0,3884.0,1582.0,,2628.0,23697.0,2330.0,10602.0,35655.5,3397.5,2578.0,2716.0,,1904.0,1975.0,2157.0,5425.0,2377.0
1952-04-01,2512.0,1245.0,40823.0,38129.0,37596.0,11514.0,1593.0,1967.0,1075.0,336.0,4160.0,1645.0,,2446.0,21613.0,2552.0,10099.0,33436.5,3381.5,2141.0,1212.0,,1880.0,2895.0,1573.0,4785.0,2226.0
