Date,Chemicals and allied products,Communications,Corporate profits with inventory valuation adjustment,Corporate profits with inventory valuation and capital consumption adjustments,Domestic industries,Durable goods,"Electric, gas, and sanitary services",Electronic and other electric equipment,Fabricated metal products,Federal Reserve banks,Financial,Food and kindred products,Industrial machinery and equipment,Less: Payments to the rest of the world,Manufacturing,Motor vehicles and equipment,Nondurable goods,Nonfinancial,Other,Petroleum and coal products,Primary metal industries,Receipts from the rest of the world,Rest of the world,Retail trade,Transportation,Transportation and public utilities,Wholesale trade
1987-01-01,12911.0,21234.0,279353.0,329707.0,263235.5,50822.0,17634.0,10054.0,4426.0,15471.0,55150.0,7922.0,4020.0,11733.0,79406.0,7752.0,28583.0,208085.5,25147.5,-13194.0,2451.0,53027.0,41294.0,24154.0,1109.0,39977.0,21525.0
1987-04-01,15948.0,22175.0,316564.0,368167.0,293897.5,52258.0,21954.0,12004.0,4455.0,16280.0,64865.5,10716.0,5090.0,10573.0,96060.0,8660.0,43801.0,229032.0,28205.0,-3743.0,1121.0,59041.0,48468.0,21914.0,1912.0,46040.0,16790.0
1987-07-01,20132.0,22305.0,339870.0,391926.0,318143.5,55223.0,17945.0,12002.0,6521.0,16558.0,69471.5,12573.0,8064.0,12925.0,115291.0,3510.0,60068.0,248672.0,30974.0,2264.0,2572.0,60680.0,47755.0,23751.0,581.0,40831.0,19441.0
1987-10-01,21295.0,22253.0,341737.0,393448.0,313072.5,47109.0,17927.0,8133.0,6227.0,16686.0,67670.5,12555.0,7397.0,8420.0,116404.0,2098.0,69296.0,245401.5,29641.5,9168.0,2768.0,62940.0,54520.0,23352.0,1004.0,41184.0,17789.0
1988-01-01,22551.0,20803.0,346511.0,396780.0,318943.0,51839.0,19645.0,8592.0,7485.0,17360.0,60049.0,10350.0,10866.0,15346.0,124744.0,2318.0,72905.0,258894.5,28728.0,11132.0,3994.0,68049.0,52703.0,21505.0,3325.0,43773.0,18969.0
1988-04-01,20022.0,21407.0,361144.0,410038.0,327861.0,63272.0,19512.0,11895.0,6892.0,17500.0,66451.0,8515.0,12847.0,15382.0,128436.0,5203.0,65164.0,261409.5,30917.75,8783.0,5103.0,73112.0,57730.0,18683.0,3867.0,44786.0,19514.0
1988-07-01,19334.0,22834.0,368851.0,416437.0,335494.0,62561.0,20073.0,13615.0,5097.0,18149.0,70800.5,8274.0,12655.0,14187.0,132902.0,8917.0,70341.0,264693.0,30073.25,15324.0,5095.0,71337.0,57150.0,18725.0,5188.0,48095.0,18128.0
1988-10-01,26636.0,24064.0,395374.0,441716.0,358190.0,65877.0,23427.0,13947.0,6058.0,19301.0,70681.5,10079.0,10247.0,13467.0,145037.0,11042.0,79160.0,287508.0,29904.75,16228.0,5873.0,73822.0,60355.0,20391.0,3205.0,50696.0,24902.0
1989-01-01,22139.0,21893.0,382044.0,427210.0,340617.0,64680.0,24154.0,13272.0,7449.0,20138.0,78914.5,12425.0,11879.0,10366.0,134201.0,9649.0,69521.0,261702.5,31477.25,5874.0,5690.0,74375.0,64009.0,19622.0,-2270.0,43777.0,20213.0
1989-04-01,24527.0,20542.0,377237.0,420362.0,334816.0,60271.0,24323.0,13203.0,6186.0,21255.0,80437.0,9362.0,13293.0,11784.0,126992.0,6414.0,66721.0,254379.0,30663.75,6722.0,5979.0,75768.0,63984.0,18002.0,-1635.0,43230.0,22426.0
1989-07-01,22016.0,18963.0,381335.0,421556.0,334894.0,54634.0,23726.0,11503.0,6358.0,20346.0,82861.5,10567.0,12294.0,9088.0,120813.0,2793.0,66179.0,252032.5,31639.0,8706.0,6213.0,75640.0,66552.0,22739.0,-2402.0,40287.0,24405.0
1989-10-01,19140.0,24208.0,369292.0,405744.0,313539.0,48537.0,21168.0,13429.0,4445.0,20857.0,78323.5,10059.0,15469.0,2277.0,107284.0,-1317.0,58747.0,235215.5,30081.5,5444.0,2991.0,76256.0,73979.0,23201.0,-4995.0,40381.0,20886.0
1990-01-01,20849.0,23338.0,385982.0,417801.0,328471.5,53296.0,22511.0,13931.0,6882.0,21019.0,83627.5,9379.0,14274.0,7059.0,121462.0,-3445.0,68166.0,244844.0,32003.25,13651.0,3854.0,80479.0,73420.0,22245.0,-4245.0,41604.0,20305.0
1990-04-01,23383.0,25458.0,408710.0,436576.0,347516.0,50903.0,23461.0,12794.0,5913.0,21719.0,87780.0,13409.0,13030.0,6452.0,130619.0,697.0,79716.0,259735.5,33236.75,17954.0,2986.0,81579.0,75127.0,21195.0,-1788.0,47131.0,20426.0
1990-07-01,21787.0,26936.0,384119.0,408711.0,325467.0,47126.0,25914.0,12076.0,5137.0,22690.0,88001.0,14561.0,11798.0,7789.0,117128.0,1749.0,70002.0,237466.0,33496.0,7992.0,1295.0,78737.0,70948.0,15959.0,-6211.0,46639.0,17504.0
