Date,Chemical products,Computer and electronic products,Corporate profits with inventory valuation adjustment,Corporate profits with inventory valuation and capital consumption adjustments,Domestic industries,Durable goods,"Electrical equipment, appliances, and components",Fabricated metal products,Federal Reserve banks,Financial,Food and beverage and tobacco products,Information,Less: Payments to the rest of the world,Machinery,Manufacturing,"Motor vehicles, bodies and trailers, and parts",Nondurable goods,Nonfinancial,Other durable goods,Other financial,Other nondurable goods,Other nonfinancial,Petroleum and coal products,Receipts from the rest of the world,Rest of the world,Retail trade,Transportation and warehousing,Utilities,Wholesale trade
2001-01-01,16401.0,-2597.0,733130.0,782044.0,598176.5,33013.0,3522.0,11660.0,31735.0,213812.0,21894.0,-22508.0,31394.0,10028.0,109600.0,-3680.0,76588.0,384364.5,14082.0,178456.0,6910.0,145226.0,31383.0,190805.0,159411.0,65907.0,714.0,25524.0,39066.0
2001-04-01,23183.0,-15531.0,763384.0,808069.0,615661.5,15637.0,1104.0,10280.0,29808.0,224926.5,31536.0,-23287.0,16187.0,4371.0,107622.0,-6525.0,91985.0,390735.5,21940.0,191509.0,6967.0,148805.0,30300.0,186251.0,170064.0,67497.0,2549.0,26886.0,41929.0
2001-07-01,24879.0,-37708.0,711717.0,773204.0,596951.0,-22400.0,395.0,8454.0,28144.0,229627.5,30573.0,-26820.0,30882.0,-6945.0,72472.0,-4313.0,94872.0,367322.5,17717.0,196699.0,9183.0,144968.0,30238.0,176392.0,145510.0,73090.0,1592.0,23544.0,52519.0
2001-10-01,23396.0,-60788.0,694020.0,785445.0,539488.5,-64066.0,-581.0,6303.0,25823.0,244501.0,30130.0,-32871.0,-22814.0,1361.0,10510.0,-12627.0,74576.0,294988.0,2265.0,212497.0,3130.0,121537.0,17920.0,177429.0,200244.0,78757.0,-7528.0,14200.0,70851.0
2002-01-01,28072.0,-35457.0,751268.0,870086.0,652248.5,-14264.0,-580.0,9555.0,24254.0,278060.0,27579.0,-10840.0,33980.0,3143.0,62847.0,-11678.0,77111.0,374188.5,20752.0,245338.0,14031.0,128705.0,7430.0,192408.0,158428.0,82038.0,-5820.0,6073.0,60244.0
2002-04-01,28769.0,-27559.0,782335.0,901521.0,696375.0,-2050.0,-2447.0,9319.0,24263.0,288820.0,27744.0,-46.0,57472.0,3069.0,70602.0,-2551.0,72652.0,407554.5,18118.0,256527.0,11923.0,145550.0,4216.0,203025.0,145553.0,80247.0,-9549.0,9926.0,59263.0
2002-07-01,30228.0,-20566.0,820011.0,933964.0,721517.5,10976.0,-551.0,9626.0,23290.0,288172.5,27317.0,8131.0,62274.0,3027.0,82070.0,-539.0,71093.0,433344.5,19979.0,257963.0,9892.0,161254.0,3656.0,217744.0,155470.0,82113.0,-8141.0,12603.0,45258.0
2002-10-01,35513.0,-16539.0,909351.0,1015892.0,794966.5,18609.0,281.0,10883.0,22125.0,295507.5,24030.0,22687.0,38729.0,2475.0,97359.0,2439.0,78750.0,499459.0,19070.0,267824.0,15162.0,183062.0,4045.0,206384.0,167655.0,88847.0,-2523.0,13226.0,49090.0
2003-01-01,29197.0,-9192.0,918090.0,1007215.0,818244.5,27583.0,2156.0,8139.0,21650.0,311658.0,23796.0,18495.0,84737.0,1962.0,109049.0,11866.0,81466.0,506586.5,12653.0,286283.0,6608.0,192033.0,21865.0,229145.0,144408.0,87432.0,-323.0,12606.0,46457.0
2003-04-01,28501.0,-6824.0,936164.0,1044048.0,837465.0,28662.0,2326.0,9025.0,20754.0,313122.0,25492.0,27546.0,82870.0,3854.0,105265.0,8778.0,76603.0,524343.5,11503.0,288530.0,3738.0,181923.0,18873.0,235511.0,152641.0,90946.0,5220.0,11964.0,51376.0
2003-07-01,34401.0,-7775.0,991540.0,1097616.0,888775.0,30281.0,3058.0,8145.0,19512.0,325772.5,23858.0,37397.0,93323.0,2832.0,125799.0,7522.0,95518.0,563002.5,16500.0,303432.0,7863.0,180819.0,29397.0,249126.0,155803.0,87615.0,5332.0,12968.0,62861.0
2003-10-01,34967.0,-813.0,1058659.0,1159393.0,926185.5,39695.0,3268.0,10196.0,18272.0,332935.0,29318.0,28903.0,95780.0,2355.0,154949.0,3303.0,115254.0,593250.0,21387.0,313138.0,14205.0,186990.0,36763.0,278621.0,182840.0,85464.0,7383.0,15083.0,65638.0
2004-01-01,33315.0,905.0,1182217.0,1268591.0,1021387.5,50488.0,2419.0,10796.0,19045.0,352926.5,27506.0,33234.0,107814.0,5164.0,171095.0,7568.0,120607.0,668461.0,23637.0,334645.0,16784.0,219719.0,43003.0,311831.0,204017.0,102601.0,11379.0,17434.0,69048.0
2004-04-01,39482.0,-345.0,1223411.0,1301225.0,1074574.5,51166.0,2206.0,13093.0,19034.0,357152.0,23757.0,63248.0,131936.0,8232.0,177755.0,-5771.0,126589.0,717423.0,33751.0,340604.0,14920.0,222910.0,48430.0,319679.0,187744.0,94770.0,17520.0,20165.0,79661.0
2004-07-01,47520.0,918.0,1294349.0,1364114.0,1124058.0,52707.0,-439.0,11752.0,20072.0,366156.0,29157.0,80733.0,123114.0,10342.0,190595.0,-10477.0,137888.0,757902.5,40611.0,350178.0,19024.0,246827.0,42187.0,328287.0,205173.0,89837.0,10548.0,21238.0,79147.0
2004-10-01,37062.0,3273.0,1293391.0,1348245.0,1137225.0,58057.0,-2421.0,14862.0,21890.0,383756.0,24478.0,69018.0,152803.0,9445.0,204827.0,-9903.0,146770.0,753469.0,42801.0,367822.0,15718.0,260678.0,69512.0,336396.0,183592.0,88632.0,8329.0,25612.0,62990.0
2005-01-01,50870.0,11819.0,1601330.0,1480160.0,1318520.0,100996.0,-3799.0,17730.0,22886.0,427833.5,30383.0,93541.0,143510.0,13485.0,273436.0,3778.0,172440.0,890686.5,57983.0,421482.0,19372.0,315763.0,71815.0,365736.0,222226.0,103915.0,24572.0,31043.0,92466.0
2005-04-01,29994.0,15009.0,1631529.0,1497015.0,1344124.0,112776.0,-3161.0,19117.0,25506.0,389161.5,27423.0,104701.0,145323.0,14523.0,266884.0,4813.0,154108.0,954963.0,62475.0,381332.0,21727.0,336112.0,74964.0,365470.0,220147.0,129272.0,27659.0,32294.0,107621.0
2005-07-01,30456.0,15774.0,1670432.0,1525820.0,1359487.0,114821.0,596.0,20818.0,26754.0,438744.5,28932.0,98823.0,135136.0,16230.0,277594.0,317.0,162773.0,920742.0,61086.0,429892.0,22209.0,342192.0,81177.0,373775.0,238640.0,118078.0,27279.0,25054.0,86126.0
