Date,"Agricultural services, forestry, and fisheries","Agriculture, forestry, and fisheries",Amusement and recreation services,Anthracite mining,Apparel and other textile products,Banking,Bituminous and other soft coal mining,Business services,Chemicals and allied products,Communication,Contract construction,Corporate profits before tax,Credit agencies (other than banks) and holding and other investment companies,Crude petroleum and natural gas,Domestic industries,Durable goods,Electric and electronic equipment,"Electric, gas, and sanitary services",Farms,"Finance, insurance, and real estate",Food and kindred products,Furniture and finished lumber products,Hotels and other lodging places,"Insurance agents, brokers, and service",Insurance carriers,"Iron and steel and their products, including ordnance",Leather and leather products,Local and interurban passenger transit,"Local utilities and public services, n.e.c.",Lumber and basic timber products,"Machinery, except electrical",Manufacturing,Metal mining,Mining,"Miscellaneous manufacturing, including instruments and miscellaneous plastic products",Miscellaneous repair services,Motion pictures,Motor vehicles and equipment,Nondurable goods,Nonferrous metals and their products,Nonmetallic mining and quarrying,Other services,Other transportation equipment,Paper and allied products,Personal services,Petroleum and coal products,"Pipelines, except natural gas",Printing and publishing,Radio and television broadcasting,Railroad transportation,Real estate,Rest of the world,Retail trade and automobile services,Rubber products,"Security and commodity brokers, and services",Services,"Stone, clay, and glass products",Telephone and telegraph,Textile mill products,Tobacco manufactures,Transportation,Transportation and public utilities,Transportation by air,Transportation services,Trucking and warehousing,Utilities: electric and gas,Water transportation,Wholesale trade
1929-01-01,9.0,11.0,15.0,10.0,38.0,1003.0,16.0,61.0,427.0,309.0,148.0,10911.0,154.0,133.0,10679.0,2609.0,118.0,518.0,2.0,1755.0,472.0,38.0,12.0,34.0,237.0,861.0,52.0,51.0,35.0,112.0,498.0,5060.0,253.0,472.0,95.0,6.0,178.0,465.0,2451.0,218.0,60.0,31.0,45.0,111.0,34.0,645.0,86.0,356.0,22.0,773.0,104.0,232.0,647.0,30.0,223.0,337.0,160.0,287.0,178.0,141.0,1014.0,1841.0,-6.0,13.0,43.0,483.0,54.0,406.0
1930-01-01,7.0,-37.0,2.0,13.0,-34.0,796.0,-7.0,54.0,298.0,253.0,118.0,4559.0,-31.0,32.0,4422.0,696.0,-17.0,426.0,-44.0,767.0,374.0,-39.0,-3.0,26.0,137.0,287.0,-12.0,42.0,29.0,-7.0,184.0,1816.0,43.0,126.0,-1.0,5.0,157.0,164.0,1120.0,54.0,45.0,19.0,4.0,56.0,28.0,234.0,68.0,247.0,-3.0,278.0,17.0,137.0,207.0,-40.0,-178.0,262.0,67.0,256.0,-161.0,157.0,429.0,1109.0,-19.0,10.0,29.0,397.0,21.0,53.0
1931-01-01,1.0,-67.0,-11.0,7.0,-60.0,675.0,-21.0,25.0,210.0,236.0,18.0,562.0,-47.0,-96.0,566.0,-530.0,-106.0,346.0,-68.0,470.0,201.0,-60.0,-23.0,27.0,140.0,-141.0,-19.0,1.0,18.0,-83.0,-59.0,-164.0,-32.0,-129.0,-58.0,2.0,62.0,46.0,367.0,-10.0,13.0,3.0,-49.0,1.0,16.0,-154.0,41.0,151.0,-2.0,-159.0,-113.0,-4.0,-41.0,-15.0,-212.0,74.0,-11.0,238.0,-114.0,167.0,-92.0,490.0,-9.0,9.0,19.0,327.0,6.0,-86.0
1932-01-01,-1.0,-65.0,-20.0,-12.0,-70.0,576.0,-26.0,13.0,121.0,165.0,-68.0,-1346.0,-55.0,12.0,-1312.0,-1309.0,-186.0,316.0,-64.0,359.0,94.0,-77.0,-33.0,28.0,181.0,-302.0,-23.0,-12.0,25.0,-85.0,-201.0,-1151.0,-45.0,-74.0,-103.0,2.0,-30.0,-190.0,158.0,-47.0,-3.0,-7.0,-49.0,-49.0,4.0,-1.0,30.0,55.0,1.0,-333.0,-329.0,-34.0,-273.0,-21.0,-43.0,-71.0,-69.0,164.0,-124.0,175.0,-304.0,177.0,-2.0,7.0,12.0,291.0,-6.0,-147.0
1933-01-01,3.0,-26.0,-14.0,-7.0,22.0,536.0,-21.0,12.0,244.0,136.0,-31.0,1832.0,-79.0,-17.0,1834.0,-175.0,-166.0,277.0,-29.0,461.0,366.0,-19.0,-30.0,22.0,426.0,-27.0,47.0,-1.0,36.0,3.0,-32.0,935.0,20.0,-23.0,-27.0,2.0,22.0,64.0,1111.0,60.0,2.0,-8.0,-39.0,42.0,13.0,4.0,24.0,96.0,-2.0,-280.0,-352.0,-2.0,155.0,10.0,-93.0,-2.0,7.0,138.0,201.0,78.0,-213.0,200.0,-2.0,12.0,19.0,241.0,15.0,164.0
1934-01-01,3.0,-26.0,1.0,0.0,24.0,422.0,19.0,35.0,301.0,162.0,9.0,3215.0,-127.0,78.0,3155.0,346.0,-150.0,411.0,-29.0,233.0,428.0,-8.0,-22.0,26.0,237.0,118.0,28.0,-5.0,31.0,-5.0,118.0,1495.0,58.0,168.0,22.0,5.0,68.0,104.0,1149.0,116.0,13.0,-1.0,-21.0,78.0,23.0,-37.0,68.0,137.0,9.0,-259.0,-333.0,60.0,425.0,1.0,7.0,109.0,52.0,153.0,63.0,127.0,-152.0,420.0,-6.0,7.0,21.0,379.0,22.0,322.0
1935-01-01,3.0,11.0,6.0,-11.0,27.0,466.0,8.0,37.0,322.0,186.0,31.0,4371.0,-86.0,80.0,4212.0,906.0,-38.0,365.0,8.0,315.0,416.0,7.0,-22.0,23.0,189.0,199.0,51.0,-28.0,31.0,16.0,198.0,2246.0,81.0,177.0,70.0,3.0,83.0,254.0,1340.0,140.0,19.0,3.0,-22.0,86.0,24.0,36.0,69.0,161.0,13.0,-190.0,-266.0,159.0,488.0,17.0,-11.0,133.0,82.0,173.0,101.0,122.0,-86.0,466.0,-3.0,8.0,24.0,334.0,34.0,345.0
1936-01-01,5.0,21.0,13.0,-5.0,58.0,529.0,12.0,40.0,402.0,210.0,71.0,7107.0,-50.0,144.0,7003.0,1740.0,45.0,427.0,16.0,776.0,542.0,35.0,-23.0,23.0,362.0,398.0,50.0,3.0,24.0,57.0,358.0,3693.0,136.0,322.0,88.0,5.0,118.0,399.0,1953.0,188.0,35.0,8.0,9.0,113.0,27.0,205.0,66.0,197.0,20.0,-50.0,-119.0,104.0,678.0,41.0,32.0,187.0,163.0,190.0,203.0,142.0,90.0,728.0,0.0,6.0,24.0,403.0,41.0,527.0
1937-01-01,4.0,8.0,15.0,-13.0,32.0,570.0,16.0,40.0,395.0,227.0,66.0,7629.0,-14.0,228.0,7357.0,2077.0,101.0,554.0,4.0,801.0,364.0,31.0,-21.0,22.0,341.0,534.0,26.0,-21.0,26.0,79.0,456.0,3857.0,242.0,514.0,90.0,4.0,124.0,379.0,1780.0,198.0,41.0,9.0,53.0,140.0,25.0,368.0,80.0,174.0,22.0,-68.0,-69.0,272.0,619.0,26.0,-49.0,196.0,156.0,205.0,118.0,137.0,67.0,848.0,-2.0,7.0,22.0,527.0,49.0,449.0
1938-01-01,1.0,-9.0,9.0,-12.0,19.0,549.0,-13.0,33.0,304.0,219.0,38.0,4603.0,-14.0,162.0,4302.0,536.0,14.0,497.0,-10.0,963.0,372.0,16.0,-28.0,22.0,423.0,27.0,11.0,-52.0,18.0,6.0,218.0,1712.0,122.0,280.0,47.0,2.0,114.0,73.0,1176.0,49.0,21.0,6.0,12.0,53.0,13.0,146.0,72.0,117.0,16.0,-256.0,-7.0,301.0,394.0,18.0,-9.0,148.0,73.0,203.0,-3.0,140.0,-178.0,538.0,-1.0,10.0,31.0,478.0,18.0,237.0
1939-01-01,2.0,6.0,14.0,-13.0,52.0,569.0,13.0,43.0,517.0,274.0,47.0,7778.0,2.0,130.0,7454.0,1722.0,111.0,581.0,4.0,987.0,563.0,56.0,-20.0,24.0,372.0,325.0,48.0,-33.0,24.0,40.0,346.0,3834.0,180.0,346.0,88.0,2.0,94.0,347.0,2111.0,155.0,36.0,10.0,91.0,124.0,18.0,258.0,86.0,155.0,21.0,-17.0,5.0,324.0,619.0,58.0,14.0,161.0,163.0,253.0,186.0,152.0,163.0,1019.0,8.0,16.0,51.0,557.0,52.0,436.0
1940-01-01,1.0,19.0,16.0,6.0,62.0,630.0,45.0,44.0,657.0,291.0,85.0,10636.0,102.0,153.0,10370.0,3205.0,282.0,726.0,18.0,1158.0,577.0,76.0,-7.0,27.0,355.0,649.0,44.0,6.0,27.0,96.0,696.0,5740.0,239.0,483.0,113.0,3.0,105.0,558.0,2535.0,224.0,40.0,10.0,303.0,203.0,21.0,342.0,84.0,196.0,29.0,77.0,40.0,266.0,771.0,62.0,4.0,192.0,209.0,262.0,228.0,163.0,336.0,1353.0,12.0,32.0,35.0,699.0,90.0,569.0
