Date,"Agricultural services, forestry, and fishing","Agriculture, forestry, and fishing",Amusement and recreation services,Apparel and other textile products,"Auto repair, services, and parking",Banking,Business services,Chemicals and allied products,Coal mining,Commercial and mutual banks,Communication,Construction,Corporate profits before tax,Credit agencies other than banks,Domestic industries,Durable goods,Educational services,Electric and electronic equipment,"Electric, gas, and sanitary services",Fabricated metal products,Farms,Federal Reserve banks,"Finance, insurance, and real estate",Food and kindred products,Furniture and fixtures,Health services,Holding and other investment offices,Hotels and other lodging places,Instruments and related products,"Insurance agents, brokers, and service",Insurance carriers,Leather and leather products,Legal services,Less: Payments to the rest of the world,Local and interurban passenger transit,Lumber and wood products,"Machinery, except electrical",Manufacturing,Metal mining,Mining,Miscellaneous manufacturing industries,Miscellaneous repair services,Motion pictures,Motor vehicles and equipment,Nondurable goods,"Nonmetallic minerals, except fuels",Oil and gas extraction,Other,Other services,Other transportation equipment,Paper and allied products,Personal services,Petroleum and coal products,"Pipelines, except natural gas",Primary metal industries,Printing and publishing,Radio and television,Railroad transportation,Real estate,Receipts from the rest of the world,Rest of the world,Retail trade,Rubber and miscellaneous plastics products,Security and commodity brokers,Services,"Stone, clay, and glass products",Telephone and telegraph,Textile mill products,Tobacco manufactures,Transportation,Transportation and public utilities,Transportation by air,Transportation services,Trucking and warehousing,Water transportation,Wholesale trade
1948-01-01,4.0,163.0,65.0,309.0,23.0,1593.0,139.0,1641.0,444.0,1365.0,455.0,684.0,36502.0,383.0,35241.0,9455.0,,903.0,1161.0,1061.0,159.0,228.0,3392.0,1618.0,180.0,,-5.0,124.0,211.0,69.0,702.0,139.0,,391.0,80.0,576.0,1727.0,19513.0,282.0,1517.0,360.0,13.0,198.0,1751.0,10059.0,138.0,653.0,,76.0,273.0,808.0,73.0,2909.0,64.0,1859.0,634.0,47.0,1155.0,644.0,1652.0,1261.0,3500.0,247.0,6.0,711.0,555.0,409.0,1508.0,244.0,1666.0,3281.0,2.0,50.0,179.0,135.0,2480.0
1949-01-01,4.0,125.0,45.0,184.0,17.0,1667.0,140.0,1582.0,166.0,1432.0,491.0,636.0,30042.0,472.0,28917.0,7874.0,,707.0,1316.0,720.0,121.0,235.0,3965.0,1568.0,137.0,,-17.0,107.0,178.0,59.0,1102.0,96.0,,429.0,46.0,315.0,1319.0,15410.0,139.0,1036.0,256.0,10.0,224.0,2094.0,7537.0,129.0,601.0,,66.0,214.0,568.0,73.0,1866.0,68.0,1409.0,578.0,52.0,647.0,663.0,1554.0,1125.0,2527.0,165.0,18.0,682.0,525.0,439.0,666.0,263.0,1134.0,2942.0,24.0,44.0,167.0,138.0,1594.0
1950-01-01,2.0,177.0,25.0,315.0,25.0,1796.0,166.0,2663.0,247.0,1606.0,796.0,661.0,43781.0,633.0,42512.0,13557.0,,1462.0,1546.0,1265.0,175.0,190.0,4059.0,1886.0,247.0,,17.0,102.0,310.0,63.0,777.0,166.0,,498.0,56.0,701.0,1947.0,24608.0,297.0,1502.0,437.0,8.0,154.0,3365.0,11051.0,169.0,789.0,,73.0,410.0,1016.0,67.0,2411.0,127.0,2550.0,628.0,105.0,1283.0,749.0,1767.0,1269.0,3560.0,455.0,24.0,620.0,862.0,690.0,1220.0,292.0,2015.0,4357.0,87.0,54.0,260.0,148.0,2968.0
1951-01-01,6.0,155.0,40.0,185.0,29.0,2159.0,196.0,2879.0,201.0,1865.0,1084.0,658.0,45380.0,701.0,43636.0,14266.0,,1468.0,1821.0,1449.0,149.0,294.0,4433.0,1672.0,221.0,,50.0,103.0,420.0,66.0,742.0,118.0,,505.0,82.0,579.0,2591.0,25774.0,309.0,1460.0,405.0,11.0,34.0,2623.0,11508.0,185.0,765.0,,100.0,445.0,1366.0,73.0,2804.0,130.0,3171.0,668.0,192.0,1150.0,706.0,2249.0,1744.0,2861.0,535.0,9.0,586.0,894.0,892.0,978.0,304.0,1982.0,4886.0,117.0,62.0,206.0,234.0,2822.0
1952-01-01,7.0,72.0,54.0,202.0,32.0,2343.0,193.0,2311.0,131.0,1997.0,1252.0,707.0,41282.0,925.0,39394.0,12411.0,,1603.0,2059.0,1113.0,65.0,346.0,5090.0,1630.0,206.0,,59.0,106.0,417.0,74.0,995.0,131.0,,457.0,79.0,421.0,2432.0,21925.0,188.0,1188.0,321.0,7.0,29.0,2600.0,9514.0,167.0,702.0,,107.0,623.0,979.0,72.0,2356.0,126.0,1961.0,679.0,248.0,1166.0,675.0,2345.0,1888.0,2618.0,404.0,20.0,601.0,714.0,1004.0,524.0,298.0,1856.0,5167.0,92.0,62.0,195.0,136.0,2025.0
1953-01-01,7.0,47.0,45.0,186.0,32.0,2538.0,207.0,2426.0,90.0,2144.0,1469.0,606.0,43149.0,913.0,41351.0,13519.0,,1643.0,2180.0,1154.0,40.0,394.0,5592.0,1776.0,174.0,,49.0,87.0,447.0,75.0,1242.0,119.0,,490.0,65.0,360.0,2234.0,23894.0,239.0,1028.0,306.0,3.0,57.0,2934.0,10375.0,165.0,534.0,,107.0,825.0,981.0,75.0,2880.0,114.0,2594.0,699.0,287.0,1001.0,745.0,2288.0,1798.0,2400.0,416.0,30.0,613.0,848.0,1181.0,534.0,358.0,1663.0,5311.0,98.0,56.0,212.0,117.0,1859.0
1954-01-01,6.0,79.0,35.0,188.0,23.0,2528.0,202.0,2424.0,48.0,2206.0,1627.0,636.0,40793.0,1008.0,38831.0,11482.0,,1379.0,2384.0,1027.0,73.0,322.0,5941.0,1739.0,166.0,,36.0,84.0,477.0,78.0,1401.0,127.0,,480.0,44.0,388.0,1875.0,21411.0,233.0,1137.0,302.0,-11.0,97.0,2376.0,9929.0,189.0,666.0,,100.0,799.0,956.0,76.0,2783.0,120.0,1794.0,686.0,350.0,383.0,826.0,2442.0,1962.0,2354.0,338.0,63.0,607.0,900.0,1277.0,343.0,344.0,988.0,4999.0,121.0,63.0,192.0,65.0,1668.0
1955-01-01,7.0,53.0,35.0,245.0,32.0,2799.0,248.0,3138.0,120.0,2503.0,2056.0,564.0,51441.0,1146.0,49087.0,16280.0,,1484.0,2584.0,1256.0,46.0,296.0,6155.0,2007.0,260.0,,35.0,74.0,511.0,73.0,1244.0,161.0,,536.0,60.0,575.0,2087.0,28543.0,369.0,1442.0,376.0,2.0,156.0,4449.0,12263.0,235.0,718.0,,125.0,850.0,1172.0,85.0,3161.0,113.0,3151.0,884.0,471.0,762.0,821.0,2890.0,2354.0,2971.0,485.0,36.0,758.0,1281.0,1584.0,603.0,406.0,1529.0,6169.0,135.0,76.0,244.0,139.0,2432.0
1956-01-01,6.0,55.0,44.0,244.0,33.0,3330.0,301.0,3202.0,216.0,2862.0,2242.0,828.0,52625.0,1270.0,49804.0,15391.0,,1727.0,2726.0,1299.0,49.0,468.0,6385.0,1953.0,271.0,,97.0,85.0,557.0,99.0,856.0,149.0,,535.0,57.0,440.0,2588.0,28182.0,387.0,1526.0,380.0,13.0,22.0,2695.0,12792.0,230.0,693.0,,168.0,1065.0,1381.0,105.0,3405.0,131.0,3150.0,937.0,540.0,748.0,706.0,3356.0,2821.0,2913.0,485.0,27.0,772.0,1220.0,1702.0,608.0,427.0,1492.0,6460.0,94.0,80.0,194.0,188.0,2683.0
1957-01-01,6.0,48.0,57.0,206.0,17.0,3672.0,369.0,3205.0,194.0,3047.0,2373.0,928.0,51194.0,1355.0,48102.0,14974.0,,1963.0,2701.0,1273.0,42.0,625.0,6688.0,1901.0,230.0,,134.0,79.0,542.0,99.0,707.0,147.0,,538.0,57.0,279.0,2321.0,26741.0,229.0,1297.0,355.0,9.0,40.0,2847.0,11767.0,174.0,700.0,,182.0,1115.0,1085.0,115.0,2891.0,133.0,2966.0,952.0,536.0,616.0,687.0,3630.0,3092.0,2778.0,425.0,34.0,869.0,1082.0,1837.0,503.0,453.0,1180.0,6253.0,-12.0,78.0,212.0,95.0,2500.0
1958-01-01,25.0,73.0,57.0,226.0,37.0,3605.0,356.0,2814.0,138.0,3010.0,2617.0,850.0,45030.0,1453.0,42507.0,10731.0,,1798.0,2736.0,1012.0,48.0,595.0,7242.0,2119.0,169.0,,72.0,43.0,522.0,107.0,1168.0,126.0,,555.0,65.0,370.0,1541.0,21393.0,162.0,1004.0,316.0,-8.0,37.0,1150.0,10663.0,136.0,568.0,,165.0,884.0,938.0,119.0,2199.0,136.0,1931.0,851.0,486.0,347.0,791.0,3078.0,2523.0,2657.0,435.0,46.0,805.0,1038.0,2131.0,434.0,522.0,881.0,6235.0,14.0,61.0,194.0,64.0,2246.0
1959-01-01,47.0,41.0,97.0,308.0,69.0,4168.0,405.0,3794.0,86.0,3434.0,3089.0,818.0,55954.0,1563.0,53236.0,15085.0,,2235.0,3187.0,1158.0,-6.0,734.0,8431.0,2400.0,219.0,,102.0,52.0,699.0,136.0,1547.0,168.0,,664.0,106.0,549.0,2276.0,28556.0,15.0,746.0,390.0,-1.0,110.0,3173.0,13471.0,143.0,502.0,,195.0,615.0,1176.0,131.0,2671.0,163.0,2438.0,1075.0,546.0,449.0,823.0,3382.0,2718.0,3310.0,548.0,92.0,1059.0,1333.0,2543.0,764.0,567.0,1160.0,7437.0,13.0,59.0,292.0,78.0,2838.0
1960-01-01,51.0,73.0,74.0,304.0,57.0,4829.0,420.0,3551.0,91.0,3887.0,3294.0,560.0,53853.0,1671.0,50716.0,13088.0,,1914.0,3623.0,917.0,22.0,942.0,9212.0,2364.0,184.0,,130.0,16.0,657.0,144.0,1570.0,139.0,,653.0,93.0,335.0,1918.0,26025.0,130.0,863.0,312.0,15.0,22.0,3227.0,12937.0,179.0,463.0,,195.0,454.0,1059.0,133.0,2728.0,156.0,2090.0,1071.0,577.0,317.0,780.0,3790.0,3137.0,2790.0,458.0,88.0,932.0,1079.0,2717.0,672.0,591.0,884.0,7801.0,-49.0,81.0,203.0,83.0,2460.0
