Date,"Agricultural services, forestry, and fishing","Agriculture, forestry, and fishing",Amusement and recreation services,Apparel and other textile products,"Auto repair, services, and parking",Business services,Chemicals and allied products,Coal mining,Commercial and mutual depository institutions,Communications,Construction,Corporate profits before tax,Depository institutions,Domestic industries,Durable goods,Educational services,"Electric, gas, and sanitary services",Electronic and other electric equipment,Fabricated metal products,Farms,Federal Reserve banks,"Finance, insurance, and real estate",Food and kindred products,Furniture and fixtures,Health services,Holding and other investment offices,Hotels and other lodging places,Industrial machinery and equipment,Instruments and related products,"Insurance agents, brokers, and service",Insurance carriers,Leather and leather products,Legal services,Less: Payments to the rest of the world,Local and interurban passenger transit,Lumber and wood products,Manufacturing,Metal mining,Mining,Miscellaneous manufacturing industries,Miscellaneous repair services,Motion pictures,Motor vehicles and equipment,Nondepository institutions,Nondurable goods,"Nonmetallic minerals, except fuels",Oil and gas extraction,Other,Other services,Other transportation equipment,Paper and allied products,Personal services,Petroleum and coal products,"Pipelines, except natural gas",Primary metal industries,Printing and publishing,Radio and television,Railroad transportation,Real estate,Receipts from the rest of the world,Rest of the world,Retail trade,Rubber and miscellaneous plastics products,Security and commodity brokers,Services,"Stone, clay, and glass products",Telephone and telegraph,Textile mill products,Tobacco products,Transportation,Transportation and public utilities,Transportation by air,Transportation services,Trucking and warehousing,Water transportation,Wholesale trade
1987-01-01,990.0,1858.0,145.0,1883.0,-84.0,4378.0,18360.0,346.0,36850.0,22336.0,8600.0,335620.0,53099.0,287611.0,54559.0,212.0,18864.0,10790.0,5978.0,868.0,16249.0,63819.0,11389.0,1774.0,5595.0,4060.0,-668.0,5903.0,2462.0,3069.0,308.0,564.0,1570.0,10913.0,42.0,4978.0,109314.0,-548.0,-1775.0,1124.0,482.0,-998.0,5691.0,3352.0,54755.0,993.0,-2566.0,2377.0,9754.0,9371.0,6395.0,849.0,32.0,894.0,3283.0,9930.0,1269.0,1107.0,-1313.0,58922.0,48009.0,25732.0,2236.0,1246.0,13858.0,3206.0,21067.0,2244.0,1722.0,2294.0,43494.0,-151.0,-196.0,690.0,-93.0,22710.0
1988-01-01,835.0,1810.0,386.0,1785.0,-201.0,5871.0,23630.0,776.0,36703.0,22363.0,7840.0,390144.0,54781.0,333159.0,67545.0,397.0,20623.0,13173.0,7302.0,975.0,18078.0,67565.0,10981.0,1388.0,4227.0,-1930.0,-651.0,12338.0,4007.0,2490.0,10828.0,587.0,1017.0,14595.0,44.0,4246.0,144110.0,578.0,784.0,1465.0,666.0,-578.0,7119.0,4604.0,76564.0,980.0,-1550.0,2073.0,7715.0,8054.0,9520.0,964.0,11838.0,815.0,6488.0,9600.0,1305.0,1740.0,-1124.0,71580.0,56985.0,23949.0,2055.0,-2083.0,14170.0,1965.0,21058.0,1606.0,4963.0,3247.0,46233.0,925.0,-363.0,-223.0,309.0,26698.0
1989-01-01,453.0,1691.0,1210.0,1994.0,-473.0,6509.0,22399.0,764.0,42715.0,21515.0,7106.0,393825.0,63364.0,326694.0,60250.0,328.0,23403.0,13187.0,6470.0,1237.0,20649.0,79477.0,10584.0,1106.0,3760.0,-1858.0,-1140.0,13631.0,3485.0,2558.0,16210.0,542.0,1046.0,8379.0,189.0,4244.0,128569.0,8.0,992.0,1246.0,753.0,-800.0,4650.0,6815.0,68319.0,751.0,-532.0,2828.0,7963.0,5575.0,8919.0,1546.0,8336.0,777.0,5099.0,9441.0,738.0,-230.0,-3235.0,75510.0,67131.0,24842.0,2307.0,-4377.0,15569.0,1558.0,20777.0,1261.0,2535.0,-1834.0,43084.0,-2385.0,-35.0,-554.0,404.0,25364.0
1990-01-01,564.0,1651.0,663.0,1776.0,-261.0,7655.0,21673.0,515.0,53191.0,25646.0,4207.0,405653.0,75013.0,329566.0,46742.0,523.0,23792.0,11698.0,5745.0,1087.0,21821.0,85966.0,13409.0,930.0,5999.0,-1707.0,-1605.0,11818.0,4825.0,2935.0,8286.0,605.0,1134.0,4831.0,-47.0,2417.0,125240.0,65.0,2446.0,1389.0,728.0,-1115.0,-1081.0,8336.0,78498.0,551.0,1315.0,4187.0,11843.0,5259.0,6924.0,1373.0,18835.0,756.0,2250.0,8715.0,1772.0,840.0,-5253.0,80918.0,76087.0,24193.0,1892.0,-1643.0,19281.0,1493.0,23874.0,1158.0,3511.0,-4345.0,45093.0,-5258.0,-278.0,-747.0,389.0,21489.0
1991-01-01,426.0,1144.0,1006.0,2222.0,-308.0,8273.0,20768.0,304.0,68929.0,29118.0,4241.0,425470.0,89660.0,348999.0,36991.0,713.0,26777.0,12314.0,4751.0,718.0,20731.0,109370.0,17729.0,1026.0,10232.0,-1794.0,-1131.0,5492.0,5496.0,3019.0,19917.0,699.0,1096.0,-979.0,310.0,1569.0,103484.0,-41.0,1120.0,1448.0,754.0,-1507.0,-1894.0,10648.0,66492.0,432.0,425.0,4652.0,16694.0,6881.0,4565.0,1305.0,5228.0,714.0,-418.0,9758.0,2513.0,880.0,-7215.0,75492.0,76471.0,28777.0,2006.0,-4865.0,25085.0,327.0,26605.0,1418.0,2099.0,-2627.0,53268.0,-6432.0,362.0,1030.0,510.0,22511.0
1992-01-01,720.0,2018.0,2158.0,2954.0,-22.0,11555.0,20623.0,338.0,77918.0,33439.0,2547.0,466680.0,96213.0,393590.0,45190.0,592.0,27366.0,12436.0,5578.0,1298.0,18296.0,132150.0,17820.0,1545.0,9286.0,-1941.0,-398.0,6002.0,5359.0,3105.0,27427.0,600.0,1728.0,5238.0,290.0,3287.0,109022.0,1.0,2036.0,1566.0,787.0,-77.0,5555.0,14221.0,63832.0,506.0,1191.0,4391.0,15997.0,5125.0,3414.0,1696.0,-1275.0,671.0,-2552.0,11714.0,4574.0,1039.0,-4383.0,78328.0,73090.0,30667.0,2620.0,-2494.0,31696.0,1288.0,28865.0,3113.0,2248.0,-3189.0,57617.0,-6911.0,242.0,1424.0,56.0,25837.0
1993-01-01,692.0,1967.0,2032.0,2851.0,769.0,12860.0,20846.0,-81.0,71203.0,38335.0,6401.0,512095.0,87894.0,435165.0,58004.0,561.0,28670.0,16245.0,7029.0,1276.0,16691.0,123889.0,16689.0,2022.0,11430.0,-1127.0,676.0,4495.0,4317.0,3278.0,20189.0,360.0,1672.0,12017.0,207.0,4486.0,122213.0,-399.0,1489.0,1806.0,890.0,80.0,13286.0,15567.0,64209.0,203.0,1767.0,5726.0,19388.0,4220.0,3805.0,1842.0,938.0,702.0,-1352.0,11605.0,5789.0,1195.0,-2178.0,88948.0,76931.0,41855.0,2863.0,266.0,38537.0,1450.0,32546.0,2687.0,1563.0,2871.0,69875.0,-3125.0,618.0,2940.0,334.0,28939.0
1994-01-01,967.0,1597.0,2436.0,3000.0,555.0,15338.0,28376.0,456.0,70800.0,41437.0,10277.0,611021.0,89314.0,533055.0,87098.0,767.0,35422.0,24962.0,11269.0,630.0,18514.0,134594.0,20021.0,2054.0,14650.0,-1295.0,1415.0,7143.0,5547.0,4089.0,35210.0,67.0,2203.0,26559.0,303.0,4853.0,167730.0,624.0,3556.0,2230.0,941.0,-29.0,20601.0,15661.0,80632.0,862.0,1614.0,6648.0,24268.0,2940.0,6142.0,2324.0,821.0,673.0,1885.0,14138.0,6745.0,2981.0,-596.0,104525.0,77966.0,48866.0,4050.0,-7789.0,47249.0,3615.0,34692.0,2488.0,1529.0,7073.0,83932.0,-1101.0,610.0,3322.0,287.0,35253.0
1995-01-01,1325.0,2087.0,2252.0,2613.0,367.0,17533.0,35168.0,232.0,80842.0,39353.0,14141.0,695729.0,103786.0,602781.0,98317.0,1010.0,41100.0,27399.0,12669.0,762.0,22944.0,152313.0,28820.0,2293.0,15123.0,134.0,2142.0,14753.0,6596.0,4478.0,29659.0,513.0,2770.0,34417.0,413.0,6013.0,206209.0,531.0,4814.0,2729.0,1016.0,333.0,10671.0,18798.0,107892.0,970.0,3081.0,7664.0,26568.0,3522.0,13894.0,2567.0,7037.0,786.0,7009.0,12076.0,6586.0,3183.0,1552.0,127364.0,92947.0,47241.0,3810.0,-6093.0,52778.0,4664.0,32767.0,1986.0,1977.0,8614.0,89068.0,1267.0,281.0,2351.0,333.0,34130.0
1996-01-01,1603.0,3189.0,2981.0,2551.0,471.0,20646.0,32866.0,561.0,79707.0,41011.0,17638.0,752815.0,102255.0,650845.0,105321.0,976.0,41374.0,29019.0,14374.0,1586.0,22548.0,164994.0,22940.0,3282.0,14922.0,2296.0,2568.0,16039.0,9600.0,4932.0,32848.0,267.0,2760.0,37388.0,545.0,3311.0,215029.0,-843.0,8633.0,2266.0,1218.0,691.0,11959.0,20667.0,109709.0,882.0,8034.0,7140.0,25798.0,7210.0,9400.0,2329.0,16025.0,800.0,4064.0,16370.0,4686.0,3029.0,3069.0,139358.0,101970.0,53930.0,4969.0,-1073.0,56702.0,4198.0,36325.0,2245.0,2076.0,9495.0,91879.0,3474.0,-18.0,1283.0,380.0,38850.0
1997-01-01,1411.0,3228.0,4100.0,2548.0,1239.0,25253.0,38542.0,214.0,79115.0,30623.0,18112.0,817028.0,103397.0,709474.0,126092.0,1199.0,40663.0,39181.0,17068.0,1817.0,24282.0,187403.0,24784.0,3546.0,12672.0,13225.0,2691.0,18486.0,10081.0,5466.0,28806.0,432.0,3027.0,47941.0,454.0,3356.0,241619.0,-323.0,11791.0,3642.0,1130.0,-92.0,10758.0,20462.0,115527.0,1245.0,10655.0,8148.0,25046.0,8369.0,6166.0,2652.0,16425.0,779.0,4706.0,16802.0,4764.0,1505.0,5034.0,155495.0,107554.0,60411.0,5348.0,11014.0,62019.0,6900.0,25859.0,2340.0,2141.0,9452.0,80738.0,7175.0,-1580.0,463.0,656.0,44153.0
