Date,Accommodation,Accommodation and food services,Administrative and support services,Administrative and waste management services,"Agriculture, forestry, fishing, and hunting",Air transportation,Ambulatory health care services,"Amusements, gambling, and recreation industries",Apparel and leather and allied products,"Arts, entertainment, and recreation",Broadcasting and telecommunications,Chemical products,Computer and electronic products,Computer systems design and related services,Construction,Corporate profits before tax,Credit intermediation and related activities,Domestic industries,Durable goods,Educational services,"Electrical equipment, appliances, and components",Fabricated metal products,Farms,Federal Reserve banks,Finance and insurance,Food and beverage and tobacco products,Food services and drinking places,"Forestry, fishing, and related activities","Funds, trusts, and other financial vehicles",Furniture and related products,Health care and social assistance,Hospitals and nursing and residential care facilities,Information,Information and data processing services,Insurance carriers and related activities,Legal services,Less: Payments to the rest of the world,Machinery,Management of companies and enterprises,Manufacturing,Mining,"Mining, except oil and gas",Miscellaneous manufacturing,"Miscellaneous professional, scientific, and technical services",Motion picture and sound recording industries,"Motor vehicles, bodies and trailers, and parts",Nondurable goods,Nonmetallic mineral products,Oil and gas extraction,"Other services, except government",Other transportation and support activities,Other transportation equipment,Paper products,"Performing arts, spectator sports, museums, and related activities",Petroleum and coal products,Pipeline transportation,Plastics and rubber products,Primary metals,Printing and related support activities,"Professional, scientific, and technical services",Publishing industries (includes software),Rail transportation,Real estate,Real estate and rental and leasing,Receipts from the rest of the world,Rental and leasing services and lessors of intangible assets,Rest of the world,Retail trade,"Securities, commodity contracts, and investments",Social assistance,Support activities for mining,Textile mills and textile product mills,Transit and ground passenger transportation,Transportation and warehousing,Truck transportation,Utilities,Warehousing and storage,Waste management and remediation services,Water transportation,Wholesale trade,Wood products
1998-01-01,2068.0,9365.0,6387.0,8194.0,548.0,4364.0,10205.0,1704.0,2918.0,2903.0,23387.0,32883.0,16194.0,7074.0,26273.0,754794.0,46821.0,652032.0,69831.0,1926.0,8551.0,16690.0,-115.0,25600.0,108790.0,21538.0,7297.0,663.0,11058.0,3504.0,13106.0,1956.0,32901.0,-2551.0,26758.0,2711.0,44025.0,16157.0,56839.0,185697.0,4903.0,1375.0,9548.0,18285.0,1052.0,17079.0,48460.5,6496.0,2296.0,3879.0,1843.0,5950.0,3111.0,1199.0,2748.0,1008.0,6108.0,4698.0,5025.0,28070.0,11013.0,567.0,6174.0,10086.0,146786.0,3912.0,102761.0,61884.0,-1448.0,945.0,1232.0,2534.0,683.0,12584.0,3187.0,33197.0,688.0,1808.0,245.0,50886.0,3966.0
1999-01-01,3243.0,11901.0,7529.0,8979.0,1850.0,2721.0,14023.0,1603.0,2029.0,2974.0,6819.0,32173.0,5334.0,3608.0,30608.0,797712.0,53559.0,675993.0,67069.5,1995.0,10281.0,16325.0,885.0,26676.0,114977.0,31752.0,8658.0,965.0,16352.0,3724.0,18935.0,3356.0,28143.0,-4304.0,20021.0,4126.0,54951.0,12858.0,71462.0,188203.0,6050.0,1849.0,8814.0,19942.0,1689.0,13587.0,55173.0,7581.0,6152.0,3568.0,862.0,14390.0,5361.0,1371.0,3556.0,550.0,6054.0,1405.0,4997.0,27676.0,23939.0,193.0,7312.0,9625.0,176671.0,2313.0,121719.0,50534.0,-1632.0,1556.0,-1952.0,2043.0,417.0,7652.0,2324.0,34577.0,782.0,1450.0,-197.0,56282.0,5941.0
2000-01-01,4029.0,14422.0,7271.0,8547.0,1364.0,-444.0,16283.0,1386.0,2705.0,2514.0,233.0,26934.0,20047.0,-13062.0,36344.0,786422.0,53939.0,640759.0,62257.5,2019.0,7215.0,16159.0,644.0,31230.0,95348.0,26766.0,10393.0,719.0,18155.0,3078.0,22703.0,3303.0,-12078.0,-15273.0,15705.0,5946.0,55917.0,9996.0,94211.0,185462.0,15259.0,1410.0,7723.0,15988.0,833.0,4474.0,61895.5,6033.0,13983.0,5773.0,3541.0,7836.0,7118.0,1128.0,27155.0,-34.0,3187.0,722.0,4304.0,8872.0,2128.0,1988.0,8120.0,8997.0,201580.0,877.0,145664.0,53686.0,-23680.0,3117.0,-134.0,1042.0,614.0,9746.0,3043.0,24726.0,637.0,1276.0,402.0,62844.0,2969.0
2001-01-01,1488.0,11688.0,8591.0,10153.0,1162.0,-11951.0,22363.0,1662.0,2076.0,3241.0,-20486.0,22189.0,-29909.0,-9959.0,41790.0,717519.0,68212.0,548712.0,6565.5,1717.0,1073.0,8595.0,697.0,28878.0,124858.0,29221.0,10199.0,465.0,24944.0,1554.0,29061.0,2633.0,-26658.0,-12054.0,8694.0,8502.0,13912.0,2208.0,98810.0,72264.0,15504.0,622.0,5060.0,13772.0,3506.0,-6944.0,53670.0,3830.0,12991.0,6912.0,4396.0,5209.0,-405.0,1579.0,26903.0,841.0,1411.0,-4013.0,3057.0,12316.0,2377.0,1144.0,5169.0,7046.0,182719.0,1877.0,168807.0,69562.0,-5870.0,4065.0,1891.0,-645.0,690.0,-986.0,2760.0,22066.0,545.0,1562.0,588.0,48208.0,1793.0
2002-01-01,2477.0,13472.0,8208.0,10343.0,419.0,-16905.0,27945.0,2127.0,4793.0,3999.0,-24468.0,30479.0,-26745.0,1350.0,36622.0,806875.0,89009.0,650099.0,12785.5,2250.0,-985.0,9486.0,-375.0,23483.0,168369.0,26741.0,10995.0,794.0,26584.0,2229.0,38757.0,6189.0,4141.0,657.0,23744.0,9147.0,48114.0,2303.0,112027.0,74834.0,5506.0,642.0,6692.0,16412.0,7823.0,-3194.0,50507.0,2959.0,6731.0,4809.0,5009.0,7093.0,977.0,1872.0,6301.0,888.0,2592.0,-1516.0,3080.0,26908.0,20129.0,1355.0,10764.0,12011.0,204891.0,1247.0,156777.0,79441.0,5548.0,4623.0,-1866.0,-72.0,869.0,-6226.0,1670.0,10666.0,671.0,2135.0,217.0,51750.0,1623.0
2003-01-01,1460.0,12455.0,10761.0,13947.0,2437.0,-8361.0,29323.0,1843.0,2723.0,4301.0,-5250.0,33771.0,-9361.0,6249.0,35715.0,990584.0,86408.0,831661.0,30216.0,3029.0,2777.0,9431.0,1311.0,20047.0,201620.0,27986.0,10995.0,1126.0,29538.0,2136.0,41611.0,7308.0,27521.0,1303.0,53485.0,9000.0,89178.0,3375.0,116273.0,131298.0,16820.0,1236.0,6018.0,20221.0,7306.0,7931.0,65948.0,3690.0,16510.0,5893.0,5119.0,5594.0,442.0,2458.0,27451.0,697.0,2724.0,-1690.0,3150.0,35470.0,24162.0,1377.0,14217.0,14810.0,248101.0,593.0,158923.0,89742.0,12141.0,4979.0,-927.0,295.0,675.0,4396.0,4135.0,13293.0,451.0,3185.0,304.0,61031.0,2856.0
2004-01-01,3920.0,16503.0,12759.0,15687.0,3697.0,-8516.0,30789.0,2647.0,3433.0,5979.0,13549.0,42613.0,1087.0,8447.0,54437.0,1288553.0,77822.0,1093422.0,55852.0,4282.0,1256.0,16091.0,2579.0,20010.0,230754.0,27797.0,12583.0,1118.0,29554.0,2286.0,43892.0,7935.0,61231.0,7876.0,85952.0,9671.0,128917.0,10450.0,137568.0,207833.0,25217.0,3124.0,9239.0,24821.0,10923.0,-3332.0,89215.5,5667.0,21659.0,6560.0,8336.0,6553.0,5452.0,3332.0,51994.0,990.0,5449.0,11987.0,3765.0,42940.0,28883.0,2607.0,21999.0,21151.0,324048.0,-847.0,195131.0,99492.0,17417.0,5168.0,433.0,616.0,797.0,12341.0,6916.0,21556.0,702.0,2928.0,508.0,82301.0,5429.0
2005-01-01,6032.0,22634.0,19259.0,23765.0,5199.0,-6161.0,36878.0,4058.0,3971.0,8055.0,52848.0,44358.0,15288.0,7955.0,82510.0,1706219.0,87207.0,1480504.0,89457.5,5183.0,12.0,19827.0,3538.0,26534.0,274720.0,29372.0,16602.0,1661.0,37174.0,4154.0,54231.0,10480.0,100772.0,6418.0,98637.0,12302.0,148640.0,17370.0,161392.0,300020.0,44803.0,9272.0,11486.0,30598.0,6114.0,1546.0,111985.5,9512.0,32455.0,11257.0,12444.0,19401.0,6916.0,3997.0,84438.0,1041.0,6083.0,14395.0,5388.0,50856.0,35392.0,7305.0,33678.0,42211.0,374356.0,8534.0,225715.0,127856.0,25168.0,6874.0,3076.0,811.0,854.0,28933.0,10910.0,33238.0,1286.0,4507.0,1253.0,102867.0,5692.0
2006-01-01,6416.0,24171.0,19542.0,20625.0,4720.0,2514.0,39799.0,3407.0,3747.0,8049.0,66767.0,71519.0,29564.0,10468.0,82956.0,1893614.0,72046.0,1653895.0,110116.5,5261.0,12971.0,21422.0,2858.0,33815.0,280936.0,35803.0,17755.0,1861.0,41368.0,4917.0,57933.0,10743.0,115503.0,11715.0,105404.0,11699.0,181792.0,22500.0,162409.0,369703.0,59501.0,14036.0,14510.0,38490.0,8406.0,-6334.0,132541.5,6550.0,35145.0,12033.0,12957.0,23170.0,11880.0,4642.0,81392.0,885.0,5192.0,20716.0,5830.0,60657.0,28615.0,10192.0,32252.0,42634.0,421511.0,10382.0,239719.0,136177.0,28303.0,7391.0,10320.0,1205.0,909.0,40771.0,10035.0,54244.0,1508.0,1084.0,1770.0,115612.0,3151.0
2007-01-01,4734.0,21446.0,19917.0,26126.0,6571.0,-1151.0,38887.0,2519.0,2945.0,7819.0,71389.0,71906.0,23115.0,11322.0,61330.0,1814158.0,56555.0,1476382.0,94060.0,5218.0,-347.0,22268.0,4422.0,35977.0,211281.0,36731.0,16712.0,2149.0,49594.0,3285.0,57449.0,8668.0,120882.0,8075.0,84569.0,11531.0,163601.0,24557.0,134482.0,338525.0,58689.0,11889.0,11743.0,39096.0,15865.0,-15792.0,134064.5,5489.0,34457.0,11161.0,4885.0,30193.0,8648.0,5300.0,82218.0,1298.0,6559.0,17990.0,5102.0,61950.0,25552.0,10071.0,25296.0,34993.0,501377.0,9696.0,337776.0,126640.0,-15414.0,9894.0,12344.0,1054.0,653.0,24255.0,6120.0,49843.0,1194.0,6209.0,1184.0,117724.0,861.0
2008-01-01,2085.0,14507.0,18659.0,23424.0,2820.0,-2757.0,42269.0,2417.0,1492.0,7317.0,56798.0,56582.0,27361.0,12491.0,38176.0,1438745.0,40114.0,1048553.0,63851.5,5901.0,5376.0,18900.0,1543.0,35062.0,-935.0,32424.0,12422.0,1278.0,34765.0,1367.0,61101.0,9758.0,99528.0,9534.0,-12705.0,13777.0,183657.0,20741.0,139242.0,258749.0,56560.0,12495.0,7682.0,41566.0,10305.0,-39173.0,115120.5,819.0,33709.0,7258.0,9367.0,18476.0,1798.0,4900.0,83160.0,1456.0,1636.0,17262.0,2951.0,67834.0,22892.0,9443.0,18212.0,21896.0,573849.0,3684.0,390193.0,87844.0,-98170.0,9074.0,10355.0,599.0,421.0,27493.0,6717.0,30641.0,1115.0,4765.0,1729.0,99195.0,-705.0
2009-01-01,-4147.0,13425.0,16424.0,22914.0,4077.0,492.0,50535.0,2809.0,2187.0,7490.0,48603.0,54483.0,26616.0,16442.0,25498.0,1505664.0,86854.0,1156900.0,32703.5,9581.0,8840.0,9812.0,2441.0,47324.0,241356.0,44140.0,17572.0,1635.0,25239.0,1079.0,73060.0,11774.0,87099.0,7296.0,49980.0,15141.0,148193.0,8935.0,148191.0,159226.0,19402.0,8523.0,14961.0,39835.0,9818.0,-55644.0,91487.5,-1415.0,11873.0,9704.0,7477.0,20465.0,5412.0,4681.0,15249.0,1714.0,5762.0,-2859.0,2319.0,71419.0,21383.0,5472.0,13802.0,18742.0,496957.0,4940.0,348764.0,110703.0,31959.0,10752.0,-994.0,608.0,952.0,22627.0,4931.0,23232.0,1430.0,6489.0,159.0,89157.0,-1723.0
2010-01-01,-2793.0,17843.0,20308.0,28345.0,7989.0,10759.0,52073.0,3806.0,2762.0,8103.0,49015.0,65800.0,49077.0,14431.0,26892.0,1878710.0,73912.0,1492920.0,94254.5,11386.0,10863.0,17036.0,5423.0,71562.0,250016.0,48499.0,20635.0,2566.0,25392.0,2083.0,78007.0,13476.0,102316.0,7454.0,58321.0,15416.0,194122.0,18858.0,187495.0,299254.0,32926.0,14446.0,18522.0,52355.0,17165.0,-10298.0,114018.5,-835.0,15611.0,15213.0,11244.0,19348.0,7852.0,4297.0,28022.0,1183.0,8062.0,6142.0,4575.0,82202.0,28682.0,8761.0,20854.0,26533.0,579911.0,5679.0,385789.0,125524.0,20828.0,12459.0,2869.0,1401.0,1526.0,45011.0,9244.0,30574.0,1577.0,8037.0,716.0,117292.0,1485.0
2011-01-01,2990.0,23039.0,21895.0,28007.0,7412.0,6257.0,51644.0,4114.0,3060.0,10317.0,39596.0,58550.0,37998.0,13175.0,30289.0,1870195.0,103687.0,1457645.0,104439.5,9466.0,5466.0,18273.0,4921.0,75963.0,242720.0,44911.0,20049.0,2490.0,23108.0,2181.0,78596.0,15611.0,95740.0,6480.0,35427.0,16401.0,228515.0,28393.0,171532.0,326509.0,33956.0,17713.0,17029.0,49195.0,18521.0,666.0,118010.5,1268.0,10530.0,15654.0,13353.0,20749.0,6676.0,6203.0,53731.0,-4708.0,8826.0,12886.0,3910.0,78770.0,31143.0,7526.0,22718.0,18931.0,641064.0,-3787.0,412550.0,126892.0,4535.0,11341.0,5713.0,1274.0,1253.0,31068.0,6203.0,10355.0,1324.0,6112.0,-141.0,118391.0,663.0
2012-01-01,3507.0,27405.0,24480.0,31009.0,12644.0,7260.0,53579.0,4943.0,2621.0,11724.0,59586.0,63533.0,52599.0,13512.0,44149.0,2215368.0,129698.0,1810004.0,141513.0,8584.0,11821.0,23930.0,8869.0,71769.0,348301.0,47158.0,23897.0,3776.0,28713.0,2837.0,84736.0,19818.0,112104.0,2337.0,87161.0,18323.0,243467.0,33670.0,170692.0,403148.0,36530.0,13792.0,18796.0,53871.0,18735.0,23192.0,131717.0,4019.0,14428.0,17236.0,16756.0,19048.0,8762.0,6780.0,55890.0,1986.0,13524.0,11907.0,4878.0,85705.0,31447.0,12103.0,32291.0,44220.0,648830.0,11929.0,405364.0,160512.0,30961.0,11339.0,8310.0,1780.0,1369.0,54326.0,12469.0,13667.0,1847.0,6529.0,535.0,143312.0,3182.0
2013-01-01,4656.0,30429.0,23272.0,29506.0,12071.0,6487.0,56530.0,3596.0,3569.0,9825.0,79403.0,71679.0,55964.0,11014.0,41597.0,2220165.0,137624.0,1821323.0,148894.0,7897.0,19815.0,23660.0,8721.0,79664.0,337642.0,54019.0,25773.0,3350.0,11214.0,3289.0,82841.0,15569.0,138789.0,6140.0,81628.0,17214.0,267354.0,34667.0,143039.0,431934.0,43855.0,8714.0,15649.0,50068.0,19617.0,21565.0,136104.5,7723.0,26521.0,16511.0,16350.0,25766.0,10350.0,6229.0,50901.0,1571.0,12795.0,8439.0,4054.0,78296.0,33630.0,14521.0,38559.0,51324.0,666196.0,12765.0,398842.0,154346.0,27512.0,10741.0,8621.0,2136.0,1287.0,44978.0,2392.0,28382.0,1345.0,6234.0,1025.0,138063.0,5895.0
