Date,"Agricultural services, forestry, and fisheries","Agriculture, forestry, and fisheries",Amusement and recreation services,Anthracite mining,Apparel and other textile products,Banking,Bituminous and other soft coal mining,Business services,Chemicals and allied products,Communication,Contract construction,Credit agencies (other than banks) and holding and other investment companies,Crude petroleum and natural gas,Domestic industries,Durable goods,Electric and electronic equipment,"Electric, gas, and sanitary services",Farms,"Finance, insurance, and real estate",Food and kindred products,Furniture and finished lumber products,Hotels and other lodging places,"Insurance agents, brokers, and service",Insurance carriers,"Iron and steel and their products, including ordnance",Leather and leather products,Local and interurban passenger transit,"Local utilities and public services, n.e.c.",Lumber and basic timber products,"Machinery, except electrical",Manufacturing,Metal mining,Mining,"Miscellaneous manufacturing, including instruments and miscellaneous plastic products",Miscellaneous repair services,Motion pictures,Motor vehicles and equipment,Nondurable goods,Nonferrous metals and their products,Nonmetallic mining and quarrying,Other services,Other transportation equipment,Paper and allied products,Personal services,Petroleum and coal products,"Pipelines, except natural gas",Printing and publishing,Radio and television broadcasting,Railroad transportation,Real estate,Retail trade and automobile services,Rubber products,"Security and commodity brokers, and services",Services,"Stone, clay, and glass products",Taxes on corporate income,Telephone and telegraph,Textile mill products,Tobacco manufactures,Transportation,Transportation and public utilities,Transportation by air,Transportation services,Trucking and warehousing,Utilities: electric and gas,Water transportation,Wholesale trade
1929-01-01,1.0,6.0,2.0,2.0,8.0,62.0,5.0,9.0,53.0,39.0,19.0,70.0,10.0,1365.0,328.0,29.0,71.0,5.0,278.0,61.0,8.0,2.0,5.0,38.0,97.0,10.0,6.0,3.0,9.0,63.0,618.0,23.0,47.0,19.0,1.0,10.0,49.0,290.0,25.0,7.0,2.0,9.0,16.0,2.0,54.0,9.0,33.0,2.0,105.0,62.0,72.0,7.0,41.0,28.0,20.0,1365.0,37.0,31.0,17.0,135.0,245.0,0.0,4.0,4.0,68.0,7.0,52.0
1930-01-01,0.0,3.0,2.0,2.0,3.0,34.0,3.0,7.0,42.0,35.0,18.0,27.0,7.0,842.0,168.0,16.0,68.0,3.0,151.0,60.0,2.0,1.0,4.0,28.0,40.0,5.0,5.0,3.0,3.0,36.0,373.0,3.0,20.0,12.0,1.0,9.0,29.0,205.0,11.0,5.0,2.0,6.0,10.0,2.0,28.0,6.0,24.0,0.0,52.0,49.0,48.0,2.0,9.0,24.0,13.0,842.0,35.0,10.0,21.0,73.0,176.0,0.0,2.0,3.0,65.0,5.0,29.0
1931-01-01,0.0,1.0,1.0,1.0,2.0,11.0,1.0,3.0,31.0,33.0,9.0,10.0,0.0,498.0,64.0,3.0,58.0,1.0,82.0,48.0,2.0,1.0,3.0,22.0,5.0,4.0,4.0,2.0,0.0,13.0,206.0,1.0,6.0,8.0,0.0,4.0,20.0,142.0,6.0,3.0,1.0,1.0,6.0,1.0,3.0,5.0,17.0,1.0,18.0,34.0,41.0,2.0,2.0,11.0,6.0,498.0,32.0,7.0,22.0,34.0,125.0,0.0,2.0,2.0,56.0,3.0,17.0
1932-01-01,0.0,1.0,0.0,0.0,2.0,3.0,1.0,3.0,24.0,30.0,4.0,9.0,4.0,383.0,21.0,1.0,65.0,1.0,66.0,32.0,1.0,1.0,3.0,21.0,3.0,3.0,4.0,2.0,0.0,5.0,132.0,1.0,8.0,4.0,0.0,3.0,-1.0,111.0,5.0,2.0,1.0,1.0,3.0,1.0,5.0,3.0,11.0,1.0,13.0,28.0,26.0,0.0,2.0,9.0,2.0,383.0,29.0,5.0,26.0,27.0,122.0,1.0,2.0,2.0,63.0,2.0,15.0
1933-01-01,0.0,2.0,1.0,1.0,6.0,3.0,1.0,3.0,38.0,22.0,4.0,12.0,3.0,521.0,66.0,2.0,57.0,2.0,57.0,62.0,3.0,0.0,2.0,12.0,7.0,8.0,4.0,2.0,1.0,10.0,255.0,3.0,10.0,7.0,0.0,3.0,19.0,189.0,10.0,2.0,1.0,1.0,9.0,1.0,8.0,3.0,13.0,0.0,12.0,24.0,44.0,2.0,4.0,9.0,6.0,521.0,22.0,31.0,12.0,27.0,106.0,1.0,2.0,2.0,55.0,3.0,34.0
1934-01-01,0.0,4.0,2.0,1.0,6.0,5.0,4.0,6.0,48.0,27.0,5.0,31.0,8.0,744.0,118.0,4.0,74.0,4.0,97.0,71.0,3.0,1.0,3.0,21.0,18.0,7.0,6.0,3.0,2.0,26.0,329.0,7.0,23.0,12.0,0.0,4.0,21.0,211.0,19.0,3.0,2.0,2.0,15.0,1.0,4.0,10.0,21.0,1.0,20.0,34.0,60.0,2.0,3.0,16.0,11.0,744.0,26.0,20.0,17.0,49.0,150.0,0.0,3.0,3.0,71.0,7.0,60.0
1935-01-01,0.0,6.0,2.0,0.0,6.0,8.0,4.0,6.0,53.0,30.0,9.0,47.0,7.0,951.0,199.0,12.0,68.0,6.0,125.0,121.0,4.0,1.0,3.0,23.0,35.0,9.0,6.0,3.0,3.0,38.0,484.0,9.0,23.0,18.0,0.0,5.0,48.0,285.0,23.0,3.0,2.0,2.0,17.0,1.0,6.0,11.0,25.0,2.0,21.0,37.0,73.0,5.0,7.0,17.0,16.0,951.0,28.0,25.0,18.0,52.0,150.0,0.0,3.0,3.0,65.0,8.0,64.0
1936-01-01,0.0,9.0,3.0,1.0,10.0,19.0,4.0,8.0,77.0,40.0,13.0,97.0,13.0,1409.0,363.0,27.0,84.0,9.0,196.0,105.0,10.0,1.0,3.0,22.0,73.0,9.0,8.0,3.0,7.0,73.0,720.0,17.0,40.0,24.0,1.0,10.0,76.0,357.0,36.0,5.0,2.0,7.0,24.0,2.0,22.0,13.0,34.0,3.0,35.0,44.0,110.0,10.0,11.0,27.0,30.0,1409.0,37.0,44.0,22.0,72.0,196.0,0.0,3.0,3.0,81.0,10.0,98.0
1937-01-01,1.0,8.0,4.0,0.0,6.0,14.0,4.0,9.0,76.0,44.0,16.0,100.0,16.0,1502.0,440.0,34.0,104.0,7.0,192.0,82.0,8.0,2.0,3.0,24.0,103.0,6.0,6.0,3.0,10.0,101.0,768.0,36.0,62.0,23.0,1.0,10.0,74.0,328.0,42.0,6.0,3.0,14.0,28.0,2.0,36.0,14.0,33.0,4.0,36.0,49.0,113.0,6.0,2.0,31.0,31.0,1502.0,40.0,33.0,22.0,76.0,224.0,1.0,3.0,3.0,101.0,13.0,88.0
1938-01-01,0.0,5.0,3.0,0.0,6.0,15.0,2.0,8.0,63.0,48.0,13.0,66.0,12.0,1029.0,187.0,18.0,101.0,5.0,154.0,86.0,7.0,2.0,4.0,30.0,28.0,5.0,6.0,3.0,4.0,45.0,447.0,17.0,35.0,14.0,0.0,11.0,32.0,260.0,12.0,4.0,2.0,10.0,14.0,3.0,16.0,13.0,24.0,3.0,22.0,37.0,86.0,5.0,2.0,29.0,17.0,1029.0,45.0,16.0,25.0,59.0,208.0,1.0,5.0,5.0,98.0,7.0,52.0
