Date,"Agricultural services, forestry, and fishing","Agriculture, forestry, and fishing",Amusement and recreation services,Apparel and other textile products,"Auto repair, services, and parking",Banking,Business services,Chemicals and allied products,Coal mining,Commercial and mutual banks,Communication,Construction,Credit agencies other than banks,Domestic industries,Durable goods,Educational services,Electric and electronic equipment,"Electric, gas, and sanitary services",Fabricated metal products,Farms,Federal Reserve banks,"Finance, insurance, and real estate",Food and kindred products,Furniture and fixtures,Health services,Holding and other investment offices,Hotels and other lodging places,Instruments and related products,"Insurance agents, brokers, and service",Insurance carriers,Leather and leather products,Legal services,Local and interurban passenger transit,Lumber and wood products,"Machinery, except electrical",Manufacturing,Metal mining,Mining,Miscellaneous manufacturing industries,Miscellaneous repair services,Motion pictures,Motor vehicles and equipment,Nondurable goods,"Nonmetallic minerals, except fuels",Oil and gas extraction,Other,Other services,Other transportation equipment,Paper and allied products,Personal services,Petroleum and coal products,"Pipelines, except natural gas",Primary metal industries,Printing and publishing,Radio and television,Railroad transportation,Real estate,Retail trade,Rubber and miscellaneous plastics products,Security and commodity brokers,Services,"Stone, clay, and glass products",Taxes on corporate income,Telephone and telegraph,Textile mill products,Tobacco manufactures,Transportation,Transportation and public utilities,Transportation by air,Transportation services,Trucking and warehousing,Water transportation,Wholesale trade
1948-01-01,3.0,72.0,27.0,125.0,10.0,285.0,52.0,619.0,132.0,285.0,185.0,253.0,75.0,12254.0,3543.0,,331.0,441.0,407.0,69.0,0.0,803.0,668.0,72.0,,68.0,46.0,83.0,23.0,116.0,60.0,,37.0,205.0,655.0,6996.0,77.0,370.0,145.0,5.0,71.0,646.0,3453.0,44.0,117.0,,17.0,109.0,308.0,24.0,657.0,26.0,677.0,228.0,17.0,465.0,230.0,1259.0,100.0,6.0,252.0,213.0,12254.0,168.0,592.0,96.0,680.0,1306.0,4.0,21.0,63.0,64.0,943.0
1949-01-01,8.0,58.0,23.0,83.0,7.0,328.0,52.0,618.0,50.0,328.0,196.0,232.0,90.0,10010.0,3061.0,,275.0,500.0,288.0,50.0,0.0,965.0,631.0,55.0,,50.0,38.0,69.0,18.0,255.0,42.0,,25.0,111.0,522.0,5631.0,37.0,221.0,110.0,4.0,59.0,820.0,2570.0,40.0,94.0,,13.0,89.0,221.0,23.0,326.0,25.0,522.0,202.0,15.0,267.0,217.0,903.0,67.0,7.0,219.0,200.0,10010.0,181.0,277.0,103.0,461.0,1157.0,9.0,18.0,59.0,58.0,624.0
1950-01-01,3.0,91.0,25.0,136.0,10.0,440.0,68.0,1279.0,80.0,440.0,320.0,298.0,167.0,17728.0,6349.0,,694.0,645.0,580.0,88.0,0.0,1258.0,849.0,113.0,,88.0,44.0,145.0,22.0,235.0,72.0,,32.0,282.0,884.0,10880.0,99.0,384.0,199.0,6.0,52.0,1668.0,4531.0,63.0,142.0,,19.0,183.0,462.0,24.0,574.0,57.0,1194.0,260.0,23.0,570.0,294.0,1447.0,216.0,12.0,248.0,407.0,17728.0,297.0,546.0,137.0,901.0,1866.0,39.0,24.0,104.0,75.0,1256.0
1951-01-01,3.0,91.0,35.0,105.0,14.0,593.0,100.0,1749.0,63.0,593.0,532.0,347.0,215.0,22304.0,8305.0,,875.0,910.0,827.0,88.0,0.0,1520.0,899.0,124.0,,100.0,52.0,253.0,28.0,254.0,73.0,,46.0,246.0,1522.0,14304.0,125.0,412.0,219.0,9.0,59.0,1566.0,5999.0,71.0,153.0,,30.0,255.0,824.0,31.0,958.0,71.0,1910.0,334.0,44.0,597.0,320.0,1343.0,345.0,10.0,330.0,508.0,22304.0,488.0,539.0,173.0,1040.0,2482.0,66.0,31.0,100.0,129.0,1475.0
1952-01-01,4.0,58.0,38.0,100.0,15.0,717.0,94.0,1297.0,37.0,717.0,589.0,353.0,237.0,19107.0,6874.0,,912.0,1048.0,601.0,54.0,0.0,1738.0,887.0,112.0,,100.0,50.0,244.0,28.0,332.0,67.0,,48.0,168.0,1391.0,11442.0,79.0,326.0,173.0,7.0,51.0,1483.0,4568.0,54.0,156.0,,34.0,380.0,549.0,30.0,625.0,71.0,1023.0,334.0,46.0,615.0,308.0,1242.0,236.0,16.0,319.0,387.0,19107.0,543.0,305.0,168.0,1007.0,2644.0,58.0,33.0,94.0,88.0,985.0
1953-01-01,4.0,56.0,37.0,100.0,15.0,778.0,101.0,1338.0,31.0,778.0,678.0,315.0,256.0,19944.0,7515.0,,917.0,1114.0,621.0,52.0,0.0,1907.0,942.0,95.0,,85.0,46.0,263.0,30.0,412.0,65.0,,43.0,139.0,1236.0,12330.0,96.0,230.0,165.0,8.0,45.0,1730.0,4815.0,57.0,46.0,,34.0,513.0,532.0,32.0,742.0,63.0,1379.0,349.0,55.0,543.0,332.0,1169.0,236.0,14.0,318.0,457.0,19944.0,623.0,307.0,204.0,911.0,2703.0,59.0,31.0,100.0,72.0,916.0
1954-01-01,4.0,49.0,39.0,96.0,12.0,935.0,98.0,1158.0,19.0,935.0,706.0,322.0,267.0,17348.0,5651.0,,656.0,1190.0,512.0,45.0,0.0,2187.0,890.0,91.0,,88.0,46.0,241.0,32.0,474.0,65.0,,28.0,146.0,925.0,9743.0,91.0,272.0,153.0,5.0,65.0,1194.0,4092.0,62.0,100.0,,32.0,430.0,479.0,32.0,517.0,56.0,876.0,323.0,61.0,266.0,367.0,1137.0,167.0,24.0,329.0,427.0,17348.0,645.0,223.0,174.0,596.0,2492.0,69.0,32.0,91.0,54.0,817.0
1955-01-01,3.0,51.0,38.0,122.0,17.0,757.0,122.0,1499.0,34.0,757.0,899.0,298.0,294.0,21789.0,7971.0,,674.0,1289.0,618.0,48.0,0.0,2070.0,1019.0,129.0,,80.0,46.0,261.0,29.0,487.0,80.0,,34.0,212.0,1052.0,13068.0,179.0,409.0,195.0,10.0,63.0,2251.0,5097.0,79.0,117.0,,34.0,429.0,584.0,37.0,606.0,54.0,1538.0,412.0,85.0,446.0,396.0,1379.0,248.0,27.0,367.0,612.0,21789.0,814.0,320.0,207.0,840.0,3028.0,75.0,39.0,116.0,76.0,1119.0
1956-01-01,2.0,52.0,43.0,120.0,20.0,804.0,141.0,1488.0,56.0,804.0,975.0,395.0,318.0,21591.0,7216.0,,692.0,1371.0,641.0,50.0,0.0,2039.0,994.0,134.0,,99.0,51.0,292.0,38.0,392.0,76.0,,37.0,155.0,1298.0,12446.0,184.0,437.0,201.0,16.0,59.0,1312.0,5230.0,78.0,119.0,,46.0,439.0,680.0,42.0,652.0,65.0,1493.0,441.0,89.0,440.0,367.0,1384.0,246.0,21.0,418.0,559.0,21591.0,886.0,314.0,219.0,839.0,3185.0,62.0,40.0,104.0,91.0,1235.0
1957-01-01,1.0,43.0,50.0,105.0,17.0,1039.0,167.0,1485.0,55.0,1039.0,1071.0,457.0,332.0,20880.0,7083.0,,812.0,1337.0,628.0,42.0,0.0,2239.0,979.0,118.0,,77.0,49.0,273.0,39.0,386.0,72.0,,34.0,101.0,1188.0,11748.0,106.0,333.0,183.0,18.0,39.0,1418.0,4665.0,51.0,121.0,,51.0,479.0,533.0,47.0,340.0,61.0,1399.0,434.0,97.0,361.0,340.0,1330.0,224.0,26.0,438.0,484.0,20880.0,974.0,258.0,235.0,714.0,3122.0,19.0,39.0,107.0,93.0,1170.0
1958-01-01,0.0,55.0,47.0,111.0,23.0,1285.0,162.0,1272.0,33.0,1285.0,1227.0,402.0,336.0,18440.0,4979.0,,677.0,1368.0,503.0,55.0,0.0,2766.0,1058.0,89.0,,79.0,35.0,266.0,39.0,599.0,65.0,,37.0,123.0,853.0,9219.0,49.0,213.0,166.0,6.0,34.0,567.0,4240.0,64.0,67.0,,44.0,366.0,469.0,47.0,165.0,64.0,937.0,383.0,98.0,269.0,390.0,1236.0,220.0,38.0,398.0,432.0,18440.0,1129.0,221.0,276.0,556.0,3151.0,18.0,22.0,97.0,49.0,1000.0
1959-01-01,1.0,46.0,58.0,143.0,36.0,849.0,191.0,1771.0,25.0,849.0,1456.0,412.0,348.0,22816.0,7106.0,,923.0,1575.0,582.0,45.0,0.0,2544.0,1208.0,120.0,,82.0,46.0,356.0,52.0,741.0,80.0,,53.0,172.0,1168.0,12629.0,43.0,204.0,202.0,6.0,45.0,1527.0,5523.0,47.0,89.0,,55.0,309.0,574.0,51.0,329.0,80.0,1162.0,473.0,116.0,313.0,410.0,1494.0,282.0,62.0,488.0,585.0,22816.0,1340.0,359.0,304.0,710.0,3741.0,32.0,31.0,141.0,60.0,1258.0
1960-01-01,3.0,51.0,55.0,143.0,30.0,1445.0,194.0,1613.0,22.0,1445.0,1586.0,337.0,377.0,21885.0,6216.0,,736.0,1726.0,467.0,48.0,0.0,3150.0,1176.0,103.0,,88.0,37.0,338.0,51.0,723.0,70.0,,48.0,93.0,1005.0,11374.0,66.0,212.0,165.0,6.0,49.0,1604.0,5158.0,39.0,85.0,,59.0,254.0,508.0,50.0,304.0,80.0,964.0,468.0,131.0,226.0,407.0,1295.0,226.0,59.0,480.0,487.0,21885.0,1455.0,337.0,313.0,584.0,3896.0,19.0,37.0,110.0,64.0,1090.0
1961-01-01,6.0,68.0,61.0,170.0,32.0,1368.0,199.0,1655.0,29.0,1368.0,1672.0,373.0,403.0,22203.0,6030.0,,760.0,1878.0,535.0,62.0,0.0,3213.0,1214.0,109.0,,85.0,34.0,341.0,54.0,773.0,71.0,,48.0,93.0,1028.0,11265.0,77.0,245.0,186.0,8.0,71.0,1353.0,5235.0,37.0,102.0,,55.0,322.0,491.0,46.0,269.0,81.0,836.0,463.0,120.0,276.0,429.0,1196.0,257.0,101.0,506.0,467.0,22203.0,1552.0,300.0,345.0,647.0,4197.0,5.0,46.0,132.0,59.0,1140.0
