Date,"Agricultural services, forestry, and fishing","Agriculture, forestry, and fishing",Amusement and recreation services,Apparel and other textile products,"Auto repair, services, and parking",Business services,Chemicals and allied products,Coal mining,Commercial and mutual depository institutions,Communications,Construction,Depository institutions,Domestic industries,Durable goods,Educational services,"Electric, gas, and sanitary services",Electronic and other electric equipment,Fabricated metal products,Farms,Federal Reserve banks,"Finance, insurance, and real estate",Food and kindred products,Furniture and fixtures,Health services,Holding and other investment offices,Hotels and other lodging places,Industrial machinery and equipment,Instruments and related products,"Insurance agents, brokers, and service",Insurance carriers,Leather and leather products,Legal services,Local and interurban passenger transit,Lumber and wood products,Manufacturing,Metal mining,Mining,Miscellaneous manufacturing industries,Miscellaneous repair services,Motion pictures,Motor vehicles and equipment,Nondepository institutions,Nondurable goods,"Nonmetallic minerals, except fuels",Oil and gas extraction,Other,Other services,Other transportation equipment,Paper and allied products,Personal services,Petroleum and coal products,"Pipelines, except natural gas",Primary metal industries,Printing and publishing,Radio and television,Railroad transportation,Real estate,Retail trade,Rubber and miscellaneous plastics products,Security and commodity brokers,Services,"Stone, clay, and glass products",Taxes on corporate income,Telephone and telegraph,Textile mill products,Tobacco products,Transportation,Transportation and public utilities,Transportation by air,Transportation services,Trucking and warehousing,Water transportation,Wholesale trade
1987-01-01,148.0,516.0,274.0,579.0,205.0,1825.0,7674.0,164.0,8720.0,7721.0,2862.0,8720.0,112702.0,19515.0,67.0,8667.0,3197.0,2451.0,368.0,0.0,19736.0,5736.0,733.0,1454.0,1499.0,262.0,2919.0,1129.0,778.0,5185.0,183.0,231.0,55.0,1399.0,46352.0,141.0,876.0,798.0,79.0,168.0,2577.0,1267.0,26837.0,375.0,196.0,463.0,2215.0,1991.0,2341.0,264.0,3919.0,369.0,936.0,3789.0,699.0,855.0,1264.0,9850.0,1149.0,1023.0,5292.0,1385.0,112702.0,7022.0,814.0,653.0,3035.0,19423.0,845.0,188.0,610.0,113.0,7795.0
1988-01-01,174.0,573.0,456.0,568.0,301.0,1874.0,8329.0,220.0,9529.0,7500.0,2789.0,9529.0,124266.0,25375.0,61.0,8037.0,4585.0,2277.0,399.0,0.0,21640.0,6423.0,535.0,1017.0,1451.0,290.0,3805.0,1668.0,655.0,6532.0,187.0,91.0,53.0,1300.0,56886.0,361.0,1329.0,921.0,79.0,216.0,3518.0,1160.0,31511.0,334.0,414.0,442.0,1611.0,4022.0,3076.0,267.0,6223.0,295.0,1680.0,3991.0,1291.0,1188.0,1327.0,8891.0,825.0,986.0,5094.0,1064.0,124266.0,6209.0,778.0,1111.0,4406.0,19943.0,1803.0,167.0,701.0,199.0,7121.0
1989-01-01,154.0,651.0,562.0,617.0,251.0,2052.0,7988.0,244.0,10725.0,8169.0,2613.0,10725.0,124422.0,22062.0,57.0,8758.0,4842.0,2155.0,497.0,0.0,24411.0,6721.0,484.0,988.0,1509.0,251.0,3553.0,1083.0,500.0,8099.0,146.0,66.0,63.0,1279.0,53063.0,214.0,1302.0,894.0,106.0,1045.0,2351.0,1676.0,31001.0,263.0,581.0,485.0,1596.0,2641.0,3014.0,355.0,6267.0,286.0,1816.0,3615.0,1271.0,785.0,1197.0,9092.0,741.0,705.0,6218.0,964.0,124422.0,6898.0,521.0,1371.0,3339.0,20266.0,876.0,252.0,806.0,271.0,6806.0
1990-01-01,167.0,629.0,475.0,576.0,276.0,1911.0,8429.0,181.0,11402.0,8200.0,2235.0,11402.0,121816.0,20559.0,89.0,8968.0,4790.0,1980.0,462.0,0.0,24191.0,6053.0,352.0,1249.0,1345.0,186.0,3348.0,1335.0,600.0,7019.0,147.0,56.0,48.0,782.0,52043.0,392.0,1735.0,859.0,111.0,180.0,1901.0,2140.0,31484.0,197.0,965.0,700.0,2094.0,2924.0,2425.0,367.0,8199.0,269.0,1351.0,3107.0,931.0,845.0,828.0,9080.0,653.0,857.0,5600.0,937.0,121816.0,7269.0,437.0,1458.0,2935.0,20103.0,500.0,246.0,791.0,236.0,6200.0
1991-01-01,149.0,538.0,419.0,692.0,188.0,1743.0,7640.0,119.0,12377.0,8103.0,2013.0,12377.0,117813.0,16587.0,52.0,9878.0,3891.0,1614.0,389.0,0.0,29738.0,6840.0,315.0,1743.0,989.0,184.0,2584.0,1799.0,608.0,11107.0,164.0,31.0,66.0,639.0,43629.0,213.0,1333.0,974.0,128.0,68.0,12.0,2431.0,27042.0,155.0,846.0,629.0,2455.0,3630.0,1865.0,346.0,4925.0,263.0,653.0,2576.0,590.0,608.0,523.0,8948.0,711.0,1703.0,5531.0,476.0,117813.0,7513.0,515.0,1114.0,2384.0,20365.0,91.0,224.0,880.0,252.0,5718.0
1992-01-01,155.0,613.0,537.0,883.0,266.0,2396.0,8247.0,282.0,17530.0,8804.0,1671.0,17530.0,131914.0,17110.0,76.0,9789.0,4374.0,1835.0,458.0,0.0,38442.0,6822.0,483.0,1637.0,1042.0,311.0,2607.0,1675.0,584.0,13099.0,180.0,35.0,72.0,845.0,45078.0,221.0,1276.0,909.0,131.0,166.0,1071.0,3161.0,27968.0,188.0,586.0,695.0,2443.0,1979.0,1711.0,409.0,4175.0,256.0,712.0,3133.0,851.0,731.0,957.0,9909.0,798.0,2069.0,6658.0,620.0,131914.0,7954.0,887.0,1131.0,2867.0,21460.0,128.0,241.0,1218.0,222.0,6807.0
1993-01-01,201.0,716.0,594.0,919.0,362.0,2842.0,8098.0,120.0,20513.0,10553.0,1905.0,20513.0,155047.0,23567.0,81.0,10291.0,6535.0,2145.0,515.0,0.0,48142.0,6448.0,544.0,2338.0,1350.0,440.0,2593.0,1923.0,591.0,16700.0,150.0,55.0,72.0,1125.0,51367.0,222.0,984.0,1443.0,113.0,205.0,3115.0,4075.0,27799.0,163.0,478.0,881.0,3356.0,2609.0,1760.0,437.0,4502.0,271.0,845.0,3275.0,1370.0,735.0,1136.0,11417.0,985.0,3777.0,8349.0,690.0,155047.0,9183.0,811.0,851.0,3479.0,24323.0,431.0,265.0,1464.0,240.0,7845.0
1994-01-01,217.0,718.0,662.0,990.0,353.0,3373.0,11525.0,182.0,19532.0,12274.0,2330.0,19532.0,172671.0,31174.0,80.0,12080.0,9022.0,3120.0,501.0,0.0,41315.0,7803.0,631.0,3768.0,1272.0,666.0,3917.0,3456.0,830.0,11432.0,126.0,197.0,82.0,1315.0,65330.0,320.0,1077.0,1318.0,120.0,273.0,3749.0,4358.0,34156.0,215.0,359.0,909.0,4954.0,1963.0,2483.0,462.0,4109.0,261.0,1520.0,4069.0,1830.0,1167.0,1000.0,13434.0,1106.0,2891.0,10862.0,1164.0,172671.0,10444.0,774.0,1172.0,4214.0,28569.0,722.0,285.0,1442.0,255.0,9037.0
1995-01-01,229.0,673.0,619.0,894.0,263.0,4096.0,13589.0,174.0,26203.0,12348.0,2721.0,26203.0,194449.0,32448.0,122.0,14082.0,9090.0,3240.0,444.0,0.0,55217.0,8295.0,749.0,2953.0,1532.0,648.0,5213.0,2668.0,884.0,17474.0,155.0,207.0,59.0,1691.0,70710.0,430.0,1484.0,1542.0,134.0,234.0,2488.0,4576.0,38261.0,273.0,607.0,1086.0,4368.0,2166.0,3442.0,461.0,5308.0,293.0,2188.0,3647.0,1744.0,1110.0,1091.0,12572.0,986.0,3458.0,10824.0,1413.0,194449.0,10604.0,628.0,1318.0,4263.0,30693.0,991.0,269.0,1244.0,295.0,9557.0
1996-01-01,250.0,752.0,871.0,875.0,305.0,5187.0,12716.0,228.0,24957.0,13395.0,3209.0,24957.0,211386.0,36458.0,127.0,13418.0,10255.0,3762.0,502.0,0.0,60256.0,8475.0,917.0,3038.0,3102.0,744.0,6267.0,3268.0,935.0,19465.0,92.0,215.0,69.0,793.0,76289.0,155.0,1720.0,1257.0,165.0,341.0,3638.0,5007.0,39831.0,283.0,1053.0,1244.0,4625.0,3115.0,2444.0,373.0,7464.0,293.0,1716.0,4682.0,843.0,1109.0,1798.0,14152.0,1125.0,4993.0,12612.0,1470.0,211386.0,12552.0,707.0,1249.0,4925.0,31738.0,1568.0,265.0,1369.0,252.0,10659.0
