Date,Accommodation,Accommodation and food services,Administrative and support services,Administrative and waste management services,"Agriculture, forestry, fishing, and hunting",Air transportation,Ambulatory health care services,"Amusements, gambling, and recreation industries",Apparel and leather and allied products,"Arts, entertainment, and recreation",Broadcasting and telecommunications,Chemical products,Computer and electronic products,Computer systems design and related services,Construction,Credit intermediation and related activities,Domestic industries,Durable goods,Educational services,"Electrical equipment, appliances, and components",Fabricated metal products,Farms,Federal Reserve banks,Finance and insurance,Food and beverage and tobacco products,Food services and drinking places,"Forestry, fishing, and related activities","Funds, trusts, and other financial vehicles",Furniture and related products,Health care and social assistance,Hospitals and nursing and residential care facilities,Information,Information and data processing services,Insurance carriers and related activities,Legal services,Machinery,Management of companies and enterprises,Manufacturing,Mining,"Mining, except oil and gas",Miscellaneous manufacturing,"Miscellaneous professional, scientific, and technical services",Motion picture and sound recording industries,"Motor vehicles, bodies and trailers, and parts",Nondurable goods,Nonmetallic mineral products,Oil and gas extraction,"Other services, except government",Other transportation and support activities,Other transportation equipment,Paper products,"Performing arts, spectator sports, museums, and related activities",Petroleum and coal products,Pipeline transportation,Plastics and rubber products,Primary metals,Printing and related support activities,"Professional, scientific, and technical services",Publishing industries (includes software),Rail transportation,Real estate,Real estate and rental and leasing,Rental and leasing services and lessors of intangible assets,Retail trade,"Securities, commodity contracts, and investments",Social assistance,Support activities for mining,Taxes on corporate income,Textile mills and textile product mills,Transit and ground passenger transportation,Transportation and warehousing,Truck transportation,Utilities,Warehousing and storage,Waste management and remediation services,Water transportation,Wholesale trade,Wood products
1998-01-01,954.0,2418.0,1614.0,2062.0,525.0,1813.0,887.0,268.0,915.0,591.0,14463.0,13116.0,8743.0,1823.0,4324.0,7619.0,221805.0,21004.5,219.0,2520.0,3761.0,426.0,0.0,38863.0,8920.0,1464.0,99.0,121.0,1026.0,2189.0,1125.0,21462.0,1119.0,24720.0,279.0,5360.0,24274.0,67447.0,1554.0,710.0,2754.0,2756.0,948.0,5032.0,18083.5,1850.0,159.0,962.0,1755.0,2086.0,1678.0,322.0,4149.0,315.0,1289.0,1584.0,1188.0,4858.0,4932.0,478.0,2149.0,3113.0,964.0,17041.0,6404.0,177.0,684.0,221805.0,664.0,70.0,5568.0,824.0,13606.0,85.0,448.0,228.0,10729.0,813.0
1999-01-01,1067.0,2714.0,1377.0,1561.0,532.0,1346.0,810.0,251.0,690.0,467.0,15659.0,12868.0,8504.0,1285.0,4840.0,8330.0,227386.0,20303.5,213.0,2401.0,3582.0,438.0,0.0,36830.0,13265.0,1647.0,94.0,542.0,955.0,2122.0,1132.0,25975.0,1661.0,17413.0,248.0,3843.0,24092.0,68841.0,1080.0,541.0,2061.0,2769.0,513.0,4542.0,20212.5,2082.0,449.0,770.0,1678.0,3330.0,2059.0,217.0,3411.0,264.0,1352.0,1170.0,876.0,4301.0,8142.0,391.0,1996.0,2732.0,736.0,17872.0,10546.0,180.0,90.0,227386.0,639.0,58.0,4759.0,779.0,15492.0,97.0,184.0,147.0,12191.0,1208.0
2000-01-01,1068.0,2746.0,1167.0,1322.0,511.0,545.0,724.0,256.0,724.0,431.0,15291.0,12641.0,12259.0,206.0,4885.0,8651.0,233448.0,21449.0,345.0,3007.0,3624.0,431.0,0.0,39151.0,10212.0,1678.0,80.0,897.0,805.0,1948.0,970.0,23289.0,856.0,20017.0,213.0,3044.0,29212.0,73488.0,2374.0,573.0,2433.0,3180.0,164.0,3169.0,21914.0,1418.0,1619.0,797.0,2103.0,3592.0,2132.0,174.0,10486.0,241.0,1169.0,897.0,809.0,3599.0,6977.0,419.0,1909.0,2536.0,626.0,18122.0,9586.0,254.0,181.0,233448.0,431.0,42.0,4375.0,683.0,11076.0,126.0,155.0,216.0,13239.0,635.0
2001-01-01,599.0,2020.0,1327.0,1466.0,326.0,-718.0,908.0,64.0,506.0,167.0,3924.0,13542.0,-1045.0,-756.0,4632.0,15444.0,170148.0,7309.0,237.0,1261.0,1825.0,304.0,0.0,36579.0,9796.0,1420.0,22.0,1028.0,383.0,2196.0,898.0,7733.0,-89.0,12682.0,287.0,1200.0,27358.0,44225.0,2183.0,276.0,1919.0,1453.0,107.0,805.0,19182.0,921.0,1215.0,634.0,1621.0,2534.0,1029.0,104.0,7932.0,250.0,500.0,110.0,541.0,985.0,3792.0,320.0,1510.0,2037.0,527.0,17622.0,7424.0,390.0,693.0,170148.0,2.0,2.0,2305.0,415.0,8685.0,63.0,139.0,351.0,8757.0,466.0
2002-01-01,681.0,1890.0,955.0,1274.0,139.0,-1023.0,1113.0,57.0,660.0,162.0,-1125.0,11358.0,-1185.0,-329.0,4208.0,19131.0,160674.0,7178.5,338.0,679.0,2035.0,98.0,0.0,39894.0,10036.0,1209.0,41.0,1042.0,437.0,3023.0,1450.0,3656.0,205.0,15226.0,363.0,922.0,29704.0,35550.0,893.0,136.0,2064.0,1405.0,581.0,1163.0,15662.5,711.0,706.0,607.0,1944.0,2530.0,457.0,105.0,2070.0,264.0,510.0,288.0,475.0,1439.0,3995.0,322.0,1651.0,1784.0,134.0,18631.0,4493.0,460.0,51.0,160674.0,90.0,18.0,2218.0,474.0,5132.0,67.0,319.0,152.0,10132.0,252.0
2003-01-01,619.0,2149.0,1207.0,1349.0,648.0,50.0,1650.0,126.0,635.0,332.0,3172.0,12815.0,4220.0,657.0,5279.0,19939.0,213763.0,10326.5,467.0,941.0,2148.0,512.0,0.0,56307.0,9352.0,1530.0,136.0,1545.0,448.0,3349.0,944.0,11308.0,867.0,28267.0,353.0,1195.0,30964.0,48723.0,2579.0,216.0,2424.0,2331.0,1124.0,1163.0,20458.0,888.0,2222.0,802.0,2009.0,1136.0,630.0,207.0,7867.0,243.0,609.0,286.0,531.0,3340.0,6143.0,270.0,2289.0,2842.0,553.0,22780.0,6556.0,755.0,142.0,213763.0,1067.0,38.0,3536.0,678.0,4162.0,74.0,143.0,176.0,12846.0,367.0
2004-01-01,1392.0,3107.0,1581.0,1913.0,984.0,149.0,1649.0,258.0,716.0,558.0,6638.0,14713.0,5996.0,1194.0,7990.0,18730.0,278512.0,17011.0,649.0,1874.0,3407.0,760.0,0.0,61425.0,9846.0,1715.0,224.0,1816.0,491.0,4031.0,1505.0,17105.0,1546.0,33300.0,375.0,2382.0,37853.0,73014.0,4416.0,540.0,2821.0,3505.0,1456.0,1707.0,28492.0,1456.0,3601.0,885.0,3131.0,1973.0,1601.0,300.0,18983.0,325.0,732.0,2498.0,681.0,5073.0,7465.0,539.0,3098.0,3848.0,750.0,26563.0,7578.0,877.0,275.0,278512.0,355.0,64.0,5810.0,1076.0,5297.0,104.0,332.0,421.0,17991.0,781.0
2005-01-01,2224.0,5332.0,3337.0,3866.0,1107.0,291.0,2158.0,382.0,776.0,837.0,13423.0,22204.0,11350.0,1149.0,11613.0,18030.0,379749.0,26980.0,794.0,1814.0,4128.0,851.0,0.0,67289.0,13940.0,3109.0,255.0,1885.0,998.0,4898.0,1754.0,25700.0,2033.0,34625.0,486.0,5463.0,49918.0,111101.0,10580.0,1466.0,4108.0,4189.0,490.0,4902.0,39738.5,2568.0,7859.0,1080.0,3662.0,3728.0,2720.0,455.0,26088.0,388.0,903.0,3456.0,780.0,5824.0,9754.0,1847.0,4066.0,5665.0,1599.0,33683.0,12750.0,986.0,1255.0,379749.0,296.0,72.0,8437.0,1698.0,9689.0,182.0,528.0,297.0,22336.0,878.0
2006-01-01,1845.0,5307.0,2533.0,3170.0,899.0,442.0,2198.0,464.0,813.0,1463.0,18967.0,26557.0,11151.0,1712.0,10426.0,17202.0,430147.0,30425.5,771.0,2080.0,3996.0,708.0,0.0,84650.0,13520.0,3462.0,191.0,2034.0,1012.0,5797.0,2384.0,32451.0,2353.0,47913.0,512.0,7603.0,49416.0,122189.0,13190.0,2398.0,4904.0,5228.0,1129.0,3459.0,43594.0,2834.0,6915.0,1305.0,4089.0,5281.0,3194.0,999.0,27501.0,318.0,1009.0,5603.0,804.0,7452.0,10001.0,2985.0,4596.0,7461.0,2865.0,35464.0,17501.0,1215.0,3877.0,430147.0,324.0,125.0,10261.0,1725.0,12626.0,212.0,637.0,365.0,25849.0,546.0
2007-01-01,2459.0,5022.0,2573.0,3589.0,921.0,306.0,1733.0,328.0,602.0,710.0,17307.0,22842.0,11541.0,1489.0,6003.0,14880.0,391782.0,29913.5,755.0,2178.0,4207.0,757.0,0.0,76014.0,13481.0,2563.0,164.0,2852.0,495.0,4095.0,1281.0,33042.0,2522.0,45535.0,371.0,8091.0,38148.0,114458.0,12432.0,2579.0,4911.0,4545.0,2304.0,1897.0,40773.0,1653.0,5667.0,973.0,1574.0,7519.0,2580.0,381.0,24827.0,449.0,870.0,5577.0,710.0,6405.0,10909.0,2996.0,5537.0,7425.0,1888.0,32374.0,12746.0,1080.0,4186.0,391782.0,273.0,61.0,7101.0,1057.0,15399.0,213.0,1016.0,445.0,26916.0,205.0
