Date,"Agricultural services, forestry, and fisheries","Agriculture, forestry, and fisheries",Amusement and recreation services,Anthracite mining,Apparel and other textile products,Banking,Bituminous and other soft coal mining,Business services,Chemicals and allied products,Communication,Contract construction,Corporate profits after tax,Credit agencies (other than banks) and holding and other investment companies,Crude petroleum and natural gas,Domestic industries,Durable goods,Electric and electronic equipment,"Electric, gas, and sanitary services",Farms,"Finance, insurance, and real estate",Food and kindred products,Furniture and finished lumber products,Hotels and other lodging places,"Insurance agents, brokers, and service",Insurance carriers,"Iron and steel and their products, including ordnance",Leather and leather products,Local and interurban passenger transit,"Local utilities and public services, n.e.c.",Lumber and basic timber products,"Machinery, except electrical",Manufacturing,Metal mining,Mining,"Miscellaneous manufacturing, including instruments and miscellaneous plastic products",Miscellaneous repair services,Motion pictures,Motor vehicles and equipment,Nondurable goods,Nonferrous metals and their products,Nonmetallic mining and quarrying,Other services,Other transportation equipment,Paper and allied products,Personal services,Petroleum and coal products,"Pipelines, except natural gas",Printing and publishing,Radio and television broadcasting,Railroad transportation,Real estate,Rest of the world,Retail trade and automobile services,Rubber products,"Security and commodity brokers, and services",Services,"Stone, clay, and glass products",Telephone and telegraph,Textile mill products,Tobacco manufactures,Transportation,Transportation and public utilities,Transportation by air,Transportation services,Trucking and warehousing,Utilities: electric and gas,Water transportation,Wholesale trade
1929-01-01,8.0,5.0,13.0,8.0,30.0,941.0,11.0,52.0,374.0,270.0,129.0,9546.0,84.0,123.0,9314.0,2281.0,89.0,447.0,-3.0,1477.0,411.0,30.0,10.0,29.0,199.0,764.0,42.0,45.0,32.0,103.0,435.0,4442.0,230.0,425.0,76.0,5.0,168.0,416.0,2161.0,193.0,53.0,29.0,36.0,95.0,32.0,591.0,77.0,323.0,20.0,668.0,42.0,232.0,575.0,23.0,182.0,309.0,140.0,250.0,147.0,124.0,879.0,1596.0,-6.0,9.0,39.0,415.0,47.0,354.0
1930-01-01,7.0,-40.0,0.0,11.0,-37.0,762.0,-10.0,47.0,256.0,218.0,100.0,3717.0,-58.0,25.0,3580.0,528.0,-33.0,358.0,-47.0,616.0,314.0,-41.0,-4.0,22.0,109.0,247.0,-17.0,37.0,26.0,-10.0,148.0,1443.0,40.0,106.0,-13.0,4.0,148.0,135.0,915.0,43.0,40.0,17.0,-2.0,46.0,26.0,206.0,62.0,223.0,-3.0,226.0,-32.0,137.0,159.0,-42.0,-187.0,238.0,54.0,221.0,-171.0,136.0,356.0,933.0,-19.0,8.0,26.0,332.0,16.0,24.0
1931-01-01,1.0,-68.0,-12.0,6.0,-62.0,664.0,-22.0,22.0,179.0,203.0,9.0,64.0,-57.0,-96.0,68.0,-594.0,-109.0,288.0,-69.0,388.0,153.0,-62.0,-24.0,24.0,118.0,-146.0,-23.0,-3.0,16.0,-83.0,-72.0,-370.0,-33.0,-135.0,-66.0,2.0,58.0,26.0,225.0,-16.0,10.0,2.0,-50.0,-5.0,15.0,-157.0,36.0,134.0,-3.0,-177.0,-147.0,-4.0,-82.0,-17.0,-214.0,63.0,-17.0,206.0,-121.0,145.0,-126.0,365.0,-9.0,7.0,17.0,271.0,3.0,-103.0
1932-01-01,-1.0,-66.0,-20.0,-12.0,-72.0,573.0,-27.0,10.0,97.0,135.0,-72.0,-1729.0,-64.0,8.0,-1695.0,-1330.0,-187.0,251.0,-65.0,293.0,62.0,-78.0,-34.0,25.0,160.0,-305.0,-26.0,-16.0,23.0,-85.0,-206.0,-1283.0,-46.0,-82.0,-107.0,2.0,-33.0,-189.0,47.0,-52.0,-5.0,-8.0,-50.0,-52.0,3.0,-6.0,27.0,44.0,0.0,-346.0,-357.0,-34.0,-299.0,-21.0,-45.0,-80.0,-71.0,135.0,-129.0,149.0,-331.0,55.0,-3.0,5.0,10.0,228.0,-8.0,-162.0
1933-01-01,3.0,-28.0,-15.0,-8.0,16.0,533.0,-22.0,9.0,206.0,114.0,-35.0,1311.0,-91.0,-20.0,1313.0,-241.0,-168.0,220.0,-31.0,404.0,304.0,-22.0,-30.0,20.0,414.0,-34.0,39.0,-5.0,34.0,2.0,-42.0,680.0,17.0,-33.0,-34.0,2.0,19.0,45.0,922.0,50.0,0.0,-9.0,-40.0,33.0,12.0,-4.0,21.0,83.0,-2.0,-292.0,-376.0,-2.0,111.0,8.0,-97.0,-11.0,1.0,116.0,170.0,66.0,-240.0,94.0,-3.0,10.0,17.0,186.0,12.0,130.0
1934-01-01,3.0,-30.0,-1.0,-1.0,18.0,417.0,15.0,29.0,253.0,135.0,4.0,2471.0,-158.0,70.0,2411.0,228.0,-154.0,337.0,-33.0,136.0,357.0,-11.0,-23.0,23.0,216.0,100.0,21.0,-11.0,28.0,-7.0,92.0,1166.0,51.0,145.0,10.0,5.0,64.0,83.0,938.0,97.0,10.0,-3.0,-23.0,63.0,22.0,-41.0,58.0,116.0,8.0,-279.0,-367.0,60.0,365.0,-1.0,4.0,93.0,41.0,127.0,43.0,110.0,-201.0,270.0,-6.0,4.0,18.0,308.0,15.0,262.0
1935-01-01,3.0,5.0,4.0,-11.0,21.0,458.0,4.0,31.0,269.0,156.0,22.0,3420.0,-133.0,73.0,3261.0,707.0,-50.0,297.0,2.0,190.0,295.0,3.0,-23.0,20.0,166.0,164.0,42.0,-34.0,28.0,13.0,160.0,1762.0,72.0,154.0,52.0,3.0,78.0,206.0,1055.0,117.0,16.0,1.0,-24.0,69.0,23.0,30.0,58.0,136.0,11.0,-211.0,-303.0,159.0,415.0,12.0,-18.0,116.0,66.0,145.0,76.0,104.0,-138.0,316.0,-3.0,5.0,21.0,269.0,26.0,281.0
1936-01-01,5.0,12.0,10.0,-6.0,48.0,510.0,8.0,32.0,325.0,170.0,58.0,5698.0,-147.0,131.0,5594.0,1377.0,18.0,343.0,7.0,580.0,437.0,25.0,-24.0,20.0,340.0,325.0,41.0,-5.0,21.0,50.0,285.0,2973.0,119.0,282.0,64.0,4.0,108.0,323.0,1596.0,152.0,30.0,6.0,2.0,89.0,25.0,183.0,53.0,163.0,17.0,-85.0,-163.0,104.0,568.0,31.0,21.0,160.0,133.0,153.0,159.0,120.0,18.0,532.0,0.0,3.0,21.0,322.0,31.0,429.0
1937-01-01,3.0,0.0,11.0,-13.0,26.0,556.0,12.0,31.0,319.0,183.0,50.0,6127.0,-114.0,212.0,5855.0,1637.0,67.0,450.0,-3.0,609.0,282.0,23.0,-23.0,19.0,317.0,431.0,20.0,-27.0,23.0,69.0,355.0,3089.0,206.0,452.0,67.0,3.0,114.0,305.0,1452.0,156.0,35.0,6.0,39.0,112.0,23.0,332.0,66.0,141.0,18.0,-104.0,-118.0,272.0,506.0,20.0,-51.0,165.0,125.0,165.0,85.0,115.0,-9.0,624.0,-3.0,4.0,19.0,426.0,36.0,361.0
1938-01-01,1.0,-14.0,6.0,-12.0,13.0,534.0,-15.0,25.0,241.0,171.0,25.0,3574.0,-80.0,150.0,3273.0,349.0,-4.0,396.0,-15.0,809.0,286.0,9.0,-30.0,18.0,393.0,-1.0,6.0,-58.0,15.0,2.0,173.0,1265.0,105.0,245.0,33.0,2.0,103.0,41.0,916.0,37.0,17.0,4.0,2.0,39.0,10.0,130.0,59.0,93.0,13.0,-278.0,-44.0,301.0,308.0,13.0,-11.0,119.0,56.0,158.0,-19.0,115.0,-237.0,330.0,-2.0,5.0,26.0,380.0,11.0,185.0
