Date,"Agricultural services, forestry, and fishing","Agriculture, forestry, and fishing",Amusement and recreation services,Apparel and other textile products,"Auto repair, services, and parking",Banking,Business services,Chemicals and allied products,Coal mining,Commercial and mutual banks,Communication,Construction,Corporate profits after tax,Credit agencies other than banks,Domestic industries,Durable goods,Educational services,Electric and electronic equipment,"Electric, gas, and sanitary services",Fabricated metal products,Farms,Federal Reserve banks,"Finance, insurance, and real estate",Food and kindred products,Furniture and fixtures,Health services,Holding and other investment offices,Hotels and other lodging places,Instruments and related products,"Insurance agents, brokers, and service",Insurance carriers,Leather and leather products,Legal services,Less: Payments to the rest of the world,Local and interurban passenger transit,Lumber and wood products,"Machinery, except electrical",Manufacturing,Metal mining,Mining,Miscellaneous manufacturing industries,Miscellaneous repair services,Motion pictures,Motor vehicles and equipment,Nondurable goods,"Nonmetallic minerals, except fuels",Oil and gas extraction,Other,Other services,Other transportation equipment,Paper and allied products,Personal services,Petroleum and coal products,"Pipelines, except natural gas",Primary metal industries,Printing and publishing,Radio and television,Railroad transportation,Real estate,Receipts from the rest of the world,Rest of the world,Retail trade,Rubber and miscellaneous plastics products,Security and commodity brokers,Services,"Stone, clay, and glass products",Telephone and telegraph,Textile mill products,Tobacco manufactures,Transportation,Transportation and public utilities,Transportation by air,Transportation services,Trucking and warehousing,Water transportation,Wholesale trade
1948-01-01,1.0,91.0,38.0,184.0,13.0,1308.0,87.0,1022.0,312.0,1080.0,270.0,431.0,24248.0,308.0,22987.0,5912.0,,572.0,720.0,654.0,90.0,228.0,2589.0,950.0,108.0,,-73.0,78.0,128.0,46.0,586.0,79.0,,391.0,43.0,371.0,1072.0,12517.0,205.0,1147.0,215.0,8.0,127.0,1105.0,6606.0,94.0,536.0,,59.0,164.0,500.0,49.0,2252.0,38.0,1182.0,406.0,30.0,690.0,414.0,1652.0,1261.0,2241.0,147.0,0.0,459.0,342.0,241.0,916.0,148.0,986.0,1975.0,-2.0,29.0,116.0,71.0,1537.0
1949-01-01,-4.0,67.0,22.0,101.0,10.0,1339.0,88.0,964.0,116.0,1104.0,295.0,404.0,20032.0,382.0,18907.0,4813.0,,432.0,816.0,432.0,71.0,235.0,3000.0,937.0,82.0,,-67.0,69.0,109.0,41.0,847.0,54.0,,429.0,21.0,204.0,797.0,9779.0,102.0,815.0,146.0,6.0,165.0,1274.0,4967.0,89.0,507.0,,53.0,125.0,347.0,50.0,1540.0,43.0,887.0,376.0,37.0,380.0,446.0,1554.0,1125.0,1624.0,98.0,11.0,463.0,325.0,258.0,389.0,160.0,673.0,1785.0,15.0,26.0,108.0,80.0,970.0
1950-01-01,-1.0,86.0,0.0,179.0,15.0,1356.0,98.0,1384.0,167.0,1166.0,476.0,363.0,26053.0,466.0,24784.0,7208.0,,768.0,901.0,685.0,87.0,190.0,2801.0,1037.0,134.0,,-71.0,58.0,165.0,41.0,542.0,94.0,,498.0,24.0,419.0,1063.0,13728.0,198.0,1118.0,238.0,2.0,102.0,1697.0,6520.0,106.0,647.0,,54.0,227.0,554.0,43.0,1837.0,70.0,1356.0,368.0,82.0,713.0,455.0,1767.0,1269.0,2113.0,239.0,12.0,372.0,455.0,393.0,674.0,155.0,1114.0,2491.0,48.0,30.0,156.0,73.0,1712.0
1951-01-01,3.0,64.0,5.0,80.0,15.0,1566.0,96.0,1130.0,138.0,1272.0,552.0,311.0,23076.0,486.0,21332.0,5961.0,,593.0,911.0,622.0,61.0,294.0,2913.0,773.0,97.0,,-50.0,51.0,167.0,38.0,488.0,45.0,,505.0,36.0,333.0,1069.0,11470.0,184.0,1048.0,186.0,2.0,-25.0,1057.0,5509.0,114.0,612.0,,70.0,190.0,542.0,42.0,1846.0,59.0,1261.0,334.0,148.0,553.0,386.0,2249.0,1744.0,1518.0,190.0,-1.0,256.0,386.0,404.0,439.0,131.0,942.0,2404.0,51.0,31.0,106.0,105.0,1347.0
1952-01-01,3.0,14.0,16.0,102.0,17.0,1626.0,99.0,1014.0,94.0,1280.0,663.0,354.0,22175.0,688.0,20287.0,5537.0,,691.0,1011.0,512.0,11.0,346.0,3352.0,743.0,94.0,,-41.0,56.0,173.0,46.0,663.0,64.0,,457.0,31.0,253.0,1041.0,10483.0,109.0,862.0,148.0,0.0,-22.0,1117.0,4946.0,113.0,546.0,,73.0,243.0,430.0,42.0,1731.0,55.0,938.0,345.0,202.0,551.0,367.0,2345.0,1888.0,1376.0,168.0,4.0,282.0,327.0,461.0,219.0,130.0,849.0,2523.0,34.0,29.0,101.0,48.0,1040.0
1953-01-01,3.0,-9.0,8.0,86.0,17.0,1760.0,106.0,1088.0,59.0,1366.0,791.0,291.0,23205.0,657.0,21407.0,6004.0,,726.0,1066.0,533.0,-12.0,394.0,3685.0,834.0,79.0,,-36.0,41.0,184.0,45.0,830.0,54.0,,490.0,22.0,221.0,998.0,11564.0,143.0,798.0,141.0,-5.0,12.0,1204.0,5560.0,108.0,488.0,,73.0,312.0,449.0,43.0,2138.0,51.0,1215.0,350.0,232.0,458.0,413.0,2288.0,1798.0,1231.0,180.0,16.0,295.0,391.0,558.0,227.0,154.0,752.0,2608.0,39.0,25.0,112.0,45.0,943.0
1954-01-01,2.0,30.0,-4.0,92.0,11.0,1593.0,104.0,1266.0,29.0,1271.0,921.0,314.0,23445.0,741.0,21483.0,5831.0,,723.0,1194.0,515.0,28.0,322.0,3754.0,849.0,75.0,,-52.0,38.0,236.0,46.0,927.0,62.0,,480.0,16.0,242.0,950.0,11668.0,142.0,865.0,149.0,-16.0,32.0,1182.0,5837.0,127.0,566.0,,68.0,369.0,477.0,44.0,2266.0,64.0,918.0,363.0,289.0,117.0,459.0,2442.0,1962.0,1217.0,171.0,39.0,278.0,473.0,632.0,120.0,170.0,392.0,2507.0,52.0,31.0,101.0,11.0,851.0
1955-01-01,4.0,2.0,-3.0,123.0,15.0,2042.0,126.0,1639.0,86.0,1746.0,1157.0,266.0,29652.0,852.0,27298.0,8309.0,,810.0,1295.0,638.0,-2.0,296.0,4085.0,988.0,131.0,,-45.0,28.0,250.0,44.0,757.0,81.0,,536.0,26.0,363.0,1035.0,15475.0,190.0,1033.0,181.0,-8.0,93.0,2198.0,7166.0,156.0,601.0,,91.0,421.0,588.0,48.0,2555.0,59.0,1613.0,472.0,386.0,316.0,425.0,2890.0,2354.0,1592.0,237.0,9.0,391.0,669.0,770.0,283.0,199.0,689.0,3141.0,60.0,37.0,128.0,63.0,1313.0
1956-01-01,4.0,3.0,1.0,124.0,13.0,2526.0,160.0,1714.0,160.0,2058.0,1267.0,433.0,31034.0,952.0,28213.0,8175.0,,1035.0,1355.0,658.0,-1.0,468.0,4346.0,959.0,137.0,,-2.0,34.0,265.0,61.0,464.0,73.0,,535.0,20.0,285.0,1290.0,15736.0,203.0,1089.0,179.0,-3.0,-37.0,1383.0,7562.0,152.0,574.0,,122.0,626.0,701.0,63.0,2753.0,66.0,1657.0,496.0,451.0,308.0,339.0,3356.0,2821.0,1529.0,239.0,6.0,354.0,661.0,816.0,294.0,208.0,653.0,3275.0,32.0,40.0,90.0,97.0,1448.0
1957-01-01,5.0,5.0,7.0,101.0,0.0,2633.0,202.0,1720.0,139.0,2008.0,1302.0,471.0,30314.0,1023.0,27222.0,7891.0,,1151.0,1364.0,645.0,0.0,625.0,4449.0,922.0,112.0,,57.0,30.0,269.0,60.0,321.0,75.0,,538.0,23.0,178.0,1133.0,14993.0,123.0,964.0,172.0,-9.0,1.0,1429.0,7102.0,123.0,579.0,,131.0,636.0,552.0,68.0,2551.0,72.0,1567.0,518.0,439.0,255.0,347.0,3630.0,3092.0,1448.0,201.0,8.0,431.0,598.0,863.0,245.0,218.0,466.0,3131.0,-31.0,39.0,105.0,2.0,1330.0
