Date,"Agricultural services, forestry, and fishing","Agriculture, forestry, and fishing",Amusement and recreation services,Apparel and other textile products,"Auto repair, services, and parking",Business services,Chemicals and allied products,Coal mining,Commercial and mutual depository institutions,Communications,Construction,Corporate profits after tax,Depository institutions,Domestic industries,Durable goods,Educational services,"Electric, gas, and sanitary services",Electronic and other electric equipment,Fabricated metal products,Farms,Federal Reserve banks,"Finance, insurance, and real estate",Food and kindred products,Furniture and fixtures,Health services,Holding and other investment offices,Hotels and other lodging places,Industrial machinery and equipment,Instruments and related products,"Insurance agents, brokers, and service",Insurance carriers,Leather and leather products,Legal services,Less: Payments to the rest of the world,Local and interurban passenger transit,Lumber and wood products,Manufacturing,Metal mining,Mining,Miscellaneous manufacturing industries,Miscellaneous repair services,Motion pictures,Motor vehicles and equipment,Nondepository institutions,Nondurable goods,"Nonmetallic minerals, except fuels",Oil and gas extraction,Other,Other services,Other transportation equipment,Paper and allied products,Personal services,Petroleum and coal products,"Pipelines, except natural gas",Primary metal industries,Printing and publishing,Radio and television,Railroad transportation,Real estate,Receipts from the rest of the world,Rest of the world,Retail trade,Rubber and miscellaneous plastics products,Security and commodity brokers,Services,"Stone, clay, and glass products",Telephone and telegraph,Textile mill products,Tobacco products,Transportation,Transportation and public utilities,Transportation by air,Transportation services,Trucking and warehousing,Water transportation,Wholesale trade
1987-01-01,842.0,1342.0,-129.0,1304.0,-289.0,2553.0,10686.0,182.0,28130.0,14615.0,5738.0,222918.0,44379.0,174909.0,35044.0,145.0,10197.0,7593.0,3527.0,500.0,16249.0,44083.0,5653.0,1041.0,4141.0,2561.0,-930.0,2984.0,1333.0,2291.0,-4877.0,381.0,1339.0,10913.0,-13.0,3579.0,62962.0,-689.0,-2651.0,326.0,403.0,-1166.0,3114.0,2085.0,27918.0,618.0,-2762.0,1914.0,7539.0,7380.0,4054.0,585.0,-3887.0,525.0,2347.0,6141.0,570.0,252.0,-2577.0,58922.0,48009.0,15882.0,1087.0,223.0,8566.0,1821.0,14045.0,1430.0,1069.0,-741.0,24071.0,-996.0,-384.0,80.0,-206.0,14915.0
1988-01-01,661.0,1237.0,-70.0,1217.0,-502.0,3997.0,15301.0,556.0,27174.0,14863.0,5051.0,265878.0,45252.0,208893.0,42170.0,336.0,12586.0,8588.0,5025.0,576.0,18078.0,45925.0,4558.0,853.0,3210.0,-3381.0,-941.0,8533.0,2339.0,1835.0,4296.0,400.0,926.0,14595.0,-9.0,2946.0,87224.0,217.0,-545.0,544.0,587.0,-794.0,3601.0,3444.0,45053.0,646.0,-1964.0,1631.0,6104.0,4032.0,6444.0,697.0,5615.0,520.0,4808.0,5609.0,14.0,552.0,-2451.0,71580.0,56985.0,15058.0,1230.0,-3069.0,9076.0,901.0,14849.0,828.0,3852.0,-1159.0,26290.0,-878.0,-530.0,-924.0,110.0,19577.0
1989-01-01,299.0,1040.0,648.0,1377.0,-724.0,4457.0,14411.0,520.0,31990.0,13346.0,4493.0,269403.0,52639.0,202272.0,38188.0,271.0,14645.0,8345.0,4315.0,740.0,20649.0,55066.0,3863.0,622.0,2772.0,-3367.0,-1391.0,10078.0,2402.0,2058.0,8111.0,396.0,980.0,8379.0,126.0,2965.0,75506.0,-206.0,-310.0,352.0,647.0,-1845.0,2299.0,5139.0,37318.0,488.0,-1113.0,2343.0,6367.0,2934.0,5905.0,1191.0,2069.0,491.0,3283.0,5826.0,-533.0,-1015.0,-4432.0,75510.0,67131.0,15750.0,1566.0,-5082.0,9351.0,594.0,13879.0,740.0,1164.0,-5173.0,22818.0,-3261.0,-287.0,-1360.0,133.0,18558.0
1990-01-01,397.0,1022.0,188.0,1200.0,-537.0,5744.0,13244.0,334.0,41789.0,17446.0,1972.0,283837.0,63611.0,207750.0,26183.0,434.0,14824.0,6908.0,3765.0,625.0,21821.0,61775.0,7356.0,578.0,4750.0,-3052.0,-1791.0,8470.0,3490.0,2335.0,1267.0,458.0,1078.0,4831.0,-95.0,1635.0,73197.0,-327.0,711.0,530.0,617.0,-1295.0,-2982.0,6196.0,47014.0,354.0,350.0,3487.0,9749.0,2335.0,4499.0,1006.0,10636.0,487.0,899.0,5608.0,841.0,-5.0,-6081.0,80918.0,76087.0,15113.0,1239.0,-2500.0,13681.0,556.0,16605.0,721.0,2053.0,-7280.0,24990.0,-5758.0,-524.0,-1538.0,153.0,15289.0
1991-01-01,277.0,606.0,587.0,1530.0,-496.0,6530.0,13128.0,185.0,56552.0,21015.0,2228.0,307657.0,77283.0,231186.0,20404.0,661.0,16899.0,8423.0,3137.0,329.0,20731.0,79632.0,10889.0,711.0,8489.0,-2783.0,-1315.0,2908.0,3697.0,2411.0,8810.0,535.0,1065.0,-979.0,244.0,930.0,59855.0,-254.0,-213.0,474.0,626.0,-1575.0,-1906.0,8217.0,39450.0,277.0,-421.0,4023.0,14239.0,3251.0,2700.0,959.0,303.0,451.0,-1071.0,7182.0,1923.0,272.0,-7738.0,75492.0,76471.0,19829.0,1295.0,-6568.0,19554.0,-149.0,19092.0,903.0,985.0,-5011.0,32903.0,-6523.0,138.0,150.0,258.0,16793.0
1992-01-01,565.0,1405.0,1621.0,2071.0,-288.0,9160.0,12376.0,56.0,60388.0,24635.0,876.0,334766.0,78683.0,261676.0,28080.0,516.0,17577.0,8062.0,3744.0,840.0,18296.0,93708.0,10998.0,1062.0,7649.0,-2983.0,-709.0,3395.0,3684.0,2521.0,14329.0,420.0,1693.0,5238.0,218.0,2442.0,63944.0,-220.0,760.0,657.0,656.0,-242.0,4484.0,11059.0,35864.0,318.0,605.0,3696.0,13554.0,3145.0,1703.0,1287.0,-5450.0,416.0,-3263.0,8581.0,3724.0,308.0,-5340.0,78328.0,73090.0,20758.0,1822.0,-4562.0,25038.0,668.0,20911.0,2226.0,1117.0,-6055.0,36157.0,-7039.0,2.0,206.0,-166.0,19030.0
1993-01-01,491.0,1251.0,1438.0,1932.0,407.0,10018.0,12748.0,-202.0,50690.0,27782.0,4496.0,357048.0,67381.0,280118.0,34437.0,479.0,18378.0,9710.0,4884.0,760.0,16691.0,75747.0,10241.0,1478.0,9091.0,-2477.0,236.0,1902.0,2394.0,2686.0,3489.0,209.0,1617.0,12017.0,135.0,3361.0,70846.0,-621.0,505.0,363.0,777.0,-125.0,10170.0,11492.0,36409.0,40.0,1289.0,4845.0,16032.0,1611.0,2045.0,1405.0,-3563.0,431.0,-2197.0,8330.0,4419.0,459.0,-3313.0,88948.0,76931.0,30438.0,1878.0,-3511.0,30188.0,760.0,23364.0,1876.0,713.0,-608.0,45552.0,-3556.0,353.0,1475.0,94.0,21095.0
1994-01-01,750.0,880.0,1775.0,2010.0,203.0,11965.0,16852.0,274.0,51267.0,29163.0,7947.0,438350.0,69782.0,360384.0,55924.0,687.0,23342.0,15940.0,8148.0,130.0,18514.0,93279.0,12218.0,1423.0,10882.0,-2567.0,749.0,3226.0,2091.0,3259.0,23778.0,-59.0,2006.0,26559.0,221.0,3538.0,102400.0,303.0,2479.0,912.0,821.0,-302.0,16853.0,11302.0,46476.0,647.0,1255.0,5739.0,19315.0,978.0,3659.0,1862.0,-3288.0,411.0,365.0,10069.0,4914.0,1814.0,-1596.0,104525.0,77966.0,35433.0,2945.0,-10680.0,36387.0,2451.0,24248.0,1714.0,357.0,2859.0,55363.0,-1823.0,325.0,1880.0,31.0,26216.0
1995-01-01,1096.0,1414.0,1633.0,1719.0,104.0,13437.0,21578.0,59.0,54640.0,27005.0,11420.0,501280.0,77583.0,408332.0,65869.0,888.0,27018.0,18309.0,9430.0,318.0,22944.0,97096.0,20525.0,1544.0,12170.0,-1398.0,1494.0,9540.0,3928.0,3595.0,12185.0,358.0,2563.0,34417.0,353.0,4321.0,135499.0,102.0,3330.0,1187.0,882.0,99.0,8183.0,14222.0,69631.0,696.0,2474.0,6578.0,22200.0,1356.0,10452.0,2106.0,1729.0,493.0,4821.0,8429.0,4842.0,2073.0,461.0,127364.0,92947.0,34670.0,2824.0,-9551.0,41955.0,3251.0,22163.0,1358.0,659.0,4352.0,58375.0,277.0,12.0,1107.0,38.0,24573.0
1996-01-01,1354.0,2437.0,2110.0,1676.0,166.0,15459.0,20150.0,333.0,54750.0,27615.0,14429.0,541429.0,77298.0,439459.0,68863.0,849.0,27956.0,18764.0,10612.0,1084.0,22548.0,104739.0,14465.0,2364.0,11883.0,-806.0,1824.0,9772.0,6331.0,3998.0,13383.0,175.0,2545.0,37388.0,476.0,2518.0,138741.0,-999.0,6913.0,1009.0,1053.0,350.0,8321.0,15660.0,69878.0,599.0,6981.0,5895.0,21173.0,4095.0,6956.0,1956.0,8561.0,507.0,2348.0,11688.0,3843.0,1921.0,1271.0,139358.0,101970.0,39778.0,3844.0,-6065.0,44090.0,2728.0,23772.0,1537.0,826.0,4570.0,60141.0,1906.0,-282.0,-86.0,128.0,28191.0
1997-01-01,1235.0,2546.0,2529.0,1693.0,938.0,18719.0,23818.0,-6.0,51783.0,18783.0,14794.0,592266.0,76065.0,484712.0,85980.0,1080.0,27069.0,27185.0,12833.0,1311.0,24282.0,122098.0,15615.0,2523.0,10961.0,10281.0,1495.0,11704.0,6903.0,4365.0,8231.0,295.0,2820.0,47941.0,379.0,2714.0,159618.0,-486.0,9331.0,2424.0,931.0,-444.0,6435.0,15001.0,73638.0,911.0,8912.0,6664.0,21525.0,5654.0,3631.0,2024.0,9990.0,526.0,2680.0,12019.0,3465.0,829.0,3131.0,155495.0,107554.0,44741.0,3963.0,5024.0,47718.0,4925.0,15318.0,1674.0,938.0,4163.0,50015.0,5015.0,-1843.0,-888.0,145.0,33852.0
1998-01-01,2323.0,2430.0,775.0,1444.0,1005.0,8642.0,21867.0,-266.0,56560.0,11033.0,20617.0,532989.0,82160.0,430227.0,80543.0,1672.0,23119.0,18709.0,12409.0,107.0,25600.0,105659.0,12977.0,2363.0,9629.0,10083.0,748.0,11191.0,5659.0,5182.0,-3576.0,295.0,645.0,44025.0,378.0,3121.0,140857.0,-1116.0,118.0,2751.0,764.0,-978.0,10934.0,15544.0,60314.0,1043.0,456.0,11064.0,23011.0,6494.0,3522.0,2396.0,1370.0,646.0,2189.0,12619.0,2170.0,334.0,3167.0,146786.0,102761.0,52981.0,4089.0,-6902.0,36363.0,4723.0,8863.0,1796.0,336.0,3774.0,37927.0,3503.0,-2111.0,854.0,170.0,33277.0
1999-01-01,2947.0,3974.0,371.0,1040.0,633.0,2357.0,22284.0,-122.0,74068.0,-8051.0,24455.0,570327.0,100745.0,448607.0,73624.0,1763.0,23131.0,17001.0,12164.0,1027.0,26676.0,129277.0,16277.0,2661.0,15304.0,13979.0,1837.0,5158.0,4781.0,5413.0,-3974.0,274.0,2156.0,54951.0,86.0,4684.0,145916.0,-1316.0,1512.0,3524.0,843.0,223.0,8218.0,20949.0,72291.0,-1427.0,4378.0,11846.0,31070.0,10581.0,5641.0,2331.0,3646.0,174.0,-723.0,15619.0,-7950.0,-187.0,3761.0,176671.0,121719.0,54822.0,3895.0,-11595.0,39665.0,5574.0,-102.0,1319.0,2297.0,-1605.0,13474.0,2227.0,-3366.0,-262.0,-277.0,35512.0
2000-01-01,2985.0,3948.0,180.0,1533.0,447.0,-34848.0,16671.0,-243.0,89385.0,-14616.0,29836.0,552974.0,120615.0,407311.0,59973.0,1443.0,17043.0,14584.0,11971.0,963.0,31230.0,126792.0,16845.0,2151.0,19233.0,15334.0,2604.0,10036.0,5146.0,7161.0,-11899.0,220.0,3834.0,55917.0,360.0,2532.0,135487.0,-1280.0,8854.0,2755.0,925.0,-394.0,-692.0,20532.0,75514.0,-267.0,10644.0,10345.0,34855.0,7904.0,7552.0,3352.0,19878.0,-277.0,-1091.0,10240.0,1140.0,1791.0,5595.0,201580.0,145664.0,51113.0,1261.0,-30546.0,7122.0,4677.0,-15756.0,539.0,775.0,1070.0,3497.0,-246.0,-1583.0,798.0,226.0,40662.0
