Date,Accommodation,Accommodation and food services,Administrative and support services,Administrative and waste management services,"Agriculture, forestry, fishing, and hunting",Air transportation,Ambulatory health care services,"Amusements, gambling, and recreation industries",Apparel and leather and allied products,"Arts, entertainment, and recreation",Broadcasting and telecommunications,Chemical products,Computer and electronic products,Computer systems design and related services,Construction,Corporate profits after tax,Credit intermediation and related activities,Domestic industries,Durable goods,Educational services,"Electrical equipment, appliances, and components",Fabricated metal products,Farms,Federal Reserve banks,Finance and insurance,Food and beverage and tobacco products,Food services and drinking places,"Forestry, fishing, and related activities","Funds, trusts, and other financial vehicles",Furniture and related products,Health care and social assistance,Hospitals and nursing and residential care facilities,Information,Information and data processing services,Insurance carriers and related activities,Legal services,Less: Payments to the rest of the world,Machinery,Management of companies and enterprises,Manufacturing,Mining,"Mining, except oil and gas",Miscellaneous manufacturing,"Miscellaneous professional, scientific, and technical services",Motion picture and sound recording industries,"Motor vehicles, bodies and trailers, and parts",Nondurable goods,Nonmetallic mineral products,Oil and gas extraction,"Other services, except government",Other transportation and support activities,Other transportation equipment,Paper products,"Performing arts, spectator sports, museums, and related activities",Petroleum and coal products,Pipeline transportation,Plastics and rubber products,Primary metals,Printing and related support activities,"Professional, scientific, and technical services",Publishing industries (includes software),Rail transportation,Real estate,Real estate and rental and leasing,Receipts from the rest of the world,Rental and leasing services and lessors of intangible assets,Rest of the world,Retail trade,"Securities, commodity contracts, and investments",Social assistance,Support activities for mining,Textile mills and textile product mills,Transit and ground passenger transportation,Transportation and warehousing,Truck transportation,Utilities,Warehousing and storage,Waste management and remediation services,Water transportation,Wholesale trade,Wood products
1998-01-01,1114.0,6947.0,4772.0,6132.0,24.0,2551.0,9318.0,1436.0,2003.0,2313.0,8924.0,19767.0,7451.0,5251.0,21949.0,532989.0,39202.0,430227.0,48826.5,1707.0,6031.0,12929.0,-541.0,25600.0,69927.0,12619.0,5833.0,564.0,10937.0,2478.0,10917.0,830.0,11439.0,-3670.0,2039.0,2432.0,44025.0,10797.0,32564.0,118250.0,3349.0,665.0,6794.0,15529.0,104.0,12047.0,30377.0,4647.0,2137.0,2918.0,88.0,3864.0,1433.0,877.0,-1402.0,693.0,4818.0,3113.0,3837.0,23212.0,6081.0,88.0,4025.0,6973.0,146786.0,2948.0,102761.0,44843.0,-7851.0,768.0,548.0,1870.0,612.0,7016.0,2364.0,19591.0,603.0,1360.0,17.0,40158.0,3154.0
1999-01-01,2176.0,9187.0,6153.0,7419.0,1318.0,1375.0,13213.0,1352.0,1339.0,2507.0,-8840.0,19304.0,-3170.0,2323.0,25768.0,570327.0,45230.0,448607.0,46765.5,1782.0,7880.0,12743.0,447.0,26676.0,78147.0,18487.0,7011.0,871.0,15810.0,2769.0,16813.0,2224.0,2168.0,-5966.0,2608.0,3879.0,54951.0,9015.0,47370.0,119362.0,4970.0,1308.0,6752.0,17173.0,1177.0,9045.0,34960.5,5499.0,5704.0,2797.0,-816.0,11060.0,3302.0,1154.0,144.0,286.0,4702.0,235.0,4121.0,23375.0,15798.0,-197.0,5316.0,6893.0,176671.0,1577.0,121719.0,32662.0,-12177.0,1376.0,-2042.0,1403.0,358.0,2893.0,1545.0,19085.0,685.0,1266.0,-344.0,44091.0,4733.0
2000-01-01,2961.0,11676.0,6104.0,7225.0,853.0,-989.0,15559.0,1129.0,1982.0,2083.0,-15058.0,14293.0,7788.0,-13268.0,31459.0,552974.0,45288.0,407311.0,40808.0,1673.0,4207.0,12534.0,213.0,31230.0,56198.0,16554.0,8715.0,639.0,17258.0,2273.0,20755.0,2333.0,-35368.0,-16129.0,-4312.0,5732.0,55917.0,6952.0,64999.0,111975.0,12885.0,837.0,5289.0,12808.0,669.0,1305.0,39981.5,4615.0,12363.0,4975.0,1437.0,4244.0,4985.0,954.0,16669.0,-275.0,2018.0,-175.0,3495.0,5273.0,-4849.0,1569.0,6210.0,6461.0,201580.0,251.0,145664.0,35563.0,-33266.0,2863.0,-315.0,611.0,572.0,5370.0,2360.0,13650.0,510.0,1121.0,186.0,49604.0,2335.0
2001-01-01,889.0,9668.0,7264.0,8687.0,836.0,-11233.0,21454.0,1598.0,1570.0,3073.0,-24409.0,8648.0,-28864.0,-9203.0,37158.0,547371.0,52768.0,378564.0,-743.0,1480.0,-188.0,6771.0,394.0,28878.0,88279.0,19425.0,8779.0,442.0,23916.0,1171.0,26865.0,1735.0,-34391.0,-11965.0,-3988.0,8215.0,13912.0,1008.0,71452.0,28039.0,13321.0,347.0,3140.0,12319.0,3399.0,-7749.0,34488.0,2909.0,11776.0,6278.0,2775.0,2675.0,-1434.0,1475.0,18971.0,591.0,912.0,-4123.0,2516.0,11331.0,-1416.0,824.0,3658.0,5009.0,182719.0,1350.0,168807.0,51939.0,-13294.0,3676.0,1198.0,-647.0,688.0,-3292.0,2345.0,13380.0,482.0,1423.0,238.0,39451.0,1328.0
2002-01-01,1796.0,11582.0,7253.0,9070.0,280.0,-15882.0,26832.0,2070.0,4133.0,3837.0,-23343.0,19121.0,-25561.0,1679.0,32415.0,646202.0,69878.0,489425.0,5606.5,1912.0,-1664.0,7451.0,-473.0,23483.0,128475.0,16704.0,9786.0,753.0,25542.0,1792.0,35734.0,4739.0,485.0,452.0,8518.0,8783.0,48114.0,1380.0,82323.0,39284.0,4613.0,506.0,4628.0,15007.0,7242.0,-4357.0,34844.5,2248.0,6025.0,4202.0,3065.0,4564.0,520.0,1767.0,4231.0,624.0,2082.0,-1804.0,2605.0,25469.0,16134.0,1033.0,9113.0,10227.0,204891.0,1114.0,156777.0,60810.0,1055.0,4163.0,-1918.0,-162.0,852.0,-8445.0,1195.0,5534.0,603.0,1816.0,65.0,41618.0,1371.0
2003-01-01,841.0,10305.0,9555.0,12597.0,1790.0,-8411.0,27673.0,1717.0,2088.0,3968.0,-8422.0,20956.0,-13582.0,5592.0,30436.0,776821.0,66469.0,617898.0,19890.0,2562.0,1836.0,7283.0,799.0,20047.0,145312.0,18633.0,9464.0,991.0,27993.0,1688.0,38261.0,6364.0,16214.0,436.0,25218.0,8647.0,89178.0,2180.0,85309.0,82575.0,14240.0,1021.0,3593.0,17891.0,6181.0,6768.0,45490.0,2803.0,14289.0,5091.0,3110.0,4458.0,-187.0,2251.0,19583.0,454.0,2115.0,-1976.0,2619.0,32130.0,18019.0,1107.0,11929.0,11968.0,248101.0,40.0,158923.0,66962.0,5585.0,4225.0,-1069.0,-772.0,637.0,860.0,3457.0,9131.0,377.0,3043.0,128.0,48185.0,2489.0
2004-01-01,2528.0,13396.0,11177.0,13774.0,2713.0,-8665.0,29139.0,2389.0,2716.0,5421.0,6911.0,27900.0,-4910.0,7253.0,46447.0,1010041.0,59091.0,814910.0,38841.0,3633.0,-617.0,12684.0,1819.0,20010.0,169330.0,17951.0,10868.0,894.0,27738.0,1796.0,39861.0,6430.0,44126.0,6330.0,52651.0,9297.0,128917.0,8067.0,99715.0,134819.0,20801.0,2584.0,6418.0,21317.0,9467.0,-5038.0,60724.0,4211.0,18058.0,5675.0,5205.0,4580.0,3851.0,3032.0,33011.0,666.0,4717.0,9489.0,3084.0,37867.0,21418.0,2068.0,18901.0,17304.0,324048.0,-1597.0,195131.0,72929.0,9839.0,4291.0,158.0,260.0,733.0,6531.0,5840.0,16258.0,598.0,2596.0,87.0,64310.0,4648.0
2005-01-01,3808.0,17302.0,15921.0,19900.0,4093.0,-6452.0,34720.0,3676.0,3194.0,7219.0,39425.0,22155.0,3937.0,6806.0,70898.0,1326471.0,69177.0,1100756.0,62477.5,4389.0,-1802.0,15699.0,2687.0,26534.0,207431.0,15432.0,13494.0,1406.0,35290.0,3156.0,49333.0,8726.0,75072.0,4385.0,64012.0,11817.0,148640.0,11907.0,111474.0,188919.0,34224.0,7806.0,7377.0,26409.0,5625.0,-3356.0,72247.0,6944.0,24596.0,10177.0,8782.0,15672.0,4196.0,3542.0,58350.0,653.0,5180.0,10939.0,4608.0,45032.0,25638.0,5457.0,29612.0,36547.0,374356.0,6935.0,225715.0,94172.0,12418.0,5888.0,1822.0,515.0,783.0,20496.0,9213.0,23549.0,1104.0,3978.0,956.0,80531.0,4814.0
2006-01-01,4571.0,18864.0,17009.0,17455.0,3821.0,2072.0,37601.0,2943.0,2934.0,6586.0,47800.0,44962.0,18413.0,8756.0,72530.0,1463466.0,54843.0,1223747.0,79691.0,4490.0,10891.0,17426.0,2151.0,33815.0,196286.0,22283.0,14293.0,1670.0,39335.0,3904.0,52135.0,8359.0,83053.0,9362.0,57491.0,11187.0,181792.0,14897.0,112993.0,247515.0,46310.0,11638.0,9605.0,33262.0,7276.0,-9793.0,88948.0,3717.0,28229.0,10727.0,8868.0,17890.0,8686.0,3643.0,53891.0,567.0,4183.0,15113.0,5026.0,53204.0,18614.0,7207.0,27656.0,35173.0,421511.0,7517.0,239719.0,100713.0,10802.0,6175.0,6443.0,881.0,784.0,30510.0,8310.0,41618.0,1297.0,446.0,1405.0,89763.0,2605.0
2007-01-01,2275.0,16424.0,17344.0,22537.0,5650.0,-1457.0,37154.0,2191.0,2343.0,7110.0,54082.0,49064.0,11574.0,9834.0,55327.0,1422377.0,41674.0,1084600.0,64146.0,4462.0,-2525.0,18061.0,3665.0,35977.0,135267.0,23250.0,14149.0,1985.0,46741.0,2790.0,53354.0,7387.0,87840.0,5553.0,39034.0,11160.0,163601.0,16466.0,96333.0,224067.0,46257.0,9310.0,6832.0,34551.0,13561.0,-17689.0,93291.5,3836.0,28789.0,10188.0,3312.0,22674.0,6068.0,4919.0,57391.0,849.0,5688.0,12412.0,4392.0,55545.0,14643.0,7076.0,19759.0,27567.0,501377.0,7808.0,337776.0,94266.0,-28160.0,8813.0,8158.0,781.0,592.0,17153.0,5062.0,34444.0,981.0,5193.0,739.0,90808.0,656.0
2008-01-01,1183.0,11649.0,16333.0,20188.0,2369.0,-2948.0,40336.0,2139.0,1154.0,6701.0,46030.0,37034.0,15799.0,10634.0,35049.0,1182827.0,35303.0,792634.0,40553.5,4941.0,3242.0,15507.0,1207.0,35062.0,-30969.0,20855.0,10466.0,1162.0,32505.0,1239.0,56729.0,8407.0,78934.0,6398.0,-34539.0,13294.0,183657.0,13981.0,120564.0,168529.0,44694.0,9895.0,4137.0,37054.0,9075.0,-38354.0,83112.5,212.0,27957.0,6292.0,6787.0,12322.0,-290.0,4562.0,65629.0,1149.0,1242.0,12468.0,2589.0,60982.0,17431.0,6894.0,16838.0,19689.0,573849.0,2851.0,390193.0,63827.0,-99301.0,7986.0,6843.0,452.0,372.0,20462.0,5866.0,23200.0,983.0,3856.0,1360.0,78803.0,-688.0
2009-01-01,-3641.0,11842.0,15195.0,20639.0,3822.0,700.0,48598.0,2754.0,1769.0,7354.0,38723.0,22207.0,17304.0,14838.0,25016.0,1301731.0,82176.0,952967.0,21340.0,7893.0,7820.0,8371.0,2255.0,47324.0,200452.0,30569.0,15483.0,1567.0,24607.0,1045.0,68173.0,10111.0,68292.0,5150.0,24247.0,14580.0,148193.0,6782.0,146598.0,89325.0,16553.0,7167.0,11152.0,35847.0,8688.0,-50672.0,60328.0,-1242.0,11330.0,9113.0,5921.0,14877.0,4521.0,4600.0,11295.0,1342.0,5257.0,-2835.0,1975.0,65265.0,15731.0,3998.0,14541.0,18868.0,496957.0,4327.0,348764.0,83333.0,22097.0,9463.0,-1944.0,580.0,909.0,18530.0,4412.0,17890.0,1186.0,5444.0,62.0,74010.0,-1450.0
2010-01-01,-2935.0,15081.0,18227.0,24976.0,7227.0,10139.0,50251.0,3573.0,2322.0,7703.0,37842.0,47577.0,32506.0,12110.0,24732.0,1606442.0,65015.0,1220653.0,70339.0,9300.0,9165.0,14559.0,4813.0,71562.0,199295.0,35379.0,18016.0,2414.0,24503.0,1900.0,73537.0,12288.0,79088.0,4261.0,27914.0,14917.0,194122.0,14007.0,169733.0,217099.0,25925.0,11765.0,14217.0,46080.0,14746.0,-11597.0,85322.5,-1200.0,13095.0,14481.0,9214.0,14006.0,6154.0,4131.0,19516.0,735.0,7246.0,4660.0,4046.0,73107.0,22239.0,6631.0,19314.0,23887.0,579911.0,4573.0,385789.0,96355.0,10301.0,10998.0,1065.0,1242.0,1443.0,38468.0,8482.0,26437.0,1280.0,6750.0,543.0,94225.0,1394.0
2011-01-01,2752.0,19805.0,19510.0,24799.0,6510.0,5933.0,49693.0,3802.0,2491.0,9734.0,31624.0,37208.0,24588.0,10707.0,27960.0,1589431.0,90306.0,1176882.0,78836.5,7944.0,3344.0,15249.0,4239.0,75963.0,194943.0,32376.0,17053.0,2271.0,22445.0,1913.0,74504.0,14598.0,75653.0,3531.0,10989.0,15898.0,228515.0,20626.0,147766.0,236684.0,26248.0,14511.0,13589.0,43371.0,15756.0,-459.0,86709.5,896.0,8113.0,14641.0,10654.0,14534.0,5485.0,5931.0,41616.0,-5043.0,7718.0,10345.0,3489.0,69976.0,24743.0,5815.0,20998.0,16235.0,641064.0,-4763.0,412550.0,95354.0,-4761.0,10213.0,3623.0,1128.0,1180.0,24853.0,5504.0,8865.0,1060.0,5289.0,-249.0,94409.0,548.0
