Date,"Agricultural services, forestry, and fisheries","Agriculture, forestry, and fisheries",Amusement and recreation services,Anthracite mining,Apparel and other textile products,Banking,Bituminous and other soft coal mining,Business services,Chemicals and allied products,Communication,Contract construction,Credit agencies (other than banks) and holding and other investment companies,Crude petroleum and natural gas,Domestic industries,Durable goods,Electric and electronic equipment,"Electric, gas, and sanitary services",Farms,"Finance, insurance, and real estate",Food and kindred products,Furniture and finished lumber products,Hotels and other lodging places,"Insurance agents, brokers, and service",Insurance carriers,"Iron and steel and their products, including ordnance",Leather and leather products,Local and interurban passenger transit,"Local utilities and public services, n.e.c.",Lumber and basic timber products,"Machinery, except electrical",Manufacturing,Metal mining,Mining,"Miscellaneous manufacturing, including instruments and miscellaneous plastic products",Miscellaneous repair services,Motion pictures,Motor vehicles and equipment,Net corporate dividends,Nondurable goods,Nonferrous metals and their products,Nonmetallic mining and quarrying,Other services,Other transportation equipment,Paper and allied products,Personal services,Petroleum and coal products,"Pipelines, except natural gas",Printing and publishing,Radio and television broadcasting,Railroad transportation,Real estate,Rest of the world,Retail trade and automobile services,Rubber products,"Security and commodity brokers, and services",Services,"Stone, clay, and glass products",Telephone and telegraph,Textile mill products,Tobacco manufactures,Transportation,Transportation and public utilities,Transportation by air,Transportation services,Trucking and warehousing,Utilities: electric and gas,Water transportation,Wholesale trade
1929-01-01,5.0,8.0,11.0,16.0,36.0,415.0,27.0,37.0,208.0,165.0,60.0,0.0,49.0,5573.0,1335.0,90.0,463.0,3.0,836.0,297.0,26.0,6.0,16.0,60.0,345.0,31.0,115.0,14.0,69.0,256.0,2548.0,185.0,309.0,75.0,3.0,17.0,245.0,5805.0,1213.0,106.0,32.0,3.0,40.0,56.0,11.0,219.0,92.0,126.0,4.0,297.0,340.0,232.0,344.0,23.0,5.0,88.0,83.0,161.0,134.0,83.0,565.0,1193.0,0.0,20.0,12.0,449.0,29.0,187.0
1930-01-01,4.0,3.0,8.0,13.0,26.0,392.0,24.0,24.0,262.0,202.0,67.0,-81.0,63.0,5331.0,1139.0,81.0,654.0,-1.0,614.0,322.0,17.0,4.0,15.0,42.0,319.0,33.0,79.0,53.0,46.0,214.0,2461.0,85.0,207.0,66.0,2.0,33.0,205.0,5468.0,1322.0,79.0,22.0,1.0,39.0,51.0,7.0,292.0,90.0,123.0,6.0,348.0,240.0,137.0,297.0,21.0,6.0,79.0,73.0,196.0,97.0,95.0,576.0,1432.0,0.0,18.0,11.0,601.0,30.0,171.0
1931-01-01,2.0,13.0,4.0,9.0,18.0,339.0,16.0,13.0,193.0,220.0,40.0,-91.0,31.0,4070.0,764.0,65.0,550.0,11.0,503.0,260.0,11.0,2.0,16.0,44.0,177.0,26.0,66.0,24.0,20.0,137.0,1831.0,35.0,111.0,50.0,1.0,26.0,168.0,4066.0,1067.0,58.0,20.0,1.0,25.0,36.0,5.0,248.0,49.0,93.0,5.0,217.0,190.0,-4.0,242.0,18.0,5.0,52.0,53.0,215.0,76.0,99.0,376.0,1146.0,0.0,16.0,8.0,526.0,20.0,132.0
1932-01-01,1.0,6.0,2.0,6.0,9.0,252.0,7.0,16.0,168.0,192.0,19.0,-90.0,34.0,2580.0,364.0,22.0,484.0,5.0,301.0,197.0,7.0,1.0,8.0,9.0,80.0,19.0,64.0,13.0,8.0,70.0,1089.0,10.0,69.0,28.0,1.0,10.0,70.0,2546.0,725.0,42.0,12.0,2.0,10.0,20.0,3.0,105.0,53.0,58.0,1.0,25.0,117.0,-34.0,139.0,12.0,5.0,35.0,27.0,191.0,45.0,92.0,176.0,852.0,0.0,14.0,8.0,471.0,12.0,70.0
1933-01-01,1.0,-1.0,1.0,1.0,8.0,137.0,4.0,11.0,172.0,190.0,19.0,-94.0,34.0,2040.0,274.0,24.0,349.0,-2.0,135.0,189.0,4.0,0.0,7.0,5.0,35.0,18.0,55.0,16.0,9.0,47.0,974.0,11.0,58.0,26.0,0.0,5.0,64.0,2038.0,700.0,40.0,8.0,2.0,3.0,27.0,2.0,112.0,23.0,34.0,1.0,19.0,76.0,-2.0,112.0,5.0,4.0,21.0,22.0,189.0,49.0,86.0,123.0,662.0,0.0,11.0,7.0,333.0,8.0,60.0
1934-01-01,1.0,16.0,3.0,3.0,11.0,167.0,28.0,17.0,153.0,189.0,14.0,-352.0,89.0,2507.0,466.0,21.0,428.0,15.0,-42.0,240.0,7.0,0.0,8.0,3.0,97.0,20.0,50.0,17.0,23.0,80.0,1150.0,28.0,160.0,32.0,1.0,7.0,74.0,2567.0,684.0,67.0,12.0,3.0,26.0,37.0,2.0,-6.0,59.0,64.0,3.0,77.0,128.0,60.0,168.0,-3.0,4.0,33.0,39.0,186.0,79.0,89.0,232.0,849.0,3.0,12.0,7.0,411.0,24.0,159.0
1935-01-01,2.0,17.0,4.0,3.0,15.0,172.0,11.0,16.0,258.0,197.0,19.0,-691.0,56.0,2685.0,631.0,10.0,445.0,15.0,-331.0,244.0,9.0,-1.0,10.0,20.0,217.0,20.0,56.0,17.0,21.0,102.0,1449.0,35.0,122.0,60.0,1.0,6.0,77.0,2844.0,818.0,60.0,17.0,3.0,25.0,43.0,3.0,12.0,112.0,69.0,8.0,71.0,154.0,159.0,225.0,4.0,4.0,32.0,50.0,189.0,75.0,78.0,318.0,960.0,3.0,12.0,8.0,428.0,56.0,192.0
1936-01-01,2.0,33.0,8.0,3.0,27.0,172.0,16.0,25.0,242.0,183.0,33.0,-84.0,49.0,4419.0,1060.0,79.0,464.0,31.0,294.0,335.0,19.0,0.0,9.0,5.0,191.0,26.0,35.0,18.0,32.0,178.0,2254.0,72.0,161.0,64.0,1.0,26.0,255.0,4523.0,1194.0,124.0,21.0,4.0,23.0,58.0,5.0,161.0,66.0,101.0,11.0,117.0,173.0,104.0,376.0,28.0,19.0,69.0,95.0,172.0,119.0,97.0,285.0,932.0,3.0,15.0,9.0,446.0,40.0,267.0
1937-01-01,2.0,26.0,9.0,1.0,22.0,178.0,12.0,29.0,250.0,189.0,39.0,-77.0,70.0,4538.0,1172.0,108.0,501.0,24.0,311.0,294.0,20.0,0.0,10.0,4.0,251.0,25.0,31.0,16.0,37.0,216.0,2280.0,121.0,226.0,66.0,1.0,28.0,213.0,4660.0,1108.0,122.0,22.0,5.0,38.0,72.0,5.0,116.0,64.0,90.0,12.0,123.0,197.0,122.0,347.0,24.0,-1.0,77.0,101.0,177.0,118.0,97.0,285.0,975.0,2.0,15.0,9.0,485.0,41.0,257.0
1938-01-01,1.0,10.0,6.0,1.0,14.0,188.0,7.0,21.0,169.0,195.0,20.0,-60.0,71.0,2918.0,428.0,58.0,475.0,9.0,303.0,253.0,18.0,2.0,11.0,28.0,81.0,18.0,16.0,16.0,14.0,138.0,1181.0,62.0,155.0,31.0,1.0,21.0,2.0,3165.0,753.0,29.0,14.0,3.0,12.0,38.0,6.0,55.0,64.0,62.0,9.0,44.0,130.0,247.0,236.0,11.0,6.0,60.0,45.0,186.0,43.0,90.0,173.0,843.0,1.0,17.0,11.0,459.0,20.0,110.0
