Date,"Agricultural services, forestry, and fishing","Agriculture, forestry, and fishing",Amusement and recreation services,Apparel and other textile products,"Auto repair, services, and parking",Banking,Business services,Chemicals and allied products,Coal mining,Commercial and mutual banks,Communication,Construction,Credit agencies other than banks,Domestic industries,Durable goods,Educational services,Electric and electronic equipment,"Electric, gas, and sanitary services",Fabricated metal products,Farms,Federal Reserve banks,"Finance, insurance, and real estate",Food and kindred products,Furniture and fixtures,Health services,Holding and other investment offices,Hotels and other lodging places,Instruments and related products,"Insurance agents, brokers, and service",Insurance carriers,Leather and leather products,Legal services,Less: Payments to the rest of the world,Local and interurban passenger transit,Lumber and wood products,"Machinery, except electrical",Manufacturing,Metal mining,Mining,Miscellaneous manufacturing industries,Miscellaneous repair services,Motion pictures,Motor vehicles and equipment,Net corporate dividends,Nondurable goods,"Nonmetallic minerals, except fuels",Oil and gas extraction,Other,Other services,Other transportation equipment,Paper and allied products,Personal services,Petroleum and coal products,"Pipelines, except natural gas",Primary metal industries,Printing and publishing,Radio and television,Railroad transportation,Real estate,Receipts from the rest of the world,Rest of the world,Retail trade,Rubber and miscellaneous plastics products,Security and commodity brokers,Services,"Stone, clay, and glass products",Telephone and telegraph,Textile mill products,Tobacco manufactures,Transportation,Transportation and public utilities,Transportation by air,Transportation services,Trucking and warehousing,Water transportation,Wholesale trade
1948-01-01,2.0,47.0,15.0,55.0,2.0,463.0,27.0,339.0,69.0,284.0,217.0,62.0,95.0,6367.0,1539.0,,137.0,539.0,179.0,45.0,179.0,685.0,407.0,31.0,,-39.0,19.0,44.0,16.0,-43.0,39.0,,235.0,30.0,87.0,288.0,3254.0,92.0,215.0,72.0,1.0,45.0,243.0,7203.0,1715.0,33.0,21.0,,7.0,84.0,145.0,13.0,243.0,9.0,270.0,131.0,9.0,197.0,195.0,1071.0,836.0,558.0,18.0,-2.0,129.0,104.0,208.0,254.0,84.0,296.0,1052.0,-1.0,11.0,19.0,31.0,365.0
1949-01-01,2.0,45.0,15.0,42.0,2.0,521.0,32.0,390.0,58.0,316.0,236.0,68.0,89.0,6599.0,1702.0,,140.0,612.0,171.0,43.0,205.0,760.0,391.0,29.0,,-59.0,16.0,48.0,12.0,-1.0,36.0,,286.0,29.0,72.0,280.0,3462.0,67.0,196.0,65.0,1.0,52.0,430.0,7431.0,1760.0,31.0,40.0,,6.0,81.0,118.0,13.0,354.0,15.0,270.0,122.0,5.0,152.0,201.0,1118.0,832.0,511.0,29.0,-3.0,137.0,116.0,231.0,190.0,88.0,256.0,1104.0,-2.0,11.0,21.0,30.0,316.0
1950-01-01,3.0,51.0,16.0,46.0,3.0,577.0,32.0,503.0,57.0,367.0,289.0,75.0,110.0,8051.0,2378.0,,220.0,748.0,197.0,48.0,210.0,885.0,415.0,39.0,,-15.0,19.0,59.0,14.0,-7.0,36.0,,308.0,27.0,98.0,334.0,4265.0,104.0,306.0,71.0,2.0,29.0,717.0,9035.0,1887.0,41.0,104.0,,6.0,92.0,154.0,14.0,279.0,47.0,408.0,120.0,16.0,200.0,209.0,1292.0,984.0,582.0,25.0,-3.0,121.0,143.0,273.0,219.0,90.0,350.0,1387.0,5.0,11.0,26.0,34.0,379.0
1951-01-01,3.0,60.0,17.0,34.0,2.0,629.0,30.0,456.0,47.0,360.0,321.0,67.0,109.0,7663.0,2026.0,,208.0,833.0,198.0,57.0,269.0,815.0,426.0,30.0,,-42.0,17.0,54.0,12.0,-82.0,33.0,,336.0,31.0,95.0,320.0,3861.0,107.0,306.0,67.0,3.0,43.0,460.0,8825.0,1835.0,41.0,111.0,,8.0,89.0,185.0,11.0,285.0,16.0,368.0,108.0,7.0,250.0,194.0,1498.0,1162.0,545.0,6.0,-5.0,131.0,137.0,314.0,213.0,89.0,375.0,1529.0,7.0,10.0,22.0,39.0,349.0
1952-01-01,2.0,39.0,16.0,31.0,2.0,686.0,31.0,483.0,45.0,379.0,361.0,74.0,142.0,7753.0,2027.0,,229.0,917.0,183.0,37.0,307.0,882.0,408.0,29.0,,-38.0,24.0,67.0,9.0,-99.0,29.0,,323.0,33.0,83.0,328.0,3833.0,72.0,316.0,57.0,2.0,36.0,457.0,8852.0,1806.0,47.0,152.0,,10.0,95.0,170.0,12.0,294.0,10.0,359.0,107.0,8.0,241.0,182.0,1422.0,1099.0,529.0,30.0,0.0,133.0,140.0,353.0,163.0,91.0,358.0,1636.0,8.0,10.0,20.0,36.0,311.0
1953-01-01,1.0,31.0,14.0,30.0,6.0,766.0,31.0,450.0,31.0,407.0,415.0,64.0,179.0,8094.0,2101.0,,259.0,905.0,183.0,30.0,359.0,1043.0,467.0,29.0,,-67.0,16.0,71.0,13.0,-36.0,27.0,,327.0,29.0,70.0,325.0,4038.0,76.0,341.0,52.0,1.0,21.0,462.0,9229.0,1937.0,40.0,194.0,,8.0,108.0,194.0,11.0,392.0,31.0,379.0,112.0,6.0,260.0,192.0,1462.0,1135.0,507.0,20.0,-4.0,108.0,163.0,409.0,151.0,94.0,399.0,1719.0,9.0,11.0,27.0,32.0,243.0
1954-01-01,3.0,31.0,19.0,27.0,2.0,729.0,28.0,550.0,23.0,437.0,462.0,62.0,173.0,8136.0,2159.0,,269.0,1028.0,187.0,28.0,292.0,950.0,417.0,28.0,,-71.0,16.0,76.0,10.0,-59.0,27.0,,318.0,33.0,74.0,300.0,3959.0,92.0,437.0,54.0,1.0,19.0,514.0,9558.0,1800.0,44.0,278.0,,8.0,134.0,202.0,12.0,208.0,14.0,345.0,111.0,7.0,266.0,171.0,1740.0,1422.0,498.0,41.0,-3.0,105.0,178.0,455.0,119.0,98.0,387.0,1877.0,10.0,12.0,24.0,28.0,217.0
1955-01-01,1.0,28.0,16.0,27.0,3.0,750.0,31.0,668.0,31.0,480.0,513.0,71.0,166.0,9151.0,2649.0,,302.0,1182.0,196.0,27.0,270.0,915.0,427.0,34.0,,-87.0,27.0,97.0,9.0,-99.0,31.0,,349.0,29.0,89.0,309.0,4681.0,138.0,426.0,64.0,3.0,10.0,704.0,10730.0,2032.0,52.0,205.0,,9.0,156.0,220.0,13.0,254.0,25.0,506.0,125.0,12.0,305.0,179.0,1928.0,1579.0,543.0,45.0,-3.0,112.0,192.0,501.0,135.0,100.0,466.0,2161.0,13.0,16.0,29.0,49.0,214.0
1956-01-01,1.0,25.0,18.0,28.0,5.0,922.0,34.0,681.0,42.0,501.0,621.0,69.0,173.0,9869.0,2749.0,,342.0,1227.0,200.0,24.0,421.0,1066.0,406.0,35.0,,-97.0,22.0,105.0,11.0,-140.0,32.0,,368.0,31.0,87.0,340.0,5005.0,159.0,450.0,72.0,2.0,14.0,668.0,11682.0,2256.0,52.0,197.0,,11.0,161.0,267.0,16.0,399.0,31.0,494.0,131.0,16.0,332.0,204.0,2181.0,1813.0,554.0,60.0,-7.0,122.0,245.0,605.0,137.0,115.0,484.0,2332.0,14.0,20.0,27.0,29.0,246.0
1957-01-01,0.0,30.0,14.0,21.0,5.0,1119.0,47.0,713.0,34.0,556.0,700.0,82.0,215.0,10399.0,2813.0,,333.0,1283.0,214.0,30.0,563.0,1362.0,440.0,39.0,,-52.0,19.0,113.0,9.0,-117.0,31.0,,381.0,25.0,76.0,372.0,5245.0,95.0,294.0,70.0,2.0,8.0,673.0,12285.0,2432.0,46.0,119.0,,12.0,159.0,255.0,14.0,504.0,32.0,532.0,145.0,24.0,333.0,189.0,2267.0,1886.0,552.0,66.0,-1.0,121.0,232.0,676.0,136.0,121.0,480.0,2463.0,10.0,20.0,30.0,30.0,250.0
