Date,"Agricultural services, forestry, and fishing","Agriculture, forestry, and fishing",Amusement and recreation services,Apparel and other textile products,"Auto repair, services, and parking",Business services,Chemicals and allied products,Coal mining,Commercial and mutual depository institutions,Communications,Construction,Depository institutions,Domestic industries,Durable goods,Educational services,"Electric, gas, and sanitary services",Electronic and other electric equipment,Fabricated metal products,Farms,Federal Reserve banks,"Finance, insurance, and real estate",Food and kindred products,Furniture and fixtures,Health services,Holding and other investment offices,Hotels and other lodging places,Industrial machinery and equipment,Instruments and related products,"Insurance agents, brokers, and service",Insurance carriers,Leather and leather products,Legal services,Less: Payments to the rest of the world,Local and interurban passenger transit,Lumber and wood products,Manufacturing,Metal mining,Mining,Miscellaneous manufacturing industries,Miscellaneous repair services,Motion pictures,Motor vehicles and equipment,Net corporate dividends,Nondepository institutions,Nondurable goods,"Nonmetallic minerals, except fuels",Oil and gas extraction,Other,Other services,Other transportation equipment,Paper and allied products,Personal services,Petroleum and coal products,"Pipelines, except natural gas",Primary metal industries,Printing and publishing,Radio and television,Railroad transportation,Real estate,Receipts from the rest of the world,Rest of the world,Retail trade,Rubber and miscellaneous plastics products,Security and commodity brokers,Services,"Stone, clay, and glass products",Telephone and telegraph,Textile mill products,Tobacco products,Transportation,Transportation and public utilities,Transportation by air,Transportation services,Trucking and warehousing,Water transportation,Wholesale trade
1987-01-01,91.0,301.0,236.0,477.0,328.0,1517.0,5839.0,289.0,8024.0,11033.0,1144.0,25880.0,103163.0,10417.0,47.0,14133.0,2862.0,283.0,211.0,17856.0,28735.0,4097.0,244.0,735.0,-4662.0,1518.0,1419.0,535.0,645.0,3613.0,101.0,55.0,11207.0,62.0,704.0,27943.0,749.0,2289.0,388.0,45.0,204.0,2493.0,119868.0,869.0,17526.0,562.0,690.0,239.0,1077.0,647.0,1073.0,237.0,3131.0,381.0,572.0,2277.0,337.0,812.0,1823.0,27912.0,16705.0,4967.0,109.0,568.0,5161.0,269.0,10696.0,343.0,78.0,1990.0,27157.0,65.0,-33.0,555.0,148.0,5466.0
1988-01-01,190.0,1024.0,333.0,292.0,547.0,2312.0,9817.0,641.0,9663.0,9794.0,1519.0,27153.0,113617.0,5655.0,47.0,14306.0,1610.0,1370.0,834.0,17490.0,34635.0,1500.0,326.0,1375.0,-1273.0,1123.0,-1576.0,388.0,464.0,3736.0,98.0,183.0,13234.0,70.0,812.0,27386.0,498.0,2992.0,570.0,57.0,64.0,399.0,145511.0,1156.0,21731.0,530.0,1323.0,493.0,2099.0,424.0,1381.0,254.0,5006.0,448.0,964.0,1992.0,-81.0,1166.0,3183.0,45128.0,31894.0,7627.0,379.0,216.0,6790.0,367.0,9875.0,354.0,910.0,2821.0,26921.0,193.0,66.0,727.0,151.0,4723.0
1989-01-01,191.0,862.0,653.0,689.0,431.0,3136.0,11354.0,760.0,11955.0,10603.0,3123.0,33731.0,147709.0,12454.0,357.0,16298.0,3134.0,1669.0,671.0,21776.0,45687.0,4189.0,501.0,2357.0,86.0,428.0,-1065.0,533.0,798.0,6560.0,112.0,339.0,16278.0,50.0,921.0,40402.0,619.0,3717.0,702.0,86.0,252.0,2091.0,179309.0,1031.0,27948.0,491.0,1847.0,699.0,3752.0,1376.0,2885.0,440.0,2058.0,423.0,1789.0,3752.0,611.0,1005.0,3340.0,47878.0,31600.0,9005.0,335.0,143.0,9178.0,802.0,9992.0,652.0,1921.0,2812.0,29713.0,256.0,-76.0,996.0,158.0,6021.0
1990-01-01,290.0,1123.0,649.0,771.0,300.0,2610.0,13760.0,536.0,13151.0,11839.0,3203.0,36900.0,168590.0,11885.0,130.0,18854.0,3110.0,1511.0,833.0,23749.0,54210.0,5013.0,322.0,1818.0,2016.0,496.0,-785.0,413.0,937.0,8887.0,170.0,275.0,18684.0,53.0,987.0,48204.0,418.0,3986.0,850.0,151.0,638.0,2806.0,193564.0,729.0,36319.0,457.0,2575.0,1123.0,3347.0,530.0,2929.0,385.0,7400.0,386.0,1711.0,3896.0,956.0,1057.0,3919.0,43658.0,24974.0,8236.0,1040.0,821.0,8577.0,431.0,10884.0,434.0,905.0,3084.0,33777.0,186.0,242.0,945.0,215.0,7274.0
1991-01-01,254.0,1051.0,815.0,836.0,308.0,4727.0,13688.0,392.0,16399.0,11562.0,3922.0,37330.0,177803.0,13586.0,172.0,19340.0,3489.0,1866.0,797.0,20931.0,55933.0,7558.0,220.0,2507.0,924.0,290.0,204.0,826.0,1601.0,10128.0,276.0,391.0,17119.0,86.0,1252.0,50516.0,729.0,3885.0,893.0,167.0,250.0,2578.0,202130.0,1522.0,36930.0,228.0,2536.0,1420.0,4490.0,394.0,2240.0,446.0,6985.0,469.0,1265.0,3070.0,647.0,1233.0,3622.0,41446.0,24327.0,10004.0,639.0,804.0,11492.0,599.0,10915.0,577.0,1061.0,3295.0,34197.0,91.0,242.0,958.0,216.0,6804.0
1992-01-01,234.0,1394.0,1179.0,1405.0,376.0,3991.0,13471.0,248.0,13999.0,13799.0,3917.0,30945.0,178473.0,15886.0,228.0,18772.0,4293.0,1636.0,1159.0,16946.0,48464.0,7322.0,286.0,3349.0,319.0,476.0,1283.0,1098.0,1677.0,8022.0,187.0,522.0,16649.0,133.0,1088.0,54171.0,342.0,2156.0,641.0,260.0,149.0,2545.0,206507.0,1781.0,38285.0,279.0,1287.0,1656.0,5755.0,-187.0,2559.0,490.0,6438.0,345.0,2122.0,4360.0,1030.0,1686.0,4257.0,44683.0,28034.0,11610.0,766.0,1463.0,12676.0,1081.0,12769.0,688.0,1088.0,4126.0,36697.0,321.0,333.0,1084.0,223.0,7389.0
1993-01-01,418.0,1167.0,1517.0,992.0,527.0,4807.0,14919.0,246.0,16350.0,15200.0,4611.0,32532.0,201111.0,17967.0,175.0,20103.0,3859.0,1721.0,749.0,16182.0,57131.0,8840.0,518.0,3552.0,2335.0,587.0,2730.0,1869.0,1582.0,11360.0,162.0,729.0,18885.0,80.0,1069.0,58614.0,139.0,2889.0,397.0,304.0,-449.0,2321.0,221693.0,2165.0,40647.0,453.0,2052.0,2550.0,7005.0,1670.0,2162.0,602.0,8364.0,359.0,1145.0,3617.0,51.0,1865.0,5202.0,39467.0,20582.0,12571.0,904.0,1956.0,14901.0,667.0,15148.0,1031.0,-343.0,4283.0,39585.0,244.0,381.0,1074.0,279.0,9642.0
1994-01-01,601.0,1579.0,1503.0,854.0,524.0,6350.0,13216.0,365.0,18892.0,18163.0,5259.0,39574.0,220391.0,17869.0,198.0,18883.0,4062.0,2671.0,978.0,20682.0,68324.0,8970.0,497.0,3557.0,4181.0,1091.0,2821.0,950.0,2341.0,10986.0,151.0,522.0,21486.0,132.0,1447.0,56806.0,425.0,2828.0,829.0,241.0,128.0,1768.0,258557.0,2992.0,38937.0,229.0,1808.0,2758.0,7035.0,444.0,2385.0,732.0,7412.0,324.0,1441.0,3750.0,930.0,1242.0,5909.0,59652.0,38166.0,15195.0,1725.0,2341.0,17605.0,938.0,17233.0,814.0,-339.0,4409.0,41455.0,305.0,571.0,1466.0,370.0,11340.0
1995-01-01,742.0,1826.0,1477.0,1091.0,529.0,9042.0,14742.0,361.0,20124.0,19875.0,6807.0,43744.0,250774.0,21500.0,301.0,19890.0,2995.0,3676.0,1084.0,23620.0,79085.0,9834.0,646.0,4442.0,5465.0,962.0,1802.0,2217.0,2627.0,12980.0,119.0,957.0,25787.0,92.0,1678.0,61261.0,747.0,3593.0,804.0,380.0,368.0,4081.0,283546.0,5751.0,39761.0,493.0,1992.0,3516.0,9217.0,843.0,2866.0,998.0,5800.0,359.0,1803.0,3472.0,1086.0,2283.0,6336.0,58559.0,32772.0,16912.0,1505.0,2183.0,22974.0,955.0,18790.0,940.0,-607.0,5409.0,45174.0,345.0,647.0,1360.0,324.0,13143.0
1996-01-01,824.0,1838.0,2625.0,1068.0,657.0,10263.0,16326.0,426.0,28552.0,22300.0,7783.0,48891.0,283461.0,22171.0,253.0,19051.0,5080.0,4407.0,1014.0,20339.0,94291.0,14796.0,557.0,4989.0,12335.0,934.0,428.0,1644.0,3373.0,13932.0,94.0,1156.0,28683.0,125.0,1401.0,68339.0,503.0,3435.0,1282.0,350.0,1073.0,3185.0,323852.0,4277.0,46168.0,613.0,1893.0,4902.0,11300.0,1446.0,3666.0,972.0,3244.0,403.0,1447.0,5621.0,1432.0,1579.0,8379.0,69074.0,40391.0,16924.0,1409.0,3105.0,28174.0,1293.0,20868.0,991.0,-1048.0,5956.0,47307.0,441.0,1168.0,1751.0,488.0,15371.0
1997-01-01,863.0,2526.0,2738.0,847.0,992.0,10944.0,16094.0,885.0,25725.0,21965.0,11152.0,46684.0,312727.0,25788.0,560.0,17185.0,5906.0,4741.0,1662.0,20959.0,107352.0,17179.0,1178.0,5759.0,20827.0,1369.0,415.0,1500.0,2887.0,18342.0,168.0,1202.0,32780.0,136.0,1690.0,75509.0,573.0,4202.0,2214.0,479.0,765.0,4152.0,359937.0,4489.0,49721.0,496.0,2247.0,6092.0,13613.0,1151.0,3046.0,1397.0,6571.0,326.0,1455.0,4961.0,2117.0,1323.0,10571.0,79990.0,47210.0,18924.0,1665.0,3552.0,32298.0,1386.0,19848.0,793.0,-1604.0,5536.0,44687.0,468.0,1015.0,1936.0,332.0,16078.0
1998-01-01,1930.0,3375.0,2114.0,1038.0,1359.0,15278.0,19892.0,357.0,26724.0,16347.0,12783.0,53628.0,344361.0,30950.0,320.0,17395.0,6586.0,5956.0,1446.0,26904.0,117209.0,17540.0,668.0,5631.0,23671.0,1767.0,-1556.0,1647.0,2861.0,8170.0,123.0,1496.0,40977.0,238.0,1641.0,85823.0,238.0,4241.0,2163.0,449.0,665.0,10498.0,386631.0,3935.0,54873.0,1781.0,1865.0,6935.0,14382.0,1563.0,3360.0,2203.0,6630.0,542.0,741.0,4650.0,943.0,521.0,13882.0,83247.0,42270.0,21534.0,1986.0,11062.0,38217.0,1042.0,15404.0,1017.0,-1364.0,5378.0,39119.0,396.0,1153.0,2165.0,363.0,22058.0
1999-01-01,1784.0,3725.0,2087.0,1066.0,1332.0,11186.0,16727.0,300.0,24378.0,19447.0,15450.0,50162.0,333669.0,25796.0,524.0,14427.0,4508.0,6138.0,1941.0,25784.0,122561.0,9746.0,837.0,6766.0,41893.0,1907.0,613.0,807.0,3492.0,1053.0,119.0,2093.0,50962.0,228.0,3087.0,68386.0,142.0,2403.0,2454.0,502.0,588.0,3772.0,375368.0,5912.0,42591.0,765.0,1195.0,8606.0,17990.0,1223.0,2899.0,1557.0,7232.0,525.0,1328.0,4393.0,1657.0,977.0,13559.0,92660.0,41699.0,25539.0,2763.0,6490.0,37148.0,1028.0,17789.0,548.0,-2903.0,5372.0,39246.0,421.0,785.0,2094.0,342.0,19209.0
2000-01-01,2083.0,3905.0,2614.0,931.0,1617.0,14598.0,18889.0,224.0,25296.0,20580.0,17910.0,51050.0,383651.0,29606.0,536.0,13268.0,8591.0,5827.0,1821.0,25754.0,148257.0,11250.0,800.0,7325.0,50602.0,1366.0,-2396.0,1972.0,4634.0,6719.0,167.0,2586.0,56917.0,176.0,3263.0,79199.0,542.0,4381.0,2369.0,568.0,875.0,6206.0,413069.0,9250.0,49593.0,997.0,2618.0,10459.0,20907.0,1259.0,3430.0,1752.0,6815.0,616.0,827.0,5888.0,3445.0,366.0,15932.0,86335.0,29418.0,23082.0,2330.0,10070.0,44296.0,888.0,17135.0,556.0,-661.0,5072.0,38919.0,470.0,600.0,2462.0,381.0,23701.0
