Date,Accommodation,Accommodation and food services,Administrative and support services,Administrative and waste management services,"Agriculture, forestry, fishing, and hunting",Air transportation,Ambulatory health care services,"Amusements, gambling, and recreation industries",Apparel and leather and allied products,"Arts, entertainment, and recreation",Broadcasting and telecommunications,Chemical products,Computer and electronic products,Computer systems design and related services,Construction,Credit intermediation and related activities,Domestic industries,Durable goods,Educational services,"Electrical equipment, appliances, and components",Fabricated metal products,Farms,Federal Reserve banks,Finance and insurance,Food and beverage and tobacco products,Food services and drinking places,"Forestry, fishing, and related activities","Funds, trusts, and other financial vehicles",Furniture and related products,Health care and social assistance,Hospitals and nursing and residential care facilities,Information,Information and data processing services,Insurance carriers and related activities,Legal services,Less: Payments to the rest of the world,Machinery,Management of companies and enterprises,Manufacturing,Mining,"Mining, except oil and gas",Miscellaneous manufacturing,"Miscellaneous professional, scientific, and technical services",Motion picture and sound recording industries,"Motor vehicles, bodies and trailers, and parts",Net corporate dividends,Nondurable goods,Nonmetallic mineral products,Oil and gas extraction,"Other services, except government",Other transportation and support activities,Other transportation equipment,Paper products,"Performing arts, spectator sports, museums, and related activities",Petroleum and coal products,Pipeline transportation,Plastics and rubber products,Primary metals,Printing and related support activities,"Professional, scientific, and technical services",Publishing industries (includes software),Rail transportation,Real estate,Real estate and rental and leasing,Receipts from the rest of the world,Rental and leasing services and lessors of intangible assets,Rest of the world,Retail trade,"Securities, commodity contracts, and investments",Social assistance,Support activities for mining,Textile mills and textile product mills,Transit and ground passenger transportation,Transportation and warehousing,Truck transportation,Utilities,Warehousing and storage,Waste management and remediation services,Water transportation,Wholesale trade,Wood products
1998-01-01,1767.0,5192.0,4436.0,7874.0,2241.0,364.0,3746.0,1055.0,1161.0,2309.0,16348.0,19893.0,-764.0,3028.0,14585.0,5058.0,344361.0,22048.0,320.0,5704.0,5956.0,1446.0,26904.0,78939.0,16177.0,3425.0,795.0,24882.0,668.0,5862.0,1341.0,20345.0,1033.0,11033.0,1804.0,40977.0,11.0,24389.0,82825.0,4242.0,1092.0,3887.0,14217.0,674.0,10498.0,386631.0,30388.0,1042.0,1865.0,3437.0,1127.0,1562.0,3360.0,1254.0,6630.0,542.0,1986.0,742.0,1825.0,19050.0,2289.0,507.0,12037.0,14314.0,83247.0,2277.0,42270.0,17847.0,11062.0,775.0,1285.0,1017.0,201.0,4656.0,1311.0,13887.0,328.0,3438.0,276.0,22048.0,1468.0
1999-01-01,1907.0,5588.0,3209.0,4417.0,2819.0,385.0,4877.0,1432.0,1185.0,2900.0,19447.0,16727.0,-5094.0,2668.0,17555.0,6860.0,333669.0,18694.5,524.0,6622.0,6138.0,1941.0,25784.0,78075.0,6845.0,3681.0,878.0,34416.0,837.0,6988.0,1336.0,22590.0,1157.0,4525.0,2367.0,50962.0,3386.0,30927.0,65881.0,2403.0,973.0,3465.0,12814.0,634.0,3772.0,375368.0,23838.5,1028.0,1195.0,3063.0,1126.0,1224.0,2899.0,1468.0,7232.0,525.0,2763.0,1328.0,1994.0,17849.0,1352.0,952.0,11401.0,13044.0,92660.0,1643.0,41699.0,21669.0,6490.0,776.0,235.0,548.0,214.0,5085.0,1230.0,13108.0,431.0,1208.0,221.0,19184.0,2980.0
2000-01-01,1365.0,5521.0,4450.0,5167.0,2704.0,357.0,6041.0,1816.0,1098.0,3261.0,20580.0,18889.0,-4936.0,2648.0,20195.0,9928.0,383651.0,22391.0,537.0,8952.0,5827.0,1822.0,25754.0,101853.0,10588.0,4156.0,882.0,44759.0,800.0,7736.0,772.0,26796.0,1498.0,11342.0,2950.0,56917.0,2483.0,30471.0,74841.0,4382.0,1600.0,4036.0,15808.0,836.0,6206.0,413069.0,26877.0,888.0,2618.0,3508.0,1302.0,1259.0,3429.0,1445.0,6814.0,616.0,2330.0,827.0,1695.0,21407.0,3882.0,359.0,13652.0,15580.0,86335.0,1928.0,29418.0,18790.0,10070.0,922.0,165.0,556.0,198.0,4734.0,1257.0,12475.0,406.0,717.0,239.0,23694.0,3098.0
2001-01-01,1293.0,5720.0,4576.0,5184.0,2961.0,803.0,8029.0,1418.0,1279.0,2986.0,14233.0,18480.0,-771.0,2309.0,21167.0,8123.0,362060.0,21027.0,681.0,8085.0,4918.0,1947.0,27517.0,90234.0,11422.0,4427.0,1013.0,34795.0,757.0,9930.0,658.0,17864.0,-32.0,9099.0,4563.0,46539.0,2716.0,26407.0,71008.0,4307.0,830.0,3759.0,15785.0,725.0,3621.0,402921.0,26754.5,926.0,3250.0,3839.0,1329.0,1176.0,3425.0,1568.0,5555.0,347.0,1637.0,800.0,1476.0,22657.0,2939.0,695.0,14167.0,15714.0,87400.0,1546.0,40861.0,20496.0,10700.0,1243.0,227.0,417.0,515.0,5784.0,1343.0,10568.0,376.0,608.0,376.0,24555.0,1331.0
2002-01-01,1281.0,5721.0,5869.0,6474.0,2847.0,232.0,9248.0,1291.0,2217.0,3364.0,12187.0,16657.0,-4076.0,2991.0,23423.0,9551.0,379443.0,18924.5,510.0,9149.0,4816.0,1996.0,24979.0,92351.0,15115.0,4440.0,851.0,37637.0,1078.0,11648.0,665.0,16867.0,482.0,12359.0,4310.0,44750.0,2452.0,32373.0,78747.0,3017.0,652.0,3578.0,14861.0,742.0,3699.0,427522.0,31636.5,967.0,2497.0,3579.0,1385.0,2364.0,2827.0,2073.0,12311.0,355.0,1535.0,771.0,1491.0,22162.0,3457.0,193.0,15201.0,16888.0,92829.0,1687.0,48079.0,21898.0,7824.0,1735.0,-132.0,518.0,345.0,4356.0,1106.0,10843.0,412.0,604.0,328.0,22375.0,1279.0
2003-01-01,1088.0,6199.0,6647.0,7540.0,3193.0,318.0,11246.0,1925.0,1368.0,3767.0,19190.0,13218.0,1463.0,2289.0,22430.0,11998.0,422953.0,21478.0,1075.0,9464.0,7110.0,2115.0,22540.0,92349.0,14479.0,5111.0,1078.0,35218.0,884.0,13368.0,655.0,26083.0,511.0,12634.0,5392.0,68917.0,2434.0,35724.0,94781.0,4753.0,1361.0,4437.0,16496.0,928.0,-471.0,455049.0,37207.5,1496.0,3051.0,3549.0,1875.0,2653.0,2589.0,1842.0,28210.0,428.0,1532.0,575.0,1652.0,24177.0,5454.0,810.0,18102.0,20108.0,101013.0,2007.0,32096.0,25648.0,9960.0,1467.0,341.0,428.0,275.0,6015.0,1547.0,9602.0,470.0,894.0,291.0,22591.0,1261.0
2004-01-01,2206.0,7841.0,6969.0,8448.0,3833.0,574.0,12096.0,2438.0,1637.0,4799.0,9435.0,23476.0,250.0,3225.0,27012.0,15833.0,517519.0,25892.0,1163.0,10596.0,5526.0,2751.0,18660.0,85809.0,21031.0,5635.0,1082.0,34169.0,1031.0,14609.0,1016.0,48869.0,124.0,7424.0,5021.0,73324.0,3164.0,64655.0,111480.0,6356.0,1435.0,5529.0,17375.0,2090.0,621.0,579837.0,46062.0,1338.0,4688.0,3812.0,2497.0,3682.0,3214.0,2361.0,22142.0,593.0,1947.0,2151.0,1944.0,25622.0,37221.0,843.0,23554.0,25555.0,135642.0,2001.0,62318.0,27604.0,9722.0,1497.0,233.0,418.0,205.0,7101.0,1544.0,10524.0,491.0,1479.0,354.0,32427.0,1783.0
2005-01-01,2650.0,9560.0,8368.0,9633.0,4205.0,310.0,13064.0,2025.0,1459.0,5361.0,8022.0,-69755.0,-45312.0,3262.0,35277.0,14701.0,318392.0,-7798.5,1130.0,6401.0,3372.0,2878.0,22249.0,96561.0,-3953.0,6910.0,1326.0,39178.0,1193.0,16441.0,1405.0,11753.0,1116.0,11153.0,6136.0,102477.0,718.0,45835.0,-73951.0,3833.0,1462.0,-3605.0,18903.0,-580.0,-1342.0,579254.0,-10437.5,743.0,1101.0,4492.0,2557.0,1886.0,-2000.0,3336.0,25844.0,637.0,3840.0,2507.0,2108.0,28301.0,3195.0,1004.0,33074.0,34966.0,363340.0,1892.0,260862.0,26425.0,9280.0,1972.0,1270.0,413.0,271.0,8277.0,2685.0,12814.0,581.0,1265.0,233.0,37479.0,1532.0
2006-01-01,3963.0,11982.0,9148.0,11104.0,6530.0,491.0,15757.0,1694.0,2286.0,4437.0,13411.0,41173.0,2564.0,5943.0,40808.0,15605.0,637938.0,36982.0,1240.0,13420.0,7679.0,5282.0,29923.0,102131.0,15280.0,8018.0,1248.0,30721.0,1328.0,18873.0,1047.0,24936.0,2359.0,10580.0,5742.0,108113.0,4804.0,63018.0,153579.0,19373.0,4247.0,4637.0,26724.0,1068.0,551.0,715841.0,60719.0,1784.0,13587.0,5733.0,3656.0,5579.0,3918.0,2743.0,35319.0,411.0,3159.0,3938.0,2831.0,38409.0,8098.0,1245.0,30424.0,32754.0,186015.0,2330.0,77902.0,34918.0,15302.0,2069.0,1540.0,620.0,299.0,11129.0,3543.0,15164.0,546.0,1956.0,938.0,41822.0,2709.0
2007-01-01,4695.0,12771.0,11132.0,13277.0,5927.0,785.0,17773.0,1977.0,2141.0,6980.0,17577.0,38794.0,8167.0,7146.0,43616.0,11246.0,677861.0,36414.0,1358.0,5964.0,9175.0,4179.0,35590.0,129005.0,17499.0,8075.0,1748.0,48124.0,1572.0,26758.0,5381.0,33691.0,1397.0,10423.0,7109.0,108550.0,7029.0,65538.0,126493.0,9526.0,3483.0,4698.0,28248.0,2328.0,-2588.0,818291.0,48689.5,1036.0,4881.0,6660.0,3667.0,5359.0,4756.0,5003.0,12957.0,569.0,2492.0,3068.0,1842.0,42503.0,12388.0,2537.0,34559.0,38541.0,248980.0,3982.0,140430.0,36378.0,23622.0,3604.0,1162.0,722.0,256.0,14151.0,4024.0,20975.0,829.0,2145.0,1484.0,43714.0,1809.0
2008-01-01,520.0,7905.0,11790.0,13973.0,5436.0,410.0,19565.0,1786.0,1438.0,5529.0,18955.0,37425.0,17571.0,6309.0,42582.0,6070.0,660852.0,48316.5,2177.0,13644.0,8787.0,3532.0,32878.0,118902.0,13076.0,7386.0,1904.0,47472.0,1154.0,24753.0,1816.0,35585.0,2291.0,5355.0,7449.0,135853.0,7037.0,50782.0,126965.0,11227.0,3884.0,4166.0,32225.0,1463.0,276.0,841365.0,40957.0,2090.0,4110.0,8174.0,3937.0,8456.0,178.0,3743.0,-1155.0,678.0,2623.0,5579.0,2121.0,45984.0,12876.0,2994.0,44191.0,47413.0,316365.0,3222.0,180513.0,31457.0,27126.0,3372.0,3233.0,1237.0,335.0,13433.0,3135.0,16993.0,778.0,2183.0,1165.0,51583.0,1263.0
2009-01-01,1017.0,8885.0,8892.0,10619.0,4897.0,238.0,22037.0,1356.0,1321.0,4676.0,16301.0,-5817.0,9341.0,7267.0,34214.0,10784.0,516582.0,36972.5,1539.0,13496.0,6117.0,3468.0,48858.0,111583.0,18530.0,7868.0,1429.0,37622.0,1349.0,27015.0,1562.0,26371.0,1124.0,-85.0,7259.0,119017.0,6130.0,37206.0,66491.0,11031.0,3605.0,2626.0,25404.0,2087.0,3789.0,634718.0,14172.0,902.0,4253.0,5034.0,3547.0,6632.0,2316.0,3320.0,-7988.0,437.0,1848.0,3111.0,1376.0,39930.0,6859.0,2105.0,34288.0,36985.0,237153.0,2696.0,118137.0,27310.0,14404.0,3415.0,3174.0,439.0,257.0,11431.0,3581.0,15566.0,563.0,1727.0,704.0,35798.0,971.0
2010-01-01,-458.0,8180.0,8436.0,11501.0,5299.0,203.0,21393.0,1139.0,1649.0,4277.0,12238.0,31082.0,5778.0,6890.0,29836.0,5515.0,514546.0,28433.0,2463.0,2525.0,8388.0,3677.0,80851.0,115366.0,20661.0,8637.0,1622.0,19380.0,1185.0,26820.0,2105.0,21992.0,1244.0,-7440.0,7835.0,126577.0,4816.0,17013.0,77009.0,11360.0,2455.0,5520.0,28068.0,1649.0,-1176.0,635963.0,31679.5,496.0,6448.0,5505.0,3883.0,5394.0,3004.0,3138.0,-23210.0,452.0,5112.0,2298.0,1672.0,42793.0,6861.0,2747.0,25468.0,28375.0,247994.0,2907.0,121417.0,35315.0,17060.0,3322.0,2457.0,538.0,344.0,11920.0,2676.0,16308.0,904.0,3065.0,711.0,43216.0,1278.0
2011-01-01,832.0,10201.0,9621.0,11916.0,6954.0,276.0,24107.0,1349.0,1427.0,4724.0,13674.0,34701.0,13743.0,13613.0,26670.0,9574.0,633083.0,37857.5,2309.0,4633.0,7272.0,5233.0,77001.0,138875.0,15792.0,9369.0,1721.0,26362.0,1300.0,31632.0,1699.0,26548.0,3018.0,6104.0,7830.0,143683.0,5545.0,33376.0,102856.0,9432.0,6656.0,5316.0,29152.0,1113.0,117.0,787996.0,39715.5,1555.0,159.0,6674.0,4639.0,7678.0,4090.0,3375.0,-7310.0,486.0,1937.0,2219.0,1578.0,50595.0,8742.0,4034.0,40295.0,42679.0,298596.0,2383.0,154913.0,37666.0,19834.0,5826.0,2617.0,525.0,439.0,14606.0,3621.0,23080.0,568.0,2295.0,544.0,52290.0,736.0
2012-01-01,-490.0,10261.0,12852.0,15051.0,9395.0,410.0,28199.0,2089.0,2012.0,5861.0,17628.0,41312.0,9280.0,8764.0,31787.0,23763.0,765393.0,47870.5,2585.0,9599.0,11220.0,7023.0,90056.0,173232.0,17572.0,10752.0,2372.0,25748.0,1163.0,35015.0,2336.0,30682.0,1381.0,11152.0,9809.0,151663.0,11620.0,52270.0,124997.0,17079.0,5016.0,7368.0,36690.0,67.0,659.0,945317.0,43613.0,1754.0,8527.0,6992.0,5012.0,6989.0,3669.0,3772.0,-9761.0,1006.0,3777.0,2945.0,2055.0,55263.0,11606.0,4780.0,48968.0,53267.0,331588.0,4299.0,179925.0,46791.0,22513.0,4480.0,3536.0,280.0,572.0,18331.0,4207.0,18562.0,1448.0,2199.0,898.0,57970.0,1485.0
2013-01-01,966.0,13892.0,12663.0,15081.0,7745.0,575.0,25619.0,1369.0,4131.0,4982.0,19313.0,44905.0,21857.0,9391.0,36074.0,141988.0,858891.0,48621.0,1836.0,5748.0,10155.0,4967.0,81282.0,279056.0,19595.0,12926.0,2778.0,24692.0,1062.0,30997.0,1799.0,35327.0,1249.0,10963.0,9663.0,179533.0,8166.0,29741.0,156170.0,12225.0,5131.0,6763.0,33816.0,2023.0,1907.0,997315.0,52321.0,2344.0,2915.0,6984.0,5159.0,9406.0,4250.0,3612.0,5305.0,996.0,3967.0,2320.0,1875.0,52870.0,12741.0,3949.0,45217.0,48787.0,317957.0,3570.0,138424.0,45456.0,20131.0,3579.0,4179.0,839.0,443.0,16738.0,4275.0,19216.0,658.0,2419.0,682.0,45715.0,1573.0
