Date,"Agricultural services, forestry, and fisheries","Agriculture, forestry, and fisheries",Amusement and recreation services,Anthracite mining,Apparel and other textile products,Banking,Bituminous and other soft coal mining,Business services,Chemicals and allied products,Communication,Contract construction,Credit agencies (other than banks) and holding and other investment companies,Crude petroleum and natural gas,Domestic industries,Durable goods,Electric and electronic equipment,"Electric, gas, and sanitary services",Farms,"Finance, insurance, and real estate",Food and kindred products,Furniture and finished lumber products,Hotels and other lodging places,"Insurance agents, brokers, and service",Insurance carriers,"Iron and steel and their products, including ordnance",Leather and leather products,Local and interurban passenger transit,"Local utilities and public services, n.e.c.",Lumber and basic timber products,"Machinery, except electrical",Manufacturing,Metal mining,Mining,"Miscellaneous manufacturing, including instruments and miscellaneous plastic products",Miscellaneous repair services,Motion pictures,Motor vehicles and equipment,Nondurable goods,Nonferrous metals and their products,Nonmetallic mining and quarrying,Other services,Other transportation equipment,Paper and allied products,Personal services,Petroleum and coal products,"Pipelines, except natural gas",Printing and publishing,Radio and television broadcasting,Railroad transportation,Real estate,Rest of the world,Retail trade and automobile services,Rubber products,"Security and commodity brokers, and services",Services,"Stone, clay, and glass products",Telephone and telegraph,Textile mill products,Tobacco manufactures,Transportation,Transportation and public utilities,Transportation by air,Transportation services,Trucking and warehousing,Undistributed corporate profits,Utilities: electric and gas,Water transportation,Wholesale trade
1929-01-01,3.0,-3.0,2.0,-8.0,-6.0,526.0,-16.0,15.0,166.0,105.0,69.0,84.0,74.0,3741.0,946.0,-1.0,-16.0,-6.0,641.0,114.0,4.0,4.0,13.0,139.0,419.0,11.0,-70.0,18.0,34.0,179.0,1894.0,45.0,116.0,1.0,2.0,151.0,171.0,948.0,87.0,21.0,26.0,-4.0,39.0,21.0,372.0,-15.0,197.0,16.0,371.0,-298.0,0.0,231.0,0.0,177.0,221.0,57.0,89.0,13.0,41.0,314.0,403.0,-6.0,-11.0,27.0,3741.0,-34.0,18.0,167.0
1930-01-01,3.0,-43.0,-8.0,-2.0,-63.0,370.0,-34.0,23.0,-6.0,16.0,33.0,23.0,-38.0,-1751.0,-611.0,-114.0,-296.0,-46.0,2.0,-8.0,-58.0,-8.0,7.0,67.0,-72.0,-50.0,-42.0,-27.0,-56.0,-66.0,-1018.0,-45.0,-101.0,-79.0,2.0,115.0,-70.0,-407.0,-36.0,18.0,16.0,-41.0,-5.0,19.0,-86.0,-28.0,100.0,-9.0,-122.0,-272.0,0.0,-138.0,-63.0,-193.0,159.0,-19.0,25.0,-268.0,41.0,-220.0,-499.0,-19.0,-10.0,15.0,-1751.0,-269.0,-14.0,-147.0
1931-01-01,-1.0,-81.0,-16.0,-3.0,-80.0,325.0,-38.0,9.0,-14.0,-17.0,-31.0,34.0,-127.0,-4002.0,-1358.0,-174.0,-262.0,-80.0,-115.0,-107.0,-73.0,-26.0,8.0,74.0,-323.0,-49.0,-69.0,-8.0,-103.0,-209.0,-2201.0,-68.0,-246.0,-116.0,1.0,32.0,-142.0,-842.0,-74.0,-10.0,1.0,-75.0,-41.0,10.0,-405.0,-13.0,41.0,-8.0,-394.0,-337.0,0.0,-324.0,-35.0,-219.0,11.0,-70.0,-9.0,-197.0,46.0,-502.0,-781.0,-9.0,-9.0,9.0,-4002.0,-255.0,-17.0,-235.0
1932-01-01,-2.0,-72.0,-22.0,-18.0,-81.0,321.0,-34.0,-6.0,-71.0,-57.0,-91.0,26.0,-26.0,-4275.0,-1694.0,-209.0,-233.0,-70.0,-8.0,-135.0,-85.0,-35.0,17.0,151.0,-385.0,-45.0,-80.0,10.0,-93.0,-276.0,-2372.0,-56.0,-151.0,-135.0,1.0,-43.0,-259.0,-678.0,-94.0,-17.0,-10.0,-60.0,-72.0,0.0,-111.0,-26.0,-14.0,-1.0,-371.0,-474.0,0.0,-438.0,-33.0,-50.0,-115.0,-98.0,-56.0,-174.0,57.0,-507.0,-797.0,-3.0,-9.0,2.0,-4275.0,-243.0,-20.0,-232.0
1933-01-01,2.0,-27.0,-16.0,-9.0,8.0,396.0,-26.0,-2.0,34.0,-76.0,-54.0,3.0,-54.0,-727.0,-515.0,-192.0,-129.0,-29.0,269.0,115.0,-26.0,-30.0,13.0,409.0,-69.0,21.0,-60.0,18.0,-7.0,-89.0,-294.0,6.0,-91.0,-60.0,2.0,14.0,-19.0,222.0,10.0,-8.0,-11.0,-43.0,6.0,10.0,-116.0,-2.0,49.0,-3.0,-311.0,-452.0,0.0,-1.0,3.0,-101.0,-32.0,-21.0,-73.0,121.0,-20.0,-363.0,-568.0,-3.0,-1.0,10.0,-727.0,-147.0,4.0,70.0
1934-01-01,2.0,-46.0,-4.0,-4.0,7.0,250.0,-13.0,12.0,100.0,-54.0,-10.0,194.0,-19.0,-96.0,-238.0,-175.0,-91.0,-48.0,178.0,117.0,-18.0,-23.0,15.0,213.0,3.0,1.0,-61.0,11.0,-30.0,12.0,16.0,23.0,-15.0,-22.0,4.0,57.0,9.0,254.0,30.0,-2.0,-6.0,-49.0,26.0,20.0,-35.0,-1.0,52.0,5.0,-356.0,-495.0,0.0,197.0,2.0,0.0,60.0,2.0,-59.0,-36.0,21.0,-433.0,-579.0,-9.0,-8.0,11.0,-96.0,-103.0,-9.0,103.0
1935-01-01,1.0,-12.0,0.0,-14.0,6.0,286.0,-7.0,15.0,11.0,-41.0,3.0,558.0,17.0,576.0,76.0,-60.0,-148.0,-13.0,521.0,51.0,-6.0,-22.0,10.0,146.0,-53.0,22.0,-90.0,11.0,-8.0,58.0,313.0,37.0,32.0,-8.0,2.0,72.0,129.0,237.0,57.0,-1.0,-2.0,-49.0,26.0,20.0,18.0,-54.0,67.0,3.0,-282.0,-457.0,0.0,190.0,8.0,-22.0,84.0,16.0,-44.0,1.0,26.0,-456.0,-644.0,-6.0,-7.0,13.0,576.0,-159.0,-30.0,89.0
1936-01-01,3.0,-21.0,2.0,-9.0,21.0,338.0,-8.0,7.0,83.0,-13.0,25.0,-63.0,82.0,1175.0,317.0,-61.0,-121.0,-24.0,286.0,102.0,6.0,-24.0,11.0,335.0,134.0,15.0,-40.0,3.0,18.0,107.0,719.0,47.0,121.0,0.0,3.0,82.0,68.0,402.0,28.0,9.0,2.0,-21.0,31.0,20.0,22.0,-13.0,62.0,6.0,-202.0,-336.0,0.0,192.0,3.0,2.0,91.0,38.0,-19.0,40.0,23.0,-267.0,-400.0,-3.0,-12.0,12.0,1175.0,-124.0,-9.0,162.0
1937-01-01,1.0,-26.0,2.0,-14.0,4.0,378.0,0.0,2.0,69.0,-6.0,11.0,-37.0,142.0,1317.0,465.0,-41.0,-51.0,-27.0,298.0,-12.0,3.0,-23.0,9.0,313.0,180.0,-5.0,-58.0,7.0,32.0,139.0,809.0,85.0,226.0,1.0,2.0,86.0,92.0,344.0,34.0,13.0,1.0,1.0,40.0,18.0,216.0,2.0,51.0,6.0,-227.0,-315.0,150.0,159.0,-4.0,-50.0,88.0,24.0,-12.0,-33.0,18.0,-294.0,-351.0,-5.0,-11.0,10.0,1467.0,-59.0,-5.0,104.0
1938-01-01,0.0,-24.0,0.0,-13.0,-1.0,346.0,-22.0,4.0,72.0,-24.0,5.0,-20.0,79.0,355.0,-79.0,-62.0,-79.0,-24.0,506.0,33.0,-9.0,-32.0,7.0,365.0,-82.0,-12.0,-74.0,-1.0,-12.0,35.0,84.0,43.0,90.0,2.0,1.0,82.0,39.0,163.0,8.0,3.0,1.0,-10.0,1.0,4.0,75.0,-5.0,31.0,4.0,-322.0,-174.0,54.0,72.0,2.0,-17.0,59.0,11.0,-28.0,-62.0,25.0,-410.0,-513.0,-3.0,-12.0,15.0,409.0,-79.0,-9.0,75.0
