Date,"Agricultural services, forestry, and fishing","Agriculture, forestry, and fishing",Amusement and recreation services,Apparel and other textile products,"Auto repair, services, and parking",Banking,Business services,Chemicals and allied products,Coal mining,Commercial and mutual banks,Communication,Construction,Credit agencies other than banks,Domestic industries,Durable goods,Educational services,Electric and electronic equipment,"Electric, gas, and sanitary services",Fabricated metal products,Farms,Federal Reserve banks,"Finance, insurance, and real estate",Food and kindred products,Furniture and fixtures,Health services,Holding and other investment offices,Hotels and other lodging places,Instruments and related products,"Insurance agents, brokers, and service",Insurance carriers,Leather and leather products,Legal services,Less: Payments to the rest of the world,Local and interurban passenger transit,Lumber and wood products,"Machinery, except electrical",Manufacturing,Metal mining,Mining,Miscellaneous manufacturing industries,Miscellaneous repair services,Motion pictures,Motor vehicles and equipment,Nondurable goods,"Nonmetallic minerals, except fuels",Oil and gas extraction,Other,Other services,Other transportation equipment,Paper and allied products,Personal services,Petroleum and coal products,"Pipelines, except natural gas",Primary metal industries,Printing and publishing,Radio and television,Railroad transportation,Real estate,Receipts from the rest of the world,Rest of the world,Retail trade,Rubber and miscellaneous plastics products,Security and commodity brokers,Services,"Stone, clay, and glass products",Telephone and telegraph,Textile mill products,Tobacco manufactures,Transportation,Transportation and public utilities,Transportation by air,Transportation services,Trucking and warehousing,Undistributed corporate profits,Water transportation,Wholesale trade
1948-01-01,-1.0,44.0,23.0,129.0,11.0,845.0,60.0,683.0,243.0,796.0,53.0,369.0,213.0,16620.0,4373.0,,435.0,181.0,475.0,45.0,49.0,1904.0,543.0,77.0,,-34.0,59.0,84.0,30.0,629.0,40.0,,156.0,13.0,284.0,784.0,9263.0,113.0,932.0,143.0,7.0,82.0,862.0,4891.0,61.0,515.0,,52.0,80.0,355.0,36.0,2009.0,29.0,912.0,275.0,21.0,493.0,219.0,581.0,425.0,1683.0,129.0,2.0,330.0,238.0,33.0,662.0,64.0,690.0,923.0,-1.0,18.0,97.0,17045.0,40.0,1172.0
1949-01-01,-6.0,22.0,7.0,59.0,8.0,818.0,56.0,574.0,58.0,788.0,59.0,336.0,293.0,12308.0,3111.0,,292.0,204.0,261.0,28.0,30.0,2240.0,546.0,53.0,,-8.0,53.0,61.0,29.0,848.0,18.0,,143.0,-8.0,132.0,517.0,6317.0,35.0,619.0,81.0,5.0,113.0,844.0,3207.0,58.0,467.0,,47.0,44.0,229.0,37.0,1186.0,28.0,617.0,254.0,32.0,228.0,245.0,436.0,293.0,1113.0,69.0,14.0,326.0,209.0,27.0,199.0,72.0,417.0,681.0,17.0,15.0,87.0,12601.0,50.0,654.0
1950-01-01,-4.0,35.0,-16.0,133.0,12.0,779.0,66.0,881.0,110.0,799.0,187.0,288.0,356.0,16733.0,4830.0,,548.0,153.0,488.0,39.0,-20.0,1916.0,622.0,95.0,,-56.0,39.0,106.0,27.0,549.0,58.0,,190.0,-3.0,321.0,729.0,9463.0,94.0,812.0,167.0,0.0,73.0,980.0,4633.0,65.0,543.0,,48.0,135.0,400.0,29.0,1558.0,23.0,948.0,248.0,66.0,513.0,246.0,475.0,285.0,1531.0,214.0,15.0,251.0,312.0,120.0,455.0,65.0,764.0,1104.0,43.0,19.0,130.0,17018.0,39.0,1333.0
1951-01-01,0.0,4.0,-12.0,46.0,13.0,937.0,66.0,674.0,91.0,912.0,231.0,244.0,377.0,13669.0,3935.0,,385.0,78.0,424.0,4.0,25.0,2098.0,347.0,67.0,,-8.0,34.0,113.0,26.0,570.0,12.0,,169.0,5.0,238.0,749.0,7609.0,77.0,742.0,119.0,-1.0,-68.0,597.0,3674.0,73.0,501.0,,62.0,101.0,357.0,31.0,1561.0,43.0,893.0,226.0,141.0,303.0,192.0,751.0,582.0,973.0,184.0,4.0,125.0,249.0,90.0,226.0,42.0,567.0,875.0,44.0,21.0,84.0,14251.0,66.0,998.0
1952-01-01,1.0,-25.0,0.0,71.0,15.0,940.0,68.0,531.0,49.0,901.0,302.0,280.0,546.0,12534.0,3510.0,,462.0,94.0,329.0,-26.0,39.0,2470.0,335.0,65.0,,-3.0,32.0,106.0,37.0,762.0,35.0,,134.0,-2.0,170.0,713.0,6650.0,37.0,546.0,91.0,-2.0,-58.0,660.0,3140.0,66.0,394.0,,63.0,148.0,260.0,30.0,1437.0,45.0,579.0,238.0,194.0,310.0,185.0,923.0,789.0,847.0,138.0,4.0,149.0,187.0,108.0,56.0,39.0,491.0,887.0,26.0,19.0,81.0,13323.0,12.0,729.0
1953-01-01,2.0,-40.0,-6.0,56.0,11.0,994.0,75.0,638.0,28.0,959.0,376.0,227.0,478.0,13313.0,3903.0,,467.0,161.0,350.0,-42.0,35.0,2642.0,367.0,50.0,,31.0,25.0,113.0,32.0,866.0,27.0,,163.0,-7.0,151.0,673.0,7526.0,67.0,457.0,89.0,-6.0,-9.0,742.0,3623.0,68.0,294.0,,65.0,204.0,255.0,32.0,1746.0,20.0,836.0,238.0,226.0,198.0,221.0,826.0,663.0,724.0,160.0,20.0,187.0,228.0,149.0,76.0,60.0,353.0,889.0,30.0,14.0,85.0,13976.0,13.0,700.0
1954-01-01,-1.0,-1.0,-23.0,65.0,9.0,864.0,76.0,716.0,6.0,834.0,459.0,252.0,568.0,13347.0,3672.0,,454.0,166.0,328.0,0.0,30.0,2804.0,432.0,47.0,,19.0,22.0,160.0,36.0,986.0,35.0,,162.0,-17.0,168.0,650.0,7709.0,50.0,428.0,95.0,-17.0,13.0,668.0,4037.0,83.0,288.0,,60.0,235.0,275.0,32.0,2058.0,50.0,573.0,252.0,282.0,-149.0,288.0,702.0,540.0,719.0,130.0,42.0,173.0,295.0,177.0,1.0,72.0,5.0,630.0,42.0,19.0,77.0,13887.0,-17.0,634.0
1955-01-01,3.0,-26.0,-19.0,96.0,12.0,1292.0,95.0,971.0,55.0,1266.0,644.0,195.0,686.0,18147.0,5660.0,,508.0,113.0,442.0,-29.0,26.0,3170.0,561.0,97.0,,42.0,1.0,153.0,35.0,856.0,50.0,,187.0,-3.0,274.0,726.0,10794.0,52.0,607.0,117.0,-11.0,83.0,1494.0,5134.0,104.0,396.0,,82.0,265.0,368.0,35.0,2301.0,34.0,1107.0,347.0,374.0,11.0,246.0,962.0,775.0,1049.0,192.0,12.0,279.0,477.0,269.0,148.0,99.0,223.0,980.0,47.0,21.0,99.0,18922.0,14.0,1099.0
1956-01-01,3.0,-22.0,-17.0,96.0,8.0,1604.0,126.0,1033.0,118.0,1557.0,646.0,364.0,779.0,18344.0,5426.0,,693.0,128.0,458.0,-25.0,47.0,3280.0,553.0,102.0,,95.0,12.0,160.0,50.0,604.0,41.0,,167.0,-11.0,198.0,950.0,10731.0,44.0,639.0,107.0,-5.0,-51.0,715.0,5306.0,100.0,377.0,,111.0,465.0,434.0,47.0,2354.0,35.0,1163.0,365.0,435.0,-24.0,135.0,1175.0,1008.0,975.0,179.0,13.0,232.0,416.0,211.0,157.0,93.0,169.0,943.0,18.0,20.0,63.0,19352.0,68.0,1202.0
1957-01-01,5.0,-25.0,-7.0,80.0,-5.0,1514.0,155.0,1007.0,105.0,1452.0,602.0,389.0,808.0,16823.0,5078.0,,818.0,81.0,431.0,-30.0,62.0,3087.0,482.0,73.0,,109.0,11.0,156.0,51.0,438.0,44.0,,157.0,-2.0,102.0,761.0,9748.0,28.0,670.0,102.0,-11.0,-7.0,756.0,4670.0,77.0,460.0,,119.0,477.0,297.0,54.0,2047.0,40.0,1035.0,373.0,415.0,-78.0,158.0,1363.0,1206.0,896.0,135.0,9.0,310.0,366.0,187.0,109.0,97.0,-14.0,668.0,-41.0,19.0,75.0,18029.0,-28.0,1080.0
