Date,"Agricultural services, forestry, and fishing","Agriculture, forestry, and fishing",Amusement and recreation services,Apparel and other textile products,"Auto repair, services, and parking",Business services,Chemicals and allied products,Coal mining,Commercial and mutual depository institutions,Communications,Construction,Depository institutions,Domestic industries,Durable goods,Educational services,"Electric, gas, and sanitary services",Electronic and other electric equipment,Fabricated metal products,Farms,Federal Reserve banks,"Finance, insurance, and real estate",Food and kindred products,Furniture and fixtures,Health services,Holding and other investment offices,Hotels and other lodging places,Industrial machinery and equipment,Instruments and related products,"Insurance agents, brokers, and service",Insurance carriers,Leather and leather products,Legal services,Less: Payments to the rest of the world,Local and interurban passenger transit,Lumber and wood products,Manufacturing,Metal mining,Mining,Miscellaneous manufacturing industries,Miscellaneous repair services,Motion pictures,Motor vehicles and equipment,Nondepository institutions,Nondurable goods,"Nonmetallic minerals, except fuels",Oil and gas extraction,Other,Other services,Other transportation equipment,Paper and allied products,Personal services,Petroleum and coal products,"Pipelines, except natural gas",Primary metal industries,Printing and publishing,Radio and television,Railroad transportation,Real estate,Receipts from the rest of the world,Rest of the world,Retail trade,Rubber and miscellaneous plastics products,Security and commodity brokers,Services,"Stone, clay, and glass products",Telephone and telegraph,Textile mill products,Tobacco products,Transportation,Transportation and public utilities,Transportation by air,Transportation services,Trucking and warehousing,Undistributed corporate profits,Water transportation,Wholesale trade
1987-01-01,751.0,1041.0,-366.0,827.0,-617.0,1037.0,4847.0,-107.0,20106.0,3582.0,4593.0,18499.0,71746.0,24627.0,98.0,-3937.0,4731.0,3244.0,289.0,-1607.0,15348.0,1556.0,797.0,3406.0,7223.0,-2449.0,1564.0,798.0,1645.0,-8489.0,281.0,1284.0,-294.0,-76.0,2875.0,35019.0,-1437.0,-4940.0,-62.0,358.0,-1370.0,621.0,1216.0,10392.0,56.0,-3452.0,1674.0,6463.0,6733.0,2981.0,348.0,-7018.0,144.0,1775.0,3863.0,234.0,-560.0,-4400.0,31010.0,31304.0,10915.0,978.0,-345.0,3405.0,1551.0,3349.0,1087.0,990.0,-2731.0,-3086.0,-1061.0,-351.0,-475.0,103050.0,-353.0,9450.0
1988-01-01,471.0,213.0,-403.0,924.0,-1049.0,1684.0,5484.0,-85.0,17512.0,5068.0,3532.0,18099.0,95276.0,36515.0,289.0,-1720.0,6978.0,3655.0,-258.0,588.0,11290.0,3057.0,527.0,1835.0,-2108.0,-2065.0,10109.0,1951.0,1370.0,560.0,302.0,743.0,1361.0,-78.0,2134.0,59838.0,-281.0,-3537.0,-26.0,530.0,-858.0,3202.0,2288.0,23323.0,116.0,-3287.0,1137.0,4005.0,3608.0,5062.0,443.0,609.0,72.0,3844.0,3617.0,95.0,-614.0,-5635.0,26452.0,25091.0,7431.0,851.0,-3285.0,2286.0,534.0,4974.0,474.0,2942.0,-3980.0,-631.0,-1072.0,-596.0,-1651.0,120367.0,-40.0,14853.0
1989-01-01,108.0,177.0,-4.0,688.0,-1155.0,1320.0,3056.0,-239.0,20035.0,2742.0,1370.0,18908.0,54563.0,25734.0,-85.0,-1653.0,5211.0,2645.0,69.0,-1127.0,9378.0,-326.0,121.0,415.0,-3452.0,-1819.0,11142.0,1869.0,1260.0,1552.0,284.0,641.0,-7899.0,76.0,2043.0,35104.0,-825.0,-4027.0,-350.0,561.0,-2097.0,209.0,4108.0,9370.0,-3.0,-2959.0,1644.0,2614.0,1558.0,3020.0,751.0,11.0,68.0,1494.0,2075.0,-1144.0,-2020.0,-7772.0,27632.0,35531.0,6745.0,1231.0,-5225.0,173.0,-208.0,3886.0,88.0,-757.0,-7985.0,-6896.0,-3517.0,-211.0,-2355.0,90094.0,-25.0,12537.0
1990-01-01,107.0,-101.0,-461.0,429.0,-837.0,3134.0,-516.0,-202.0,28638.0,5606.0,-1230.0,26711.0,39160.0,14298.0,303.0,-4030.0,3798.0,2254.0,-208.0,-1928.0,7565.0,2344.0,256.0,2932.0,-5068.0,-2288.0,9255.0,3076.0,1398.0,-7621.0,288.0,803.0,-13853.0,-148.0,648.0,24993.0,-745.0,-3275.0,-319.0,466.0,-1933.0,-5788.0,5467.0,10695.0,-103.0,-2225.0,2364.0,6402.0,1806.0,1570.0,621.0,3235.0,101.0,-812.0,1712.0,-115.0,-1061.0,-10000.0,37260.0,51113.0,6877.0,198.0,-3321.0,5104.0,125.0,5722.0,287.0,1148.0,-10364.0,-8787.0,-5944.0,-766.0,-2483.0,90273.0,-62.0,8015.0
1991-01-01,23.0,-445.0,-228.0,693.0,-804.0,1803.0,-560.0,-207.0,40153.0,9453.0,-1695.0,39953.0,53383.0,6818.0,489.0,-2441.0,4934.0,1271.0,-469.0,-200.0,23699.0,3332.0,491.0,5982.0,-3707.0,-1604.0,2704.0,2871.0,810.0,-1318.0,259.0,674.0,-18098.0,158.0,-322.0,9339.0,-983.0,-4098.0,-420.0,459.0,-1825.0,-4485.0,6695.0,2521.0,49.0,-2956.0,2603.0,9749.0,2857.0,460.0,513.0,-6681.0,-18.0,-2336.0,4112.0,1276.0,-961.0,-11361.0,34046.0,52144.0,9825.0,655.0,-7373.0,8062.0,-748.0,8177.0,326.0,-76.0,-8306.0,-1294.0,-6614.0,-104.0,-808.0,105527.0,42.0,9990.0
1992-01-01,331.0,11.0,442.0,666.0,-664.0,5169.0,-1095.0,-192.0,46389.0,10836.0,-3041.0,47738.0,83203.0,12194.0,288.0,-1194.0,3769.0,2108.0,-320.0,1350.0,45244.0,3676.0,776.0,4300.0,-3302.0,-1185.0,2111.0,2586.0,844.0,6307.0,233.0,1171.0,-11411.0,85.0,1354.0,9773.0,-562.0,-1396.0,16.0,396.0,-392.0,1940.0,9278.0,-2421.0,39.0,-682.0,2040.0,7798.0,3333.0,-856.0,797.0,-11888.0,71.0,-5385.0,4221.0,2694.0,-1379.0,-9597.0,33645.0,45056.0,9149.0,1056.0,-6025.0,12362.0,-413.0,8142.0,1538.0,29.0,-10181.0,-540.0,-7360.0,-331.0,-878.0,128259.0,-389.0,11641.0
1993-01-01,72.0,84.0,-80.0,941.0,-120.0,5210.0,-2170.0,-448.0,34341.0,12583.0,-115.0,34850.0,79007.0,16470.0,305.0,-1724.0,5851.0,3164.0,11.0,509.0,18616.0,1402.0,960.0,5540.0,-4812.0,-351.0,-828.0,525.0,1104.0,-7871.0,47.0,888.0,-6868.0,55.0,2291.0,12232.0,-760.0,-2384.0,-34.0,473.0,324.0,7849.0,9327.0,-4238.0,-413.0,-763.0,2295.0,9027.0,-59.0,-117.0,803.0,-11927.0,72.0,-3341.0,4713.0,4368.0,-1406.0,-8515.0,49481.0,56349.0,17867.0,974.0,-5467.0,15287.0,93.0,8215.0,845.0,1056.0,-4891.0,5967.0,-3800.0,-28.0,401.0,135355.0,-185.0,11453.0
1994-01-01,149.0,-700.0,272.0,1156.0,-322.0,5614.0,3636.0,-91.0,32375.0,10999.0,2688.0,30207.0,139993.0,38055.0,489.0,4459.0,11878.0,5477.0,-849.0,-2168.0,24955.0,3248.0,926.0,7325.0,-6748.0,-342.0,405.0,1141.0,919.0,12792.0,-210.0,1484.0,5073.0,89.0,2090.0,45594.0,-122.0,-349.0,83.0,580.0,-430.0,15084.0,8310.0,7539.0,418.0,-553.0,2981.0,12279.0,534.0,1274.0,1130.0,-10700.0,87.0,-1076.0,6319.0,3984.0,572.0,-7506.0,44873.0,39800.0,20238.0,1220.0,-13021.0,18782.0,1512.0,7015.0,901.0,696.0,-1550.0,13908.0,-2128.0,-246.0,414.0,179793.0,-338.0,14876.0
1995-01-01,354.0,-412.0,156.0,628.0,-425.0,4394.0,6837.0,-302.0,34516.0,7130.0,4613.0,33840.0,157558.0,44369.0,587.0,7128.0,15314.0,5753.0,-765.0,-676.0,18011.0,10691.0,898.0,7728.0,-6863.0,533.0,7738.0,1711.0,968.0,-795.0,239.0,1606.0,8630.0,261.0,2643.0,74238.0,-645.0,-262.0,383.0,502.0,-269.0,4102.0,8471.0,29870.0,204.0,481.0,3062.0,12983.0,513.0,7586.0,1108.0,-4071.0,134.0,3017.0,4958.0,3756.0,-210.0,-5875.0,68805.0,60175.0,17758.0,1319.0,-11735.0,18981.0,2296.0,3373.0,418.0,1265.0,-1057.0,13201.0,-68.0,-635.0,-253.0,217734.0,-286.0,11430.0
1996-01-01,530.0,600.0,-515.0,609.0,-491.0,5196.0,3824.0,-93.0,26198.0,5315.0,6645.0,28407.0,155998.0,46692.0,596.0,8905.0,13684.0,6205.0,70.0,2209.0,10448.0,-331.0,1807.0,6894.0,-13141.0,889.0,9344.0,4688.0,625.0,-549.0,80.0,1389.0,8705.0,351.0,1117.0,70402.0,-1502.0,3478.0,-273.0,704.0,-723.0,5136.0,11384.0,23710.0,-14.0,5088.0,994.0,9873.0,2649.0,3290.0,984.0,5317.0,104.0,901.0,6067.0,2411.0,342.0,-7108.0,70284.0,61579.0,22854.0,2435.0,-9170.0,15916.0,1435.0,2904.0,546.0,1874.0,-1386.0,12835.0,1464.0,-1450.0,-1837.0,217577.0,-360.0,12820.0
