Date,Accommodation,Accommodation and food services,Administrative and support services,Administrative and waste management services,"Agriculture, forestry, fishing, and hunting",Air transportation,Ambulatory health care services,"Amusements, gambling, and recreation industries",Apparel and leather and allied products,"Arts, entertainment, and recreation",Broadcasting and telecommunications,Chemical products,Computer and electronic products,Computer systems design and related services,Construction,Credit intermediation and related activities,Domestic industries,Durable goods,Educational services,"Electrical equipment, appliances, and components",Fabricated metal products,Farms,Federal Reserve banks,Finance and insurance,Food and beverage and tobacco products,Food services and drinking places,"Forestry, fishing, and related activities","Funds, trusts, and other financial vehicles",Furniture and related products,Health care and social assistance,Hospitals and nursing and residential care facilities,Information,Information and data processing services,Insurance carriers and related activities,Legal services,Less: Payments to the rest of the world,Machinery,Management of companies and enterprises,Manufacturing,Mining,"Mining, except oil and gas",Miscellaneous manufacturing,"Miscellaneous professional, scientific, and technical services",Motion picture and sound recording industries,"Motor vehicles, bodies and trailers, and parts",Nondurable goods,Nonmetallic mineral products,Oil and gas extraction,"Other services, except government",Other transportation and support activities,Other transportation equipment,Paper products,"Performing arts, spectator sports, museums, and related activities",Petroleum and coal products,Pipeline transportation,Plastics and rubber products,Primary metals,Printing and related support activities,"Professional, scientific, and technical services",Publishing industries (includes software),Rail transportation,Real estate,Real estate and rental and leasing,Receipts from the rest of the world,Rental and leasing services and lessors of intangible assets,Rest of the world,Retail trade,"Securities, commodity contracts, and investments",Social assistance,Support activities for mining,Textile mills and textile product mills,Transit and ground passenger transportation,Transportation and warehousing,Truck transportation,Undistributed corporate profits,Utilities,Warehousing and storage,Waste management and remediation services,Water transportation,Wholesale trade,Wood products
1998-01-01,-653.0,1755.0,337.0,-1742.0,-2217.0,2187.0,5573.0,380.0,842.0,3.0,-7425.0,-126.0,8215.0,2222.0,7364.0,34144.0,85866.0,26778.5,1387.0,327.0,6973.0,-1987.0,-1304.0,-9012.0,-3559.0,2408.0,-231.0,-13945.0,1810.0,5055.0,-511.0,-8906.0,-4703.0,-8994.0,628.0,3048.0,10786.0,8175.0,35425.0,-892.0,-427.0,2906.0,1312.0,-570.0,1550.0,-11.5,3604.0,271.0,-520.0,-1039.0,2301.0,-1927.0,-377.0,-8032.0,151.0,2832.0,2371.0,2012.0,4162.0,3792.0,-419.0,-8012.0,-7341.0,63539.0,671.0,60491.0,26996.0,-18913.0,-7.0,-737.0,853.0,411.0,2360.0,1053.0,146358.0,5704.0,275.0,-2079.0,-259.0,18109.0,1686.0
1999-01-01,268.0,3599.0,2944.0,3002.0,-1501.0,990.0,8337.0,-79.0,154.0,-394.0,-28287.0,2577.0,1923.0,-345.0,8213.0,38370.0,114938.0,28071.5,1258.0,1258.0,6605.0,-1494.0,892.0,72.0,11642.0,3330.0,-7.0,-18606.0,1932.0,9825.0,888.0,-20422.0,-7123.0,-1916.0,1512.0,3990.0,5628.0,16442.0,53482.0,2567.0,336.0,3287.0,4359.0,543.0,5273.0,11122.5,4471.0,4509.0,-266.0,-1942.0,9836.0,403.0,-314.0,-7088.0,-239.0,1938.0,-1093.0,2127.0,5525.0,14446.0,-1150.0,-6085.0,-6150.0,84010.0,-66.0,80021.0,10992.0,-18668.0,601.0,-2277.0,856.0,144.0,-2192.0,315.0,194959.0,5977.0,254.0,58.0,-564.0,24906.0,1753.0
2000-01-01,1596.0,6155.0,1654.0,2058.0,-1851.0,-1346.0,9518.0,-687.0,884.0,-1177.0,-35638.0,-4596.0,12724.0,-15916.0,11264.0,35360.0,23660.0,18417.5,1137.0,-4745.0,6707.0,-1608.0,5476.0,-45656.0,5967.0,4559.0,-243.0,-27501.0,1473.0,13019.0,1561.0,-62164.0,-17627.0,-15654.0,2782.0,-1000.0,4469.0,34528.0,37134.0,8503.0,-763.0,1254.0,-3000.0,-167.0,-4901.0,13104.5,3726.0,9746.0,1468.0,135.0,2986.0,1556.0,-491.0,9855.0,-891.0,-312.0,-1002.0,1800.0,-16134.0,-8732.0,1210.0,-7442.0,-9119.0,115246.0,-1677.0,116246.0,16773.0,-43336.0,1941.0,-480.0,55.0,374.0,637.0,1103.0,139905.0,1175.0,104.0,404.0,-53.0,25910.0,-764.0
2001-01-01,-405.0,3948.0,2688.0,3503.0,-2125.0,-12036.0,13426.0,180.0,291.0,87.0,-38642.0,-9832.0,-28093.0,-11512.0,15992.0,44644.0,16504.0,-21770.0,799.0,-8273.0,1853.0,-1554.0,1361.0,-1955.0,8003.0,4353.0,-571.0,-10879.0,414.0,16935.0,1077.0,-52256.0,-11933.0,-13088.0,3652.0,-32627.0,-1707.0,45045.0,-42969.0,9014.0,-483.0,-619.0,-3466.0,2674.0,-11370.0,7734.0,1983.0,8526.0,2439.0,1446.0,1500.0,-4859.0,-93.0,13417.0,244.0,-725.0,-4924.0,1039.0,-11326.0,-4355.0,129.0,-10509.0,-10705.0,95320.0,-196.0,127946.0,31444.0,-23994.0,2433.0,971.0,-1064.0,172.0,-9076.0,1002.0,144450.0,2813.0,106.0,815.0,-139.0,14896.0,-3.0
2002-01-01,515.0,5860.0,1384.0,2596.0,-2567.0,-16114.0,17584.0,779.0,1916.0,473.0,-35530.0,2465.0,-21485.0,-1312.0,8992.0,60326.0,109981.0,-13317.5,1401.0,-10812.0,2635.0,-2469.0,-1496.0,36124.0,1589.0,5346.0,-97.0,-12096.0,715.0,24087.0,4074.0,-16382.0,-30.0,-3841.0,4473.0,3364.0,-1072.0,49949.0,-39462.0,1596.0,-146.0,1050.0,146.0,6501.0,-8056.0,3208.0,1281.0,3528.0,623.0,1679.0,2200.0,-2307.0,-306.0,-8079.0,270.0,547.0,-2575.0,1114.0,3307.0,12677.0,840.0,-6088.0,-6662.0,112062.0,-573.0,108698.0,38912.0,-6769.0,2428.0,-1785.0,-680.0,507.0,-12801.0,89.0,218679.0,-5309.0,192.0,1212.0,-264.0,19243.0,92.0
2003-01-01,-247.0,4106.0,2908.0,5057.0,-1404.0,-8730.0,16427.0,-208.0,720.0,201.0,-27613.0,7738.0,-15044.0,3303.0,8007.0,54472.0,194945.0,-1588.0,1487.0,-7628.0,173.0,-1316.0,-2493.0,52963.0,4154.0,4353.0,-88.0,-7225.0,804.0,24893.0,5709.0,-9870.0,-75.0,12585.0,3255.0,20261.0,-254.0,49585.0,-12206.0,9487.0,-341.0,-843.0,1394.0,5254.0,7239.0,8282.5,1307.0,11238.0,1542.0,1235.0,1805.0,-2776.0,409.0,-8627.0,26.0,583.0,-2551.0,967.0,7953.0,12565.0,297.0,-6173.0,-8140.0,147088.0,-1967.0,126827.0,41313.0,-4375.0,2757.0,-1410.0,-1200.0,363.0,-5155.0,1910.0,321772.0,-471.0,-93.0,2149.0,-163.0,25595.0,1228.0
2004-01-01,321.0,5555.0,4209.0,5326.0,-1120.0,-9239.0,17043.0,-49.0,1079.0,622.0,-2524.0,4424.0,-5159.0,4028.0,19435.0,43258.0,297391.0,12949.0,2470.0,-11214.0,7158.0,-932.0,1350.0,83521.0,-3080.0,5233.0,-188.0,-6431.0,765.0,25252.0,5415.0,-4743.0,6206.0,45227.0,4275.0,55592.0,4904.0,35060.0,23339.0,14445.0,1150.0,889.0,3941.0,7377.0,-5659.0,14662.0,2873.0,13371.0,1863.0,2708.0,898.0,637.0,671.0,10870.0,73.0,2770.0,7338.0,1140.0,12245.0,-15802.0,1225.0,-4654.0,-8251.0,188406.0,-3597.0,132814.0,45325.0,117.0,2794.0,-75.0,-158.0,528.0,-570.0,4296.0,430205.0,5734.0,106.0,1117.0,-267.0,31883.0,2864.0
2005-01-01,1159.0,7742.0,7553.0,10266.0,-112.0,-6762.0,21655.0,1651.0,1735.0,1858.0,31403.0,91909.0,49249.0,3544.0,35621.0,54475.0,782364.0,70276.0,3259.0,-8203.0,12327.0,-192.0,4285.0,110870.0,19384.0,6583.0,80.0,-3888.0,1963.0,32893.0,7321.0,63319.0,3268.0,52859.0,5680.0,46163.0,11189.0,65639.0,262870.0,30391.0,6344.0,10982.0,7506.0,6205.0,-2014.0,82684.5,6201.0,23496.0,5686.0,6225.0,13787.0,6196.0,206.0,32506.0,16.0,1340.0,8433.0,2501.0,16731.0,22443.0,4453.0,-3462.0,1581.0,11016.0,5043.0,-35147.0,67748.0,3138.0,3916.0,551.0,103.0,512.0,12219.0,6528.0,747217.0,10735.0,523.0,2713.0,723.0,43051.0,3282.0
2006-01-01,608.0,6883.0,7861.0,6351.0,-2709.0,1581.0,21844.0,1249.0,648.0,2149.0,34389.0,3789.0,15848.0,2813.0,31723.0,39238.0,585809.0,42709.0,3250.0,-2529.0,9747.0,-3131.0,3892.0,94155.0,7003.0,6274.0,422.0,8613.0,2576.0,33262.0,7311.0,58116.0,7003.0,46911.0,5445.0,73679.0,10094.0,49975.0,93936.0,26937.0,7391.0,4969.0,6538.0,6208.0,-10344.0,28229.0,1933.0,14643.0,4995.0,5212.0,12311.0,4768.0,900.0,18572.0,156.0,1024.0,11174.0,2196.0,14796.0,10516.0,5962.0,-2767.0,2420.0,235495.0,5187.0,161817.0,65795.0,-4500.0,4106.0,4903.0,262.0,485.0,19381.0,4767.0,747626.0,26453.0,750.0,-1510.0,467.0,47940.0,-105.0
2007-01-01,-2421.0,3653.0,6212.0,9260.0,-277.0,-2242.0,19381.0,214.0,202.0,130.0,36505.0,10270.0,3407.0,2688.0,11711.0,30428.0,406740.0,27732.0,3104.0,-8488.0,8887.0,-514.0,387.0,6262.0,5752.0,6074.0,237.0,-1383.0,1218.0,26596.0,2005.0,54149.0,4157.0,28612.0,4051.0,55051.0,9437.0,30796.0,97574.0,36731.0,5827.0,2134.0,6303.0,11233.0,-15101.0,44602.5,2800.0,23908.0,3528.0,-356.0,17315.0,1311.0,-84.0,44434.0,279.0,3196.0,9345.0,2550.0,13042.0,2255.0,4539.0,-14799.0,-10973.0,252397.0,3826.0,197346.0,57889.0,-51782.0,5210.0,6995.0,59.0,336.0,3002.0,1038.0,604085.0,13469.0,152.0,3048.0,-745.0,47094.0,-1153.0
