Date,"Agricultural services, forestry, and fisheries","Agriculture, forestry, and fisheries",Amusement and recreation services,Anthracite mining,Apparel and other textile products,Banking,Bituminous and other soft coal mining,Business services,Chemicals and allied products,Communication,Contract construction,Corporate capital consumption allowances,Credit agencies (other than banks) and holding and other investment companies,Crude petroleum and natural gas,Durable goods,Electric and electronic equipment,"Electric, gas, and sanitary services",Farms,"Finance, insurance, and real estate",Food and kindred products,Furniture and finished lumber products,Hotels and other lodging places,"Insurance agents, brokers, and service",Insurance carriers,"Iron and steel and their products, including ordnance",Leather and leather products,Local and interurban passenger transit,"Local utilities and public services, n.e.c.",Lumber and basic timber products,"Machinery, except electrical",Manufacturing,Metal mining,Mining,"Miscellaneous manufacturing, including instruments and miscellaneous plastic products",Miscellaneous repair services,Motion pictures,Motor vehicles and equipment,Nondurable goods,Nonferrous metals and their products,Nonmetallic mining and quarrying,Other services,Other transportation equipment,Paper and allied products,Personal services,Petroleum and coal products,"Pipelines, except natural gas",Printing and publishing,Radio and television broadcasting,Railroad transportation,Real estate,Retail trade and automobile services,Rubber products,"Security and commodity brokers, and services",Services,"Stone, clay, and glass products",Telephone and telegraph,Textile mill products,Tobacco manufactures,Transportation,Transportation and public utilities,Transportation by air,Transportation services,Trucking and warehousing,Utilities: electric and gas,Water transportation,Wholesale trade
1929-01-01,12.0,34.0,20.0,19.0,15.0,68.0,51.0,15.0,113.0,232.0,71.0,4678.0,31.0,140.0,875.0,85.0,351.0,22.0,401.0,213.0,27.0,32.0,1.0,12.0,249.0,18.0,115.0,14.0,54.0,120.0,1963.0,51.0,290.0,46.0,1.0,59.0,144.0,1088.0,53.0,29.0,8.0,20.0,65.0,17.0,403.0,40.0,71.0,6.0,590.0,281.0,224.0,38.0,8.0,152.0,77.0,226.0,141.0,11.0,857.0,1440.0,9.0,14.0,37.0,337.0,52.0,103.0
1930-01-01,11.0,36.0,20.0,12.0,13.0,71.0,47.0,15.0,119.0,263.0,74.0,4759.0,30.0,118.0,897.0,90.0,393.0,25.0,433.0,223.0,26.0,33.0,1.0,15.0,248.0,17.0,108.0,13.0,49.0,124.0,2056.0,43.0,249.0,45.0,2.0,64.0,146.0,1159.0,58.0,29.0,14.0,29.0,66.0,18.0,457.0,33.0,78.0,10.0,504.0,308.0,228.0,42.0,8.0,166.0,82.0,253.0,136.0,8.0,754.0,1410.0,11.0,14.0,37.0,380.0,47.0,107.0
1931-01-01,10.0,34.0,18.0,14.0,14.0,71.0,44.0,14.0,118.0,279.0,67.0,4727.0,29.0,135.0,825.0,87.0,443.0,24.0,447.0,212.0,25.0,31.0,2.0,17.0,228.0,16.0,106.0,17.0,37.0,114.0,1967.0,35.0,255.0,44.0,1.0,79.0,132.0,1142.0,53.0,27.0,15.0,27.0,68.0,17.0,435.0,29.0,91.0,13.0,474.0,321.0,234.0,43.0,7.0,175.0,78.0,266.0,136.0,9.0,724.0,1446.0,13.0,15.0,39.0,426.0,48.0,102.0
1932-01-01,8.0,33.0,18.0,13.0,12.0,65.0,41.0,13.0,118.0,264.0,56.0,4349.0,27.0,118.0,746.0,88.0,461.0,25.0,430.0,204.0,22.0,31.0,1.0,20.0,201.0,14.0,103.0,23.0,28.0,103.0,1829.0,26.0,222.0,41.0,1.0,86.0,116.0,1083.0,49.0,24.0,16.0,25.0,65.0,17.0,418.0,24.0,87.0,13.0,338.0,312.0,213.0,37.0,5.0,182.0,73.0,251.0,119.0,9.0,571.0,1296.0,12.0,14.0,34.0,438.0,46.0,88.0
1933-01-01,7.0,29.0,15.0,12.0,12.0,60.0,38.0,10.0,110.0,248.0,44.0,4144.0,25.0,125.0,715.0,84.0,436.0,22.0,413.0,200.0,21.0,28.0,1.0,26.0,202.0,15.0,90.0,21.0,29.0,99.0,1781.0,25.0,222.0,39.0,1.0,90.0,102.0,1066.0,49.0,22.0,16.0,24.0,65.0,16.0,406.0,24.0,88.0,13.0,309.0,296.0,195.0,39.0,5.0,176.0,66.0,235.0,124.0,7.0,521.0,1205.0,9.0,13.0,31.0,415.0,45.0,79.0
1934-01-01,8.0,31.0,15.0,10.0,10.0,56.0,43.0,11.0,107.0,222.0,40.0,4031.0,27.0,167.0,666.0,95.0,404.0,23.0,444.0,181.0,18.0,34.0,1.0,30.0,172.0,12.0,118.0,17.0,25.0,96.0,1561.0,20.0,262.0,33.0,1.0,93.0,94.0,895.0,50.0,22.0,15.0,19.0,62.0,19.0,275.0,35.0,88.0,6.0,324.0,328.0,192.0,35.0,2.0,188.0,64.0,216.0,114.0,11.0,591.0,1217.0,8.0,13.0,31.0,387.0,62.0,96.0
1935-01-01,8.0,30.0,12.0,9.0,10.0,55.0,40.0,10.0,107.0,226.0,40.0,4058.0,32.0,155.0,670.0,90.0,449.0,22.0,441.0,176.0,17.0,40.0,1.0,37.0,175.0,12.0,113.0,16.0,25.0,95.0,1555.0,26.0,249.0,31.0,1.0,101.0,101.0,885.0,52.0,19.0,13.0,23.0,60.0,22.0,283.0,34.0,93.0,6.0,327.0,315.0,188.0,28.0,1.0,199.0,61.0,220.0,110.0,6.0,583.0,1258.0,8.0,12.0,32.0,433.0,57.0,98.0
1936-01-01,9.0,34.0,12.0,9.0,10.0,56.0,39.0,12.0,114.0,224.0,42.0,4109.0,36.0,149.0,679.0,94.0,453.0,25.0,454.0,183.0,20.0,41.0,2.0,41.0,199.0,12.0,112.0,16.0,27.0,99.0,1610.0,32.0,247.0,27.0,1.0,119.0,77.0,931.0,56.0,18.0,11.0,25.0,61.0,22.0,312.0,30.0,98.0,8.0,283.0,318.0,194.0,28.0,1.0,218.0,55.0,216.0,105.0,8.0,532.0,1209.0,9.0,13.0,32.0,437.0,53.0,101.0
1937-01-01,8.0,33.0,13.0,8.0,10.0,56.0,39.0,13.0,125.0,221.0,45.0,4198.0,28.0,151.0,723.0,98.0,460.0,25.0,433.0,191.0,18.0,46.0,2.0,43.0,207.0,12.0,99.0,16.0,30.0,106.0,1704.0,36.0,251.0,28.0,1.0,138.0,78.0,981.0,65.0,17.0,11.0,29.0,64.0,25.0,333.0,28.0,106.0,6.0,273.0,303.0,220.0,30.0,1.0,247.0,64.0,215.0,102.0,8.0,501.0,1182.0,8.0,13.0,34.0,444.0,46.0,83.0
1938-01-01,7.0,29.0,12.0,10.0,12.0,56.0,38.0,19.0,146.0,220.0,38.0,4262.0,31.0,154.0,699.0,108.0,466.0,22.0,445.0,202.0,21.0,50.0,1.0,43.0,193.0,12.0,84.0,17.0,27.0,114.0,1760.0,31.0,249.0,21.0,2.0,159.0,82.0,1061.0,43.0,16.0,14.0,24.0,64.0,28.0,379.0,33.0,114.0,7.0,231.0,313.0,220.0,31.0,1.0,284.0,66.0,213.0,93.0,8.0,466.0,1152.0,10.0,18.0,48.0,449.0,42.0,85.0
1939-01-01,8.0,28.0,13.0,7.0,11.0,55.0,37.0,18.0,150.0,218.0,42.0,4352.0,25.0,145.0,726.0,106.0,462.0,20.0,431.0,199.0,21.0,50.0,1.0,43.0,214.0,12.0,78.0,15.0,29.0,117.0,1811.0,35.0,240.0,20.0,2.0,173.0,77.0,1085.0,42.0,16.0,15.0,32.0,66.0,26.0,390.0,30.0,118.0,6.0,293.0,306.0,226.0,38.0,1.0,297.0,68.0,212.0,93.0,8.0,518.0,1198.0,11.0,18.0,47.0,447.0,41.0,79.0
1940-01-01,6.0,28.0,15.0,6.0,11.0,55.0,40.0,19.0,159.0,205.0,40.0,4476.0,38.0,148.0,814.0,110.0,462.0,22.0,452.0,199.0,23.0,49.0,2.0,43.0,239.0,12.0,80.0,16.0,29.0,123.0,1917.0,37.0,246.0,22.0,1.0,182.0,113.0,1103.0,44.0,15.0,17.0,42.0,68.0,27.0,402.0,32.0,116.0,6.0,276.0,313.0,229.0,38.0,1.0,310.0,69.0,199.0,90.0,8.0,507.0,1174.0,15.0,18.0,46.0,446.0,40.0,80.0
1941-01-01,6.0,29.0,16.0,6.0,13.0,55.0,41.0,21.0,189.0,212.0,45.0,4986.0,40.0,160.0,988.0,125.0,473.0,23.0,452.0,204.0,22.0,50.0,2.0,40.0,291.0,12.0,84.0,15.0,33.0,157.0,2169.0,44.0,268.0,26.0,2.0,193.0,130.0,1181.0,64.0,17.0,20.0,71.0,74.0,27.0,425.0,32.0,119.0,6.0,419.0,314.0,241.0,41.0,1.0,329.0,69.0,206.0,96.0,8.0,679.0,1364.0,20.0,19.0,53.0,458.0,52.0,89.0
