Date,"Agricultural services, forestry, and fishing","Agriculture, forestry, and fishing",Amusement and recreation services,Apparel and other textile products,"Auto repair, services, and parking",Banking,Business services,Chemicals and allied products,Coal mining,Commercial and mutual banks,Communication,Construction,Corporate capital consumption allowances,Credit agencies other than banks,Durable goods,Educational services,Electric and electronic equipment,"Electric, gas, and sanitary services",Fabricated metal products,Farms,Federal Reserve banks,"Finance, insurance, and real estate",Food and kindred products,Furniture and fixtures,Health services,Holding and other investment offices,Hotels and other lodging places,Instruments and related products,"Insurance agents, brokers, and service",Insurance carriers,Leather and leather products,Legal services,Local and interurban passenger transit,Lumber and wood products,"Machinery, except electrical",Manufacturing,Metal mining,Mining,Miscellaneous manufacturing industries,Miscellaneous repair services,Motion pictures,Motor vehicles and equipment,Nondurable goods,"Nonmetallic minerals, except fuels",Oil and gas extraction,Other,Other services,Other transportation equipment,Paper and allied products,Personal services,Petroleum and coal products,"Pipelines, except natural gas",Primary metal industries,Printing and publishing,Radio and television,Railroad transportation,Real estate,Retail trade,Rubber and miscellaneous plastics products,Security and commodity brokers,Services,"Stone, clay, and glass products",Telephone and telegraph,Textile mill products,Tobacco manufactures,Transportation,Transportation and public utilities,Transportation by air,Transportation services,Trucking and warehousing,Water transportation,Wholesale trade
1948-01-01,11.0,39.0,41.0,41.0,25.0,73.0,56.0,358.0,87.0,72.0,343.0,147.0,8531.0,16.0,1768.0,,218.0,527.0,164.0,28.0,1.0,523.0,383.0,28.0,,14.0,82.0,33.0,4.0,29.0,22.0,,121.0,82.0,297.0,3837.0,28.0,351.0,73.0,4.0,366.0,279.0,2069.0,41.0,195.0,,44.0,101.0,125.0,47.0,688.0,31.0,388.0,202.0,12.0,901.0,385.0,496.0,79.0,2.0,665.0,105.0,331.0,157.0,14.0,1349.0,2219.0,85.0,22.0,112.0,77.0,254.0
1949-01-01,13.0,46.0,48.0,48.0,32.0,83.0,68.0,420.0,90.0,82.0,367.0,181.0,9572.0,17.0,1961.0,,237.0,564.0,176.0,33.0,1.0,638.0,444.0,32.0,,52.0,91.0,38.0,5.0,36.0,25.0,,136.0,91.0,339.0,4303.0,26.0,412.0,80.0,5.0,414.0,314.0,2342.0,47.0,249.0,,48.0,114.0,143.0,55.0,768.0,33.0,420.0,224.0,21.0,898.0,442.0,578.0,77.0,3.0,761.0,120.0,346.0,176.0,17.0,1400.0,2331.0,85.0,24.0,133.0,91.0,322.0
1950-01-01,15.0,52.0,51.0,48.0,40.0,91.0,82.0,474.0,103.0,90.0,443.0,213.0,10531.0,20.0,2150.0,,264.0,663.0,191.0,37.0,1.0,680.0,478.0,33.0,,20.0,98.0,43.0,6.0,45.0,23.0,,125.0,99.0,376.0,4681.0,27.0,494.0,77.0,6.0,424.0,355.0,2531.0,51.0,313.0,,52.0,113.0,159.0,60.0,807.0,49.0,463.0,244.0,29.0,932.0,495.0,651.0,82.0,3.0,813.0,136.0,414.0,196.0,20.0,1463.0,2569.0,89.0,24.0,152.0,92.0,378.0
1951-01-01,17.0,63.0,53.0,55.0,55.0,101.0,100.0,552.0,108.0,99.0,489.0,252.0,12153.0,25.0,2532.0,,304.0,777.0,228.0,46.0,2.0,794.0,535.0,40.0,,16.0,108.0,63.0,7.0,64.0,26.0,,133.0,121.0,439.0,5397.0,31.0,554.0,87.0,6.0,444.0,394.0,2865.0,57.0,358.0,,55.0,141.0,185.0,67.0,906.0,56.0,556.0,266.0,40.0,1159.0,578.0,715.0,105.0,3.0,888.0,159.0,449.0,214.0,21.0,1783.0,3049.0,95.0,37.0,198.0,105.0,441.0
1952-01-01,18.0,72.0,56.0,58.0,66.0,112.0,114.0,676.0,107.0,109.0,529.0,279.0,13518.0,27.0,3027.0,,353.0,851.0,261.0,54.0,3.0,858.0,567.0,43.0,,19.0,110.0,75.0,7.0,75.0,28.0,,135.0,131.0,514.0,6197.0,27.0,611.0,94.0,7.0,451.0,460.0,3170.0,66.0,411.0,,57.0,175.0,211.0,70.0,982.0,60.0,734.0,281.0,57.0,1305.0,615.0,760.0,117.0,3.0,931.0,187.0,472.0,229.0,21.0,1965.0,3345.0,103.0,38.0,212.0,112.0,465.0
1953-01-01,19.0,75.0,61.0,63.0,93.0,125.0,130.0,823.0,105.0,122.0,603.0,296.0,15442.0,34.0,3748.0,,420.0,988.0,300.0,56.0,3.0,969.0,585.0,45.0,,20.0,117.0,83.0,10.0,90.0,27.0,,138.0,136.0,588.0,7337.0,31.0,636.0,105.0,10.0,464.0,580.0,3589.0,71.0,429.0,,60.0,208.0,243.0,76.0,1137.0,69.0,1052.0,301.0,85.0,1473.0,687.0,808.0,135.0,3.0,1011.0,231.0,518.0,249.0,26.0,2231.0,3822.0,144.0,53.0,233.0,121.0,488.0
1954-01-01,20.0,79.0,72.0,69.0,114.0,144.0,146.0,979.0,108.0,141.0,698.0,340.0,17325.0,41.0,4313.0,,484.0,1245.0,334.0,59.0,3.0,1106.0,648.0,53.0,,22.0,132.0,94.0,12.0,101.0,27.0,,121.0,142.0,684.0,8505.0,43.0,642.0,117.0,12.0,479.0,694.0,4192.0,81.0,410.0,,66.0,231.0,286.0,75.0,1410.0,74.0,1225.0,319.0,127.0,1396.0,782.0,868.0,157.0,4.0,1096.0,255.0,571.0,267.0,30.0,2207.0,4150.0,173.0,58.0,262.0,123.0,539.0
1955-01-01,25.0,99.0,85.0,77.0,139.0,174.0,177.0,1148.0,114.0,171.0,809.0,416.0,20023.0,49.0,4925.0,,567.0,1514.0,383.0,74.0,3.0,1269.0,735.0,59.0,,34.0,151.0,112.0,14.0,114.0,30.0,,141.0,168.0,788.0,9775.0,85.0,782.0,139.0,13.0,493.0,805.0,4850.0,101.0,482.0,,70.0,254.0,352.0,88.0,1630.0,80.0,1352.0,355.0,182.0,1527.0,880.0,1013.0,188.0,4.0,1216.0,298.0,627.0,300.0,35.0,2460.0,4783.0,179.0,72.0,325.0,136.0,670.0
1956-01-01,25.0,97.0,97.0,79.0,203.0,193.0,233.0,1249.0,119.0,190.0,902.0,457.0,21802.0,55.0,5397.0,,655.0,1720.0,399.0,72.0,3.0,1404.0,762.0,60.0,,41.0,168.0,138.0,17.0,129.0,35.0,,150.0,181.0,868.0,10636.0,88.0,830.0,152.0,17.0,499.0,935.0,5239.0,109.0,514.0,,78.0,292.0,387.0,99.0,1779.0,84.0,1397.0,383.0,230.0,1491.0,963.0,1106.0,207.0,6.0,1394.0,320.0,672.0,317.0,41.0,2517.0,5139.0,197.0,78.0,379.0,138.0,739.0
1957-01-01,27.0,106.0,117.0,80.0,244.0,222.0,284.0,1370.0,136.0,218.0,1043.0,538.0,24049.0,70.0,6037.0,,759.0,1883.0,454.0,79.0,4.0,1615.0,830.0,67.0,,57.0,198.0,151.0,18.0,138.0,38.0,,146.0,186.0,953.0,11792.0,98.0,901.0,165.0,22.0,475.0,1093.0,5755.0,119.0,548.0,,90.0,355.0,438.0,108.0,1962.0,79.0,1471.0,418.0,303.0,1469.0,1105.0,1233.0,236.0,5.0,1538.0,383.0,740.0,338.0,45.0,2603.0,5529.0,261.0,96.0,407.0,145.0,797.0
