Date,Accommodation,Accommodation and food services,Administrative and support services,Administrative and waste management services,"Agriculture, forestry, fishing, and hunting",Air transportation,Ambulatory health care services,"Amusements, gambling, and recreation industries",Apparel and leather and allied products,"Arts, entertainment, and recreation",Broadcasting and telecommunications,Chemical products,Computer and electronic products,Computer systems design and related services,Construction,Corporate capital consumption allowances,Credit intermediation and related activities,Durable goods,Educational services,"Electrical equipment, appliances, and components",Fabricated metal products,Farms,Federal Reserve banks,Finance and insurance,Food and beverage and tobacco products,Food services and drinking places,"Forestry, fishing, and related activities","Funds, trusts, and other financial vehicles",Furniture and related products,Health care and social assistance,Hospitals and nursing and residential care facilities,Information,Information and data processing services,Insurance carriers and related activities,Legal services,Machinery,Management of companies and enterprises,Manufacturing,Mining,"Mining, except oil and gas",Miscellaneous manufacturing,"Miscellaneous professional, scientific, and technical services",Motion picture and sound recording industries,"Motor vehicles, bodies and trailers, and parts",Nondurable goods,Nonmetallic mineral products,Oil and gas extraction,"Other services, except government",Other transportation and support activities,Other transportation equipment,Paper products,"Performing arts, spectator sports, museums, and related activities",Petroleum and coal products,Pipeline transportation,Plastics and rubber products,Primary metals,Printing and related support activities,"Professional, scientific, and technical services",Publishing industries (includes software),Rail transportation,Real estate,Real estate and rental and leasing,Rental and leasing services and lessors of intangible assets,Retail trade,"Securities, commodity contracts, and investments",Social assistance,Support activities for mining,Textile mills and textile product mills,Transit and ground passenger transportation,Transportation and warehousing,Truck transportation,Utilities,Warehousing and storage,Waste management and remediation services,Water transportation,Wholesale trade,Wood products
1998-01-01,4977.0,12181.0,5866.0,8785.0,5405.0,12047.0,4163.0,1758.0,2247.0,3317.0,66174.0,43250.0,50169.0,5021.0,15217.0,779617.0,13001.0,118425.5,996.0,19820.0,11078.0,3730.0,257.0,41504.0,20024.0,7204.0,1675.0,2966.0,1827.0,7573.0,2065.0,96156.0,3856.0,20317.0,828.0,16330.0,44201.0,316288.0,12280.0,4971.0,8703.0,12503.0,11903.0,55637.0,67117.0,7118.0,4138.0,4673.0,4907.0,14568.0,12990.0,1559.0,25294.0,670.0,7022.0,8850.0,5388.0,18352.0,14223.0,4865.0,8004.0,32388.0,24384.0,37751.0,4963.0,1345.0,3171.0,3079.0,1396.0,34598.0,8826.0,33156.0,466.0,2919.0,1421.0,54797.0,2894.0
1999-01-01,5414.0,13468.0,6417.0,9845.0,5824.0,13821.0,4209.0,2416.0,2214.0,4039.0,75965.0,45660.0,53765.0,5693.0,17485.0,842628.0,15130.0,124979.5,1136.0,20377.0,11833.0,4178.0,267.0,46893.0,19803.0,8054.0,1646.0,3785.0,1987.0,7706.0,2034.0,110972.0,5005.0,20497.0,908.0,16828.0,51546.0,330227.0,12700.0,5147.0,9621.0,14045.0,14119.0,57887.0,69457.5,7606.0,4175.0,4982.0,4987.0,15612.0,12563.0,1623.0,25584.0,822.0,7733.0,9205.0,5938.0,20646.0,15883.0,5496.0,8433.0,35230.0,26797.0,39512.0,7214.0,1463.0,3378.0,3011.0,1621.0,38360.0,9574.0,33414.0,606.0,3428.0,1433.0,58647.0,3000.0
2000-01-01,5914.0,14585.0,6725.0,10202.0,5903.0,14442.0,4418.0,1533.0,2291.0,3300.0,82567.0,47209.0,57066.0,7328.0,19369.0,895405.0,18711.0,132519.5,1313.0,20963.0,12393.0,4279.0,281.0,51916.0,20119.0,8671.0,1624.0,3927.0,2172.0,8218.0,2468.0,121405.0,7414.0,22525.0,1055.0,17466.0,55948.0,344214.0,13497.0,4879.0,10033.0,15711.0,14041.0,63655.0,70944.5,8200.0,5118.0,5219.0,5311.0,16405.0,12108.0,1767.0,24681.0,754.0,8335.0,9094.0,5845.0,24094.0,17383.0,5601.0,9745.0,36020.0,26275.0,43156.0,6472.0,1332.0,3500.0,2997.0,1638.0,40005.0,10043.0,34327.0,683.0,3477.0,1533.0,62714.0,3182.0
2001-01-01,6051.0,15046.0,7015.0,10752.0,6160.0,17708.0,4720.0,2102.0,2384.0,4112.0,96136.0,49699.0,64638.0,8364.0,20208.0,950212.0,18737.0,136499.5,845.0,23470.0,12660.0,4519.0,303.0,54984.0,20633.0,8995.0,1641.0,4385.0,2356.0,8579.0,2416.0,140111.0,10962.0,24552.0,1129.0,19018.0,61238.0,357140.0,14820.0,5049.0,10460.0,17333.0,14703.0,58836.0,73682.5,9124.0,5611.0,5188.0,6113.0,16825.0,12524.0,2010.0,24454.0,196.0,8653.0,9103.0,6066.0,26826.0,18310.0,6028.0,10208.0,37366.0,27158.0,44902.0,7007.0,1443.0,4160.0,2702.0,1874.0,44067.0,9949.0,34643.0,716.0,3737.0,1483.0,63224.0,3535.0
2002-01-01,6836.0,17896.0,8113.0,12178.0,7122.0,18506.0,6315.0,2202.0,2345.0,4457.0,101008.0,51990.0,68451.0,8157.0,22849.0,1029211.0,22216.0,146360.0,830.0,23979.0,12874.0,5147.0,131.0,61853.0,22911.0,11060.0,1976.0,4445.0,2270.0,10727.0,2285.0,148114.0,10892.0,27297.0,1342.0,19248.0,62199.0,377293.0,17133.0,5691.0,8168.0,21518.0,15071.0,68450.0,76696.5,10539.0,7336.0,5298.0,6580.0,17936.0,12400.0,2255.0,24553.0,291.0,8427.0,10429.0,6103.0,31017.0,21142.0,5815.0,11480.0,38643.0,27163.0,53878.0,7764.0,2126.0,4105.0,2567.0,1833.0,46674.0,11139.0,42231.0,861.0,4065.0,1648.0,68819.0,3650.0
2003-01-01,6870.0,18015.0,9149.0,13848.0,7211.0,17334.0,6924.0,2245.0,2248.0,4540.0,92461.0,53868.0,65190.0,8632.0,24172.0,1033496.0,20025.0,142298.0,1019.0,21023.0,13166.0,5081.0,133.0,60031.0,23305.0,11145.0,2130.0,4576.0,2265.0,11996.0,2817.0,140445.0,11828.0,27604.0,1318.0,19285.0,60278.0,376291.0,18208.0,5628.0,8647.0,22283.0,13837.0,67328.0,79247.0,10548.0,8418.0,5709.0,6728.0,18068.0,11180.0,2294.0,28828.0,547.0,8393.0,9708.0,5995.0,32233.0,22319.0,7131.0,12646.0,40234.0,27588.0,57255.0,7694.0,2255.0,4162.0,3620.0,1819.0,47967.0,11556.0,47244.0,938.0,4699.0,1915.0,66799.0,3627.0
2004-01-01,6762.0,18252.0,9225.0,13585.0,8174.0,18309.0,7173.0,2191.0,2199.0,4289.0,85774.0,56140.0,65023.0,9098.0,23993.0,1045215.0,17669.0,144434.0,975.0,21841.0,13149.0,6046.0,135.0,58454.0,22955.0,11490.0,2128.0,4791.0,2149.0,11584.0,2469.0,136247.0,10987.0,28007.0,1221.0,19435.0,55956.0,380075.0,20250.0,6049.0,8767.0,22752.0,16037.0,69157.0,80178.0,10958.0,9965.0,5625.0,7346.0,18008.0,10353.0,2098.0,30150.0,422.0,8194.0,9534.0,5908.0,33072.0,23450.0,7538.0,14196.0,43408.0,29212.0,58302.0,7851.0,1942.0,4237.0,2186.0,2050.0,51292.0,12618.0,52534.0,957.0,4360.0,2050.0,69150.0,3968.0
2005-01-01,5674.0,15588.0,7951.0,11813.0,7137.0,16362.0,6070.0,1480.0,1995.0,3478.0,65142.0,55942.0,63433.0,9427.0,20970.0,901923.0,11435.0,128199.5,488.0,20371.0,10540.0,5170.0,136.0,49998.0,17837.0,9915.0,1967.0,4635.0,1899.0,8730.0,1227.0,113218.0,10503.0,26952.0,1151.0,16797.0,43459.0,342514.0,16928.0,5161.0,7479.0,21448.0,14226.0,55703.0,74096.5,9896.0,7928.0,5072.0,7095.0,17511.0,8563.0,1998.0,29284.0,282.0,7109.0,8439.0,4879.0,32026.0,23347.0,5810.0,14495.0,38582.0,24087.0,45306.0,6840.0,1433.0,3839.0,1710.0,1685.0,44974.0,11125.0,39563.0,824.0,3861.0,1791.0,62079.0,3128.0
2006-01-01,6256.0,17018.0,7698.0,11872.0,7271.0,15516.0,6759.0,1831.0,2001.0,3964.0,60916.0,59143.0,65553.0,10706.0,23525.0,953735.0,15049.0,135808.5,455.0,20506.0,10711.0,5227.0,135.0,55236.0,18179.0,10762.0,2045.0,4765.0,2164.0,9659.0,1221.0,111102.0,11450.0,28178.0,1097.0,17099.0,46422.0,355784.0,22116.0,6049.0,7947.0,22802.0,12769.0,59988.0,76473.5,10796.0,10754.0,5475.0,8100.0,18509.0,8609.0,2134.0,28096.0,60.0,7665.0,9580.0,5008.0,34605.0,25967.0,6326.0,15328.0,43726.0,28398.0,48309.0,7109.0,1679.0,5313.0,1573.0,1630.0,48761.0,13911.0,39653.0,949.0,4174.0,2268.0,68781.0,2657.0
2007-01-01,6646.0,17625.0,8183.0,12458.0,7761.0,15717.0,7219.0,2238.0,2288.0,4655.0,63002.0,64114.0,66943.0,12342.0,25288.0,1014220.0,18008.0,139041.5,766.0,21409.0,11329.0,5600.0,139.0,56129.0,19598.0,10979.0,2160.0,684.0,2017.0,11050.0,1953.0,117914.0,9673.0,29595.0,1191.0,17025.0,47043.0,369171.0,28839.0,6173.0,9157.0,24814.0,16061.0,55061.0,83442.0,11566.0,15300.0,5544.0,8820.0,19868.0,8865.0,2417.0,31873.0,316.0,7818.0,10549.0,5029.0,38347.0,29179.0,6918.0,20330.0,49650.0,29320.0,52547.0,7703.0,1877.0,7366.0,1599.0,1905.0,51090.0,13896.0,42548.0,1087.0,4275.0,2431.0,75796.0,3063.0
