Date,Disposable personal income,Durable goods,Goods,Gross domestic product,Gross national product,Nondurable goods,Personal consumption expenditures,Personal income,Services
1947-01-01,5751.0,212.0,1805.5,8473.5,8526.5,2013.5,5266.0,1325.0,3221.0
1947-04-01,5674.5,216.0,1832.5,8425.0,8480.0,2041.5,5334.0,1319.0,3254.5
1947-07-01,5810.5,218.5,1841.5,8383.5,8438.5,2046.0,5337.0,1369.0,3237.5
1947-10-01,5717.5,232.5,1849.5,8497.0,8554.0,2018.0,5328.0,1383.0,3211.0
1948-01-01,5807.5,231.5,1849.5,8597.5,8659.0,2021.5,5339.5,1417.0,3233.5
1948-04-01,5970.0,233.0,1863.0,8713.0,8777.0,2036.0,5386.0,1449.0,3273.5
1948-07-01,6052.0,238.5,1858.5,8742.5,8807.0,2017.5,5380.0,1480.0,3280.0
1948-10-01,6055.5,234.5,1859.5,8714.5,8778.5,2031.5,5396.0,1478.0,3298.5
1949-01-01,5905.0,229.0,1844.5,8552.5,8614.0,2026.0,5376.5,1430.0,3305.0
1949-04-01,5906.5,247.0,1873.0,8480.0,8539.5,2020.0,5433.5,1417.0,3308.5
1949-07-01,5916.0,257.0,1870.5,8527.0,8584.5,1990.5,5419.0,1408.0,3288.5
1949-10-01,5922.0,265.5,1901.5,8417.0,8470.5,2012.0,5473.0,1404.0,3284.5
1950-01-01,6351.5,274.5,1928.5,8710.5,8767.0,2027.5,5540.0,1501.0,3313.0
1950-04-01,6313.5,276.5,1944.0,8948.0,9007.0,2045.0,5614.5,1505.0,3385.5
1950-07-01,6380.0,342.0,2090.5,9276.0,9343.5,2079.5,5891.0,1553.0,3427.0
1950-10-01,6403.0,300.0,1979.5,9430.0,9497.5,2030.5,5699.5,1604.0,3437.0
1951-01-01,6406.0,312.5,2031.0,9557.0,9622.0,2071.5,5834.0,1658.0,3521.0
1951-04-01,6528.5,267.5,1923.5,9691.5,9766.0,2035.5,5652.0,1710.0,3533.5
1951-07-01,6574.0,261.0,1935.5,9846.5,9923.5,2068.5,5692.5,1730.0,3562.5
1951-10-01,6541.5,260.5,1946.5,9834.0,9915.0,2086.5,5707.5,1752.0,3558.5
1952-01-01,6515.5,261.0,1930.5,9898.5,9975.0,2061.5,5700.0,1758.0,3591.0
1952-04-01,6572.0,264.0,1963.5,9882.5,9959.0,2100.0,5789.0,1777.0,3634.0
1952-07-01,6681.0,248.0,1954.5,9923.5,9999.0,2128.0,5796.5,1814.0,3669.5
1952-10-01,6794.5,287.0,2043.0,10205.5,10280.5,2150.5,5974.5,1848.0,3706.5
1953-01-01,6852.5,297.0,2062.0,10357.5,10431.0,2154.5,6025.0,1869.0,3731.5
1953-04-01,6917.5,294.0,2057.0,10401.0,10478.0,2155.5,6040.5,1886.0,3764.5
1953-07-01,6857.5,290.0,2030.5,10301.0,10370.5,2126.0,6002.0,1877.0,3774.0
1953-10-01,6806.0,281.0,2008.5,10100.0,10169.0,2119.5,5937.5,1868.0,3731.0
1954-01-01,6815.5,272.0,2001.0,10012.5,10086.0,2132.0,5937.5,1860.0,3751.5
1954-04-01,6793.5,281.5,2010.5,9984.0,10056.5,2119.0,5989.5,1851.0,3801.0
1954-07-01,6831.0,279.5,2019.5,10052.0,10125.0,2134.0,6040.0,1854.0,3849.5
1954-10-01,6927.5,294.5,2063.5,10202.5,10283.0,2158.5,6136.0,1878.0,3879.0
1955-01-01,7013.5,320.5,2118.5,10456.0,10538.5,2171.5,6250.0,1909.0,3910.0
1955-04-01,7141.0,337.0,2169.5,10589.0,10670.0,2202.0,6345.5,1947.0,3923.5
1955-07-01,7243.5,347.5,2191.0,10692.5,10774.5,2207.0,6397.5,1983.0,3947.5
1955-10-01,7295.0,337.5,2196.0,10717.0,10801.0,2240.5,6448.5,2004.0,4008.5
1956-01-01,7341.5,320.5,2178.5,10645.0,10735.5,2257.0,6436.0,2029.0,4032.5
1956-04-01,7387.5,320.0,2170.0,10697.0,10786.5,2245.5,6436.5,2055.0,4057.0
1956-07-01,7400.0,314.5,2155.5,10654.5,10745.5,2240.0,6429.0,2077.0,4083.5
1956-10-01,7482.5,325.0,2178.0,10781.5,10863.0,2247.5,6490.0,2112.0,4118.5
1957-01-01,7481.5,330.5,2193.0,10821.0,10914.0,2254.0,6513.0,2129.0,4119.5
1957-04-01,7509.0,323.0,2179.5,10762.5,10861.0,2255.5,6503.0,2148.0,4140.0
1957-07-01,7521.5,319.5,2191.5,10828.0,10922.5,2280.0,6532.0,2165.0,4154.0
1957-10-01,7442.0,314.5,2166.0,10668.0,10746.5,2256.0,6509.5,2150.0,4183.0
1958-01-01,7361.0,294.5,2114.0,10367.0,10446.0,2233.5,6405.5,2145.0,4164.0
1958-04-01,7385.0,288.0,2112.5,10399.0,10479.0,2245.5,6435.0,2151.0,4210.5
1958-07-01,7516.0,293.0,2142.0,10601.5,10679.5,2275.5,6514.5,2193.0,4251.5
1958-10-01,7595.5,302.0,2171.0,10807.0,10884.0,2294.5,6572.5,2215.0,4263.0
1959-01-01,7613.5,319.0,2215.0,10970.0,11047.0,2315.0,6670.0,2238.0,4300.5
1959-04-01,7710.5,330.0,2242.0,11176.0,11253.0,2325.5,6750.5,2277.0,4351.0
1959-07-01,7673.5,335.0,2251.5,11142.0,11223.5,2326.0,6797.5,2280.0,4395.0
1959-10-01,7700.0,317.5,2225.0,11130.5,11215.5,2331.5,6780.0,2302.0,4432.0
1960-01-01,7744.5,325.5,2233.0,11320.0,11402.0,2323.0,6806.0,2324.0,4448.0
1960-04-01,7753.5,331.0,2253.5,11195.5,11279.0,2337.0,6855.5,2338.0,4472.5
1960-07-01,7733.0,326.0,2228.5,11199.5,11285.5,2313.0,6797.5,2341.0,4447.5
1960-10-01,7704.0,317.0,2208.0,11016.5,11106.0,2307.0,6783.5,2339.0,4475.0
1961-01-01,7753.0,298.0,2180.5,11057.0,11150.5,2313.5,6760.0,2355.0,4505.0
1961-04-01,7840.0,304.0,2203.5,11205.0,11294.5,2333.0,6834.0,2380.0,4555.0
1961-07-01,7915.0,310.5,2209.0,11376.5,11467.5,2326.0,6841.5,2409.0,4552.0
1961-10-01,8036.0,324.0,2248.0,11555.0,11648.0,2346.5,6951.0,2446.0,4615.0
1962-01-01,8091.0,330.0,2268.0,11727.5,11820.0,2359.5,7003.5,2475.0,4644.0
1962-04-01,8154.0,337.5,2283.5,11795.0,11895.0,2361.5,7068.5,2507.0,4699.5
1962-07-01,8169.0,339.5,2292.5,11897.0,11997.5,2371.0,7100.5,2522.0,4723.0
1962-10-01,8212.0,352.5,2320.5,11891.5,12004.5,2376.5,7175.0,2546.0,4764.5
1963-01-01,8259.5,358.0,2335.0,11989.5,12097.0,2382.5,7204.5,2566.0,4772.5
1963-04-01,8310.5,365.0,2347.0,12088.0,12192.5,2382.5,7250.5,2584.0,4809.5
1963-07-01,8374.5,368.5,2364.5,12308.5,12415.0,2398.0,7325.5,2611.0,4876.0
1963-10-01,8483.0,373.5,2364.5,12355.5,12464.5,2386.5,7362.0,2651.0,4926.5
1964-01-01,8627.5,387.0,2414.5,12582.5,12699.5,2422.0,7488.5,2693.0,4991.5
1964-04-01,8835.0,395.5,2457.5,12683.5,12796.0,2460.5,7598.5,2733.0,5048.0
1964-07-01,8922.0,407.0,2506.5,12842.5,12958.0,2500.5,7714.5,2773.0,5099.0
1964-10-01,8996.0,393.0,2480.5,12844.5,12953.0,2498.5,7713.0,2809.0,5153.5
1965-01-01,9081.0,428.5,2556.0,13128.5,13250.0,2516.0,7867.0,2858.0,5201.0
1965-04-01,9165.0,427.5,2571.0,13267.0,13391.5,2537.5,7938.0,2900.0,5267.5
1965-07-01,9389.0,440.0,2616.0,13524.0,13641.5,2569.0,8051.0,2964.0,5324.5
1965-10-01,9551.0,456.0,2708.0,13804.5,13912.5,2656.5,8254.5,3022.0,5400.5
1966-01-01,9632.0,476.0,2758.0,14118.5,14230.0,2675.0,8365.0,3080.0,5447.0
1966-04-01,9644.0,456.5,2741.5,14146.0,14257.5,2697.5,8374.0,3122.0,5497.0
1966-07-01,9742.5,471.0,2776.0,14242.0,14351.5,2711.5,8453.5,3180.0,5530.0
1966-10-01,9838.0,470.5,2765.5,14333.0,14446.0,2698.5,8472.0,3239.0,5579.5
1967-01-01,9965.5,459.5,2765.5,14433.0,14545.5,2722.0,8503.5,3286.0,5621.0
1967-04-01,10027.0,479.0,2808.5,14417.0,14527.0,2736.5,8604.5,3314.0,5666.0
1967-07-01,10108.0,476.0,2799.5,14533.5,14652.5,2731.0,8636.0,3375.0,5732.0
1967-10-01,10166.0,478.0,2807.0,14626.5,14742.5,2738.5,8676.0,3423.0,5769.5
1968-01-01,10330.0,507.5,2897.0,14917.5,15036.5,2792.0,8879.0,3513.0,5857.0
1968-04-01,10492.0,518.5,2939.5,15156.5,15278.0,2824.5,9007.5,3604.0,5942.0
1968-07-01,10514.0,542.5,3010.0,15256.0,15380.0,2866.0,9166.0,3688.0,6009.5
1968-10-01,10584.5,539.5,3004.0,15308.0,15431.0,2864.5,9198.0,3759.0,6067.5
1969-01-01,10605.0,550.0,3043.5,15540.5,15664.5,2894.0,9295.0,3824.0,6116.5
1969-04-01,10706.0,549.0,3047.0,15583.0,15703.0,2901.0,9352.0,3906.0,6188.0
1969-07-01,10914.5,546.5,3053.0,15677.5,15792.5,2911.0,9389.0,3998.0,6230.0
1969-10-01,10986.0,544.5,3062.0,15587.5,15702.5,2927.5,9454.0,4061.0,6299.5
1970-01-01,11094.5,535.5,3066.5,15562.0,15679.5,2952.5,9507.0,4124.0,6362.0
1970-04-01,11217.0,541.0,3072.0,15571.5,15692.0,2947.0,9538.0,4201.0,6392.5
1970-07-01,11375.5,542.5,3085.5,15683.0,15802.5,2961.5,9604.0,4258.0,6452.5
1970-10-01,11333.5,508.5,3050.5,15495.5,15606.5,2991.0,9565.5,4287.0,6475.0
1971-01-01,11542.5,564.0,3143.0,15909.0,16037.0,2995.0,9734.5,4371.0,6511.0
1971-04-01,11699.0,577.0,3167.5,15985.0,16119.5,2999.0,9814.5,4471.0,6569.0
1971-07-01,11744.0,590.0,3182.5,16095.5,16218.5,2989.0,9878.5,4525.0,6623.0
1971-10-01,11856.5,612.0,3231.0,16107.5,16236.0,3004.0,10022.0,4598.0,6714.0
1972-01-01,11904.0,626.5,3262.0,16408.0,16541.5,3012.5,10148.5,4717.0,6820.5
1972-04-01,12011.5,642.5,3342.5,16759.5,16891.5,3088.0,10328.0,4790.0,6894.5
1972-07-01,12232.0,658.5,3399.0,16903.0,17045.0,3127.5,10476.0,4901.0,6978.5
1972-10-01,12707.0,691.0,3496.0,17180.5,17322.0,3186.0,10709.0,5111.0,7093.5
1973-01-01,12803.5,734.5,3587.0,17604.5,17765.5,3211.5,10904.0,5185.0,7177.0
1973-04-01,12927.0,726.5,3566.5,17807.5,17978.0,3197.0,10912.5,5314.0,7237.5
1973-07-01,12996.5,719.5,3577.5,17734.0,17930.0,3221.0,10960.5,5432.0,7285.0
1973-10-01,13156.5,702.5,3555.5,17926.5,18124.5,3221.5,10942.0,5598.0,7313.0
1974-01-01,12983.5,688.0,3529.0,17801.0,18029.5,3207.5,10882.5,5662.0,7306.5
1974-04-01,12905.0,697.5,3544.0,17888.0,18105.5,3205.5,10957.5,5772.0,7389.5
1974-07-01,12952.0,712.0,3579.5,17777.5,17977.0,3225.0,11035.0,5926.0,7435.0
1974-10-01,12967.0,651.0,3455.0,17769.5,17943.5,3180.5,10901.0,6048.0,7517.5
1975-01-01,12971.0,668.5,3488.5,17601.0,17750.0,3191.5,11012.0,6128.0,7598.5
1975-04-01,13572.5,685.0,3563.0,17740.5,17890.5,3257.0,11194.5,6260.0,7691.0
1975-07-01,13388.5,729.5,3661.5,18059.5,18221.0,3297.0,11365.0,6410.0,7727.5
1975-10-01,13506.0,753.5,3693.0,18322.5,18512.5,3291.0,11498.0,6561.0,7843.5
1976-01-01,13672.5,795.0,3798.5,18738.0,18924.0,3351.5,11730.5,6701.0,7939.5
1976-04-01,13746.0,801.5,3841.0,18878.0,19071.0,3395.5,11835.5,6802.0,7993.0
1976-07-01,13864.0,813.0,3880.0,18988.0,19182.5,3423.5,11969.0,6954.0,8093.0
1976-10-01,13963.5,830.0,3935.0,19152.5,19351.5,3462.0,12134.5,7102.0,8207.0
1977-01-01,14019.0,863.5,3990.0,19406.0,19632.0,3468.0,12298.5,7241.0,8317.0
1977-04-01,14172.0,884.0,4029.0,19800.5,20022.5,3475.5,12383.5,7424.0,8356.5
1977-07-01,14378.0,899.0,4064.0,20158.5,20379.5,3492.5,12508.5,7606.0,8451.5
1977-10-01,14660.0,921.5,4155.5,20205.0,20403.5,3568.5,12703.0,7854.0,8532.5
1978-01-01,14796.5,901.5,4142.0,20294.0,20521.0,3588.0,12793.5,8020.0,8675.5
1978-04-01,14988.5,973.5,4281.0,21123.5,21316.0,3630.0,13098.0,8270.0,8817.0
1978-07-01,15125.5,965.0,4296.0,21362.5,21572.5,3664.5,13170.0,8490.0,8885.5
1978-10-01,15251.0,978.5,4358.0,21698.0,21937.0,3718.0,13299.5,8704.0,8942.0
1979-01-01,15467.0,972.5,4381.0,21783.0,22027.5,3754.5,13397.0,8946.0,9037.5
1979-04-01,15393.0,956.5,4377.5,21887.0,22160.0,3774.0,13446.0,9100.0,9117.0
1979-07-01,15517.0,986.0,4479.5,22110.0,22433.5,3843.0,13622.5,9364.0,9167.5
