Date,Auto output,Domestic output of new autos,Exports,Final sales,Gross government investment,Imports,Net purchases of used autos,New autos,Personal consumption expenditures,Private fixed investment,Sales of imported new autos
1947-01-01,25.536,28.734,5.586,27.473,40.685,0.021,8.072000000000001,15.4495,16.184,12.81,0.01
1947-04-01,27.195,31.087,6.485,29.78,44.951,0.021,7.713,16.9895,17.38,14.022,0.01
1947-07-01,24.653,27.583,6.114,27.277,39.869,0.021,8.3125,15.2165,16.024,12.57,0.01
1947-10-01,29.348,32.809,5.93,31.391,38.366,0.021,10.9025,17.546,18.729,14.472,0.01
1948-01-01,30.669,34.249,5.276,33.652,36.527,0.159,12.2275,19.1575,20.517,15.252,0.097
1948-04-01,26.718,29.634,4.447,30.238,40.826,0.24,11.638,17.1625,18.7,13.222,0.129
1948-07-01,29.659,32.648,4.244,31.812,34.604,0.3,13.664000000000001,17.8515,20.086,13.401,0.13
1948-10-01,32.965,35.757,4.437,34.152,35.582,0.322,15.8765,18.8875,21.844,13.871,0.121
1949-01-01,33.062,36.132,3.911,35.625,32.974,0.12,15.9785,20.026,23.047,14.11,0.119
1949-04-01,41.335,45.504,3.316,44.38,37.717,0.04,19.2085,25.38,29.175,17.219,0.108
1949-07-01,45.067,50.555,3.501,45.811,30.166,0.061,18.4945,26.5875,30.318,17.484,0.099
1949-10-01,37.665,42.242,3.064,45.81,33.977,0.061,17.019,26.9055,30.332,17.549,0.068
1950-01-01,44.3,50.01,2.606,49.352,41.196,0.102,16.8655,29.229,32.746,18.973,0.069
1950-04-01,49.567,56.064,2.825,51.338,43.488,0.12,17.328,30.344499999999996,34.096,19.626,0.109
1950-07-01,56.509,63.079,3.501,62.279,37.131,0.18,23.6675,36.501000000000005,41.557,23.671,0.12
1950-10-01,53.458,59.023,4.573,58.426,45.318,0.24,25.1085,33.716,38.924,21.74,0.109
1951-01-01,49.42,55.026,5.354,55.955,51.694,0.199,24.304000000000002,32.5485,37.267,20.305,0.122
1951-04-01,43.624,48.269,5.655,47.06,52.614,0.199,22.987,26.9975,31.38,16.409,0.101
1951-07-01,37.33,40.998,5.775,42.451,50.176,0.199,22.3245,24.235,28.351,14.405,0.152
