Date,Auto output,Autos,Domestic output of new autos,Exports,Final sales of domestic product,Final sales of motor vehicles to domestic purchasers,Gross government investment,Imports,Light trucks (including utility vehicles),Motor vehicle output,Net purchases of used autos and used light trucks,New motor vehicles,Other,Personal consumption expenditures,Private fixed investment,Private fixed investment in new autos and new light trucks,Sales of imported new autos,Truck output,Trucks,Used autos,Used light trucks (including utility vehicles)
1967-01-01,67.683,47.493,74.781,9.963,20.236,18.017,40.052,6.219,1.604,18.838,11.077,17.154,,18.38,15.359,,6.489,6.82,12.55975,27.087000000000003,0.3735
1967-04-01,74.503,50.11,83.451,10.792,21.784,19.386,40.87,6.661,1.643,20.026,11.951,18.7165,,20.223,15.676,,7.765,6.373,12.96425,29.0425,0.4095
1967-07-01,73.808,49.626000000000005,82.866,10.681,21.244,18.982,40.421,7.074,1.701,19.636,12.0395,18.200000000000003,,19.518,15.946,,8.442,5.987,12.86675,29.2915,0.427
1967-10-01,74.27,50.144999999999996,82.133,9.976,20.28,18.314,39.128,8.0,1.621,19.864,11.774000000000001,17.366,,18.875,15.284,,8.46,6.193,11.63275,28.843,0.378
1968-01-01,87.157,54.4294,97.228,11.858,23.342,21.03,37.218,9.023,2.006,23.113,11.269499999999999,20.5635,,21.616,18.086,,9.516,6.946,11.812249999999999,27.36,0.417
1968-04-01,90.289,54.77419999999999,102.038,11.672,23.404,21.311,36.453,10.455,2.124,24.348,11.554499999999999,20.825,,21.875,18.465,,10.136,7.847,12.08125,28.174999999999997,0.383
1968-07-01,87.606,56.6616,98.993,10.921,24.537,22.564,35.901,11.926,2.248,23.545,12.5965,21.954500000000003,,23.26,19.472,,11.344,7.485,11.90975,30.915,0.3595
1968-10-01,90.155,57.0746,100.396,12.225,24.509,22.562,35.626,12.607,2.522,24.434,12.089,22.1875,,22.833,20.424,,12.007,8.034,12.40325,29.509,0.3775
1969-01-01,91.557,56.516,102.397,12.115,25.487,23.102,35.583,10.438,2.615,24.858,12.533000000000001,22.616999999999997,,23.335,21.06,,11.641,8.231,12.49675,30.659499999999998,0.392
1969-04-01,82.471,57.853199999999994,90.537,12.994,24.599,22.77,35.769,13.769,2.553,22.755,12.4085,22.438499999999998,,22.711,21.356,,13.199,8.0,13.38575,30.246000000000002,0.396
1969-07-01,90.397,58.323800000000006,100.611,12.45,24.584,22.911,35.291,14.58,2.547,24.946,12.8505,22.572499999999998,,23.006,21.185,,13.967,8.772,12.95475,31.29,0.41500000000000004
1969-10-01,81.625,57.55160000000001,87.8,12.335,24.183,22.418,35.006,13.596,2.582,22.959,12.9935,22.1045,,22.483,20.76,,15.737,8.608,12.92375,31.5285,0.44699999999999995
1970-01-01,71.596,54.0158,75.538,9.836,21.908,20.46,34.942,12.742,2.243,20.114,12.096499999999999,20.094,,20.634,18.533,,15.069,7.506,12.55625,29.3365,0.41900000000000004
1970-04-01,81.832,57.622,88.575,13.035,22.396,20.824,35.925,13.614,2.173,22.158,13.2085,20.458,,21.232,18.346,,15.362,7.269,12.253,32.009,0.434
1970-07-01,76.601,55.638400000000004,82.737,12.04,22.141,20.566,36.118,12.999,2.29,21.077,12.5135,20.1685,,21.022,17.97,,14.121,7.336,12.7875,30.2605,0.458
1970-10-01,47.795,45.562200000000004,46.113,9.054,16.711,16.051,34.872,13.089,1.893,13.87,10.327,15.028500000000001,,16.253,13.994,,16.04,5.722,12.01275,25.3575,0.359
1971-01-01,95.588,60.36600000000001,104.61,12.846,23.337,21.813,36.43,14.601,2.395,25.438,11.785,21.694000000000003,,22.376,18.987,,16.223,7.783,12.26625,28.451,0.418
1971-04-01,88.066,59.8948,94.582,14.016,24.076,22.525,35.04,15.478,2.909,23.934,11.778500000000001,22.079,,23.071,19.828,,17.387,7.972,12.35975,28.5935,0.462
1971-07-01,88.979,62.4818,95.118,14.348,25.114,23.81,34.885,17.97,3.496,24.422,12.1065,23.4205,,24.19,21.507,,19.285,8.436,12.7585,29.3555,0.495
1971-10-01,93.345,63.273199999999996,99.506,11.458,27.14,25.508,35.242,16.565,4.18,25.586,12.167000000000002,25.2065,,25.924,23.138,,17.928,8.8,12.73075,29.427,0.547
1972-01-01,97.672,63.0654,105.796,12.542,27.255,25.618,35.391,17.008,4.561,27.357,11.77,25.2105,,25.962,23.389,,18.218,10.099,13.30925,28.494999999999997,0.5625
1972-04-01,95.36,64.608,102.566,13.59,28.169,26.372,36.661,17.201,4.957,27.31,11.971,26.1895,,26.708,24.103,,19.244,10.774,14.17525,28.9605,0.524
1972-07-01,89.42,65.0998,94.31,14.716,28.556,26.475,38.797,16.308,4.725,25.292,12.585,26.193,,27.134,23.404,,20.541,9.616,14.662,30.4835,0.524
1972-10-01,107.962,70.38340000000001,117.296,16.531,31.271,29.055,42.687,18.372,5.586,30.588,13.479500000000002,29.0325,,29.507,26.252,,22.775,11.689,16.62875,32.428,0.6074999999999999
