Date,Auto output,Domestic output of new autos,Exports,Final sales,Gross government investment,Imports,Net purchases of used autos,New autos,Personal consumption expenditures,Private fixed investment,Sales of imported new autos
1947-01-01,25.565,22.736,13.924,25.542,14.3,7.567,7.7675,23.878500000000003,19.729,32.496,20.609
1947-04-01,25.655,22.815,13.994,25.618,12.94,7.567,7.7965,23.9585,19.82,32.624,20.631
1947-07-01,26.531,23.66,14.323,26.49,14.583,7.567,8.067499999999999,24.860500000000002,20.454,33.834,20.674
1947-10-01,27.112,24.24,14.89,27.058,14.985,7.567,8.629000000000001,25.441499999999998,20.887,34.475,20.739
1948-01-01,27.35,24.342,14.696,27.278,14.889,9.748,9.422,25.5805,21.169,34.446,24.928
1948-04-01,27.581,24.425,15.127,27.504,13.458,9.08,10.5095,25.6685,21.487,34.096,28.041
1948-07-01,29.109,26.216,16.021,29.021,15.684,9.316,11.676,27.551000000000002,22.605,36.101,27.833
1948-10-01,29.592,27.059,15.768,29.485,15.746,9.659,12.658000000000001,28.4735,22.999,36.69,26.493
1949-01-01,29.676,27.576,15.637,29.55,16.23,10.335,12.8135,29.0565,22.976,37.195,30.28
1949-04-01,29.701,27.811,15.197,29.574,14.66,7.751,13.0725,29.323,23.021,37.273,29.574
1949-07-01,29.564,27.978,14.672,29.441,17.519,10.251,13.145,29.546,22.851,37.367,28.412
1949-10-01,29.471,28.02,14.208,29.351,16.275,10.251,13.165500000000002,29.589,22.806,37.269,29.374
1950-01-01,29.583,27.98,13.704,29.454,15.354,9.167,13.007000000000001,29.5685,22.897,37.491,28.886
1950-04-01,29.733,28.024,13.16,29.614,15.119,10.335,12.871500000000001,29.634999999999998,23.033,37.773,29.199
1950-07-01,29.586,27.961,13.484,29.466,17.234,10.363,12.6675,29.55,22.869,37.67,29.955
1950-10-01,29.507,27.978,13.746,29.39,15.616,10.377,12.5745,29.5715,22.792,37.767,29.426
1951-01-01,30.35,28.474,14.986,30.232,15.361,10.905,12.8635,30.0435,23.48,38.532,29.795
1951-04-01,30.615,28.781,16.392,30.5,15.802,10.905,12.872,30.3165,23.606,38.982,28.221
1951-07-01,30.754,29.383,16.476,30.637,16.944,10.905,12.7575,30.972,23.596,39.756,32.213
1951-10-01,32.074,30.408,16.584,31.955,16.619,10.363,13.155,32.073499999999996,24.658,41.438,33.681
1952-01-01,33.099,31.415,15.631,32.977,17.706,10.747,13.115,33.205,25.392,43.497,32.888
1952-04-01,32.544,31.764,14.483,32.47,18.387,11.035,12.7635,33.656,24.868,44.0,32.737
1952-07-01,33.344,31.859,13.772,33.234,19.063,11.166,13.649000000000001,33.79,25.711,43.529,34.234
1952-10-01,31.281,32.078,13.407,31.116,19.565,11.598,13.1105,34.0475,23.769,42.791,34.616
1953-01-01,31.976,32.277,13.729,31.823,18.163,11.598,15.1445,34.2535,24.674,41.633,33.477
1953-04-01,31.712,32.07,13.972,31.554,17.603,10.896,16.9345,34.009,24.712,39.721,33.734
1953-07-01,31.01,32.006,14.544,30.8,17.927,10.672,16.7975,33.913,24.033,39.072,34.39
1953-10-01,31.064,31.753,15.041,30.849,18.61,10.747,18.267000000000003,33.619,24.253,37.954,34.214
1954-01-01,32.276,32.244,15.603,32.117,18.189,11.035,14.526,34.1155,24.972,41.139,34.247
1954-04-01,31.297,33.772,16.057,31.165,19.493,11.591,12.1995,35.7005,23.39,44.672,34.685
1954-07-01,30.338,32.141,16.252,30.232,19.301,10.958,11.5745,33.98350000000001,22.78,42.412,34.868
1954-10-01,30.481,32.229,16.565,30.386,18.626,10.958,11.3065,34.073499999999996,22.858,42.761,33.912
