Date,Auto output,Autos,Domestic output of new autos,Exports,Final sales of domestic product,Final sales of motor vehicles to domestic purchasers,Gross government investment,Imports,Light trucks (including utility vehicles),Motor vehicle output,Net purchases of used autos and used light trucks,New motor vehicles,Other,Personal consumption expenditures,Private fixed investment,Private fixed investment in new autos and new light trucks,Sales of imported new autos,Truck output,Trucks,Used autos,Used light trucks (including utility vehicles)
1967-01-01,36.657,23.740199999999998,33.025,16.165,30.618,27.878,18.989,13.473,30.305,30.556,21.1205,29.830000000000002,,29.132,27.086,,34.991,23.532,19.29375,20.494,27.8985
1967-04-01,36.942,23.905,33.209,16.24,30.83,28.077,19.104,13.594,30.365,30.772,21.554000000000002,29.987,,29.388,27.16,,35.186,23.651,19.30025,20.9255,27.957
1967-07-01,37.748,24.079600000000003,33.689,16.105,31.405,28.565,19.228,13.304,30.794,31.338,22.488,30.389499999999998,,30.032,27.339,,35.712,23.758,19.265500000000003,21.843,28.3505
1967-10-01,38.353,24.3972,34.163,16.699,31.923,29.011,19.482,13.477,31.225,31.844,22.8655,30.8185,,30.515,27.74,,36.212,24.153,19.8825,22.2075,28.7365
1968-01-01,38.099,24.541400000000003,34.148,16.726,31.784,28.969,19.601,14.09,31.407,31.706,23.056,30.845,,30.458,27.707,,36.18,24.282,20.036250000000003,22.402,28.8935
1968-04-01,38.426,24.6558,34.302,16.292,31.995,29.159,19.734,13.957,31.449,31.918,22.9125,30.9765,,30.636,27.942,,36.343,24.244,19.64525,22.246499999999997,28.931
1968-07-01,38.82,24.671,34.502,16.41,32.324,29.392,19.905,13.672,31.604,32.257,23.131,31.1815,,30.89,28.143,,36.584,24.539,20.047,22.455,29.0775
1968-10-01,39.116,25.0624,34.811,16.756,32.564,29.667,20.109,14.206,31.898,32.5,22.884500000000003,31.4285,,31.144,28.49,,36.89,24.715,20.219250000000002,22.1965,29.3525
1969-01-01,39.038,25.076,34.674,16.854,32.525,29.625,20.218,14.214,31.823,32.452,23.3685,31.347,,31.13,28.363,,36.725,24.738,20.21075,22.678,29.2795
1969-04-01,39.243,25.2528,34.884,16.762,32.691,29.79,20.396,14.317,31.945,32.62,23.502000000000002,31.54,,31.289,28.543,,36.945,24.864,20.20275,22.811,29.423499999999997
