Date,Auto output,Autos,Change in private inventories,Domestic,Domestic output of new autos,Exports,Final sales of domestic product,Final sales of motor vehicles to domestic purchasers,Foreign,Gross government investment,Imports,Light trucks (including utility vehicles),Motor vehicle output,Net exports,Net purchases of used autos and used light trucks,New,New motor vehicles,Other,Personal consumption expenditures,Private fixed investment,Private fixed investment in new autos and new light trucks,Residual,Sales of imported new autos,Truck output,Trucks,Used,Used autos,Used light trucks (including utility vehicles)
2007-01-01,154506.0,49656.833333333336,-11445.0,-5789.5,107720.0,59971.0,453404.0,554100.0,-992.0,20005.0,161121.0,138250.5,440640.0,-101150.0,14163.0,-6774.5,255002.5,44781.0,357658.0,169853.0,204927.0,-6049.0,105079.0,281349.0,56566.2,1078.0,6526.0,7610.0
2007-04-01,151892.0,49773.0,-1598.0,1403.5,108254.0,67504.0,449943.0,542121.0,-1489.0,19781.0,159843.0,134569.0,445806.0,-92339.0,15926.5,-167.5,246803.5,36252.0,357840.0,157732.0,202251.0,-5713.0,105167.0,289707.0,57393.8,-622.5,6907.5,9023.0
2007-07-01,149268.0,51316.666666666664,3054.0,-534.5,108334.0,68652.0,439298.0,538465.0,954.0,24849.0,167454.0,136014.0,440516.0,-98802.0,14783.0,472.5,243700.0,32098.0,355519.0,152062.0,205667.0,-5021.0,102662.0,287218.0,57954.4,1047.5,7170.5,7616.5
2007-10-01,154888.0,50535.833333333336,-7248.0,-3855.0,111030.0,72630.0,450052.0,536351.0,-1694.5,23375.0,159085.0,133876.5,442837.0,-86455.0,13050.5,-5616.5,245125.5,30982.0,358647.0,148217.0,205594.0,-3226.0,104876.0,283246.0,56391.0,2450.0,6947.0,6082.0
2008-01-01,153733.0,50468.666666666664,-3731.0,-7541.5,111908.0,70969.0,416576.0,506397.0,3024.0,23040.0,160086.0,124488.0,414244.0,-89117.0,13063.0,-4204.0,230018.0,30011.0,338168.0,139884.0,194810.0,-962.0,96973.0,254952.0,54191.6,2731.0,9098.0,3908.0
2008-04-01,154185.0,50696.833333333336,-3796.0,-4334.0,104434.0,74706.0,391592.0,474872.0,2381.0,22581.0,156754.0,104000.0,387454.0,-82047.0,14478.0,-1621.0,212618.0,30461.0,323667.0,123167.0,176945.0,-1088.0,108380.0,226554.0,51271.6,41.5,7840.5,6591.5
2008-07-01,149706.0,50881.0,-13023.0,-11966.0,111202.0,78355.0,376974.0,437406.0,2751.0,24362.0,138623.0,98633.5,362902.0,-60268.0,11368.0,-8779.0,196240.5,28062.0,305708.0,101826.0,161651.0,585.0,93290.0,206086.0,39467.6,1784.5,4248.5,7097.5
2008-10-01,114972.0,42569.833333333336,-2170.0,2474.0,87251.0,61812.0,305409.0,360777.0,-2092.5,17882.0,116523.0,78988.5,299068.0,-54710.0,13895.0,9.5,157915.0,27623.0,265396.0,72205.0,122388.0,-2655.0,75520.0,179425.0,30777.0,-2095.0,4410.0,9491.5
2009-01-01,76453.0,24889.5,-59886.0,-20555.5,42619.0,37124.0,299598.0,334848.0,-5742.0,20549.0,75105.0,75514.0,238105.0,-37980.0,16951.0,-26500.0,140284.0,20467.0,274367.0,36659.0,93321.0,-294.0,69655.0,160469.0,20479.2,-2831.0,8705.0,8251.5
2009-04-01,89724.0,29009.166666666668,-47600.0,-21418.0,51050.0,35799.0,294830.0,331963.0,-3721.5,18471.0,75400.0,76812.0,248614.0,-39601.0,10719.5,-25197.0,146042.0,19219.0,277607.0,32767.0,103036.0,2843.0,71980.0,155852.0,18871.8,2341.5,3608.0,7135.0
2009-07-01,101010.0,37528.666666666664,-12503.0,-6335.5,70546.0,46256.0,316737.0,372610.0,-5026.0,19879.0,103015.0,83794.0,306580.0,-56759.0,6775.0,-11507.5,170057.5,21202.0,315358.0,34165.0,109482.0,1834.0,87741.0,202824.0,31508.4,6383.5,1803.5,4994.5
2009-10-01,109882.0,42348.0,28193.0,2411.0,80416.0,54758.0,292712.0,360425.0,1772.0,19688.0,121383.0,85066.5,322747.0,-66625.0,3964.5,4263.0,167209.5,25359.0,281185.0,55215.0,128729.0,1138.0,79730.0,209460.0,38937.2,9482.0,631.5,3344.5
2010-01-01,115182.0,39838.666666666664,28104.0,7431.5,79204.0,57405.0,317974.0,379645.0,396.5,19954.0,118800.0,91880.5,347142.0,-61395.0,8049.5,7822.0,172673.0,25444.0,276802.0,79600.0,141437.0,-913.0,80702.0,228915.0,43852.8,6336.0,3384.5,4671.5
2010-04-01,118873.0,43917.5,28221.0,5922.0,81166.0,58311.0,335992.0,413247.0,4417.5,18206.0,134759.0,101021.5,363779.0,-76447.0,12312.5,10462.0,185899.0,25911.0,294354.0,97724.0,151858.0,-2043.0,85721.0,242083.0,44571.8,3555.0,4593.5,7726.0
