Date,Cash receipts from farm marketings,Crops,Equals: Gross farm value added,Equals: Net farm value added,Farm output,Farm products consumed on farms,"Intermediate goods and services purchased, other than rent",Less: Consumption of fixed capital,Less: Intermediate goods and services consumed,Livestock,Other farm income,Other than rent,Rent paid to nonoperator landlords
1929-01-01,20.765,18.268,15.225,10.734,18.201,2402.686,15.01,26.266,16.69,22.27,,14.912,31.431
1930-01-01,19.639,16.165,14.298,9.996,17.107,2405.928,14.332,26.788,15.714,22.192,,14.239,27.468
1931-01-01,19.741,16.071,17.382,12.488,18.975,2577.733,13.035,26.292,14.279,22.481,,12.951,24.81
1932-01-01,19.351,16.283,16.867,12.178,18.126,2615.75,12.065,24.737,13.185,21.538,,11.986,22.539
1933-01-01,19.49,15.296,16.049,11.615,17.926,2828.289,12.914,23.206,14.12,22.944,,12.831,24.211
1934-01-01,17.944,12.764,12.57,8.845,15.203,2680.051,12.907,21.969,13.936,23.06,,12.824,22.078
1935-01-01,17.557,13.839,15.705,11.349,17.954,2458.17,13.505,21.869,14.672,20.753,,13.417,24.129
1936-01-01,20.117,16.869,13.493,9.581,16.949,2495.544,15.602,22.531,16.874,22.695,,15.501,27.02
1937-01-01,19.172,15.434,16.495,11.868,19.464,2484.782,16.164,23.933,17.065,22.344,,16.059,23.442
1938-01-01,19.067,14.622,16.154,11.562,19.305,2532.643,16.317,24.651,17.367,22.989,,16.211,25.361
1939-01-01,23.13,21.517,17.996,13.02,21.543,2629.093,18.308,24.942,19.393,24.16,,18.189,27.232
1940-01-01,20.646,15.429,15.758,11.204,20.726,2562.342,20.506,25.426,21.712,25.528,,20.373,30.375
1941-01-01,23.782,20.128,17.663,12.651,22.865,2411.632,21.55,26.626,23.364,26.922,,21.41,38.429
1942-01-01,25.226,19.852,19.16,13.797,25.036,2344.139,24.338,27.019,26.053,30.08,,24.18,39.8
1943-01-01,27.323,20.953,18.691,13.473,24.983,2466.03,25.88,25.968,27.239,33.199,,25.712,37.729
1944-01-01,27.522,21.065,18.488,13.328,24.953,2347.633,26.695,25.656,27.726,33.495,,26.522,35.378
1945-01-01,28.812,23.853,18.453,13.29,25.526,2400.463,28.931,26.016,29.685,32.855,,28.744,34.889
1946-01-01,28.317,22.87,18.562,13.335,26.029,2529.354,29.936,27.253,31.028,32.959,,29.742,38.978
1947-01-01,28.246,22.588,16.663,11.808,24.489,2268.055,31.007,30.33,31.69,33.139,,30.807,36.37
1948-01-01,26.806,21.543,19.212,13.624,26.742,2170.367,31.017,34.655,31.536,31.334,,30.816,34.873
1949-01-01,28.96,24.57,18.421,12.869,25.959,2040.936,30.941,38.976,31.243,32.514,,30.74,32.666
1950-01-01,30.057,25.782,19.366,13.455,27.371,1995.464,32.644,42.929,33.09,33.452,0.754,32.433,35.745
1951-01-01,28.966,23.062,18.32,12.542,27.157,1890.048,35.044,45.825,35.232,34.084,1.465,34.817,35.443
1952-01-01,29.552,23.518,19.297,13.247,28.049,1834.932,35.161,47.278,35.38,34.789,2.332,34.933,35.872
1953-01-01,30.534,23.688,20.224,13.925,28.541,1724.789,34.38,48.596,34.565,36.636,2.737,34.158,34.774
1954-01-01,32.298,25.776,20.943,14.455,29.559,1675.393,35.809,49.584,35.802,37.894,3.317,35.577,34.215
1955-01-01,34.221,27.618,21.404,14.79,30.523,1627.928,37.789,50.356,37.451,39.759,3.984,37.545,32.801
1956-01-01,35.234,27.769,21.422,14.804,30.935,1565.628,38.816,50.354,38.528,41.815,4.433,38.565,34.282
1957-01-01,33.858,25.78,20.612,14.163,30.717,1414.141,40.255,49.832,39.668,41.309,5.075,39.994,32.595
1958-01-01,33.132,26.14,21.366,14.726,31.827,1343.238,41.414,50.9,41.082,39.429,5.836,41.146,36.443
1959-01-01,38.377,33.024,21.211,14.6,33.048,1218.194,45.364,50.846,44.735,42.777,6.397,45.071,36.981
1960-01-01,37.158,30.139,22.39,15.644,33.92,1101.308,45.029,50.044,44.637,43.467,6.79,44.737,39.27
1961-01-01,37.83,29.958,22.591,15.833,34.759,1075.528,46.677,49.727,46.467,45.081,6.609,46.375,42.849
1962-01-01,39.076,31.496,22.162,15.46,35.425,946.431,49.3,49.906,49.133,45.927,6.915,48.98,45.851
1963-01-01,40.655,33.079,22.852,15.98,36.721,904.041,51.099,50.878,51.176,47.407,7.538,50.768,50.215
