Date,Cash receipts from farm marketings,Crops,Equals: Gross farm value added,Equals: Net farm value added,Farm output,Farm products consumed on farms,"Intermediate goods and services purchased, other than rent",Less: Consumption of fixed capital,Less: Intermediate goods and services consumed,Livestock,Other farm income,Other than rent,Rent paid to nonoperator landlords
1929-01-01,14.301,14.41,42.792,84.348,17.923,16.46,9.273,5.9,9.192,14.921,,9.278,10.603
1930-01-01,12.104,12.278,35.478,68.824,15.279,14.893,8.465,5.733,8.321,12.564,,8.47,9.18
1931-01-01,8.486,8.11,23.772,44.152,10.801,11.33,6.88,5.428,6.606,9.184,,6.884,6.304
1932-01-01,6.441,6.29,17.073,30.387,8.162,8.765,5.88,5.14,5.578,6.868,,5.884,4.872
1933-01-01,7.054,8.021,18.678,33.744,8.699,8.408,5.808,5.136,5.632,6.667,,5.812,5.733
1934-01-01,9.074,11.522,24.149,45.084,10.896,9.692,6.722,5.33,6.628,7.776,,6.726,7.505
1935-01-01,10.601,10.927,29.865,57.343,12.868,12.398,7.214,5.186,7.131,10.731,,7.218,8.195
1936-01-01,11.048,11.328,31.621,61.03,13.395,12.897,7.21,5.208,7.167,11.231,,7.214,8.509
1937-01-01,11.989,12.687,33.852,65.567,14.437,13.324,7.886,5.37,7.832,11.884,,7.89,9.246
1938-01-01,10.201,10.128,26.888,50.785,11.904,11.258,7.206,5.485,6.975,10.576,,7.209,6.794
1939-01-01,9.18,8.471,23.13,43.092,10.769,10.617,7.125,5.323,6.914,10.092,,7.129,6.871
1940-01-01,10.391,10.839,27.113,51.461,12.043,10.903,7.328,5.306,7.147,10.345,,7.332,7.402
1941-01-01,12.301,11.86,34.34,66.405,14.331,13.681,7.769,5.621,7.681,12.962,,7.773,8.729
1942-01-01,16.023,16.432,47.13,92.389,18.604,17.315,8.906,6.514,8.961,16.152,,8.911,11.27
1943-01-01,19.017,20.326,57.005,112.873,22.081,21.093,10.036,6.747,10.231,18.608,,10.042,13.885
1944-01-01,19.502,22.155,57.484,113.391,22.602,21.449,10.577,7.239,10.782,18.216,,10.582,14.636
1945-01-01,20.114,21.659,59.862,118.224,23.355,22.66,10.765,7.394,10.981,19.646,,10.771,14.963
1946-01-01,23.201,25.217,70.093,139.319,26.705,24.299,11.684,7.792,12.025,22.483,,11.69,17.378
1947-01-01,27.512,29.701,83.41,166.549,31.566,28.146,13.633,8.631,14.049,26.807,,13.64,20.472
1948-01-01,28.615,28.798,83.883,166.342,32.726,29.073,15.067,9.557,15.342,29.384,,15.075,20.508
1949-01-01,24.845,25.06,69.609,135.104,28.279,25.227,13.972,9.979,14.168,25.474,,13.98,18.306
1950-01-01,25.523,26.107,70.51,136.771,28.839,23.869,14.422,10.16,14.598,25.88,13.1,14.43,18.581
1951-01-01,29.967,29.918,86.213,169.887,33.896,28.144,15.953,10.918,16.186,30.94,14.165,15.962,21.019
1952-01-01,28.489,30.18,78.552,152.132,32.217,27.933,16.091,11.379,16.34,28.179,14.834,16.1,21.381
1953-01-01,25.279,27.032,67.331,127.241,28.538,26.865,14.951,11.491,15.148,24.829,15.165,14.959,19.428
1954-01-01,24.446,27.475,63.355,118.465,27.513,24.653,14.89,11.524,15.086,23.085,15.046,14.898,19.354
1955-01-01,23.301,26.768,58.837,108.603,26.183,23.798,14.586,11.508,14.804,21.586,15.255,14.594,19.318
1956-01-01,22.971,26.736,58.099,106.031,25.821,23.373,14.391,12.055,14.576,21.034,15.717,14.399,18.617
1957-01-01,23.314,25.263,59.854,108.919,26.185,24.228,14.376,12.596,14.516,22.61,16.454,14.384,17.925
1958-01-01,25.388,25.154,65.136,119.927,28.389,25.868,15.585,12.926,15.671,26.211,18.797,15.593,18.438
1959-01-01,24.004,25.15,59.525,107.036,26.809,24.43,15.242,13.249,15.322,23.754,17.535,15.251,17.968
1960-01-01,23.87,25.192,59.176,106.164,26.621,23.773,15.111,13.314,15.197,23.482,17.758,15.119,17.921
1961-01-01,23.942,25.671,59.175,105.972,26.719,23.806,15.214,13.431,15.309,23.267,18.169,15.223,18.165
1962-01-01,24.373,26.264,60.577,108.701,27.2,24.224,15.397,13.616,15.502,23.593,18.366,15.405,18.507
1963-01-01,24.223,27.092,59.015,105.098,26.996,23.521,15.522,13.751,15.65,22.73,18.683,15.531,18.945
1964-01-01,23.706,27.116,57.338,101.151,26.404,22.75,15.258,13.925,15.396,21.81,19.309,15.266,18.792
1965-01-01,24.853,26.618,61.832,110.482,27.682,25.093,15.645,14.209,15.741,24.178,19.889,15.653,18.704
1966-01-01,26.458,27.526,66.833,120.908,29.535,27.663,16.375,14.541,16.603,26.33,20.843,16.384,21.196
1967-01-01,25.085,25.841,59.858,104.643,28.031,26.582,16.39,14.969,16.548,25.148,21.725,16.399,20.245
1968-01-01,25.703,25.92,63.166,111.116,28.655,28.088,16.295,15.438,16.483,26.163,22.867,16.304,20.561
1969-01-01,27.095,25.052,67.832,120.291,30.177,30.815,16.925,16.092,17.076,29.279,24.349,16.934,20.732
1970-01-01,27.625,25.952,68.476,120.382,30.736,31.228,17.362,16.78,17.525,29.516,25.619,17.371,21.389
1971-01-01,28.444,27.899,69.671,121.33,31.678,31.684,18.07,17.676,18.258,29.45,29.134,18.08,22.538
1972-01-01,31.699,29.742,81.27,145.642,35.268,37.278,19.301,18.46,19.526,33.895,30.987,19.312,24.415
1973-01-01,45.113,45.326,129.197,252.229,49.86,48.866,24.02,19.09,24.673,45.605,33.249,24.034,34.829
1974-01-01,48.787,57.789,125.177,238.192,53.338,43.595,28.373,21.357,29.148,41.291,42.484,28.389,41.178
1975-01-01,47.095,52.186,108.26,193.177,51.405,44.558,30.625,24.517,31.035,43.039,45.805,30.642,38.953
1976-01-01,47.261,51.163,106.861,186.429,51.4,45.769,31.018,26.293,31.387,44.265,46.408,31.035,38.837
1977-01-01,46.992,50.941,102.538,172.263,50.935,45.945,31.492,28.329,31.905,43.952,48.283,31.51,40.005
1978-01-01,53.491,53.582,125.651,220.118,57.545,58.813,33.162,30.692,33.88,53.875,51.491,33.181,46.827
1979-01-01,60.434,58.923,136.525,238.284,64.8,70.622,38.365,33.728,39.186,62.397,56.201,38.386,54.02
1980-01-01,62.02,63.361,120.467,191.372,66.373,67.935,43.741,38.103,44.351,61.13,60.888,43.765,56.583
1981-01-01,63.925,66.976,115.143,170.685,68.347,67.569,47.62,42.485,47.929,61.374,64.213,47.646,56.716
1982-01-01,61.011,60.064,102.136,139.215,64.799,69.594,47.159,45.955,47.669,62.23,60.245,47.185,58.838
1983-01-01,62.535,64.881,110.735,154.493,66.1,65.935,46.269,47.717,46.79,60.626,64.585,46.294,58.038
1984-01-01,64.866,67.363,117.871,167.716,68.549,68.638,47.27,49.107,47.763,62.825,64.556,47.296,58.783
1985-01-01,59.156,60.007,99.207,130.808,62.224,64.29,45.219,49.698,45.81,58.616,60.783,45.244,57.525
1986-01-01,57.138,54.297,96.987,124.795,59.758,65.237,42.606,51.534,43.41,60.123,55.955,42.629,57.225
1987-01-01,57.906,53.947,99.417,128.009,60.724,71.25,42.85,52.73,43.829,62.056,59.288,42.873,59.891
1988-01-01,64.026,64.473,110.248,146.084,66.137,72.441,46.31,54.271,47.122,63.597,66.372,46.336,61.381
1989-01-01,67.51,67.268,116.162,154.717,69.697,76.304,48.888,56.338,49.661,67.765,70.255,48.915,63.722
1990-01-01,67.863,64.397,113.815,149.188,69.801,82.296,49.556,58.164,50.569,71.381,65.891,49.583,67.382
1991-01-01,65.229,62.936,102.801,128.949,67.132,78.985,50.055,60.181,50.871,67.524,65.672,50.082,65.493
1992-01-01,64.65,63.142,100.724,124.236,66.471,75.938,49.916,62.064,50.746,66.113,67.121,49.939,65.552
1993-01-01,66.015,63.768,101.331,124.256,67.874,77.941,51.516,63.594,52.368,68.268,68.618,51.542,67.582
1994-01-01,65.598,66.244,98.49,118.565,67.42,71.951,52.087,65.402,52.782,64.79,69.913,52.11,66.202
1995-01-01,66.488,69.613,101.229,121.959,68.29,71.813,52.312,67.071,52.969,63.03,71.931,52.338,65.905
1996-01-01,73.41,78.724,117.816,148.435,75.225,72.365,55.786,68.325,56.293,67.601,80.233,55.809,67.876
1997-01-01,70.074,72.789,100.586,120.488,71.487,76.745,57.193,69.019,57.706,66.982,75.646,57.213,69.545
1998-01-01,66.043,66.999,93.408,108.68,67.291,68.317,54.333,69.722,54.798,64.842,71.639,54.352,65.794
1999-01-01,62.241,60.273,82.2,90.014,63.341,65.333,53.094,70.899,53.674,64.172,65.617,53.114,66.061
2000-01-01,62.862,60.091,75.26,78.72,63.927,68.951,56.687,71.814,57.284,65.653,65.473,56.706,70.171
2001-01-01,66.282,61.561,82.292,88.837,67.183,73.515,58.187,72.834,58.797,71.117,64.994,58.207,71.958
2002-01-01,63.317,65.338,75.119,77.608,64.371,63.758,57.416,73.564,57.977,61.247,68.057,57.434,70.266
2003-01-01,69.15,68.781,85.204,92.053,70.11,72.236,60.956,74.687,61.542,69.554,71.936,60.98,74.306
2004-01-01,77.592,73.958,100.7,113.489,78.425,80.644,65.444,77.022,66.016,81.416,76.278,65.469,78.511
2005-01-01,74.35,68.376,84.077,88.428,74.957,81.334,69.645,80.44,70.117,80.69,72.607,69.672,80.506
2006-01-01,74.723,73.784,79.496,80.787,75.372,80.411,73.099,83.24,73.48,75.527,76.091,73.127,82.012
2007-01-01,88.313,89.038,106.836,120.539,88.992,87.971,79.941,85.709,80.161,87.268,90.129,79.973,85.264
2008-01-01,98.198,108.346,107.893,120.611,99.197,86.829,94.917,88.847,94.711,87.321,105.781,94.957,91.24
2009-01-01,84.94,94.114,80.796,79.31,86.063,78.103,88.924,90.078,88.849,75.118,96.514,88.947,87.705
2010-01-01,91.468,95.913,94.914,99.941,92.56,87.846,91.409,90.002,91.072,87.167,98.283,91.431,86.338
