Date,Cash receipts from farm marketings,Change in farm finished goods inventories,Change in farm inventories,Compensation of employees,Corporate profits,Crops,Current transfer payments,Equals: Gross farm value added,Equals: Net farm value added,Farm output,Farm products consumed on farms,"Intermediate goods and services purchased, other than rent",Less: Change in farm materials and supplies inventories,Less: Consumption of fixed capital,Less: Intermediate goods and services consumed,Less: Subsidies to operators,Livestock,Net interest,Net operating surplus,Other farm income,Other than rent,Proprietors' income,Proprietors' income and corporate profits with inventory valuation and capital consumption adjustments,Rent paid to nonoperator landlords,Supplements to wages and salaries,Taxes on production and imports,Wages and salaries
1929-01-01,11312.0,-122.0,-122.0,1304.0,8.0,2460.0,0.0,8935.0,8213.0,12903.0,1713.0,3301.0,,722.0,3968.0,0.0,3135.0,796.0,6463.0,,3301.0,5659.0,5667.0,667.0,4.0,445.0,1300.0
1930-01-01,9055.0,-269.0,-269.0,1181.0,-35.0,1780.0,0.0,6956.0,6241.0,10338.0,1552.0,2877.0,,716.0,3382.0,0.0,2613.0,754.0,4616.0,,2877.0,3897.0,3862.0,505.0,4.0,443.0,1177.0
1931-01-01,6381.0,460.0,460.0,918.0,-59.0,1462.5,0.0,5667.0,5002.0,8106.0,1265.0,2127.0,,665.0,2440.0,0.0,1958.0,713.0,3688.0,,2127.0,3034.0,2975.0,313.0,4.0,395.0,914.0
1932-01-01,4748.0,110.0,110.0,673.0,-53.0,1010.5,0.0,3949.0,3357.0,5851.0,993.0,1683.0,,592.0,1902.0,0.0,1418.5,648.0,2345.0,,1683.0,1750.0,1697.0,220.0,4.0,339.0,669.0
1933-01-01,5237.0,-99.0,-99.0,620.0,-20.0,1131.0,0.0,4111.0,3555.0,6168.0,1030.0,1779.0,,555.0,2057.0,113.0,1438.0,554.0,2758.0,,1779.0,2224.0,2204.0,278.0,3.0,291.0,617.0
1934-01-01,6202.0,-775.0,-775.0,682.0,-18.0,1164.5,0.0,4163.0,3617.0,6552.0,1125.0,2058.0,,546.0,2389.0,397.0,1549.0,490.0,3052.0,,2058.0,2580.0,2562.0,332.0,3.0,280.0,679.0
1935-01-01,7090.0,728.0,728.0,778.0,18.0,1836.5,0.0,6432.0,5904.0,9138.0,1320.0,2311.0,,528.0,2706.0,498.0,2072.5,428.0,5340.0,,2311.0,4894.0,4912.0,396.0,3.0,282.0,775.0
1936-01-01,8466.0,-881.0,-881.0,871.0,29.0,1464.5,0.0,5851.0,5304.0,8979.0,1394.0,2668.0,,547.0,3128.0,242.0,2328.0,409.0,4385.0,,2668.0,3947.0,3976.0,460.0,3.0,292.0,868.0
1937-01-01,8756.0,924.0,924.0,992.0,16.0,2407.0,0.0,7658.0,7059.0,11114.0,1434.0,3023.0,,599.0,3457.0,283.0,2433.0,391.0,6045.0,,3023.0,5638.0,5654.0,434.0,4.0,306.0,988.0
1938-01-01,7409.0,446.0,446.0,983.0,-2.0,1626.0,0.0,5956.0,5326.0,9090.0,1235.0,2788.0,,630.0,3133.0,377.0,2301.5,411.0,4420.0,,2788.0,4011.0,4009.0,345.0,4.0,301.0,979.0
1939-01-01,8088.0,-121.0,-121.0,992.0,10.0,1616.5,0.0,5708.0,5090.0,9176.0,1209.0,3094.0,,619.0,3468.0,661.0,2367.0,424.0,4457.0,,3094.0,4023.0,4033.0,374.0,4.0,302.0,988.0
1940-01-01,8172.0,491.0,491.0,1033.0,27.0,1845.5,0.0,5859.0,5230.0,9873.0,1210.0,3564.0,,629.0,4014.0,626.0,2486.0,428.0,4520.0,,3564.0,4065.0,4092.0,450.0,4.0,305.0,1029.0
1941-01-01,11144.0,387.0,387.0,1252.0,56.0,2366.5,0.0,8318.0,7621.0,12960.0,1429.0,3971.0,,697.0,4642.0,472.0,3399.0,433.0,6515.0,,3971.0,6026.0,6082.0,671.0,3.0,326.0,1249.0
1942-01-01,15396.0,1268.0,1268.0,1634.0,76.0,3530.0,0.0,12383.0,11563.0,18422.0,1758.0,5141.0,,820.0,6039.0,563.0,4802.0,397.0,10161.0,,5141.0,9688.0,9764.0,898.0,3.0,331.0,1631.0
1943-01-01,19793.0,-226.0,-226.0,2030.0,109.0,3819.5,0.0,14612.0,13795.0,21820.0,2253.0,6160.0,,816.0,7208.0,563.0,5964.0,327.0,11979.0,,6160.0,11543.0,11652.0,1048.0,3.0,350.0,2027.0
1944-01-01,20446.0,-320.0,-320.0,2207.0,99.0,4708.5,0.0,14575.0,13709.0,22307.0,2181.0,6696.0,,865.0,7732.0,687.0,5354.5,284.0,11821.0,,6696.0,11438.0,11537.0,1036.0,5.0,369.0,2202.0
1945-01-01,22076.0,-852.0,-852.0,2306.0,92.0,4730.5,0.0,15149.0,14252.0,23580.0,2356.0,7386.0,,896.0,8431.0,659.0,5881.5,265.0,12181.0,,7386.0,11824.0,11916.0,1045.0,7.0,425.0,2299.0
1946-01-01,25025.0,-194.0,-194.0,2542.0,135.0,5762.0,0.0,17842.0,16853.0,27493.0,2662.0,8295.0,,989.0,9651.0,683.0,6653.5,224.0,14569.0,,8295.0,14211.0,14346.0,1355.0,10.0,460.0,2532.0
1947-01-01,29601.0,-1790.0,-1790.0,2793.0,146.0,5933.0,11.0,19060.0,17840.0,30576.0,2765.0,10026.0,,1220.0,11516.0,277.0,7972.0,240.0,14739.0,,10026.0,14342.0,14488.0,1490.0,10.0,542.0,2783.0
1948-01-01,29219.0,2663.0,2663.0,3000.0,150.0,7404.5,14.0,22100.0,20557.0,34615.0,2733.0,11084.0,,1543.0,12515.0,227.0,8536.5,280.0,17148.0,,11084.0,16704.0,16854.0,1431.0,10.0,603.0,2990.0
1949-01-01,27408.0,-604.0,-604.0,2817.0,109.0,5600.0,13.0,17585.0,15772.0,29034.0,2230.0,10253.0,,1812.0,11450.0,161.0,7802.5,320.0,12431.0,,10253.0,11989.0,12098.0,1197.0,11.0,660.0,2806.0
1950-01-01,29223.0,-85.0,-85.0,2821.0,162.0,6212.5,13.0,18726.0,16694.0,31221.0,2063.0,11166.0,,2032.0,12495.0,249.0,8356.5,363.0,13410.0,20.0,11166.0,12872.0,13034.0,1329.0,10.0,692.0,2811.0
1951-01-01,33065.0,998.0,998.0,2932.0,137.0,6713.5,14.0,21659.0,19328.0,36409.0,2304.0,13259.0,,2331.0,14750.0,250.0,10318.0,428.0,15881.0,42.0,13259.0,15303.0,15440.0,1491.0,22.0,752.0,2910.0
1952-01-01,32070.0,1381.0,1381.0,2868.0,54.0,7316.5,18.0,20788.0,18281.0,35741.0,2220.0,13419.0,,2507.0,14953.0,240.0,9409.0,481.0,14866.0,70.0,13419.0,14313.0,14367.0,1535.0,22.0,776.0,2846.0
1953-01-01,29402.0,724.0,724.0,2746.0,24.0,6642.0,19.0,18674.0,16072.0,32217.0,2007.0,12191.0,,2602.0,13543.0,186.0,8421.0,492.0,12703.0,84.0,12191.0,12169.0,12193.0,1352.0,22.0,800.0,2724.0
1954-01-01,30076.0,201.0,201.0,2606.0,53.0,6870.0,18.0,18196.0,15534.0,32167.0,1789.0,12645.0,,2663.0,13970.0,224.0,8268.0,506.0,12326.0,101.0,12645.0,11749.0,11802.0,1325.0,27.0,819.0,2579.0
1955-01-01,30374.0,-564.0,-564.0,2598.0,32.0,6902.0,22.0,17270.0,14570.0,31611.0,1678.0,13072.0,,2700.0,14340.0,200.0,8003.0,545.0,11316.0,123.0,13072.0,10716.0,10748.0,1268.0,41.0,852.0,2557.0
1956-01-01,30831.0,-963.0,-963.0,2611.0,22.0,6913.5,28.0,17068.0,14239.0,31594.0,1585.0,13249.0,,2829.0,14526.0,486.0,8020.0,590.0,11227.0,141.0,13249.0,10588.0,10610.0,1277.0,45.0,884.0,2566.0
1957-01-01,30068.0,92.0,92.0,2713.0,10.0,6489.0,36.0,16919.0,13994.0,31813.0,1484.0,13725.0,,2925.0,14894.0,891.0,8590.5,643.0,11238.0,169.0,13725.0,10550.0,10560.0,1169.0,55.0,933.0,2658.0
1958-01-01,32041.0,1970.0,1970.0,2869.0,20.0,7093.0,37.0,19086.0,16020.0,35738.0,1505.0,15307.0,,3066.0,16652.0,988.0,9912.5,708.0,13187.0,222.0,15307.0,12422.0,12442.0,1345.0,99.0,947.0,2770.0
1959-01-01,35090.0,-1562.0,-1562.0,2952.0,-46.0,7103.0,32.0,17315.0,14175.0,35043.0,1289.0,16399.0,,3139.0,17729.0,615.0,9661.0,756.0,10786.0,227.0,16399.0,10044.0,9998.0,1330.0,111.0,1039.0,2841.0
1960-01-01,33786.0,552.0,552.0,3093.0,-7.0,7630.5,22.0,18170.0,15065.0,35716.0,1134.0,16138.0,,3105.0,17546.0,632.0,9539.0,829.0,11492.0,244.0,16138.0,10648.0,10641.0,1408.0,129.0,1119.0,2964.0
1961-01-01,34501.0,880.0,880.0,3225.0,4.0,7747.5,15.0,18333.0,15220.0,36733.0,1109.0,16843.0,,3112.0,18401.0,1324.0,9943.0,885.0,12153.0,243.0,16843.0,11249.0,11253.0,1558.0,135.0,1174.0,3090.0
1962-01-01,36279.0,583.0,583.0,3319.0,45.0,8059.5,14.0,18411.0,15245.0,38111.0,993.0,18002.0,,3166.0,19700.0,1540.0,10371.5,992.0,12268.0,257.0,18002.0,11217.0,11262.0,1698.0,149.0,1205.0,3170.0
1963-01-01,37512.0,492.0,492.0,3413.0,29.0,8780.5,13.0,18495.0,15235.0,39210.0,921.0,18811.0,,3260.0,20715.0,1488.0,10221.5,1023.0,12075.0,285.0,18811.0,11010.0,11039.0,1904.0,169.0,1240.0,3244.0
1964-01-01,37668.0,-1179.0,-1179.0,3457.0,66.0,8290.0,13.0,17341.0,13952.0,37660.0,835.0,18413.0,,3389.0,20320.0,1898.0,9955.0,1251.0,11112.0,336.0,18413.0,9781.0,9847.0,1907.0,173.0,1287.0,3284.0
