Date,Cash receipts from farm marketings,Change in farm finished goods inventories,Change in farm inventories,Crops,Equals: Gross farm value added,Equals: Net farm value added,Farm output,Farm products consumed on farms,"Intermediate goods and services purchased, other than rent",Less: Change in farm materials and supplies inventories,Less: Consumption of fixed capital,Less: Intermediate goods and services consumed,Livestock,Other farm income,Other than rent,Rent paid to nonoperator landlords
2007-01-01,328343.0,-888.0,-1238.0,84922.0,110311.0,72819.0,342496.0,458.0,224473.0,-418.0,35092.0,233208.0,79061.5,16507.0,223004.0,10085.0
2008-01-01,320923.0,-1819.0,-740.0,80494.5,110078.0,72195.0,330513.0,449.0,210389.0,1308.0,35668.0,220770.0,79540.5,13187.0,209139.0,11510.0
2009-01-01,343822.0,-10126.0,-9075.0,87676.5,126814.0,88058.0,345890.0,442.0,207190.0,1359.0,36216.0,219721.0,79326.5,13529.0,205894.0,13777.0
2010-01-01,351654.0,-16731.0,-15973.0,87593.0,123315.0,84030.0,346715.0,439.0,208703.0,1316.0,36736.0,223865.0,80181.5,12351.0,207446.0,16456.0
2011-01-01,326158.0,-2945.0,-2209.0,81264.0,117959.0,78410.0,335728.0,356.0,203931.0,1155.0,37703.0,218374.0,80540.5,14137.0,202823.0,15574.0
2012-01-01,341048.0,-16626.0,-16525.0,82214.5,112382.0,72436.0,340156.0,357.0,214218.0,1095.0,39614.0,229852.0,80702.5,17251.0,213161.0,16717.0
2013-01-01,328140.0,7762.0,8775.0,85573.0,126487.0,82731.0,353448.0,433.0,209255.0,1074.0,42531.0,226650.0,82131.0,18399.0,208219.0,18472.0
2014-01-01,343558.0,-3321.0,-2766.0,87790.0,124487.0,79122.0,359453.0,474.0,215746.0,1011.0,45799.0,235570.0,82296.5,19189.0,214767.0,20842.0
2015-01-01,347347.0,180.0,937.0,86999.5,134828.0,87226.0,367926.0,568.0,213695.0,1032.0,47632.0,233402.0,86435.0,20404.0,212695.0,20746.0
2016-01-01,375723.0,-4516.0,-5418.0,95102.5,143880.0,96619.0,390054.0,517.0,222669.0,-987.0,47346.0,246590.0,90287.5,18302.0,223647.0,23007.0
2017-01-01,380920.0,-6061.0,-5679.0,93881.0,138731.0,92133.0,395529.0,433.0,237168.0,382.0,46598.0,256798.0,93548.5,20236.0,236786.0,20012.0
2018-01-01,385082.0,-8076.0,-8013.0,90878.5,144141.0,98259.0,395055.0,441.0,234631.0,294.0,46030.0,251156.0,97912.5,17216.0,234337.0,16806.0
2019-01-01,387665.0,-15141.0,-15593.0,87508.5,131392.0,85271.0,390307.0,503.0,240109.0,-114.0,45712.0,258229.0,99770.5,16997.0,240220.0,18019.0
2020-01-01,395470.0,-12463.0,-11693.0,91775.0,131411.0,85366.0,401651.0,600.0,250563.0,1228.0,45655.0,269167.0,100802.5,16770.0,249337.0,19908.0
2021-01-01,385147.0,-3447.0,-2339.0,90306.5,142944.0,96765.0,397649.0,582.0,237794.0,1486.0,45979.0,253567.0,101290.0,13913.0,236314.0,17236.0
2022-01-01,371893.0,-10711.0,-10236.0,83196.0,142421.0,95916.0,382706.0,613.0,226394.0,1325.0,46438.0,238343.0,100098.5,19016.0,225070.0,13014.0
2023-01-01,373226.0,-2647.0,-2433.0,86348.5,148111.0,100959.0,391903.0,635.0,227852.0,548.0,46588.0,241468.0,99757.5,19652.0,227259.0,14009.0
