Date,Equals: Gross housing value added,Equals: Net housing value added,Farm housing,Housing output,Less: Consumption of fixed capital,Less: Intermediate goods and services consumed,Nonfarm housing,Owner-occupied,Tenant-occupied
1929-01-01,6.26,5.517,74.33250000000001,5.754,9.164,3.648,5.3309999999999995,3.8825000000000003,10.4855
1930-01-01,6.245,5.49,74.03450000000001,5.686,9.24,3.372,5.292999999999999,3.7895000000000003,10.6405
1931-01-01,6.228,5.474,73.70150000000001,5.633,9.231,3.173,5.260999999999999,3.68,10.885
1932-01-01,6.207,5.458,73.191,5.538,9.171,2.8,5.2085,3.5645,11.0535
1933-01-01,6.025,5.275,72.7285,5.435,9.08,3.004,5.074,3.5825,10.3925
1934-01-01,6.182,5.453,72.23349999999999,5.724,9.06,3.814,5.2935,3.5854999999999997,11.361
1935-01-01,6.169,5.431,72.1895,5.767,9.1,4.086,5.3085,3.5835,11.437000000000001
1936-01-01,6.134,5.387,72.22999999999999,5.853,9.128,4.676,5.333500000000001,3.5789999999999997,11.565000000000001
1937-01-01,6.221,5.482,72.4725,5.947,9.157,4.8,5.4205000000000005,3.5905,11.918
1938-01-01,6.466,5.763,72.4135,6.042,9.174,4.266,5.587999999999999,3.649,12.471
1939-01-01,6.552,5.854,72.66499999999999,6.183,9.218,4.636,5.696,3.698,12.7915
1940-01-01,6.715,6.023,73.333,6.366,9.329,4.902,5.861000000000001,3.7809999999999997,13.245999999999999
1941-01-01,7.03,6.367,74.1795,6.728,9.478,5.465,6.1865000000000006,4.048,13.778
1942-01-01,7.557,6.987,74.55199999999999,7.077,9.561,5.063,6.612500000000001,4.3945,14.486
1943-01-01,8.008,7.55,74.6375,7.335,9.533,4.536,6.961,4.798500000000001,14.639
1944-01-01,8.358,8.005,74.5735,7.612,9.485,4.516,7.272,5.2219999999999995,14.556000000000001
1945-01-01,8.524,8.231,74.34,7.767,9.447,4.626,7.4345,5.5760000000000005,14.0415
1946-01-01,8.569,8.231,75.4015,8.436,9.634,7.911,7.7835,5.883,14.5395
1947-01-01,8.957,8.603,76.70349999999999,9.097,10.077,9.798,8.303999999999998,6.378500000000001,15.15
1948-01-01,9.421,9.064,78.4455,9.662,10.558,10.825,8.8085,6.8445,15.788499999999999
1949-01-01,10.058,9.781,79.9795,10.308,11.018,11.52,9.442,7.442,16.549500000000002
1950-01-01,10.762,10.564,81.2085,11.04,11.543,12.382,10.152999999999999,8.16,17.233
1951-01-01,11.585,11.499,82.283,11.858,12.113,13.186,10.97,9.002,17.959
1952-01-01,12.498,12.581,83.024,12.636,12.637,13.357,11.817,9.911999999999999,18.588
1953-01-01,13.23,13.395,83.703,13.32,13.182,13.834,12.526,10.665,19.143
1954-01-01,14.095,14.372,84.2135,13.973,13.773,13.55,13.2855,11.52,19.57
1955-01-01,14.893,15.221,84.358,14.681,14.459,13.859,14.0405,12.3835,19.950499999999998
1956-01-01,15.698,16.071,84.7285,15.408,15.17,14.252,14.807500000000001,13.253,20.3595
1957-01-01,16.711,17.232,85.0025,16.191,15.814,14.04,15.7065,14.143,21.295
1958-01-01,17.705,18.372,85.18,16.987,16.44,13.984,16.604,15.033000000000001,22.2275
1959-01-01,19.037,19.922,85.616,17.928,17.207,13.268,17.744500000000002,16.1125,23.5865
1960-01-01,20.287,21.336,85.81700000000001,18.877,18.039,12.961,18.852,17.2105,24.737000000000002
1961-01-01,21.461,22.667,86.388,19.811,18.806,12.901,19.9105,18.176000000000002,26.1295
1962-01-01,22.83,24.244,86.7865,20.932,19.626,13.003,21.166,19.351,27.6725
1963-01-01,24.043,25.562,87.211,21.887,20.58,12.906,22.258,20.332500000000003,29.162
1964-01-01,25.145,26.693,87.7635,22.929,21.643,13.695,23.3375,21.3075,30.615000000000002
1965-01-01,26.522,28.19,88.095,24.17,22.726,14.369,24.6605,22.5445,32.2505
1966-01-01,27.792,29.573,88.644,25.265,23.718,14.747,25.853499999999997,23.697,33.5955
1967-01-01,29.166,31.131,88.6735,26.371,24.618,14.774,27.112499999999997,24.837,35.278999999999996
1968-01-01,30.274,32.295,89.225,27.692,25.602,16.916,28.339,25.880499999999998,37.1575
1969-01-01,31.653,33.793,89.6645,29.187,26.698,18.868,29.7945,27.2675,38.8625
1970-01-01,32.708,34.838,89.8605,30.269,27.8,20.05,30.8795,28.228,40.387
1971-01-01,34.316,36.566,90.062,31.699,29.126,20.743,32.424,29.793999999999997,41.873999999999995
1972-01-01,35.94,38.175,90.38749999999999,33.374,30.818,22.611,34.101,31.3405,44.016
1973-01-01,37.087,39.072,90.405,35.041,32.588,26.453,35.5345,32.755,45.527
1974-01-01,38.906,41.038,91.4745,36.912,34.071,28.557,37.4,34.807500000000005,46.748999999999995
1975-01-01,40.152,42.313,91.936,37.963,35.246,28.783,38.5625,35.9915,47.8455
1976-01-01,40.548,42.3,92.339,39.049,36.509,32.826,39.3105,36.7675,48.4995
1977-01-01,41.13,42.38,93.2765,40.04,38.137,35.603,40.0975,37.256,50.33
1978-01-01,42.607,43.625,94.0305,42.07,40.063,40.082,41.8675,39.397,50.795
1979-01-01,43.433,43.895,93.944,43.797,41.946,45.904,43.163,41.0105,50.959500000000006
1980-01-01,44.967,45.525,94.3005,45.379,43.275,47.709,44.7375,42.577,52.567499999999995
1981-01-01,45.846,46.482,94.08449999999999,46.443,43.992,49.741,45.7225,43.339,54.3595
1982-01-01,46.915,47.927,93.5685,46.784,44.28,45.987,46.44,43.714,56.322
1983-01-01,48.73,50.327,92.556,47.675,44.837,41.991,47.8135,45.0385,57.8775
1984-01-01,49.664,51.118,91.65350000000001,49.534,46.073,48.764,49.227999999999994,46.2525,60.012
1985-01-01,51.718,53.396,90.756,51.579,47.607,50.761,51.299,47.5125,64.9855
1986-01-01,53.126,54.611,90.0595,53.135,49.462,53.13,52.795,48.629999999999995,67.8285
1987-01-01,54.362,55.525,89.757,54.486,51.455,55.126,54.0975,50.0415,68.75399999999999
1988-01-01,56.155,57.278,89.771,56.192,53.341,56.318,55.856,52.052,69.624
1989-01-01,57.327,58.244,90.362,57.604,55.012,59.153,57.150999999999996,53.703500000000005,69.6505
1990-01-01,58.474,59.341,91.1265,59.115,56.287,62.898,58.483000000000004,54.886,71.5195
1991-01-01,59.67,60.627,91.5255,60.404,57.248,64.776,59.730000000000004,56.126,72.8045
