Date,Equals: Gross housing value added,Equals: Net housing value added,Farm housing,Housing output,Less: Consumption of fixed capital,Less: Intermediate goods and services consumed,Nonfarm housing,Owner-occupied,Tenant-occupied
1929-01-01,9.111,11.643,6.17,9.738,4.233,13.703,9.8285,9.9505,9.3565
1930-01-01,8.831,11.252,5.868,9.46,4.155,13.525,9.556000000000001,9.6775,9.093
1931-01-01,8.312,10.683,5.281,8.922,3.772,12.945,9.0395,9.1625,8.593
1932-01-01,7.414,9.728,4.556,7.987,3.064,11.929,8.102,8.219000000000001,7.693
1933-01-01,6.674,8.581,4.239,7.168,3.021,10.453,7.2605,7.09,7.199
1934-01-01,6.126,7.487,4.448,6.535,3.356,9.079,6.558,6.651,6.232
1935-01-01,6.17,7.584,4.75,6.565,3.313,8.979,6.557,6.640499999999999,6.2415
1936-01-01,6.333,7.742,4.816,6.714,3.465,8.986,6.725,6.806,6.406
1937-01-01,6.631,7.967,5.077,7.028,3.836,9.388,7.035,7.12,6.7015
1938-01-01,6.81,8.171,5.163,7.25,3.958,9.94,7.25,7.342499999999999,6.901
1939-01-01,6.818,8.168,5.117,7.245,3.982,9.826,7.2575,7.349,6.91
1940-01-01,6.845,8.124,5.092,7.27,4.123,9.822,7.2905,7.385,6.939
1941-01-01,6.974,8.097,5.189,7.394,4.499,9.895,7.4205000000000005,7.512499999999999,7.0665
1942-01-01,7.122,8.146,5.526,7.58,4.812,10.379,7.5665,7.678,7.188000000000001
1943-01-01,7.136,7.975,5.909,7.626,5.179,10.724,7.556,7.659,7.1865000000000006
1944-01-01,7.192,7.836,6.425,7.691,5.637,10.871,7.567,7.667,7.199999999999999
1945-01-01,7.284,7.784,7.099,7.784,6.04,10.944,7.598,7.6975,7.231
1946-01-01,7.562,7.939,8.59,7.964,6.582,10.315,7.698,7.824999999999999,7.292
1947-01-01,7.878,7.776,9.377,8.264,7.924,10.522,7.9595,8.1005,7.526999999999999
1948-01-01,8.367,8.177,9.535,8.774,8.593,11.153,8.492,8.642,8.0305
1949-01-01,8.633,8.513,8.749,9.064,8.697,11.576,8.867,9.015,8.396999999999998
1950-01-01,8.93,8.848,8.958,9.374,8.904,11.96,9.178999999999998,9.3265,8.702
1951-01-01,9.325,9.136,9.704,9.782,9.54,12.448,9.553,9.6955,9.0745
1952-01-01,9.713,9.574,10.388,10.199,9.794,13.031,9.935,10.072,9.4555
1953-01-01,10.202,10.224,10.475,10.721,9.861,13.743,10.470500000000001,10.611999999999998,9.971
1954-01-01,10.484,10.598,10.092,11.046,9.893,14.326,10.821000000000002,10.9545,10.329
1955-01-01,10.626,10.721,10.25,11.205,10.085,14.587,10.971499999999999,11.1045,10.4785
1956-01-01,10.798,10.856,10.163,11.395,10.349,14.889,11.168500000000002,11.301,10.674
1957-01-01,10.976,11.087,10.439,11.606,10.378,15.318,11.359,11.491,10.86
1958-01-01,11.178,11.368,10.848,11.838,10.353,15.753,11.565000000000001,11.6985,11.061
1959-01-01,11.332,11.561,11.777,12.037,10.394,16.295,11.703,11.841000000000001,11.1865
1960-01-01,11.487,11.743,12.138,12.229,10.462,16.79,11.8675,12.0075,11.3445
1961-01-01,11.628,11.927,12.652,12.399,10.472,17.199,12.007000000000001,12.145,11.4835
1962-01-01,11.753,12.087,12.913,12.55,10.488,17.581,12.14,12.277000000000001,11.618
1963-01-01,11.88,12.276,13.429,12.705,10.416,17.999,12.265,12.4025,11.739
1964-01-01,12.006,12.417,13.813,12.834,10.492,18.131,12.383,12.5235,11.848500000000001
1965-01-01,12.122,12.487,13.974,12.961,10.748,18.337,12.5025,12.64,11.974499999999999
1966-01-01,12.297,12.597,14.546,13.157,11.128,18.705,12.6745,12.809000000000001,12.151
1967-01-01,12.519,12.77,15.261,13.41,11.501,19.236,12.896,13.0405,12.343499999999999
1968-01-01,12.861,13.027,15.668,13.74,12.106,19.327,13.229,13.376000000000001,12.6655
1969-01-01,13.309,13.331,16.732,14.193,13.008,19.71,13.66,13.811,13.081
1970-01-01,13.891,13.953,17.91,14.8,13.453,20.425,14.2365,14.397,13.6245
1971-01-01,14.528,14.539,19.0,15.488,14.24,21.456,14.8865,15.0455,14.268
1972-01-01,15.072,14.983,20.216,16.046,15.091,22.032,15.4185,15.5905,14.7595
1973-01-01,15.765,15.471,20.59,16.729,16.403,22.507,16.113500000000002,16.2865,15.442
1974-01-01,16.37,15.703,21.296,17.355,18.132,23.221,16.726,16.914,16.008
1975-01-01,17.416,16.541,21.377,18.478,19.799,24.83,17.8345,18.035,17.069000000000003
1976-01-01,18.615,17.7,21.898,19.687,21.1,25.985,19.054000000000002,19.2675,18.238
1977-01-01,20.218,19.101,23.003,21.346,23.27,27.931,20.695500000000003,20.9595,19.723999999999997
1978-01-01,21.679,20.083,24.469,22.81,26.058,29.361,22.155,22.472,21.028
1979-01-01,23.599,21.62,25.753,24.571,29.02,30.179,24.0055,24.424500000000002,22.579
1980-01-01,26.16,23.994,26.942,26.828,32.094,30.726,26.438,26.897,24.872
1981-01-01,29.131,27.149,27.924,29.561,34.595,32.135,29.326,29.889499999999998,27.4405
1982-01-01,31.792,30.132,27.051,31.994,36.392,33.241,31.941,32.574,29.838
1983-01-01,33.209,31.734,27.302,33.917,37.289,38.319,33.6375,34.185,31.732
1984-01-01,35.191,33.997,27.567,35.683,38.476,38.697,35.541,36.1425,33.467
1985-01-01,37.218,36.319,27.218,37.814,39.662,41.469,37.663,38.1545,35.83
1986-01-01,39.563,38.827,26.585,40.052,41.544,43.055,40.005,40.483,38.165
1987-01-01,41.592,40.869,26.838,41.873,43.537,43.632,41.958,42.5165,39.888999999999996
1988-01-01,43.563,43.002,29.2715,43.752,45.063,44.965,43.8725,44.5185,41.561
1989-01-01,45.539,45.153,31.511,45.569,46.569,45.844,45.763000000000005,46.483999999999995,43.23
1990-01-01,48.028,48.196,33.675,47.712,47.575,46.006,48.08,48.916,45.219
1991-01-01,49.802,50.395,35.964,49.219,48.213,46.019,49.7095,50.482,46.985
1992-01-01,51.436,52.409,38.316500000000005,50.566,48.825,45.791,51.186,51.9,48.586
1993-01-01,52.68,53.405,43.04,51.944,50.744,47.945,52.444,53.2175,49.671
1994-01-01,54.121,54.702,47.914500000000004,53.405,52.588,49.539,53.8445,54.6885,50.862
1995-01-01,55.887,56.484,49.894,55.056,54.315,50.471,55.549,56.590500000000006,52.004999999999995
1996-01-01,57.621,58.417,51.522,56.723,55.489,51.738,57.2505,58.441500000000005,53.2735
1997-01-01,59.259,60.239,49.389,58.314,56.615,53.056,58.917,60.1685,54.754
1998-01-01,61.292,62.488,49.815,60.16,58.055,53.802,60.878,62.263000000000005,56.314499999999995
1999-01-01,63.481,64.757,51.818,61.837,60.025,52.6,62.8095,64.28,57.983999999999995
2000-01-01,65.506,66.558,61.078500000000005,63.856,62.654,54.585,64.7325,66.122,60.137
2001-01-01,68.334,69.314,62.18,66.359,65.67,55.253,67.419,68.8395,62.716499999999996
2002-01-01,70.985,72.386,61.686,68.98,67.224,57.701,70.0975,71.5755,65.20599999999999
2003-01-01,72.013,72.631,61.573,70.719,70.2,63.403,71.5005,72.874,66.95349999999999
2004-01-01,73.615,73.088,72.068,72.507,74.579,66.268,73.0805,74.43299999999999,68.6045
2005-01-01,75.205,73.17,79.962,74.364,79.797,69.72,74.7265,76.0125,70.4805
2006-01-01,77.582,74.804,82.618,76.971,83.932,73.727,77.217,78.51849999999999,72.9225
2007-01-01,80.508,78.615,85.213,79.715,84.787,75.39,80.055,81.28299999999999,76.03049999999999
2008-01-01,83.049,82.897,85.972,81.891,83.133,75.277,82.432,83.5115,78.9455
2009-01-01,85.507,87.628,84.814,83.323,79.956,70.259,84.413,85.5175,80.84649999999999
2010-01-01,84.902,86.998,85.166,83.361,79.411,74.231,84.1215,85.1165,80.93100000000001
2011-01-01,85.985,88.447,91.036,84.48,79.535,75.577,85.17,86.0685,82.3035
2012-01-01,87.734,90.552,92.677,86.311,80.343,77.903,86.962,87.77250000000001,84.3805
2013-01-01,89.439,91.263,91.818,88.309,84.68,81.602,88.84299999999999,89.52250000000001,86.6765
2014-01-01,91.565,92.264,94.074,90.744,89.777,85.845,91.123,91.6395,89.4735
2015-01-01,94.196,94.943,97.645,93.537,92.284,89.605,93.826,94.1625,92.74449999999999
2016-01-01,96.991,97.546,94.599,96.666,95.576,94.722,96.8515,97.0255,96.28399999999999
2017-01-01,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2018-01-01,103.301,102.153,104.916,103.391,106.207,103.946,103.32900000000001,103.2295,103.6625
2019-01-01,106.977,106.025,106.649,106.915,109.387,106.505,106.9485,106.67349999999999,107.8605
2020-01-01,110.136,108.856,107.958,109.977,113.381,108.979,110.0775,109.7955,111.00649999999999
2021-01-01,112.304,106.85,112.373,112.743,126.3,115.239,112.5255,112.24449999999999,113.45599999999999
2022-01-01,118.353,108.825,124.168,119.341,143.185,125.245,118.79650000000001,118.255,120.619
2023-01-01,127.366,119.632,131.039,128.361,147.099,134.225,127.83350000000002,127.131,130.2
