Date,Compensation of employees,Corporate profits with inventory valuation and capital consumption adjustments,Current surplus of government enterprises,Current transfer payments,Equals: Gross housing value added,Equals: Net housing value added,Farm housing,Housing output,Less: Consumption of fixed capital,Less: Intermediate goods and services consumed,Less: Subsidies,Net interest,Net operating surplus,Nonfarm housing,Owner-occupied,Proprietors' income with inventory valuation and capital consumption adjustments,Rental income of persons with capital consumption adjustment,Taxes on production and imports,Tenant-occupied
1929-01-01,192.0,7.0,,,9889.0,7984.0,887.5,11323.0,1905.0,1434.0,0.0,1690.0,5822.0,9718.5,5503.0,-285.0,4410.0,1973.0,4216.0
1930-01-01,197.0,7.0,,,9563.0,7677.0,840.5,10871.0,1886.0,1308.0,0.0,1728.0,5426.0,9376.5,5221.5,-283.0,3974.0,2057.0,4155.0
1931-01-01,207.0,10.0,,,8978.0,7267.0,753.0,10156.0,1710.0,1178.0,0.0,1734.0,5012.0,8814.0,4800.0,-253.0,3522.0,2050.0,4013.5
1932-01-01,194.0,14.0,,,7980.0,6599.0,645.0,8938.0,1380.0,958.0,0.0,1666.0,4456.0,7813.5,4168.5,-201.0,2976.0,1951.0,3645.0
1933-01-01,192.0,13.0,,,6972.0,5625.0,596.5,7873.0,1347.0,901.0,0.0,1570.0,3708.0,6826.0,3616.5,-195.0,2320.0,1726.0,3209.5
1934-01-01,191.0,10.0,,,6567.0,5074.0,622.0,7560.0,1493.0,993.0,0.0,1481.0,3143.0,6441.5,3399.5,-214.0,1865.0,1741.0,3042.5
1935-01-01,198.0,10.0,,,6600.0,5119.0,663.5,7652.0,1481.0,1052.0,0.0,1424.0,3130.0,6462.5,3393.0,-209.0,1904.0,1792.0,3069.5
1936-01-01,200.0,8.0,,,6737.0,5183.0,673.0,7942.0,1554.0,1205.0,0.0,1384.0,3217.0,6666.5,3476.5,-219.0,2043.0,1767.0,3190.0
1937-01-01,206.0,6.0,,,7154.0,5428.0,712.0,8446.0,1725.0,1292.0,0.0,1349.0,3423.0,7088.0,3649.0,-244.0,2311.0,1800.0,3438.5
1938-01-01,212.0,5.0,,,7636.0,5852.0,723.5,8852.0,1783.0,1216.0,0.0,1299.0,3780.0,7520.5,3820.0,-253.0,2729.0,1861.0,3700.0
1939-01-01,222.0,5.0,,,7745.0,5943.0,719.5,9052.0,1803.0,1307.0,0.0,1262.0,3888.0,7679.0,3876.5,-255.0,2876.0,1833.0,3802.5
1940-01-01,263.0,3.0,,,7971.0,6081.0,722.5,9352.0,1889.0,1381.0,0.0,1270.0,3911.0,7939.0,3984.5,-266.0,2905.0,1908.0,3954.0
1941-01-01,239.0,1.0,,,8502.0,6408.0,745.0,10053.0,2095.0,1551.0,0.0,1308.0,4242.0,8532.5,4341.5,-295.0,3228.0,1927.0,4191.0
1942-01-01,246.0,-1.0,,,9333.0,7073.0,797.0,10840.0,2260.0,1507.0,0.0,1307.0,4840.0,9289.0,4814.0,-319.0,3852.0,1988.0,4475.0
1943-01-01,258.0,-5.0,,,9909.0,7483.0,853.5,11304.0,2425.0,1395.0,0.0,1258.0,5162.0,9753.0,5236.0,-339.0,4248.0,2064.0,4517.0
1944-01-01,267.0,-9.0,,,10423.0,7797.0,927.0,11831.0,2626.0,1408.0,0.0,1213.0,5394.0,10199.5,5700.5,-363.0,4553.0,2136.0,4499.5
1945-01-01,275.0,-12.0,,,10766.0,7963.0,1021.0,12218.0,2803.0,1452.0,0.0,1193.0,5488.0,10470.5,6111.0,-380.0,4688.0,2200.0,4359.5
1946-01-01,240.0,28.0,,,11236.0,8121.0,1254.0,13577.0,3115.0,2341.0,-22.0,1138.0,5772.0,11152.5,6595.5,-12.0,4617.0,2088.0,4557.0
1947-01-01,269.0,22.0,,,12236.0,8314.0,1392.5,15193.0,3922.0,2957.0,-31.0,1290.0,5805.0,12322.0,7420.5,-61.0,4554.0,2209.0,4901.0
