Date,Equals: Gross housing value added,Equals: Net housing value added,Farm housing,Housing output,Less: Consumption of fixed capital,Less: Intermediate goods and services consumed,Nonfarm housing,Owner-occupied,Tenant-occupied
2007-01-01,1589063.0,1111825.0,20074.0,1856818.0,477974.0,266407.0,1702787.5,1326512.5,374789.5
2008-01-01,1672111.0,1193568.0,20348.5,1923850.0,480235.0,248145.0,1777584.0,1387969.5,387846.5
2009-01-01,1655430.0,1180200.0,20225.0,1930351.0,476928.0,274580.0,1772619.5,1374260.0,397172.0
2010-01-01,1700640.0,1228373.0,20167.5,1975367.0,472489.0,273220.0,1817794.0,1403414.5,413468.0
2011-01-01,1710796.0,1241491.0,20085.0,1990405.0,468927.0,278484.0,1830482.5,1403980.5,426029.0
2012-01-01,1702374.0,1234541.0,19907.0,1993545.0,467559.0,291510.0,1828030.0,1388963.0,439172.0
2013-01-01,1715660.0,1245450.0,19677.0,2011486.0,469805.0,296397.0,1843892.5,1403798.0,440079.0
2014-01-01,1719454.0,1245762.0,19697.0,2006851.0,473417.0,287352.0,1843451.5,1399937.0,443592.0
2015-01-01,1718371.0,1240385.0,19638.0,2006542.0,477841.0,288175.0,1842817.5,1398227.0,444695.0
2016-01-01,1727357.0,1242970.0,19405.0,2018190.0,484336.0,290879.0,1853369.5,1410886.0,442535.0
2017-01-01,1734026.0,1242837.0,19386.0,2020853.0,491189.0,286827.0,1858053.5,1427775.0,430278.5
2018-01-01,1756902.0,1260120.0,19380.5,2036517.0,496801.0,279649.0,1877331.0,1441224.0,436104.0
2019-01-01,1783922.0,1282127.0,19262.5,2065317.0,501906.0,281431.0,1905361.0,1456990.5,448321.5
2020-01-01,1807069.0,1298272.0,19251.5,2118141.0,508891.0,311282.0,1943353.5,1498706.5,444735.5
2021-01-01,1867600.0,1350072.0,19243.0,2183613.0,518478.0,316282.0,2006357.0,1546031.0,460408.0
2022-01-01,1963559.0,1443672.0,19248.5,2242658.0,525787.0,281433.0,2083870.5,1608505.5,475527.5
2023-01-01,1999560.0,1479964.0,19215.5,2265454.0,527709.0,269094.0,2113313.0,1633311.5,480206.5
