Date,Capital consumption adjustment,Domestic corporate business,Domestic noncorporate business,Farm,Farm tenant-occupied housing,Farms owned by nonoperator landlords,Financial,For consistent accounting at historical cost,For current-cost valuation,Nonfarm,Nonfarm nonresidential properties,Nonfarm tenant-occupied housing,Nonfinancial,Other private business,Proprietors' income,Rental income of persons,Sole proprietorships and partnerships
1929-01-01,-1541.0,-550.0,-991.0,-58.0,-7.0,-7.0,-92.0,-296.8,-390.4,-795.0,-1.0,-123.0,-458.0,-138.0,0.0,-138.0,-853.0
1930-01-01,-1274.0,-321.0,-953.0,-41.0,-7.0,-7.0,-83.0,-313.6,-227.0,-787.0,0.0,-111.0,-238.0,-125.0,0.0,-125.0,-828.0
1931-01-01,-767.0,-25.0,-742.0,-8.0,-5.0,-6.0,-66.0,-276.6,-17.4,-653.0,0.0,-70.0,41.0,-81.0,0.0,-81.0,-661.0
1932-01-01,-357.0,109.0,-466.0,18.0,-3.0,-3.0,-46.0,-362.2,237.8,-483.0,1.0,4.0,155.0,-1.0,0.0,-1.0,-465.0
1933-01-01,-296.0,136.0,-432.0,11.0,-3.0,-3.0,-31.0,-365.6,272.2,-443.0,1.0,5.0,167.0,0.0,0.0,0.0,-432.0
1934-01-01,-574.0,-73.0,-501.0,-15.0,-4.0,-4.0,-44.0,-305.4,72.2,-446.0,0.0,-32.0,-29.0,-40.0,0.0,-40.0,-461.0
1935-01-01,-568.0,-126.0,-442.0,-6.0,-4.0,-4.0,-38.0,-245.8,2.0,-399.0,0.0,-29.0,-88.0,-37.0,0.0,-37.0,-405.0
1936-01-01,-568.0,-139.0,-429.0,-12.0,-4.0,-4.0,-32.0,-198.4,-43.4,-363.0,0.0,-46.0,-107.0,-54.0,0.0,-54.0,-375.0
1937-01-01,-1123.0,-546.0,-577.0,-31.0,-5.0,-6.0,-58.0,-214.6,-318.2,-449.0,-1.0,-84.0,-488.0,-97.0,-1.0,-96.0,-480.0
1938-01-01,-1159.0,-558.0,-601.0,-43.0,-6.0,-6.0,-56.0,-203.0,-341.8,-449.0,-1.0,-95.0,-502.0,-109.0,-1.0,-108.0,-492.0
1939-01-01,-1039.0,-472.0,-567.0,-24.0,-5.0,-6.0,-63.0,-177.4,-306.4,-436.0,0.0,-95.0,-409.0,-107.0,-1.0,-106.0,-460.0
1940-01-01,-1141.0,-564.0,-577.0,-20.0,-5.0,-7.0,-57.0,-164.0,-376.6,-434.0,-1.0,-108.0,-507.0,-123.0,-2.0,-121.0,-454.0
