Date,Automobile insurance,Benefit payments and withdrawals,Business current transfer payments (net),Current transfer payments to the rest of the world,Defined benefit and defined contribution pension plans (net),Donations by corporate business to nonprofit institutions serving households,Insurance payments to persons by business,Less: Current transfer receipts from the rest of the world,Less: Total contributions and contribution supplements,Medical liability insurance,Net change in assets from current transactions for defined contribution plans,Net change in benefit entitlements for defined benefit plans,Net insurance settlements,Other,Payments to government (net),Payments to persons (net),Payments to the rest of the world (net)
1929-01-01,,,511.0,,,,,,,,,,,,113.0,398.0,
1930-01-01,,,467.0,,,,,,,,,,,,115.0,352.0,
1931-01-01,,,538.0,,,,,,,,,,,,111.0,427.0,
1932-01-01,,,579.0,,,,,,,,,,,,108.0,471.0,
1933-01-01,,,515.0,,,,,,,,,,,,98.0,417.0,
1934-01-01,,,502.0,,,,,,,,,,,,97.0,405.0,
1935-01-01,,,506.0,,,,,,,,,,,,114.0,392.0,
1936-01-01,,,533.0,,,,,,,,,,,,139.0,394.0,
1937-01-01,,,524.0,,,,,,,,,,,,149.0,375.0,
1938-01-01,,,410.0,,,,,,,,,,,,153.0,257.0,
1939-01-01,,,435.0,,,,,,,,,,,,154.0,281.0,
1940-01-01,,,451.0,,,,,,,,,,,,164.0,287.0,
1941-01-01,,,527.0,,,,,,,,,,,,177.0,350.0,
1942-01-01,,,545.0,,,,,,,,,,,,203.0,342.0,
1943-01-01,,,642.0,,,,,,,,,,,,255.0,387.0,
1944-01-01,,,812.0,,,,,,,,,,,,379.0,433.0,
1945-01-01,,,891.0,,,,,,,,,,,,391.0,500.0,
1946-01-01,98.0,,692.0,,,214.0,162.0,,,,,,64.0,52.0,264.0,428.0,
1947-01-01,122.0,,715.0,,,241.0,98.0,,,,,,-24.0,53.0,323.0,392.0,
1948-01-01,149.0,750.0,707.0,,,239.0,79.0,,,,,,-70.0,53.0,337.0,371.0,
1949-01-01,152.0,869.0,688.0,,,223.0,81.0,,,,,,-71.0,51.0,334.0,355.0,
1950-01-01,206.0,993.0,824.0,,,252.0,247.0,,,,,,41.0,56.0,269.0,555.0,
1951-01-01,257.0,1115.0,1159.0,,,343.0,473.0,,,,,,216.0,57.0,287.0,873.0,
1952-01-01,314.0,1246.0,1199.0,,,399.0,431.0,,,,,,117.0,58.0,309.0,888.0,
1953-01-01,345.0,1419.0,1153.0,,,494.0,287.0,,,,,,-58.0,61.0,312.0,842.0,
1954-01-01,369.0,1538.0,916.0,,,314.0,186.0,,,,,,-183.0,67.0,348.0,567.0,
1955-01-01,423.0,1697.0,1298.0,,,415.0,451.0,,,,,,28.0,64.0,367.0,930.0,
1956-01-01,494.0,1966.0,1651.0,,,418.0,748.0,,,,,,254.0,69.0,416.0,1235.0,
1957-01-01,591.0,2221.0,1823.0,,,417.0,913.0,,,,,,322.0,65.0,428.0,1395.0,
1958-01-01,646.0,2488.0,1704.0,,,395.0,779.0,,,,,,133.0,66.0,463.0,1240.0,
1959-01-01,690.0,2783.0,1656.0,,,482.0,732.0,,,,,,42.0,108.0,336.0,1322.0,
1960-01-01,717.0,3085.0,1744.0,,,482.0,718.0,,,,,,1.0,112.0,430.0,1312.0,
1961-01-01,752.0,3415.0,1899.0,,,512.0,736.0,,,,,,-16.0,113.0,540.0,1361.0,
1962-01-01,788.0,3756.0,2119.0,,,595.0,836.0,,,,,,48.0,118.0,568.0,1549.0,
1963-01-01,869.0,4214.0,2527.0,,,657.0,1085.0,,,,,,216.0,126.0,661.0,1868.0,
1964-01-01,977.0,4774.0,3005.0,,,729.0,1325.0,,,,,,348.0,133.0,817.0,2187.0,
1965-01-01,1060.0,5235.0,3485.0,,,785.0,1342.0,,,,,,282.0,138.0,1220.0,2265.0,
1966-01-01,1177.0,6184.0,3390.0,,,805.0,1166.0,,,,,,-11.0,142.0,1279.0,2113.0,
1967-01-01,1270.0,7039.0,3628.0,,,830.0,1280.0,,,,,,10.0,152.0,1366.0,2262.0,
1968-01-01,1375.0,13244.0,4182.0,,,1005.0,1620.0,,,,,,245.0,163.0,1395.0,2788.0,
1969-01-01,1504.0,15339.0,4799.0,,,1055.0,2102.0,,,50.0,,,548.0,174.0,1467.0,3331.0,
1970-01-01,1695.0,17773.0,4356.0,,,797.0,1936.0,,,100.0,,,141.0,193.0,1431.0,2926.0,
1971-01-01,1805.0,20678.0,4158.0,,,865.0,1629.0,,,150.0,,,-326.0,202.0,1461.0,2696.0,
1972-01-01,1944.0,24145.0,4779.0,,,1009.0,1883.0,,,200.0,,,-261.0,220.0,1667.0,3112.0,
1973-01-01,2058.0,27661.0,5741.0,,,1174.0,2527.0,,,300.0,,,169.0,239.0,1800.0,3940.0,
1974-01-01,2110.0,32434.0,6787.0,,,1200.0,3267.0,,,400.0,,,757.0,271.0,2050.0,4738.0,
1975-01-01,2483.0,36205.0,9036.0,,,1202.0,5339.0,,,508.0,,,2348.0,303.0,2192.0,6844.0,
1976-01-01,2797.0,40766.0,9136.0,,,1477.0,4868.0,,,845.0,,,1226.0,349.0,2442.0,6694.0,
1977-01-01,3119.0,44994.0,8081.0,,,1790.0,2917.0,,,564.0,,,-766.0,383.0,2991.0,5090.0,
1978-01-01,3508.0,51224.0,10375.0,,,2084.0,3817.0,,,671.0,,,-362.0,562.0,3912.0,6463.0,
1979-01-01,3989.0,56681.0,12753.0,,,2288.0,5099.0,,,740.0,,,370.0,838.0,4527.0,8225.0,
1980-01-01,4403.0,66391.0,13998.0,,,2359.0,5134.0,,,923.0,,,-192.0,1137.0,5366.0,8630.0,
1981-01-01,5098.0,78084.0,16914.0,,,2514.0,7172.0,,,1141.0,,,933.0,1489.0,5737.0,11175.0,
1982-01-01,5624.0,90047.0,19318.0,,,2906.0,7584.0,,,1398.0,,,562.0,1896.0,6931.0,12386.0,
1983-01-01,5861.0,96695.0,21681.0,,,3627.0,8310.0,,,1486.0,,,963.0,1859.0,7885.0,13796.0,
1984-01-01,7211.0,141975.0,29159.0,,0.0,4059.0,13718.0,,329263.0,1914.0,31321.0,155967.0,4593.0,1950.0,9431.0,19727.0,
1985-01-01,8291.0,170681.0,34060.0,,0.0,4472.0,15497.0,,357283.0,2779.0,32222.0,154379.0,4427.0,2291.0,11800.0,22260.0,
1986-01-01,9903.0,203652.0,35961.0,,0.0,5179.0,15306.0,,391570.0,3116.0,32729.0,155189.0,2287.0,2463.0,13013.0,22948.0,
1987-01-01,10217.0,201055.0,33292.0,,0.0,4980.0,12724.0,,418391.0,3094.0,50599.0,166736.0,-587.0,2524.0,13064.0,20228.0,
1988-01-01,10345.0,203857.0,32755.0,,0.0,4893.0,13020.0,,437015.0,2881.0,51805.0,181353.0,-206.0,2683.0,12159.0,20596.0,
1989-01-01,11011.0,223124.0,38266.0,,0.0,4893.0,14853.0,,480609.0,1807.0,60179.0,197307.0,2035.0,3425.0,15095.0,23171.0,
1990-01-01,11104.0,227746.0,39178.0,,0.0,4752.0,14072.0,,510040.0,2081.0,70539.0,211755.0,887.0,3369.0,16986.0,22193.0,
1991-01-01,10392.0,241578.0,38890.0,,0.0,4763.0,9286.0,,537415.0,2106.0,78583.0,217253.0,-3212.0,3587.0,21253.0,17636.0,
