Date,Employer contributions for employee pension and insurance funds,Employer contributions for government social insurance,Federal,Federal civilian pension plans,Federal employees unemployment insurance,Federal hospital insurance,Federal military pension plans,Federal unemployment tax,Health insurance,Life insurance,Military medical insurance,"Old-age, survivors, and disability insurance",Pension and other employee benefit plans,Pension benefit guaranty,Private group health insurance,Private group life insurance,Private insurance,Private pension plans,Private supplemental unemployment,Publicly administered government employee insurance funds,Railroad employees unemployment insurance,Railroad retirement,State and local,State and local employee retirement,State unemployment insurance,Supplements to wages and salaries,Temporary disability insurance,Unemployment insurance,Veterans life insurance,Workers' compensation
1948-01-01,5759.0,3004.0,14.0,897.0,420.0,,1410.0,228.0,509.0,268.0,,839.0,5437.0,,509.0,170.0,765.0,1196.0,,,25.0,283.0,132.0,812.0,965.0,8763.0,0.0,1638.0,98.0,911.0
1949-01-01,6251.0,3349.0,14.0,925.0,382.0,,1559.0,223.0,618.0,670.0,,815.0,5754.0,,616.0,211.0,762.0,1262.0,,,23.0,277.0,144.0,916.0,1010.0,9601.0,2.0,1638.0,459.0,920.0
1950-01-01,7642.0,3373.0,23.0,1037.0,32.0,,2065.0,232.0,817.0,365.0,,1311.0,7386.0,,810.0,285.0,755.0,1713.0,,,24.0,282.0,165.0,978.0,1217.0,11016.0,7.0,1505.0,80.0,943.0
1951-01-01,10003.0,4095.0,33.0,1303.0,2.0,,3138.0,263.0,1059.0,473.0,,1660.0,9726.0,,1057.0,329.0,859.0,2262.0,,,26.0,307.0,192.0,1055.0,1465.0,14098.0,2.0,1756.0,144.0,1084.0
1952-01-01,11309.0,4143.0,39.0,1484.0,7.0,,3579.0,263.0,1188.0,499.0,,1776.0,10895.0,,1184.0,361.0,964.0,2543.0,,,25.0,319.0,222.0,1194.0,1350.0,15452.0,4.0,1645.0,138.0,1225.0
1953-01-01,12047.0,4209.0,43.0,1509.0,38.0,,3524.0,298.0,1384.0,492.0,,1884.0,11385.0,,1380.0,421.0,1057.0,2861.0,,,25.0,312.0,247.0,1295.0,1288.0,16256.0,4.0,1649.0,71.0,1347.0
1954-01-01,12264.0,4612.0,44.0,1472.0,103.0,,3427.0,289.0,1522.0,515.0,,2462.0,11976.0,,1518.0,465.0,1061.0,2903.0,,,24.0,294.0,261.0,1418.0,1081.0,16876.0,4.0,1497.0,50.0,1366.0
1955-01-01,13245.0,5174.0,48.0,1477.0,110.0,,3404.0,304.0,1775.0,643.0,,2830.0,12917.0,,1770.0,561.0,1085.0,3377.0,51.0,,25.0,308.0,269.0,1521.0,1193.0,18420.0,5.0,1683.0,82.0,1402.0
1956-01-01,14581.0,5668.0,52.0,1639.0,82.0,,3404.0,326.0,2140.0,691.0,,3043.0,13844.0,,2136.0,668.0,1162.0,3757.0,130.0,,76.0,316.0,298.0,1685.0,1448.0,20249.0,4.0,2062.0,23.0,1512.0
1957-01-01,16257.0,6368.0,56.0,2097.0,80.0,,3424.0,337.0,2517.0,784.0,,3673.0,15523.0,,2511.0,766.0,1266.0,4153.0,168.0,,97.0,304.0,321.0,1872.0,1476.0,22625.0,6.0,2158.0,18.0,1643.0
1958-01-01,17005.0,6349.0,63.0,2235.0,166.0,,3460.0,326.0,2791.0,880.0,,3657.0,15834.0,,2785.0,867.0,1293.0,4134.0,148.0,,106.0,265.0,312.0,2083.0,1435.0,23353.0,6.0,2181.0,13.0,1668.0
1959-01-01,18132.0,7854.0,64.0,2338.0,156.0,,3471.0,337.0,3056.0,983.0,,4556.0,17442.0,,3050.0,971.0,1378.0,4770.0,134.0,,151.0,287.0,319.0,2020.0,1967.0,25987.0,6.0,2745.0,12.0,1761.0
1960-01-01,19177.0,9250.0,60.0,2480.0,138.0,,3497.0,343.0,3398.0,1090.0,,5632.0,19021.0,,3391.0,1080.0,1494.0,4862.0,120.0,,165.0,297.0,353.0,2253.0,2245.0,28428.0,7.0,3011.0,10.0,1907.0
1961-01-01,20292.0,9611.0,62.0,2619.0,165.0,,3595.0,456.0,3773.0,1143.0,,5700.0,19683.0,,3766.0,1133.0,1579.0,4959.0,107.0,,153.0,275.0,377.0,2535.0,2405.0,29903.0,7.0,3286.0,10.0,2018.0
1962-01-01,21662.0,11182.0,66.0,2809.0,131.0,,3785.0,947.0,4220.0,1227.0,,6226.0,20873.0,,4212.0,1219.0,1715.0,5429.0,158.0,,160.0,289.0,403.0,2335.0,2944.0,32844.0,8.0,4340.0,8.0,2184.0
1963-01-01,23152.0,12405.0,69.0,2981.0,150.0,,3923.0,847.0,4585.0,1342.0,,7464.0,23018.0,,4577.0,1334.0,1822.0,5740.0,153.0,,156.0,287.0,442.0,2623.0,2974.0,35557.0,8.0,4280.0,8.0,2333.0
1964-01-01,25556.0,12631.0,72.0,3173.0,146.0,,4193.0,619.0,5216.0,1491.0,,7846.0,24907.0,,5208.0,1481.0,1991.0,6567.0,119.0,,153.0,305.0,472.0,2823.0,3001.0,38187.0,8.0,4038.0,10.0,2535.0
1965-01-01,28565.0,13093.0,74.0,3422.0,115.0,,4533.0,558.0,5921.0,1660.0,,8330.0,27368.0,,5912.0,1651.0,2169.0,7616.0,121.0,,149.0,326.0,496.0,3141.0,3027.0,41658.0,9.0,3970.0,9.0,2739.0
1966-01-01,32082.0,16846.0,82.0,3730.0,79.0,1020.0,5296.0,597.0,7464.0,1841.0,,11033.0,32586.0,,6434.0,1834.0,2488.0,8638.0,136.0,,146.0,363.0,536.0,3526.0,2973.0,48928.0,10.0,3931.0,7.0,3106.0
1967-01-01,34762.0,18019.0,93.0,4046.0,88.0,1545.0,5857.0,601.0,8559.0,2045.0,112.0,11866.0,35248.0,,6892.0,2036.0,2734.0,9411.0,120.0,,141.0,402.0,580.0,3666.0,2572.0,52781.0,10.0,3522.0,9.0,3407.0
1968-01-01,38829.0,19950.0,104.0,4401.0,118.0,2105.0,6400.0,634.0,10626.0,2393.0,148.0,13138.0,38356.0,,8358.0,2384.0,3178.0,9505.0,129.0,,136.0,438.0,619.0,4475.0,2486.0,58779.0,15.0,3503.0,9.0,3901.0
1969-01-01,43372.0,22753.0,121.0,4845.0,133.0,2263.0,6747.0,669.0,12389.0,2414.0,178.0,15621.0,43538.0,,9929.0,2405.0,3473.0,10605.0,112.0,,131.0,464.0,664.0,5256.0,2482.0,66125.0,19.0,3527.0,9.0,4258.0
1970-01-01,47948.0,23839.0,147.0,6069.0,280.0,2342.0,6920.0,854.0,14683.0,2447.0,211.0,16182.0,46177.0,,12102.0,2436.0,3821.0,10752.0,111.0,,128.0,517.0,725.0,5737.0,2414.0,71787.0,28.0,3787.0,11.0,4693.0
1971-01-01,54000.0,26446.0,176.0,8165.0,458.0,2407.0,7033.0,853.0,16345.0,2469.0,237.0,18214.0,52412.0,,13664.0,2461.0,4016.0,11375.0,196.0,,123.0,535.0,786.0,7090.0,2612.0,80446.0,37.0,4242.0,8.0,4978.0
1972-01-01,61392.0,31156.0,203.0,8729.0,492.0,2721.0,7358.0,1182.0,19193.0,2517.0,263.0,20612.0,59209.0,,16165.0,2505.0,4425.0,13383.0,266.0,,119.0,567.0,864.0,8560.0,4078.0,92548.0,44.0,6137.0,12.0,5492.0
1973-01-01,64138.0,39783.0,237.0,9328.0,324.0,5255.0,7430.0,1511.0,23914.0,2526.0,286.0,25172.0,63810.0,,18326.0,2517.0,5157.0,12939.0,266.0,,118.0,766.0,994.0,8175.0,5064.0,103921.0,47.0,7283.0,9.0,6388.0
1974-01-01,70738.0,44695.0,309.0,10056.0,399.0,5374.0,7575.0,1281.0,26827.0,2728.0,280.0,29186.0,71036.0,17.0,21132.0,2726.0,5983.0,13864.0,196.0,,119.0,1131.0,1154.0,9207.0,5401.0,115433.0,41.0,7396.0,2.0,7446.0
1975-01-01,85669.0,46723.0,415.0,10906.0,791.0,5609.0,7756.0,1277.0,31409.0,3065.0,261.0,30483.0,81683.0,33.0,25510.0,3056.0,6827.0,20750.0,234.0,,110.0,1124.0,1337.0,10631.0,5246.0,132392.0,29.0,7658.0,9.0,8579.0
1976-01-01,94204.0,54398.0,517.0,11727.0,912.0,6225.0,7920.0,1402.0,38554.0,3114.0,251.0,33833.0,85353.0,29.0,32049.0,3107.0,8368.0,20731.0,444.0,,150.0,1255.0,1650.0,9858.0,8138.0,148602.0,29.0,11046.0,7.0,10535.0
1977-01-01,110563.0,61104.0,571.0,12649.0,742.0,6892.0,8244.0,1997.0,45972.0,3331.0,265.0,37477.0,96287.0,29.0,38781.0,3325.0,10413.0,25696.0,648.0,,220.0,1384.0,2118.0,10807.0,9369.0,171667.0,34.0,12976.0,6.0,13102.0
1978-01-01,124667.0,71529.0,636.0,13715.0,451.0,8583.0,8697.0,2745.0,54988.0,3728.0,300.0,42870.0,106096.0,62.0,46063.0,3725.0,12311.0,27254.0,860.0,,219.0,1456.0,2675.0,12043.0,11486.0,196195.0,42.0,15761.0,3.0,15622.0
1979-01-01,141330.0,82587.0,717.0,14694.0,449.0,10526.0,9255.0,3048.0,63554.0,3874.0,347.0,50339.0,121475.0,74.0,52627.0,3869.0,14357.0,31991.0,1067.0,,196.0,1652.0,3028.0,13469.0,12152.0,223917.0,54.0,16912.0,5.0,18102.0
1980-01-01,159886.0,88940.0,838.0,15878.0,528.0,11612.0,10419.0,3365.0,73099.0,4132.0,358.0,55561.0,134781.0,79.0,61054.0,4126.0,15779.0,36859.0,1498.0,,148.0,1712.0,3040.0,14273.0,11618.0,248826.0,75.0,17157.0,6.0,19657.0
1981-01-01,177542.0,103610.0,870.0,17094.0,532.0,15942.0,12160.0,3570.0,88144.0,4359.0,431.0,64927.0,150449.0,88.0,71689.0,4350.0,16464.0,37386.0,1477.0,,205.0,1872.0,3084.0,16921.0,11998.0,281152.0,82.0,17782.0,9.0,20418.0
1982-01-01,195696.0,109769.0,917.0,17630.0,340.0,16806.0,13519.0,3729.0,100105.0,4669.0,545.0,69214.0,162009.0,93.0,82659.0,4660.0,15964.0,39709.0,1683.0,,180.0,1972.0,3098.0,19872.0,12771.0,305465.0,95.0,18703.0,9.0,19979.0
1983-01-01,215093.0,119883.0,933.0,17605.0,427.0,18680.0,14261.0,4915.0,110881.0,4880.0,633.0,73461.0,176085.0,95.0,91498.0,4874.0,16471.0,46750.0,1669.0,,163.0,1949.0,3036.0,21965.0,15514.0,334976.0,70.0,22688.0,6.0,20440.0
1984-01-01,231919.0,139038.0,989.0,18573.0,334.0,20573.0,15256.0,5466.0,121658.0,4899.0,689.0,85724.0,194880.0,95.0,100346.0,4892.0,17922.0,49316.0,1892.0,,240.0,2194.0,3290.0,23722.0,19387.0,370957.0,50.0,27319.0,7.0,22201.0
1985-01-01,257041.0,147734.0,1089.0,19862.0,312.0,22742.0,16272.0,5444.0,133637.0,5568.0,791.0,91510.0,212753.0,95.0,110074.0,5559.0,20414.0,57032.0,2118.0,,229.0,2273.0,3741.0,25708.0,19469.0,404774.0,30.0,27572.0,9.0,25244.0
1986-01-01,281859.0,157869.0,1124.0,19311.0,331.0,26101.0,17084.0,5693.0,144530.0,6071.0,921.0,98070.0,233440.0,258.0,117497.0,6063.0,23421.0,68437.0,2303.0,,212.0,2536.0,4395.0,27744.0,18209.0,439729.0,11.0,26748.0,8.0,28940.0
1987-01-01,299878.0,166261.0,1173.0,16166.0,307.0,27722.0,17552.0,5896.0,154875.0,6132.0,1052.0,104105.0,244865.0,304.0,126087.0,6122.0,27192.0,74287.0,2536.0,,199.0,2514.0,5176.0,29937.0,17788.0,466139.0,14.0,26726.0,10.0,33541.0
1988-01-01,323572.0,184633.0,1253.0,16777.0,312.0,29490.0,18044.0,6384.0,172809.0,6459.0,1264.0,118316.0,262978.0,544.0,142039.0,6448.0,30735.0,74389.0,2902.0,,190.0,2670.0,6139.0,32238.0,18044.0,508205.0,16.0,27832.0,11.0,38127.0
1989-01-01,362877.0,193673.0,1379.0,17470.0,300.0,31555.0,18031.0,5182.0,191494.0,6665.0,1345.0,126565.0,291632.0,644.0,158580.0,6652.0,32981.0,85739.0,2860.0,,218.0,2619.0,7104.0,40564.0,16735.0,556550.0,14.0,25295.0,13.0,41464.0
1990-01-01,392723.0,206451.0,1492.0,18406.0,359.0,33472.0,16878.0,5240.0,211878.0,7251.0,1533.0,137280.0,309265.0,685.0,176858.0,7237.0,36751.0,87603.0,3188.0,,219.0,2610.0,8015.0,45802.0,15517.0,599175.0,15.0,24523.0,14.0,46258.0
1991-01-01,420906.0,215132.0,1645.0,19498.0,518.0,36809.0,17313.0,5149.0,231304.0,6991.0,1653.0,141020.0,322352.0,817.0,192826.0,6976.0,39798.0,90137.0,3412.0,,172.0,2620.0,9211.0,50946.0,15487.0,636038.0,16.0,24738.0,15.0,50654.0
1992-01-01,474307.0,228398.0,1788.0,20176.0,1243.0,38612.0,15852.0,5402.0,256051.0,7971.0,1698.0,147378.0,351546.0,935.0,215723.0,7949.0,46268.0,101396.0,3756.0,,96.0,2622.0,10277.0,63187.0,18307.0,702705.0,18.0,28804.0,22.0,58333.0
1993-01-01,498270.0,239679.0,1833.0,18802.0,1255.0,40309.0,13361.0,5317.0,276236.0,8585.0,1622.0,153244.0,361895.0,939.0,234286.0,8569.0,46985.0,106688.0,3346.0,,20.0,2628.0,11102.0,66234.0,21375.0,737949.0,19.0,31313.0,16.0,59920.0
1994-01-01,515464.0,254139.0,1863.0,18943.0,776.0,44714.0,12897.0,5571.0,292067.0,9134.0,1362.0,161916.0,376165.0,960.0,245971.0,9118.0,46991.0,109195.0,2650.0,,22.0,2555.0,11444.0,69699.0,22920.0,769603.0,20.0,31939.0,16.0,60298.0
