Date,Farm,Farm owner-occupied housing,Households and nonprofit institutions,Mobile units,Nonfarm,Nonfarm nonresidential properties,Other private business,"Owner-occupied housing, nonfarm",Permanent site,Rental income of persons with capital consumption adjustment,Rental income with capital consumption adjustment (1-7),Royalties,Tenant-occupied housing,Tenant-occupied housing owned by nonprofit institutions
1946-01-01,1406.0,604.0,2900.0,4.0,1483.0,728.0,3999.0,2296.0,2292.0,6899.0,6517.0,382.0,2889.0,
1947-01-01,1452.0,647.0,2766.0,7.0,1536.0,693.0,4123.0,2119.0,2112.0,6889.0,6447.0,442.0,2988.0,
1948-01-01,1366.0,653.0,2997.0,11.0,1773.0,710.0,4487.0,2344.0,2333.0,7484.0,6846.0,639.0,3139.0,
1949-01-01,1107.0,568.0,3398.0,13.0,2011.0,708.0,4400.0,2830.0,2817.0,7798.0,7223.0,575.0,3118.0,
1950-01-01,1225.0,583.0,4006.0,18.0,2190.0,742.0,4773.0,3422.0,3405.0,8779.0,8163.0,616.0,3416.0,
1951-01-01,1378.0,658.0,4634.0,24.0,2241.0,753.0,5085.0,3976.0,3952.0,9720.0,9006.0,714.0,3619.0,
1952-01-01,1416.0,716.0,5607.0,30.0,2368.0,689.0,5209.0,4891.0,4860.0,10816.0,10081.0,735.0,3785.0,
1953-01-01,1191.0,730.0,6718.0,38.0,2637.0,668.0,5310.0,5988.0,5950.0,12028.0,11215.0,814.0,3828.0,
1954-01-01,1164.0,685.0,7641.0,45.0,2799.0,619.0,5420.0,6956.0,6911.0,13061.0,12223.0,838.0,3963.0,
1955-01-01,1067.0,695.0,8044.0,53.0,2825.0,585.0,5378.0,7349.0,7296.0,13423.0,12522.0,900.0,3893.0,
1956-01-01,1113.0,674.0,8218.0,57.0,2885.0,491.0,5450.0,7544.0,7487.0,13668.0,12708.0,960.0,3999.0,
1957-01-01,1040.0,703.0,8638.0,58.0,3023.0,357.0,5416.0,7935.0,7877.0,14054.0,13057.0,996.0,4063.0,
1958-01-01,1166.0,724.0,9155.0,56.0,3255.0,224.0,5642.0,8431.0,8375.0,14798.0,13800.0,997.0,4421.0,
1959-01-01,1072.0,829.0,10075.0,72.0,3392.0,33.0,5484.0,9246.0,9174.0,15559.0,14571.0,986.0,4464.0,
1960-01-01,1093.0,859.0,10993.0,78.0,3370.0,32.0,5470.0,10134.0,10056.0,16463.0,15487.0,976.0,4463.0,
