Date,Adjustment for misreporting on income tax returns,"Depreciation and amortization, IRS",Depreciation of assets of foreign branches,Depreciation of intellectual property products not in IRS depreciation,"Depreciation of mining exploration, shafts, and wells charged to current expense",Depreciation of motor vehicles not in IRS depreciation,Depreciation of railroad track charged to current expense,Depreciation or amortization of intangible assets,"Equals: Capital consumption allowances, NIPAs","Equals: Consumption of fixed capital, NIPAs",Less: Capital consumption adjustment,Normal accidental damage to fixed capital other than repairable damage,Other
1929-01-01,,3878.0,,51.5,73.5,,373.0,,2787.0,3459.5,-672.5,196.0,56.0
1930-01-01,,3993.0,,75.0,78.5,,303.0,,2822.5,3376.5,-554.0,187.0,42.0
1931-01-01,,4008.0,,96.0,81.5,,231.0,,2806.5,3145.5,-339.0,174.0,34.0
1932-01-01,,3698.0,,113.5,83.0,,147.0,,2598.0,2785.0,-187.0,90.0,24.0
1933-01-01,,3502.0,,128.5,84.0,,137.0,,2453.0,2606.5,-153.5,76.0,24.0
1934-01-01,,3371.0,,142.5,84.5,,155.0,,2406.0,2665.5,-259.5,65.0,33.0
1935-01-01,,3358.0,,159.0,86.0,,167.0,,2430.0,2692.5,-262.5,64.0,30.0
1936-01-01,,3291.0,,181.0,88.0,,194.0,,2484.0,2735.0,-251.0,96.5,32.0
1937-01-01,,3348.0,,207.0,92.0,,212.0,,2552.0,3049.5,-497.5,78.0,35.0
1938-01-01,,3357.0,,238.0,97.5,,178.0,,2605.0,3108.5,-503.5,97.5,32.0
1939-01-01,,3449.0,,256.0,102.0,,206.0,,2652.0,3106.0,-454.0,59.0,35.0
1940-01-01,,3526.0,,270.0,106.0,,212.0,,2747.0,3246.0,-499.0,66.0,35.0
1941-01-01,,3911.0,,293.0,111.0,,260.0,,3068.5,3596.0,-527.5,79.0,35.0
1942-01-01,,4500.0,,326.5,114.5,,323.0,,3615.5,4093.0,-477.5,178.5,20.5
1943-01-01,,4920.0,,363.5,118.0,,418.0,,3906.0,4162.5,-256.5,125.0,26.5
1944-01-01,,5648.0,,394.0,123.5,,512.0,,4360.0,4292.5,67.5,102.5,26.0
1945-01-01,,5928.0,,433.5,131.5,,507.0,,4581.5,4425.5,156.0,110.0,20.0
1946-01-01,,4289.0,95.0,478.5,155.0,64.0,460.0,,3887.5,5074.0,-1186.5,92.0,24.0
1947-01-01,,5304.0,108.0,542.0,166.5,127.0,480.0,,4860.0,6278.0,-1418.0,135.0,25.5
1948-01-01,,6338.0,119.0,609.0,183.5,209.0,523.0,,5748.0,7382.5,-1634.5,136.0,34.0
1949-01-01,,7222.0,135.0,672.5,204.5,288.0,503.0,,6542.5,7999.5,-1457.0,116.5,40.0
1950-01-01,,7901.0,143.0,739.5,227.5,380.0,500.0,,7177.5,8580.5,-1403.0,144.5,40.5
1951-01-01,,9121.0,166.0,805.0,255.5,435.0,560.0,,8206.0,9784.5,-1578.5,228.5,43.5
1952-01-01,,10320.0,188.0,871.5,289.5,423.0,580.0,,9044.0,10376.5,-1332.5,163.0,98.5
1953-01-01,,11894.0,210.0,978.0,328.0,413.0,622.0,,10139.0,11056.5,-917.5,191.5,115.5
1954-01-01,,13486.0,245.0,1097.5,371.5,418.0,501.0,,11187.0,11661.5,-474.5,234.0,156.5
1955-01-01,,16009.0,282.0,1233.5,418.5,433.0,501.0,,12623.0,12400.0,223.0,270.0,57.5
1956-01-01,,17579.0,327.0,1387.5,469.0,440.0,498.0,,13841.0,13913.0,-72.0,189.0,57.5
1957-01-01,,19432.0,367.0,1563.5,520.5,427.0,505.0,,15150.5,15363.0,-212.5,212.0,56.0
1958-01-01,,20676.0,400.0,1749.5,567.0,381.0,389.0,,15946.5,16449.0,-502.5,181.5,64.0
1959-01-01,,13970.0,383.0,1959.5,611.0,473.0,396.0,63.0,17000.0,17141.0,-141.0,207.5,40.5
1960-01-01,,14633.5,369.0,2191.0,652.0,528.0,364.0,102.0,18027.5,17588.5,439.0,195.5,145.0
1961-01-01,,15221.0,358.0,2456.5,690.5,569.0,323.0,141.0,18915.5,18138.5,777.0,217.5,133.5
1962-01-01,121.0,17129.5,345.0,2727.5,729.5,369.0,336.0,116.5,21211.0,18856.5,2354.5,240.5,196.5
1963-01-01,148.0,18118.0,334.0,2997.5,763.5,398.5,349.0,97.0,22747.5,19734.0,3013.5,301.5,221.33333333333334
1964-01-01,164.0,19278.5,359.0,3272.0,794.5,393.5,377.0,139.0,24270.5,20871.0,3399.5,327.0,278.0
1965-01-01,339.0,20585.5,390.0,3578.5,825.5,411.0,380.0,143.5,26026.0,22434.0,3592.0,396.0,365.0
1966-01-01,362.0,22380.5,424.0,3924.0,853.0,441.5,415.0,130.0,28266.5,24552.0,3714.5,323.5,439.6666666666667
1967-01-01,375.0,24290.0,465.0,4314.5,876.5,429.0,406.0,140.0,30606.5,26933.5,3673.0,381.0,448.3333333333333
1968-01-01,407.0,26282.0,621.0,4758.5,932.0,440.0,481.0,162.5,33285.0,29726.5,3558.5,419.0,593.0
1969-01-01,464.0,29152.5,782.0,5260.5,987.5,476.0,507.0,222.0,36737.5,33068.0,3669.5,495.0,638.3333333333334
1970-01-01,500.0,31648.5,966.0,5814.5,1040.5,467.0,551.0,242.0,39688.5,36634.5,3054.0,485.0,621.6666666666666
1971-01-01,544.0,34217.5,1112.0,6372.5,1091.5,471.5,664.0,239.5,42764.0,40112.0,2652.0,463.5,588.6666666666666
1972-01-01,618.0,38219.0,1227.0,6963.5,1146.0,522.0,685.0,263.5,47520.0,43593.0,3927.0,716.5,531.0
1973-01-01,722.0,42353.0,1266.0,7628.0,1146.5,575.5,745.0,336.0,51989.5,48606.5,3383.0,557.0,458.0
1974-01-01,898.0,47368.5,1385.0,8372.5,1228.5,507.5,873.0,408.0,57661.0,56719.0,942.0,632.0,443.3333333333333
1975-01-01,1031.0,52254.0,1580.0,9194.5,1379.0,542.0,904.0,471.5,63276.5,66606.5,-3330.0,723.5,339.0
1976-01-01,1206.0,56498.5,1722.0,10108.0,1590.5,582.5,1286.0,521.5,68581.5,73018.5,-4437.0,601.0,362.3333333333333
1977-01-01,1504.0,64560.0,1943.0,11127.5,1797.5,621.5,1464.0,560.0,77872.0,81725.5,-3853.5,702.0,410.0
1978-01-01,1926.0,73545.5,2176.0,12091.5,2220.0,970.0,1479.0,637.5,88509.0,92594.0,-4085.0,784.0,703.3333333333334
1979-01-01,2455.0,84555.0,2447.0,13396.5,2775.5,1102.0,1717.0,678.0,101195.0,106586.5,-5391.5,682.5,948.6666666666666
1980-01-01,3076.0,96654.0,2606.0,14985.5,3563.0,1182.5,1680.0,750.5,115418.5,123167.5,-7749.0,821.5,1056.3333333333333
1981-01-01,2893.0,121940.5,3008.0,16918.0,4776.0,1242.0,0.0,986.5,142616.5,142221.5,395.5,882.0,1044.6666666666667
1982-01-01,5007.0,138891.5,2642.0,19219.0,6311.5,1314.5,0.0,1222.5,163251.0,158418.0,4833.0,872.5,1705.3333333333333
1983-01-01,5128.0,156238.5,2746.0,21794.0,7618.5,1461.5,0.0,1473.5,184336.5,165966.5,18370.0,967.5,1770.0
1984-01-01,6581.0,178433.5,2904.0,24764.5,8668.0,1700.5,0.0,1734.0,209120.5,175792.5,33327.5,994.5,1084.5
1985-01-01,7535.0,202809.0,2924.0,28185.5,9620.5,1940.5,0.0,2075.5,237746.0,189464.0,48282.0,1103.0,1291.25
1986-01-01,8363.0,209071.5,3007.0,31812.0,10207.0,2139.0,0.0,3765.5,246784.0,203035.5,43748.5,1236.5,1523.75
1987-01-01,8076.0,215934.5,2965.0,35448.5,10459.5,2291.0,0.0,4561.5,257034.5,215872.0,41162.0,1322.5,1535.25
1988-01-01,8630.0,227943.0,2819.0,39323.5,10601.5,2414.5,0.0,5456.0,272032.5,232823.5,39209.0,1386.5,1587.5
1989-01-01,9329.0,237248.0,2440.0,43730.5,10781.5,2601.0,0.0,6928.5,284527.5,248989.0,35538.5,1511.5,1655.0
1990-01-01,8528.0,236009.5,2645.0,48724.0,10860.0,2818.0,0.0,8424.5,287283.5,264480.0,22804.0,1620.0,1663.5
1991-01-01,8624.0,239355.5,2848.0,54130.5,10777.0,2948.5,0.0,9598.0,294767.0,278008.0,16759.0,1747.5,1714.5
1992-01-01,9028.0,244328.5,3057.0,59510.0,10330.0,2926.0,0.0,10929.5,302989.5,285832.5,17157.0,1838.0,1754.5
1993-01-01,9028.0,255334.0,3204.0,64668.0,9569.5,2887.5,0.0,11799.0,317969.0,298431.0,19538.0,2432.5,1805.25
1994-01-01,9310.0,273247.0,2632.0,69526.5,8542.5,2962.0,0.0,12451.5,338918.5,315284.0,23634.5,1820.5,1874.75
1995-01-01,9220.0,296744.5,3292.0,74393.5,7766.5,2938.0,0.0,14394.0,364532.5,338959.5,25573.5,1929.5,1953.75
1996-01-01,9594.0,320807.5,3459.0,79798.0,7275.0,2931.5,0.0,16911.5,391167.0,358692.5,32474.0,2156.5,2123.25
1997-01-01,10253.0,351151.5,3285.0,86784.5,7291.5,2943.0,0.0,20571.0,424830.0,382706.0,42124.0,2199.5,2280.5
1998-01-01,11224.0,379345.5,3193.0,95533.5,7374.0,2959.5,0.0,26028.0,456266.5,408004.0,48263.0,2256.0,2571.25
1999-01-01,12763.0,414364.0,2671.0,106008.0,7645.5,2996.0,0.0,31063.0,496933.0,439152.0,57783.0,2419.0,2732.25
2000-01-01,14426.0,444327.0,3159.0,118218.5,7910.0,3100.0,0.0,37006.0,532621.0,478580.0,54041.0,2569.5,2796.25
2001-01-01,16171.0,480181.0,3187.0,130127.5,8503.0,3203.5,0.0,43359.0,574255.5,507871.0,66384.5,2726.0,2999.75
2002-01-01,17786.0,524201.5,2820.0,139768.0,9195.5,3264.0,0.0,46594.0,625349.0,524184.5,101165.0,2811.5,3256.25
2003-01-01,19881.0,527705.5,3356.0,147968.0,10021.5,3185.0,0.0,49473.5,634436.5,536384.5,98052.0,2893.0,3645.25
2004-01-01,20539.0,534740.0,2926.0,155607.5,11278.5,3188.0,0.0,52932.0,647799.0,561298.5,86501.0,3032.0,4100.5
2005-01-01,18912.0,445069.5,3279.0,162760.0,13137.5,3336.0,0.0,56357.5,565473.5,602817.5,-37343.5,3169.5,4519.5
2006-01-01,20635.0,478335.0,3235.0,170373.5,15917.5,3417.0,0.0,62053.5,602302.0,648896.5,-46594.5,3195.0,4317.75
2007-01-01,22777.0,514071.5,3509.0,180104.5,19282.0,3386.0,0.0,68776.0,642360.0,689842.5,-47483.0,3322.0,3906.75
2008-01-01,27501.0,636077.5,3864.0,191682.5,23133.5,3291.0,0.0,74700.0,770342.5,728555.5,41786.5,3523.5,3398.75
2009-01-01,26801.0,613151.5,3201.0,202657.5,26304.0,2981.5,0.0,77569.0,758870.5,732046.5,26824.5,3726.5,3152.75
2010-01-01,27323.0,624617.0,3073.0,211630.0,28847.5,2809.5,0.0,78814.0,780341.5,734903.5,45438.0,3807.5,3092.25
2011-01-01,30286.0,728439.5,2707.0,220390.0,32383.5,2911.5,0.0,81761.5,892455.0,763451.5,129003.5,3867.5,3045.0
2012-01-01,28366.0,629419.5,2632.0,230688.5,37124.0,3084.5,0.0,83456.5,808742.0,799776.0,8965.5,3995.5,3254.0
2013-01-01,30206.0,657387.5,2524.0,243002.5,42048.0,3213.5,0.0,86795.5,850767.0,831272.0,19495.0,4142.5,3654.75
2014-01-01,31806.0,696891.5,1864.0,257081.5,47420.5,3012.0,0.0,90502.5,905543.0,874896.5,30646.0,4423.5,3866.75
2015-01-01,34016.0,737231.5,1547.0,271651.0,52168.5,3673.5,0.0,93581.5,962288.0,911101.0,51186.5,4677.0,4335.0
2016-01-01,36972.0,769536.5,2160.0,286963.0,54339.5,4305.5,0.0,95683.0,1009039.0,935731.5,73308.0,4899.0,4778.25
2017-01-01,42945.0,875487.0,1770.0,303908.0,55430.5,3999.5,0.0,102680.5,1123437.0,980538.5,142898.5,5158.0,5443.75
2018-01-01,47822.0,997607.0,1791.0,323561.5,56510.5,3793.0,0.0,105951.0,1259678.5,1028933.5,230745.0,5442.5,5510.5
2019-01-01,51240.0,1044872.0,1691.0,346923.0,57309.0,3583.0,0.0,115027.5,1320382.5,1084795.5,235587.5,5901.0,5888.75
2020-01-01,57036.0,992609.0,1519.0,372940.5,56549.5,2618.0,0.0,116985.0,1287966.0,1129177.0,158788.5,5892.0,6569.25
2021-01-01,67945.0,1090932.5,1496.0,401774.0,55262.5,1864.5,0.0,130304.5,1395843.0,1189741.0,206101.5,6457.0,7670.25
2022-01-01,,,,,,,,,1513390.0,1319130.5,194260.0,,
2023-01-01,,,,,,,,,1548562.0,1416657.0,131905.0,,
