Date,Adjustment to depreciate expenditures for intellectual property products,"Adjustment to depreciate expenditures for mining exploration, shafts, and wells",Adjustments for misreporting on income tax returns,Bad debt expense,Depletion on domestic minerals,Disaster adjustments (net),"Equals: Nonfarm proprietors' income, NIPAs",Income of tax-exempt cooperatives,Income received by fiduciaries,"Net profit (less loss) of nonfarm proprietorships and partnerships, plus payments to partners, IRS",Posttabulation amendments and revisions
1959-01-01,208.0,72.0,9439.0,338.0,210.0,,40509.0,378.0,175.0,28191.0,1498.0
1960-01-01,129.0,58.0,9989.0,377.0,360.0,,40085.0,395.0,140.0,27203.0,1434.0
1961-01-01,243.0,53.0,10867.0,380.0,240.0,,42206.0,429.0,145.0,28540.0,1309.0
1962-01-01,167.0,58.0,11895.0,402.0,231.0,,44163.0,462.0,101.0,29557.0,1290.0
1963-01-01,131.0,33.0,12455.0,444.0,236.0,,45478.0,482.0,145.0,30337.0,1215.0
1964-01-01,56.0,40.0,13706.0,426.0,265.0,,49399.0,490.0,200.0,32849.0,1367.0
1965-01-01,54.0,34.0,14294.0,430.0,248.0,,52074.0,493.0,277.0,34864.0,1380.0
1966-01-01,35.0,31.0,15522.0,435.0,264.0,,55590.0,509.0,319.0,37079.0,1396.0
1967-01-01,8.0,26.0,16438.0,419.0,348.0,,58551.0,524.0,361.0,38901.0,1526.0
1968-01-01,117.0,24.0,18122.0,431.0,338.0,,63016.0,520.0,372.0,41143.0,1949.0
1969-01-01,153.0,34.0,19065.0,495.0,418.0,,64995.0,512.0,379.0,41924.0,2014.0
1970-01-01,170.0,18.0,20449.0,559.0,365.0,,65947.0,527.0,380.0,41504.0,1975.0
1971-01-01,184.0,0.0,24147.0,545.0,376.0,0.0,71830.0,574.0,389.0,42593.0,3022.0
1972-01-01,144.0,25.0,28911.0,524.0,406.0,0.0,78981.0,663.0,398.0,45446.0,2464.0
1973-01-01,154.0,35.0,32478.0,592.0,424.0,0.0,85516.0,721.0,416.0,48309.0,2387.0
1974-01-01,139.0,173.0,38481.0,694.0,893.0,0.0,92823.0,732.0,421.0,49353.0,1937.0
1975-01-01,222.0,691.0,43181.0,723.0,792.0,0.0,98882.0,796.0,421.0,49134.0,2922.0
1976-01-01,404.0,657.0,53246.0,654.0,721.0,0.0,116219.0,853.0,423.0,56793.0,2468.0
1977-01-01,265.0,1450.0,59558.0,770.0,778.0,0.0,130657.0,936.0,420.0,64951.0,1529.0
1978-01-01,592.0,2242.0,71826.0,786.0,758.0,0.0,148340.0,994.0,424.0,70173.0,545.0
1979-01-01,833.0,1685.0,79523.0,902.0,1197.0,0.0,159103.0,1085.0,422.0,74741.0,-1285.0
1980-01-01,910.0,3989.0,86091.0,952.0,1339.0,0.0,161702.0,1085.0,524.0,67319.0,-507.0
1981-01-01,1110.0,8699.0,86566.0,1054.0,1515.0,0.0,157204.0,1193.0,476.0,55935.0,657.0
1982-01-01,864.0,7700.0,96201.0,1099.0,2229.0,0.0,154370.0,1345.0,472.0,48994.0,-4535.0
1983-01-01,1000.0,1241.0,104774.0,1199.0,1588.0,0.0,167796.0,1616.0,492.0,63452.0,-7566.0
1984-01-01,1388.0,-879.0,120302.0,1140.0,1258.0,0.0,185279.0,1860.0,568.0,75191.0,-15549.0
1985-01-01,1701.0,-1894.0,125186.0,1389.0,1485.0,0.0,189100.0,1607.0,610.0,78185.0,-19169.0
1986-01-01,1736.0,-2472.0,131580.0,1861.0,1414.0,0.0,197927.0,1565.0,597.0,80667.0,-19021.0
1987-01-01,1959.0,-2401.0,136646.0,2018.0,951.0,0.0,228075.0,2209.0,704.0,90203.0,-4214.0
1988-01-01,2265.0,-2068.0,143434.0,2294.0,973.0,0.0,270406.0,2464.0,816.0,124340.0,-4112.0
1989-01-01,2414.0,-1137.0,147812.0,2758.0,1009.0,0.0,280222.0,2555.0,874.0,129981.0,-6044.0
1990-01-01,1931.0,-1066.0,153688.0,4508.0,1178.0,0.0,303745.0,2211.0,931.0,140307.0,57.0
1991-01-01,2078.0,-2641.0,158458.0,3839.0,1021.0,0.0,313018.0,2465.0,940.0,146708.0,150.0
1992-01-01,1904.0,-1790.0,163420.0,3910.0,947.0,0.0,349741.0,2560.0,1011.0,184447.0,-6668.0
1993-01-01,1960.0,-1201.0,187108.0,3706.0,783.0,0.0,381324.0,2596.0,1031.0,209550.0,-24209.0
1994-01-01,1765.0,805.0,211178.0,3595.0,843.0,0.0,411705.0,3094.0,1060.0,231802.0,-42437.0
1995-01-01,1966.0,833.0,234780.0,4560.0,781.0,0.0,449546.0,3173.0,1102.0,248179.0,-45828.0
1996-01-01,2286.0,711.0,260074.0,6076.0,938.0,0.0,490460.0,2992.0,1139.0,287770.0,-71526.0
1997-01-01,3648.0,2898.0,280405.0,6928.0,947.0,0.0,525992.0,3274.0,1184.0,311298.0,-84589.0
1998-01-01,5220.0,4084.0,303208.0,8262.0,699.0,0.0,579474.0,2571.0,1218.0,335789.0,-81578.0
1999-01-01,7346.0,1157.0,333779.0,9513.0,784.0,-47.0,627671.0,2021.0,1228.0,369511.0,-97621.0
2000-01-01,9043.0,858.0,367138.0,10798.0,1093.0,0.0,674045.0,1944.0,1313.0,393201.0,-111344.0
2001-01-01,6209.0,6532.0,386182.0,13412.0,1145.0,-112.0,728238.0,1966.0,1359.0,401699.0,-90154.0
2002-01-01,6900.0,7822.0,422969.0,15226.0,964.0,0.0,761940.0,1835.0,1319.0,414847.0,-109943.0
2003-01-01,6107.0,11193.0,439646.0,13523.0,1126.0,0.0,767702.0,1775.0,1374.0,443248.0,-150290.0
2004-01-01,5348.0,12138.0,465255.0,14000.0,1469.0,-1189.0,814869.0,2892.0,1449.0,514595.0,-201089.0
2005-01-01,6251.0,25453.0,479382.0,15251.0,1879.0,-2607.0,870539.0,3076.0,1548.0,636432.0,-296125.0
2006-01-01,6974.0,27866.0,551878.0,12289.0,1855.0,0.0,948631.0,3699.0,1639.0,694462.0,-352032.0
2007-01-01,9651.0,14491.0,529198.0,21223.0,1844.0,0.0,881248.0,4361.0,1704.0,628226.0,-329449.0
2008-01-01,8669.0,17660.0,376359.0,32217.0,2514.0,-1040.0,785625.0,5167.0,1701.0,410528.0,-68149.0
2009-01-01,5154.0,3669.0,413652.0,40337.0,1386.0,0.0,774785.0,5563.0,1526.0,431893.0,-128393.0
2010-01-01,3541.0,6081.0,566195.0,32576.0,2049.0,0.0,930451.0,5807.0,1643.0,578579.0,-266020.0
2011-01-01,3935.0,12151.0,580474.0,14758.0,2257.0,0.0,977678.0,6180.0,1679.0,600179.0,-243936.0
2012-01-01,3338.0,17807.0,588176.0,24971.0,2239.0,-1287.0,1077861.0,6938.0,1790.0,786568.0,-352679.0
2013-01-01,6663.0,14535.0,590720.0,14928.0,2148.0,0.0,1071909.0,7124.0,1721.0,795775.0,-361705.0
