Date,Change in farm materials and supplies inventories,"Consumption of fixed capital, NIPAs",Corporate profits,"Depreciation and other consumption of farm capital, USDA",Equals: Farm proprietors' income and corporate profits with inventory valuation and capital consumption adjustments,Farm housing expenses excluding depreciation,"Gross rental value of farm housing, NIPAs",Monetary interest received by farm corporations,"Net farm income, USDA",Other,Patronage dividends received from cooperatives,Proprietors' income,Statistical differences,"Valuation adjustment, Commodity Credit Corporation loans"
1967-01-01,,4191.0,77.0,5465.0,11719.0,977.0,2747.0,35.0,12339.0,,0.0,11642.0,,9.0
1968-01-01,,4473.0,101.0,5871.0,11761.0,1021.0,2838.0,29.0,12322.0,,0.0,11660.0,,-22.0
1969-01-01,,4766.0,732.0,6197.0,13565.0,1095.0,3046.0,47.0,14293.0,,0.0,12833.0,,-61.0
1970-01-01,,5061.0,665.0,6546.0,13559.0,1178.0,3268.0,57.0,14365.0,,0.0,12894.0,,-42.0
1971-01-01,,5438.0,780.0,7052.0,14166.0,1245.0,3475.0,53.0,15012.0,,0.0,13386.0,,-43.0
1972-01-01,,5847.0,1346.0,7538.0,18369.0,1227.0,3713.0,60.0,19458.0,,0.0,17023.0,,-86.0
1973-01-01,,6353.0,3385.0,8544.0,32460.0,1286.0,4147.0,113.0,34356.0,,0.0,29075.0,,-854.0
1974-01-01,,7488.0,1672.0,10112.0,25140.0,1355.0,4942.0,139.0,27267.0,,0.0,23468.0,,-785.0
1975-01-01,,8949.0,2151.0,11909.0,24150.0,1438.0,5355.0,155.0,25547.0,,0.0,21999.0,,-43.0
1976-01-01,,9989.0,1352.0,13351.0,18562.0,1546.0,6115.0,143.0,20179.0,,0.0,17210.0,,50.0
1977-01-01,,11194.0,1457.0,15018.0,17421.0,1689.0,7250.0,163.0,19881.0,,117.0,15964.0,,-105.0
1978-01-01,,12518.0,2594.0,16503.0,22516.0,1761.0,8057.0,219.0,25197.0,,134.0,19922.0,,-337.0
1979-01-01,,14278.0,3376.0,18972.0,25526.0,1837.0,9256.0,321.0,27416.0,,162.0,22150.0,,-447.0
1980-01-01,,16363.0,182.0,21059.0,11889.0,1933.0,11045.0,420.0,16135.0,,184.0,11707.0,,-259.0
1981-01-01,,18015.0,2486.0,23127.0,21514.0,2033.0,12597.0,639.0,26879.0,,207.0,19028.0,,-777.0
1982-01-01,,19086.0,723.0,22937.0,14037.0,1997.0,13121.0,651.0,23841.0,,250.0,13314.0,,-1229.0
1983-01-01,,18944.0,-2502.0,22380.0,3671.0,2185.0,12593.0,466.0,14247.0,,260.0,6173.0,,-2220.0
1984-01-01,,18632.0,2382.0,19443.0,23320.0,2344.0,4881.0,502.0,26108.0,,313.0,20938.0,,203.0
1985-01-01,,18157.0,2735.0,17859.0,23716.0,2468.0,4689.0,359.0,28767.0,,371.0,20981.0,,-1149.0
1986-01-01,,17852.0,3078.0,16367.0,25873.0,2524.0,4579.0,373.0,31053.0,,336.0,22795.0,,-855.0
1987-01-01,,17435.0,4224.0,15785.0,33118.0,2439.0,5041.0,477.0,38005.0,740.0,336.0,28894.0,-1.0,-37.0
1988-01-01,,17290.0,4107.0,15842.0,30896.0,2580.0,7695.0,462.0,39633.0,818.0,341.0,26790.0,0.0,-1476.0
1989-01-01,,17588.0,6793.0,16244.0,39818.0,2674.0,7182.0,564.0,46487.0,804.0,388.0,33025.0,1.0,-188.0
1990-01-01,,17948.0,6956.0,16215.0,39112.0,2749.0,7181.0,602.0,46261.0,1020.0,442.0,32157.0,1.0,-123.0
1991-01-01,-168.0,18253.0,5323.0,16249.0,32105.0,2807.0,7156.0,600.0,40234.0,1701.0,415.0,26786.0,3.0,-89.0
1992-01-01,1285.0,18248.0,8359.0,16327.0,43117.0,2883.0,7207.0,527.0,50171.0,1803.0,399.0,34764.0,6.0,-413.0
1993-01-01,-287.0,18277.0,6459.0,16225.0,37815.0,3176.0,8067.0,526.0,46725.0,1671.0,456.0,31366.0,10.0,-69.0
1994-01-01,1229.0,18756.0,9330.0,16429.0,43981.0,3659.0,9021.0,631.0,52567.0,1938.0,417.0,34663.0,13.0,-389.0
1995-01-01,-1869.0,19556.0,4442.0,16845.0,26449.0,3930.0,9404.0,686.0,39771.0,2555.0,519.0,22021.0,16.0,-865.0
1996-01-01,897.0,20270.0,11072.0,16981.0,48392.0,4123.0,9759.0,834.0,58936.0,2036.0,648.0,37334.0,17.0,-649.0
1997-01-01,427.0,21089.0,8857.0,17132.0,41227.0,4161.0,9636.0,715.0,51306.0,1347.0,750.0,32385.0,17.0,325.0
1998-01-01,459.0,22032.0,6981.0,17355.0,35542.0,4408.0,10023.0,782.0,47119.0,1847.0,647.0,28574.0,17.0,-15.0
