Date,Adjustment for mutual savings banks and savings and loan associations,"Equals: Monetary interest paid by corporations, NIPAs","Equals: Monetary interest paid, NIPAs","Equals: Monetary interest received by corporations, NIPAs",Federal Reserve banks,Federally sponsored credit agencies,Interest capitalized on tax returns,Interest paid by organizations not filing corporation income tax returns,Interest paid by regulated investment companies reported as distributions to stockholders,"Interest paid, IRS",Interest passed through to partners,Interest received by organizations not filing corporation income tax returns,"Interest received, IRS",Interest reported on rental expense schedule,Less: Adjustment for misreporting on income tax returns,Less: Interest paid by foreign branches of commercial banks,Less: Interest received by foreign branches of commercial banks,Other
1946-01-01,650.0,2712.0,314.0,6161.0,150.0,46.0,,30.0,,2251.0,,240.0,4707.0,,,,,124.33333333333333
1947-01-01,733.0,3027.0,396.0,6581.0,159.0,47.5,,35.0,,2501.0,,258.0,4958.0,,,,,143.0
1948-01-01,811.5,3349.0,460.0,7386.0,304.0,53.0,,43.0,,2759.0,,421.0,5427.0,,,,,172.0
1949-01-01,913.5,3737.0,495.0,8082.0,317.0,56.5,,50.0,,3045.0,,448.0,5917.0,,,,,200.0
1950-01-01,1015.0,3980.0,558.0,8899.0,276.0,61.0,,57.0,,3212.0,,429.0,6505.0,,,,,244.66666666666666
1951-01-01,1130.0,4571.0,661.0,10003.0,395.0,74.5,,73.0,,3700.0,,576.0,7223.0,,,,,282.3333333333333
1952-01-01,221.0,5262.0,696.0,11273.0,456.0,83.0,,85.0,,5012.0,,666.0,9481.0,,,,,326.0
1953-01-01,67.5,5899.0,749.0,12578.0,513.0,91.0,,106.0,,5703.0,,762.0,10801.0,,,,,381.0
1954-01-01,61.5,6454.0,816.0,13465.0,439.0,99.0,,130.0,,6270.0,,725.0,11618.0,,,,,423.6666666666667
1955-01-01,64.5,7302.0,950.0,15171.0,413.0,111.5,,151.0,,7058.0,,750.0,13207.0,,,,,481.0
1956-01-01,52.5,8554.0,1080.0,17399.0,596.0,139.5,,184.0,,8280.0,,1014.0,15058.0,,,,,545.0
1957-01-01,99.0,10329.0,1209.0,19756.0,763.0,172.0,,252.0,,10004.0,,1259.0,16893.0,,,,,627.6666666666666
1958-01-01,83.5,11403.0,1286.0,20999.0,742.0,183.5,,275.0,,11069.0,,1296.0,17938.0,,,,,706.3333333333334
1959-01-01,131.5,13015.0,1413.0,24430.0,886.0,236.5,,350.0,,6988.0,,1550.0,20893.0,,5.0,,,790.6666666666666
1960-01-01,130.5,15120.0,1504.0,27797.0,1103.0,297.0,,447.0,,8068.5,,1901.0,23577.0,,11.0,,,920.0
1961-01-01,69.0,16244.0,1675.0,29304.0,942.0,292.0,,460.0,,8669.5,,1805.0,24873.0,,18.0,,,1121.6666666666667
1962-01-01,-2.0,18971.0,1869.0,32684.0,1049.0,339.0,,540.0,,10165.5,,2029.0,27748.0,,27.0,,,1249.6666666666667
1963-01-01,248.0,21571.0,2133.0,36335.0,1151.0,403.0,,635.0,,11441.5,,2277.0,30859.0,,38.0,,,1294.3333333333333
1964-01-01,198.0,24090.0,2449.0,40203.0,1344.0,503.5,,777.0,,12869.0,,2666.0,33877.0,,43.0,,,1474.3333333333333
1965-01-01,254.5,27443.0,2673.0,44342.0,1559.0,590.0,,911.0,,14571.5,,3081.0,37215.0,,45.0,,,1632.3333333333333
1966-01-01,90.0,32672.0,2988.0,50362.0,1908.0,784.0,,1144.0,,17194.0,,3744.0,41892.0,,52.0,,,2046.0
1967-01-01,509.5,37035.0,3360.0,55171.0,2190.0,868.0,,1296.0,,19394.0,,4200.0,45359.0,,58.0,,,2177.3333333333335
1968-01-01,621.5,43131.0,3859.0,63482.0,2764.0,901.0,,1398.0,52.0,22565.0,,5046.0,52283.0,,65.0,,,2421.0
1969-01-01,801.5,54357.0,4945.0,75475.0,3373.0,1170.0,,1759.0,237.0,28366.0,,6164.0,62212.0,,70.0,,,2783.3333333333335
1970-01-01,569.5,65289.0,5887.0,87144.0,3877.0,1728.0,,2434.0,408.0,34014.5,,7390.0,71570.0,,87.0,,,3309.6666666666665
1971-01-01,784.5,68180.0,7122.0,92621.0,3723.0,1534.5,,2367.0,294.0,36056.5,,7358.0,76110.0,,94.0,,,3713.0
