Date,Adjustment for misreporting on employment tax returns,Adjustment for wages and salaries not covered or not fully covered by unemployment insurance,"Equals: Wages and salaries, NIPAs",Government,Other,Timing adjustment for accrual basis,"Total wages and salaries, BLS"
1982-01-01,25604.0,82730.0,1587517.0,,,-4.0,1479187.0
1983-01-01,26951.0,87466.0,1677513.0,,,-445.0,1563540.0
1984-01-01,28156.0,98536.0,1844915.0,,,220.0,1718002.0
1985-01-01,29935.0,104846.0,1982550.0,,,-230.0,1847999.0
1986-01-01,31851.0,108958.0,2102335.0,,,0.0,1961526.0
1987-01-01,33399.0,115000.0,2256267.0,,,0.0,2107867.0
1988-01-01,36321.0,122859.0,2439782.0,,,0.0,2280602.0
1989-01-01,38194.0,129738.0,2583051.0,,,0.0,2415119.0
1990-01-01,40237.0,136390.0,2741199.0,,,50.0,2564522.0
1991-01-01,42548.0,145008.0,2814478.0,,,-50.0,2626972.0
1992-01-01,43578.0,140287.0,2965541.0,,,0.0,2781676.0
1993-01-01,44958.0,149910.0,3079340.0,69871.0,80039.0,0.0,2884472.0
1994-01-01,46481.0,156431.0,3236589.0,70307.0,86124.0,0.0,3033677.0
1995-01-01,48041.0,154060.0,3418022.0,72063.0,81997.0,0.0,3215921.0
1996-01-01,49630.0,152324.0,3616469.0,70913.0,81411.0,0.0,3414515.0
1997-01-01,52432.0,150380.0,3876844.0,69663.0,80717.0,0.0,3674032.0
1998-01-01,54786.0,159758.0,4181616.0,71863.0,87895.0,0.0,3967072.0
1999-01-01,57686.0,164660.0,4457926.0,75925.0,88735.0,0.0,4235579.0
2000-01-01,60451.0,176786.0,4824946.0,79705.0,97081.0,0.0,4587709.0
2001-01-01,65395.0,193015.0,4953635.0,78925.0,114090.0,0.0,4695225.0
2002-01-01,67352.0,214116.0,4995843.0,89258.0,124858.0,0.0,4714375.0
2003-01-01,70735.0,241281.0,5138269.0,103524.0,137758.0,0.0,4826252.0
2004-01-01,74033.0,259419.0,5421014.0,110419.0,149000.0,0.0,5087562.0
2005-01-01,70130.0,269300.0,5691379.0,119678.0,149622.0,0.0,5351949.0
2006-01-01,73521.0,290649.0,6056739.0,122788.0,167861.0,0.0,5692569.0
2007-01-01,75254.0,303049.0,6396392.0,128295.0,174754.0,0.0,6018089.0
2008-01-01,73566.0,318371.0,6534095.0,137180.0,181191.0,0.0,6142159.0
2009-01-01,67343.0,322534.0,6249110.0,145202.0,177332.0,0.0,5859232.0
2010-01-01,64595.0,332239.0,6372510.0,149083.0,183156.0,0.0,5975676.0
2011-01-01,66548.0,342348.0,6626182.0,150408.0,191940.0,0.0,6217286.0
2012-01-01,74162.0,362738.0,6928124.0,150866.0,211872.0,0.0,6491224.0
2013-01-01,76827.0,364523.0,7113994.0,149524.0,215000.0,0.0,6672644.0
2014-01-01,82846.0,376510.0,7476332.0,148183.0,228328.0,0.0,7016975.0
2015-01-01,92293.0,382241.0,7859482.0,146457.0,235785.0,0.0,7384948.0
2016-01-01,98956.0,385056.0,8091239.0,149579.0,235477.0,0.0,7607227.0
2017-01-01,106273.0,399801.0,8474410.0,152442.0,247359.0,0.0,7968336.0
2018-01-01,111110.0,420307.0,8899824.0,157625.0,262682.0,0.0,8368407.0
2019-01-01,120240.0,435794.0,9325144.0,161894.0,273901.0,0.0,8769109.0
2020-01-01,95262.0,464791.0,9465660.0,166236.0,298554.0,0.0,8905607.0
2021-01-01,127651.0,466984.0,10315597.0,172395.0,294589.0,0.0,9720962.0
2022-01-01,138793.0,484589.0,11123119.0,179274.0,305315.0,0.0,10499737.0
2023-01-01,152601.0,495669.0,11725244.0,185116.0,310553.0,0.0,11076974.0
