Date,Adjustment for different accounting periods,Adjustment for other accounting differences,Capital consumption adjustment,Capital gains or losses,Equals: BEA-derived gross output of nonprofit institutions and current transfer payments,Equals: BEA-derived nonprofit institution income and receipts from sales,Equals: IRS-derived gross output of nonprofit institutions and current transfer payments,Equals: IRS-derived nonprofit institution income and receipts from sales,"Expenses of nonprofit institutions, IRS","Gap, IRS less BEA gross output of nonprofit institutions and current transfer payments","Gap, IRS less BEA nonprofit institution income and receipts from sales",Government hospitals and schools,"Gross output of nonprofit institutions, NIPAs",Less: Nonprofit institution expenses recorded by the IRS not included in gross output of nonprofit institutions and current transfer payments,Less: Nonprofit revenue recorded by the IRS not included in nonprofit institution income and receipts from sales,"Nonprofit institution income, NIPAs",Nonresident institutions,Other accounting differences,Other organizations,Other out-of-scope activity,Plus: Gross output of nonprofit institutions and current transfer payments not recorded by the IRS,"Plus: Nonprofit institution current transfer payments, NIPAs",Plus: Nonprofit institution income not recorded by the IRS,"Plus: Receipts from sales of goods and services by nonprofit institutions, NIPAs",Religious organizations,"Revenue of nonprofit institutions, IRS",Transfer payments to nonprofit institutions,Transfer receipts from nonprofit institutions
1992-01-01,7812.0,-1349.0,-4097.0,18620.0,419543.0,441638.0,436205.0,462205.0,633554.0,16662.0,20567.0,50590.0,396390.0,223383.0,249117.0,133182.0,9922.0,144.0,1342.0,135225.5,26034.0,23153.0,29228.0,308456.0,26892.0,682094.0,25439.0,25439.0
1993-01-01,4109.0,-729.0,-4162.0,22127.0,444984.0,464638.0,466413.0,495584.0,673556.0,21429.0,30945.0,57436.5,418746.0,235310.0,262702.0,135957.0,9658.5,-300.0,1349.0,141921.5,28167.0,26237.0,30156.0,328681.0,28327.0,728130.0,26898.0,26898.0
1994-01-01,4559.0,-643.0,-4247.0,20343.0,468643.0,486716.0,488625.0,524776.0,700748.0,19982.0,38060.0,64261.0,440076.0,243954.0,273534.0,144401.0,11877.5,-486.0,1440.5,143683.5,31831.0,28567.0,33789.0,342314.0,31933.5,764521.0,26315.0,26315.0
1995-01-01,1436.5,-718.0,-4461.0,36821.0,487215.0,507300.0,523583.0,560581.0,764249.0,36368.0,53281.0,67988.5,458544.0,273385.0,323223.0,151084.0,11052.0,-438.0,1530.0,173677.0,32719.0,28671.0,34719.0,356216.0,32767.0,849085.0,27970.0,27970.0
1996-01-01,6705.0,-912.0,-4314.0,52049.0,516624.0,544895.0,526692.0,605409.0,809733.0,10068.0,60514.0,72212.0,483135.0,317565.0,348999.0,171804.0,10657.0,-266.0,1625.5,187374.5,34524.0,33488.0,36646.0,373091.0,34548.5,917762.0,32466.0,32466.0
1997-01-01,2890.5,-1795.0,-4198.0,72758.0,539342.0,589447.0,612800.0,638096.0,861972.0,73458.0,48649.0,58081.0,502624.0,283429.0,385542.0,192411.0,10945.0,-582.0,1850.5,193853.0,34257.0,36717.0,36376.0,397036.0,34654.5,987262.0,34436.0,34436.0
1998-01-01,8269.0,-1981.0,-4111.0,60726.0,586176.0,619515.0,626373.0,677319.0,882739.0,40197.0,57803.0,68621.5,542521.0,293849.0,360515.0,200801.0,10635.0,75.0,1820.0,169180.0,37483.0,43655.0,40688.0,418714.0,38218.5,997145.0,42169.0,42169.0
1999-01-01,10425.0,-2372.0,-4272.0,83892.0,627739.0,664275.0,669286.0,727402.0,933465.0,41547.0,63127.0,62777.0,576319.0,302779.0,393603.0,226185.0,10413.0,148.0,1844.0,177272.0,38601.0,51420.0,42010.0,438090.0,39573.5,1078995.0,47494.0,47494.0
2000-01-01,14325.5,-3061.0,-4701.0,56086.0,676035.0,715964.0,733821.0,790535.0,1039507.0,57786.0,74571.0,77335.5,621641.0,347549.0,406228.0,252364.0,11281.5,193.0,1757.0,193179.0,41863.0,54395.0,46980.0,463600.0,44098.0,1149784.0,55075.0,55075.0
2001-01-01,11310.0,-3166.0,-5017.0,-757.0,738142.0,743675.0,805256.0,865243.0,1116294.0,67114.0,121568.0,81642.5,676441.0,356453.0,341629.0,246316.0,10676.5,953.0,1648.0,189036.0,45415.0,61700.0,51473.0,497359.0,47902.5,1155399.0,59263.0,59263.0
