Date,Actual employer and household contributions (5+7),Actual employer contributions,Actual household contributions,Administrative expenses (8+10),Benefit payments and withdrawals,Cash flow,Claims to benefits,Contributions,Current expenditures,Current receipts,Dividends,Effect on personal income (1-7-9 or 16-7-9),Equals: Change in personal wealth,Equals: Effect on personal saving,Household pension contribution supplements,Imputed employer contributions,Imputed income payments on assets to persons,Imputed interest on plans' claims on employers,Income receipts on assets,Interest,Less: Administrative expenses,Less: Benefit payments and withdrawals,Less: Effect on personal consumption expenditures (2),Less: Pension service charges for defined benefit pension plans,Less: Pension service charges for defined contribution pension plans,Monetary income receipts on assets (13+15),Monetary interest,Net change in assets from current transactions for defined contribution plans,Net change in benefit entitlements for defined benefit plans,Net transfers from other sources,Output,Plus: Implied funding of benefits from holding gains and other changes in assets
1984-01-01,181802.0,136960.0,44841.0,3422.0,141975.0,136630.0,148660.0,329263.0,513662.0,513662.0,19678.0,287844.0,313604.0,284422.0,180977.0,-30093.0,180977.0,80752.0,180977.0,161299.0,3422.0,141975.0,3422.0,3048.0,373.0,100225.0,80547.0,31321.0,155967.0,,3422.0,29182.0
1985-01-01,195441.0,143882.0,51559.0,4229.0,170681.0,137209.0,166665.0,357283.0,552590.0,552590.0,22274.0,309953.0,438579.0,305724.0,191078.0,-25007.0,191078.0,74399.0,191078.0,168804.0,4229.0,170681.0,4229.0,3769.0,460.0,116679.0,94405.0,32222.0,154379.0,,4229.0,132855.0
1986-01-01,204298.0,148823.0,55476.0,4704.0,203652.0,124224.0,183873.0,391570.0,604497.0,604497.0,23232.0,340798.0,372380.0,336094.0,208223.0,-16247.0,208223.0,79941.0,208223.0,184991.0,4704.0,203652.0,4704.0,4178.0,526.0,128282.0,105050.0,32729.0,155189.0,,4704.0,36286.0
1987-01-01,210798.0,151708.0,59090.0,4773.0,201055.0,143616.0,192831.0,418391.0,649295.0,649295.0,24992.0,364074.0,419263.0,359301.0,226131.0,-13766.0,226131.0,87485.0,226131.0,201139.0,4773.0,201055.0,4773.0,4201.0,572.0,138646.0,113654.0,50599.0,166736.0,,4773.0,59961.0
1988-01-01,209994.0,148119.0,61875.0,5135.0,203857.0,146275.0,198841.0,437015.0,680978.0,680978.0,25949.0,380276.0,404855.0,375140.0,238828.0,-6672.0,238828.0,93555.0,238828.0,212878.0,5135.0,203857.0,5135.0,4482.0,653.0,145273.0,119324.0,51805.0,181353.0,,5135.0,29715.0
1989-01-01,222685.0,154312.0,68373.0,5716.0,223124.0,156222.0,225488.0,480609.0,742474.0,742474.0,29441.0,417952.0,497671.0,412236.0,256148.0,7492.0,256148.0,93771.0,256148.0,226708.0,5716.0,223124.0,5716.0,4689.0,1027.0,162378.0,132937.0,60179.0,197307.0,,5716.0,85435.0
1990-01-01,227343.0,155415.0,71928.0,6147.0,227746.0,169092.0,235408.0,510040.0,791758.0,791758.0,32716.0,444260.0,416257.0,438112.0,275570.0,13274.0,275570.0,99928.0,275570.0,242854.0,6147.0,227746.0,6147.0,5210.0,937.0,175642.0,142926.0,70539.0,211755.0,,6147.0,-21855.0
1991-01-01,244088.0,167111.0,76976.0,6794.0,241578.0,182814.0,249230.0,537415.0,833545.0,833545.0,36222.0,467232.0,576823.0,460438.0,289337.0,10784.0,289337.0,102240.0,289337.0,253115.0,6794.0,241578.0,6794.0,5641.0,1153.0,187098.0,150875.0,78583.0,217253.0,,6794.0,116385.0
1992-01-01,262076.0,175309.0,86767.0,7157.0,265185.0,176925.0,281521.0,577375.0,881685.0,881685.0,39593.0,497765.0,524289.0,490608.0,297153.0,25302.0,297153.0,109962.0,297153.0,257561.0,7157.0,265185.0,7157.0,5857.0,1300.0,187191.0,147598.0,78942.0,233248.0,,7157.0,33681.0
1993-01-01,278603.0,185067.0,93536.0,7985.0,277888.0,182321.0,292198.0,590720.0,898789.0,898789.0,42554.0,505169.0,592786.0,497184.0,300084.0,20018.0,300084.0,110493.0,300084.0,257530.0,7985.0,277888.0,7985.0,6423.0,1562.0,189591.0,147036.0,86185.0,226648.0,,7985.0,95602.0
1994-01-01,292881.0,195072.0,97808.0,8684.0,294083.0,194514.0,301576.0,615980.0,940784.0,940784.0,46375.0,526855.0,543435.0,518171.0,316121.0,15662.0,316121.0,111721.0,316121.0,269746.0,8684.0,294083.0,8684.0,6966.0,1718.0,204400.0,158026.0,89621.0,232276.0,,8684.0,25264.0
